"geneSymbol","modelName","tissue","cancerType","fc_clean","bf_scaled","modelId","geneId","isPanCancer","source"
"RAN","Mel-202","Eye","Melanoma","-4.078","-29.711","SIDM01357","SIDG26661","true","Broad"
"USP17L5","Mel-202","Eye","Melanoma","-3.8193","-28.271","SIDM01357","SIDG40522","true","Broad"
"PSMB3","Mel-202","Eye","Melanoma","-3.72102","-28.205","SIDM01357","SIDG26073","true","Broad"
"RPL4","Mel-202","Eye","Melanoma","-3.61459","-28.837","SIDM01357","SIDG31327","true","Broad"
"RRM1","Mel-202","Eye","Melanoma","-3.53438","-25.06","SIDM01357","SIDG33413","true","Broad"
"SNRPE","Mel-202","Eye","Melanoma","-3.50406","-26.373","SIDM01357","SIDG35906","true","Broad"
"RPL23","Mel-202","Eye","Melanoma","-3.46401","-24.974","SIDM01357","SIDG32014","true","Broad"
"ORC6","Mel-202","Eye","Melanoma","-3.4185","-24.792","SIDM01357","SIDG23623","true","Broad"
"INTS6","Mel-202","Eye","Melanoma","-3.38143","-23.838","SIDM01357","SIDG13143","","Broad"
"HSPE1","Mel-202","Eye","Melanoma","-3.37942","-24.08","SIDM01357","SIDG12121","true","Broad"
"CDC27","Mel-202","Eye","Melanoma","-3.32727","-25.333","SIDM01357","SIDG04048","true","Broad"
"POLD1","Mel-202","Eye","Melanoma","-3.24371","-22.986","SIDM01357","SIDG25194","true","Broad"
"RPS15A","Mel-202","Eye","Melanoma","-3.22871","-24.488","SIDM01357","SIDG32974","true","Broad"
"RPL18A","Mel-202","Eye","Melanoma","-3.22617","-22.844","SIDM01357","SIDG31801","true","Broad"
"RPL17","Mel-202","Eye","Melanoma","-3.19701","-23.141","SIDM01357","SIDG31746","true","Broad"
"RPL15","Mel-202","Eye","Melanoma","-3.18415","-22.245","SIDM01357","SIDG31725","true","Broad"
"RPS20","Mel-202","Eye","Melanoma","-3.17597","-22.18","SIDM01357","SIDG33078","true","Broad"
"SNRPA1","Mel-202","Eye","Melanoma","-3.14386","-22.703","SIDM01357","SIDG35875","true","Broad"
"RPL10A","Mel-202","Eye","Melanoma","-3.14122","-21.904","SIDM01357","SIDG31588","true","Broad"
"ATP6V1B2","Mel-202","Eye","Melanoma","-3.09674","-21.801","SIDM01357","SIDG01879","true","Broad"
"SS18L2","Mel-202","Eye","Melanoma","-3.08173","-22.19","SIDM01357","SIDG36503","true","Broad"
"PPWD1","Mel-202","Eye","Melanoma","-3.06106","-23.931","SIDM01357","SIDG25627","true","Broad"
"SNRPD3","Mel-202","Eye","Melanoma","-3.04258","-22.894","SIDM01357","SIDG35905","true","Broad"
"RPS6","Mel-202","Eye","Melanoma","-3.04131","-23.756","SIDM01357","SIDG32809","true","Broad"
"EEF2","Mel-202","Eye","Melanoma","-3.03571","-23.707","SIDM01357","SIDG07402","true","Broad"
"RPL12","Mel-202","Eye","Melanoma","-3.02831","-21.249","SIDM01357","SIDG31628","true","Broad"
"RPS19","Mel-202","Eye","Melanoma","-3.00281","-20.813","SIDM01357","SIDG33069","true","Broad"
"FARSB","Mel-202","Eye","Melanoma","-2.99085","-22.039","SIDM01357","SIDG08813","true","Broad"
"RPL18","Mel-202","Eye","Melanoma","-2.97754","-20.612","SIDM01357","SIDG31800","true","Broad"
"NUS1","Mel-202","Eye","Melanoma","-2.96337","-20.664","SIDM01357","SIDG22487","true","Broad"
"ATP6V1A","Mel-202","Eye","Melanoma","-2.96206","-21.796","SIDM01357","SIDG01875","true","Broad"
"RPS8","Mel-202","Eye","Melanoma","-2.95657","-21.011","SIDM01357","SIDG32865","true","Broad"
"RPL13","Mel-202","Eye","Melanoma","-2.93656","-21.985","SIDM01357","SIDG31679","true","Broad"
"NCAPD3","Mel-202","Eye","Melanoma","-2.91839","-22.667","SIDM01357","SIDG21443","true","Broad"
"CDC23","Mel-202","Eye","Melanoma","-2.91713","-20.294","SIDM01357","SIDG04042","true","Broad"
"PSMA7","Mel-202","Eye","Melanoma","-2.90028","-20.217","SIDM01357","SIDG26068","true","Broad"
"DONSON","Mel-202","Eye","Melanoma","-2.89107","-21.197","SIDM01357","SIDG06885","true","Broad"
"HNRNPK","Mel-202","Eye","Melanoma","-2.8808","-19.839","SIDM01357","SIDG11810","true","Broad"
"CDC123","Mel-202","Eye","Melanoma","-2.85729","-19.651","SIDM01357","SIDG04088","true","Broad"
"SNRPG","Mel-202","Eye","Melanoma","-2.84699","-20.115","SIDM01357","SIDG35922","true","Broad"
"POLR3A","Mel-202","Eye","Melanoma","-2.84146","-19.686","SIDM01357","SIDG25241","true","Broad"
"RPL34","Mel-202","Eye","Melanoma","-2.82111","-19.745","SIDM01357","SIDG32347","true","Broad"
"CHEK1","Mel-202","Eye","Melanoma","-2.81751","-19.494","SIDM01357","SIDG04553","true","Broad"
"PSMD14","Mel-202","Eye","Melanoma","-2.8164","-19.707","SIDM01357","SIDG26133","true","Broad"
"RPL32","Mel-202","Eye","Melanoma","-2.81527","-21.753","SIDM01357","SIDG32310","true","Broad"
"TRMT112","Mel-202","Eye","Melanoma","-2.81346","-19.517","SIDM01357","SIDG39292","true","Broad"
"PRPF38A","Mel-202","Eye","Melanoma","-2.80307","-19.755","SIDM01357","SIDG25873","true","Broad"
"TXNL4A","Mel-202","Eye","Melanoma","-2.79381","-21.563","SIDM01357","SIDG40016","true","Broad"
