"921 D28A" "921 D28B" "921 D28C" "921 D42A" "921 D42B" "921 D42C" "Mel202 Control D7A" "Mel202 Control D7B" "Mel202 Control D7C" "Mel202 D28A" "Mel202 D28B" "Mel202 D28C" "Mel270 D28A" "Mel270 D28B" "Mel270 D28C" "Mel270 D35A" "Mel270 D35B" "Mel270 D35C" "Mel285 D28A" "Mel285 D28B" "Mel285 D28C" "Mel285 D49A" "Mel285 D49B" "Mel285 D49C" "MP38 D28A" "MP38 D28B" "MP38 D28C" "MP38 D65A" "MP38 D65B" "MP38 D65C" "MP41 D28A" "MP41 D28B" "MP41 D28C" "MP41 D32A" "MP41 D32B" "MP41 D32C" "MP46 D28A" "MP46 D28B" "MP46 D28C" "MP46 D64A" "MP46 D64B" "MP46 D64C" "OMM1 D28A" "OMM1 D28B" "OMM1 D28C" "OMM1 D35A" "OMM1 D35B" "OMM1 D35C" "OMM23 Control D7A" "OMM23 Control D7B" "OMM23 Control D7C" "OMM23 D28A" "OMM23 D28B" "OMM23 D28C" "OMM23 D35A" "OMM23 D35B" "OMM23 D35C" "OMM25 D28A" "OMM25 D28B" "OMM25 D28C" "OMM25 D42A" "OMM25 D42B" "OMM25 D42C"
"921 D28A" 1 0.946855233950801 0.944131575867334 0.87513581091988 0.819298274454022 0.826970640260468 0.626031514166736 0.630228143630917 0.632424519126047 0.837920353163866 0.83523829260981 0.828625357131904 0.824239198000241 0.818728055661605 0.813156392134761 0.786271505721362 0.782652895905868 0.780265878967078 0.221438310797253 0.188921220014332 0.220903435047611 0.0903527365355594 0.0795688437479775 0.101149600524868 0.833637363845317 0.832165379693547 0.837025008706453 0.416695482294705 0.628714367231278 0.665669725891461 0.832455139533315 0.822560909395261 0.824041941909331 0.821432518027032 0.820755111261182 0.807990543074445 0.70242267093542 0.672690942683953 0.660171328955564 0.185746568063803 0.149317259173491 0.160351540825681 0.785112959080099 0.813601008347683 0.806744598938071 0.745424967229237 0.778388997476935 0.767501749164079 0.626354154896271 0.619014447435742 0.631149906407115 0.816788122924201 0.809534604379322 0.814088397938446 0.800566114184757 0.788641101407988 0.795572868865481 0.824906887102806 0.817566581935277 0.815707518228276 0.756614264090292 0.736405833540981 0.703800101536531
"921 D28B" 0.946855233950801 1 0.947442244134105 0.844925459440556 0.88117835174284 0.844129521629681 0.618986678606051 0.621288954617234 0.627427060043271 0.827440629835087 0.821243307843064 0.812718879141091 0.807540065147504 0.800869652396468 0.791802342094151 0.768443842734608 0.765288159206268 0.757701353242413 0.205056854880149 0.169631679404233 0.205281892856797 0.0776302822471676 0.0668792124084613 0.083670578154371 0.827549593965061 0.828255953764182 0.830597862478449 0.406706022146861 0.618640834803696 0.656096996662356 0.823165844760041 0.811358795968658 0.817096403189307 0.812754988081095 0.809806586361012 0.797970096804596 0.694657048677702 0.663115112891346 0.652724346292424 0.181001278919495 0.144354958634046 0.158901160841633 0.779036190883953 0.803578995120681 0.796184514208512 0.741158602463099 0.769069777333306 0.755604009127373 0.629540707106934 0.621147074335219 0.634752122214717 0.811559786689694 0.798248440700431 0.808925321904397 0.792375754687973 0.778899437400789 0.788518962933782 0.816271197389633 0.809512395107833 0.805192231468633 0.746188060698823 0.726621414481167 0.690883259500989
"921 D28C" 0.944131575867334 0.947442244134105 1 0.843231744720993 0.834890914855388 0.892856582065826 0.610772544151503 0.613084992959046 0.618966016486257 0.82195714393763 0.816701927459197 0.809475351216345 0.804417261784547 0.796309544915875 0.789698693208598 0.765080742806925 0.761704231553138 0.757709052501548 0.217198996516825 0.175451028922466 0.211214461971962 0.0951469971154181 0.0679807255018705 0.0919187034538191 0.827940931194382 0.827992538429085 0.82936617733684 0.416738586285409 0.622080663373336 0.658940373988273 0.821329877130808 0.810884244594326 0.817392181206228 0.811618027973789 0.809949389282098 0.799653523748281 0.698266087890347 0.659542486079026 0.652984764462939 0.182360869234443 0.141571034177178 0.154987220593866 0.780744279452427 0.806055896812614 0.797456435310305 0.743281882952141 0.772042372368882 0.756647022905716 0.627701995692563 0.618403884441078 0.631416205920334 0.811247239626053 0.798562027946855 0.810184999387767 0.793852350232239 0.779785966110036 0.790995867123449 0.813572040231498 0.807811886375078 0.800286842031644 0.745055616923582 0.723404083387944 0.688727131744038
"921 D42A" 0.87513581091988 0.844925459440556 0.843231744720993 1 0.886204540248306 0.883847566396079 0.45629419999835 0.4561374570083 0.460488921668555 0.691874323917067 0.67126921072844 0.670198053048606 0.651635026632435 0.646848518473551 0.646892406593125 0.63508284959494 0.630667162700272 0.638670516374093 0.25549279733615 0.22843228822485 0.260648258844265 0.153415430510512 0.120650255752477 0.153316830724966 0.65142116121393 0.650238637205806 0.651219654756 0.341510326858436 0.501424329580777 0.532146911265856 0.647777031122443 0.638356312242231 0.642484650714246 0.640692108525915 0.638461031314087 0.627547473975076 0.557472487113333 0.525336610601358 0.522986083750803 0.145137899546507 0.115656831383213 0.124714494596865 0.620266417694927 0.635476582882969 0.635493458269711 0.596975809287452 0.616650949142107 0.60966740680896 0.475592534909959 0.47010174784697 0.479729590941856 0.636983469559577 0.6239847647071 0.635522747672458 0.623157103933406 0.615816635175585 0.628460788168984 0.646465618285481 0.641815434494969 0.634447431747255 0.602254337735912 0.586708484959556 0.562393065351677
"921 D42B" 0.819298274454022 0.88117835174284 0.834890914855388 0.886204540248306 1 0.884745202037352 0.448850064919992 0.445378196543916 0.454646024544936 0.688509633655054 0.665004409729426 0.663278561164329 0.640977178802024 0.63328804678885 0.63137857326352 0.623257403964339 0.61714042477695 0.6161734808593 0.208789635875056 0.196216193424361 0.220398938224364 0.0927118291549033 0.101333903936758 0.111163983097675 0.635466823325419 0.636253886064792 0.638195928012033 0.323457402959253 0.489908057483484 0.520041884654641 0.633224814896653 0.626429826257915 0.627512903857104 0.624619653320507 0.623889623118481 0.613837253258371 0.538689064341298 0.515616030111589 0.507403723370705 0.139914057016134 0.113793182402253 0.123804366975744 0.604660177172623 0.624254163472242 0.619847847670687 0.578739202976867 0.602995940068117 0.595966069150133 0.460548049491691 0.453269852260625 0.465737819799936 0.623338856698063 0.612251006218054 0.622676176166311 0.611130068824153 0.599550826562506 0.611951316622307 0.62970797652185 0.62493473061202 0.622890059407399 0.585513550906727 0.570021125670798 0.547094617933047
"921 D42C" 0.826970640260468 0.844129521629681 0.892856582065826 0.883847566396079 0.884745202037352 1 0.450761749286398 0.449402355147379 0.458089399748664 0.688434373452646 0.666729038632797 0.665421925774685 0.648969351594923 0.640566610377205 0.641071213495023 0.629406617082128 0.624648751138767 0.630824665419425 0.252851096643672 0.211025425341269 0.243825422970793 0.155216759363382 0.103885542170811 0.132395395133672 0.651390909229826 0.652348353035124 0.65068274336656 0.346741458188994 0.505967652462156 0.532417510183954 0.647634154656605 0.638712257612778 0.645169792459204 0.641858108126364 0.639103673114827 0.629255097486977 0.556674242247394 0.52310167211269 0.516012145512262 0.149562957766795 0.116031893707681 0.118991557147976 0.620843565243531 0.638236632377558 0.633741148869443 0.596460881959107 0.617013280618069 0.607599514280393 0.475012055293917 0.468541625313145 0.480064499746868 0.638442225984634 0.623760127274654 0.638520219375921 0.62623793441483 0.615199757755126 0.629666250969456 0.64587691585079 0.637428537507218 0.631581096326168 0.601286131594509 0.579275096777517 0.556713332956386
"Mel202 Control D7A" 0.626031514166736 0.618986678606051 0.610772544151503 0.45629419999835 0.448850064919992 0.450761749286398 1 0.969191657088198 0.965955899774358 0.619477408540034 0.652306267808239 0.641333687130418 0.649740188932675 0.660660907851585 0.645334578684197 0.592426618438035 0.605577192154452 0.58598085591766 0.112494601653343 0.0833516940946985 0.0987512427899132 0.0063833670297164 0.00555185176548474 0.00759279962278189 0.753735688156248 0.754701753915404 0.759565462019176 0.29720434936447 0.469656805444589 0.500655678003514 0.700437071526378 0.699228085924837 0.679990631165061 0.675005746518198 0.674356289954863 0.660962263988099 0.64223334470026 0.636527096432452 0.611182475187313 0.148335442829408 0.121918069925281 0.144292565121357 0.605069541095772 0.620332240746091 0.609680618322195 0.563358245225285 0.582462110915967 0.56564306190254 0.877740326673875 0.877389420170183 0.894523221021729 0.712388690793716 0.721061584997814 0.712216799054059 0.69823200151462 0.689336105336629 0.68597518508641 0.672940644617307 0.67781939322574 0.671872147263897 0.586965957763818 0.585417090628346 0.572707443047299
"Mel202 Control D7B" 0.630228143630917 0.621288954617234 0.613084992959046 0.4561374570083 0.445378196543916 0.449402355147379 0.969191657088198 1 0.963215087768841 0.624905891691113 0.660789192918528 0.647856055549379 0.655450640429155 0.667145170463936 0.647926001118072 0.598067287480489 0.611500288553664 0.590036324170666 0.113338323913244 0.0853615245128989 0.0978513994768428 0.00532499666813698 0.00454203770689889 0.00737078110430566 0.757877423611723 0.757543456472865 0.764434060590257 0.297541907406668 0.473001295494295 0.50606733361296 0.703677422353487 0.701518049281431 0.683796452340619 0.679316618411957 0.678838956756931 0.666814749384395 0.641461774226976 0.633292241971824 0.60640448971116 0.150511577693726 0.121372196329979 0.139348773738397 0.607713472301247 0.624000297372143 0.613902125301995 0.569089323773128 0.585854941422997 0.568153851618104 0.868204329361787 0.870682016965304 0.88488009137042 0.714609219541381 0.724193731427178 0.714169566961806 0.703737814242594 0.692494856009692 0.688466545584208 0.675693741398808 0.680025554655775 0.675038316305846 0.593236327202927 0.589358997381382 0.575463188622316
"Mel202 Control D7C" 0.632424519126047 0.627427060043271 0.618966016486257 0.460488921668555 0.454646024544936 0.458089399748664 0.965955899774358 0.963215087768841 1 0.627292242701268 0.659822792513225 0.646771712890491 0.655201652465844 0.663040721785367 0.645045588602938 0.594822148596151 0.610518444914919 0.5853098829412 0.111302891899285 0.0820813705173706 0.0979511108853989 0.00582725343454564 0.00368434688727935 0.0071034155930939 0.763768601607237 0.76379085998446 0.768546330932594 0.301241160359514 0.478420342089395 0.509394343569886 0.706611681610713 0.701955938070834 0.688893920532488 0.682147062959231 0.678610868606107 0.668474408952302 0.644873753644447 0.642500870459818 0.613251765170732 0.151188201972655 0.119360902459116 0.144959177186915 0.610593823507188 0.627629631768023 0.614396405286893 0.571413626196259 0.589003367018729 0.570075459336876 0.874964890081556 0.871187473764658 0.8989595429961 0.720957188895419 0.727722689434681 0.719008224576053 0.708659736327146 0.694134094482431 0.69171435116883 0.677260693158712 0.682218358676282 0.678433237773974 0.591923787263765 0.586965462573852 0.581581854761861
"Mel202 D28A" 0.837920353163866 0.827440629835087 0.82195714393763 0.691874323917067 0.688509633655054 0.688434373452646 0.619477408540034 0.624905891691113 0.627292242701268 1 0.923830770336036 0.920418342824314 0.841388625176839 0.840622509178461 0.835602805599053 0.807725856064155 0.812867509846939 0.802281559348211 0.220355418697592 0.193215354745803 0.209098742522441 0.0747498275379887 0.0780956333529099 0.0900831852659632 0.817622415975885 0.812841418181631 0.830352808288122 0.417198572155398 0.653893871052459 0.694112373399584 0.818041388712123 0.809778392459814 0.799137910175342 0.806382863391158 0.811675434900537 0.802556346712085 0.654094809849547 0.644240280927319 0.622777478134713 0.17449205135731 0.143706109835144 0.154149167814785 0.784495376315454 0.815589607634639 0.800097669145856 0.74419617672468 0.779715515513823 0.771083729111136 0.550400193600481 0.542071185640513 0.560455136267839 0.828429692760227 0.844431767355621 0.827594790671587 0.830001269739686 0.807816776345712 0.807149731866303 0.833000205620085 0.833071499190285 0.844328024084453 0.769253641989343 0.762957438682045 0.741593171215786
