gene_pair_id	qc_group	cancer_type	sorted_gene_pair	targetA	targetB	mean_norm_gi	median_norm_gi	variance_norm_gi	nexp	n_replicates	n_guide_pairs	n_sig_guide_pairs	mean_grna_count_all	median_norm_gi_all	variance_norm_gi_all	svar	gi_t_score	plow	phigh	fdr
DYNC1LI2|DYNC1LI1	921 D42	Uveal melanoma	DYNC1LI1|DYNC1LI2	DYNC1LI2	DYNC1LI1	-0.874311133964675	-0.7988288589355	1.00841096193705	84	3	28	8	92.8015564202335	0.127262415929537	1.00623154202811	0.023110471733745	-6.09185261148121	5.58057110620542e-10	0.999999999441943	5.58057110620542e-10
ASF1B|ASF1A	921 D42	Uveal melanoma	ASF1A|ASF1B	ASF1B	ASF1A	-0.90351419829994	-0.708752298267587	1.03956801973153	93	3	31	8	92.8015564202335	0.127262415929537	1.00623154202811	0.022260594460239	-5.60332151030866	1.05141323281557e-08	0.999999989485868	1.05141323281557e-08
HACD1|HACD2	921 D42	Uveal melanoma	HACD1|HACD2	HACD1	HACD2	-0.672464284060459	-0.728383406680542	1.33726069417901	96	3	32	6	92.8015564202335	0.127262415929537	1.00623154202811	0.0250373704316319	-5.40753920747856	3.19482791906545e-08	0.999999968051721	3.19482791906545e-08
ELL|ELL2	921 D42	Uveal melanoma	ELL|ELL2	ELL	ELL2	-0.625699984411277	-0.663146880885182	0.983319316980748	84	3	28	4	92.8015564202335	0.127262415929537	1.00623154202811	0.0228081627583679	-5.23367665936589	8.30855180151433e-08	0.999999916914482	8.30855180151433e-08
COPS7A|COPS7B	921 D42	Uveal melanoma	COPS7A|COPS7B	COPS7A	COPS7B	-0.784947785899675	-0.673367451297835	1.29105992468322	96	3	32	4	92.8015564202335	0.127262415929537	1.00623154202811	0.0245510465422026	-5.10971623445108	1.61321516925177e-07	0.999999838678483	1.61321516925177e-07
HNRNPF|HNRNPH1	921 D42	Uveal melanoma	HNRNPF|HNRNPH1	HNRNPF	HNRNPH1	-0.720939739033334	-0.650406452675815	1.25149408229788	96	3	32	5	92.8015564202335	0.127262415929537	1.00623154202811	0.0241345639907779	-5.00581718701636	2.78127658757043e-07	0.999999721872341	2.78127658757043e-07
CCNL1|CCNL2	921 D42	Uveal melanoma	CCNL1|CCNL2	CCNL1	CCNL2	-1.02032505581227	-0.74471783223548	2.04261945677593	96	3	32	7	92.8015564202335	0.127262415929537	1.00623154202811	0.0324621995115995	-4.83969146957061	6.50204263750545e-07	0.999999349795736	6.50204263750545e-07
CHMP1B|CHMP1A	921 D42	Uveal melanoma	CHMP1A|CHMP1B	CHMP1B	CHMP1A	-0.922667546745831	-0.640235112147033	1.58514926628326	96	3	32	8	92.8015564202335	0.127262415929537	1.00623154202811	0.027646723822203	-4.61588678595447	1.95710148842129e-06	0.999998042898512	1.95710148842129e-06
CLTC|CLTB	921 D42	Uveal melanoma	CLTB|CLTC	CLTC	CLTB	-0.593593199749369	-0.557904167345001	1.1122979663343	96	3	32	3	92.8015564202335	0.127262415929537	1.00623154202811	0.022669341717477	-4.55068441814955	2.6735848450905e-06	0.999997326415155	2.6735848450905e-06
CCND3|CCND1	921 D42	Uveal melanoma	CCND1|CCND3	CCND3	CCND1	-0.638072523991964	-0.544511087175027	1.03168779413215	96	3	32	3	92.8015564202335	0.127262415929537	1.00623154202811	0.0218208135890333	-4.54765384819564	2.7123631278006e-06	0.999997287636872	2.7123631278006e-06
CLTC|CLTCL1	921 D42	Uveal melanoma	CLTC|CLTCL1	CLTC	CLTCL1	-0.55186472196059	-0.542104481299873	1.04222178002543	96	3	32	2	92.8015564202335	0.127262415929537	1.00623154202811	0.0219316976510679	-4.51989250194938	3.09355197217382e-06	0.999996906448028	3.09355197217382e-06
SS18|SS18L1	921 D42	Uveal melanoma	SS18|SS18L1	SS18	SS18L1	-0.744700264453812	-0.639113347742637	1.74051061035537	96	3	32	10	92.8015564202335	0.127262415929537	1.00623154202811	0.029282106391383	-4.47858276828343	3.75701179533549e-06	0.999996242988205	3.75701179533549e-06
MYC|MYCN	921 D42	Uveal melanoma	MYC|MYCN	MYC	MYCN	-0.634231358612774	-0.556445342718999	1.21471259717948	96	3	32	6	92.8015564202335	0.127262415929537	1.00623154202811	0.0237473904632158	-4.43672551966462	4.56688188961107e-06	0.99999543311811	4.56688188961107e-06
BZW1|BZW2	921 D42	Uveal melanoma	BZW1|BZW2	BZW1	BZW2	-0.517202243339371	-0.507370847620968	0.685892036975622	72	3	24	4	92.8015564202335	0.127262415929537	1.00623154202811	0.0206213932968616	-4.41940526501513	4.94864475584345e-06	0.999995051355244	4.94864475584345e-06
LIN28A|LIN28B	921 D42	Uveal melanoma	LIN28A|LIN28B	LIN28A	LIN28B	-0.622954298320163	-0.672361352091516	1.87220852386213	84	3	28	3	92.8015564202335	0.127262415929537	1.00623154202811	0.0335176712750111	-4.3676595228244	6.2792532759227e-06	0.999993720746724	6.2792532759227e-06
SLC25A37|SLC25A28	921 D42	Uveal melanoma	SLC25A28|SLC25A37	SLC25A37	SLC25A28	-0.58435087450275	-0.573447285995493	1.41802607557304	96	3	32	5	92.8015564202335	0.127262415929537	1.00623154202811	0.0258875323410427	-4.35504657055284	6.65193155422923e-06	0.999993348068446	6.65193155422923e-06
AP2A2|AP2A1	921 D42	Uveal melanoma	AP2A1|AP2A2	AP2A2	AP2A1	-0.766258691802211	-0.513958750192072	1.03048297235582	96	3	32	3	92.8015564202335	0.127262415929537	1.00623154202811	0.0218081312545457	-4.34208802463128	7.05674812401296e-06	0.999992943251876	7.05674812401296e-06
CSTF2|CSTF2T	921 D42	Uveal melanoma	CSTF2|CSTF2T	CSTF2	CSTF2T	-0.917745012642009	-0.658276245518699	2.08028842441589	96	3	32	8	92.8015564202335	0.127262415929537	1.00623154202811	0.0328587149604412	-4.33353468387525	7.33670752619304e-06	0.999992663292474	7.33670752619304e-06
DUSP10|TIMM10	921 D42	Uveal melanoma	DUSP10|TIMM10	DUSP10	TIMM10	-0.39947431019969	-0.483722810015992	0.819011671770668	90	3	30	4	92.8015564202335	0.127262415929537	1.00623154202811	0.0201633204063547	-4.30278536844779	8.43321110736937e-06	0.999991566788893	8.43321110736937e-06
