gene_pair_id	sorted_gene_pair	targetA	targetB	sgrna_group	cell_line_label	qc_group	cancer_type	depMapID	CMP_model_id	mean_norm_gi	median_norm_gi	variance_norm_gi	nexp	n_replicates	n_guide_pairs	n_sig_guide_pairs	pct_sig_guide_pairs	mean_grna_count_all	median_norm_gi_all	variance_norm_gi_all	svar	gi_t_score	plow	phigh	fdr	is_bassik_hit	targetA__is_single_depleted	targetB__is_single_depleted	targetA__is_expressed	targetB__is_expressed	targetA__is_depleted_mageck	targetB__is_depleted_mageck	targetA__is_enriched_mageck	targetB__is_enriched_mageck	targetA__is_depleted_bagel	targetB__is_depleted_bagel	targetA__is_common_essential_bagel2	targetB__is_common_essential_bagel2	targetA__is_common_nonessential_bagel2	targetB__is_common_nonessential_bagel2	targetA__is_common_essential_depmap_ceres	targetB__is_common_essential_depmap_ceres	targetA__is_common_essential_depmap_chronos	targetB__is_common_essential_depmap_chronos	targetA__is_common_nonessential_depmap_ceres	targetB__is_common_nonessential_depmap_ceres	targetA__is_depmap_dependent	targetA__n_depmap_dependent_cell_lines	targetB__is_depmap_dependent	targetB__n_depmap_dependent_cell_lines	targetA__tpm_log2ps1	targetB__tpm_log2ps1	targetA__total_copy_number	targetB__total_copy_number	CMP_mutation__gene_symbol	CMP_mutation__protein_mutation	CMP_mutation__rna_mutation	CMP_mutation__cdna_mutation	CMP_mutation__effect
ASF1B|ASF1A	ASF1A|ASF1B	ASF1B	ASF1A	paralog	921	921 D42	Uveal melanoma	ACH-001441	NA	-0.961726765424112	-0.924786512747034	1.02046336844362	93	3	31	10	32.26	92.8015564202335	0.0946879545504303	1.0067842796169	0.0220589562116584	-6.86410430115257	3.34548661818999e-12	0.999999999996655	3.34548661818999e-12	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	2.44625622988956	3.61941301059794	NA	NA					
CSTF2|CSTF2T	CSTF2|CSTF2T	CSTF2	CSTF2T	paralog	921	921 D42	Uveal melanoma	ACH-001441	NA	-0.88252463850403	-0.847620325980493	1.58213353324521	96	3	32	9	28.12	92.8015564202335	0.0946879545504303	1.0067842796169	0.0276210002684564	-5.66987267687778	7.14518395805602e-09	0.999999992854816	7.14518395805602e-09	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	3.27798474729977	3.39506279951758	NA	NA					
DYNC1LI2|DYNC1LI1	DYNC1LI1|DYNC1LI2	DYNC1LI2	DYNC1LI1	paralog	921	921 D42	Uveal melanoma	ACH-001441	NA	-0.705809009451715	-0.712267798786684	0.807814611027904	84	3	28	4	14.29	92.8015564202335	0.0946879545504303	1.0067842796169	0.0206996692333643	-5.60877501423707	1.01881853336361e-08	0.999999989811815	1.01881853336361e-08	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	5.41142624572647	3.59215800212536	NA	NA					
ELL|ELL2	ELL|ELL2	ELL	ELL2	paralog	921	921 D42	Uveal melanoma	ACH-001441	NA	-0.679874598610174	-0.738080369397198	1.05605735400943	84	3	28	5	17.86	92.8015564202335	0.0946879545504303	1.0067842796169	0.0236905456548285	-5.41049083426285	3.14261201150758e-08	0.99999996857388	3.14261201150758e-08	1	1	0	1	1	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	NA	NA	NA	NA	1.44890095114513	2.34482849699744	NA	NA					
HACD1|HACD2	HACD1|HACD2	HACD1	HACD2	paralog	921	921 D42	Uveal melanoma	ACH-001441	NA	-0.656912238974733	-0.728124744277593	1.21277089693556	96	3	32	7	21.88	92.8015564202335	0.0946879545504303	1.0067842796169	0.0237329725178285	-5.34102877268222	4.62102923180372e-08	0.999999953789708	4.62102923180372e-08	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	3.90496571868403	2.44360665147561	NA	NA					
COPS7A|COPS7B	COPS7A|COPS7B	COPS7A	COPS7B	paralog	921	921 D42	Uveal melanoma	ACH-001441	NA	-0.728743780788689	-0.664351110046657	1.09190441723674	96	3	32	4	12.5	92.8015564202335	0.0946879545504303	1.0067842796169	0.0224606937841567	-5.06468622327995	2.04536789047326e-07	0.999999795463211	2.04536789047326e-07	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	4.97131362406888	3.90785207184596	NA	NA					
CLTC|CLTCL1	CLTC|CLTCL1	CLTC	CLTCL1	paralog	921	921 D42	Uveal melanoma	ACH-001441	NA	-0.605672627399792	-0.634124439863895	1.09751576502579	96	3	32	3	9.38	92.8015564202335	0.0946879545504303	1.0067842796169	0.0225197606029889	-4.85661710453107	5.97040875306259e-07	0.999999402959125	5.97040875306259e-07	1	1	0	1	1	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	NA	NA	NA	NA	5.96878197383005	1.89917563048051	NA	NA					
CCNL1|CCNL2	CCNL1|CCNL2	CCNL1	CCNL2	paralog	921	921 D42	Uveal melanoma	ACH-001441	NA	-0.936282365200028	-0.69203707028173	1.75707080879912	96	3	32	7	21.88	92.8015564202335	0.0946879545504303	1.0067842796169	0.0294624452742871	-4.58340854818285	2.28728502362436e-06	0.999997712714976	2.28728502362436e-06	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	5.57228336665041	6.50985416237699	NA	NA					
CHMP1B|CHMP1A	CHMP1A|CHMP1B	CHMP1B	CHMP1A	paralog	921	921 D42	Uveal melanoma	ACH-001441	NA	-0.829870610724224	-0.617956338976989	1.31902331277377	96	3	32	7	21.88	92.8015564202335	0.0946879545504303	1.0067842796169	0.024851419000336	-4.52061181781871	3.08305824203605e-06	0.999996916941758	3.08305824203605e-06	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	5.1139504824225	4.44757919654888	NA	NA					
HNRNPF|HNRNPH1	HNRNPF|HNRNPH1	HNRNPF	HNRNPH1	Achilles	921	921 D42	Uveal melanoma	ACH-001441	NA	-0.690539157281736	-0.603441033848543	1.24392187999765	96	3	32	5	15.62	92.8015564202335	0.0946879545504303	1.0067842796169	0.0240608776026927	-4.50069869642508	3.38652288098246e-06	0.999996613477119	3.38652288098246e-06	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	NA	NA	NA	NA	6.80928581019891	8.31433399391901	NA	NA					
