id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
MYC	8	2.8097e-11	4.6703e-06	0.00099	1	8	-1.651	1.0	1.0	0.999995	1060	0	-1.651
RRM1	8	1.4024e-07	4.6703e-06	0.00099	2	8	-1.4612	1.0	1.0	0.999995	1059	0	-1.4612
RRM2	4	7.1805e-07	4.6703e-06	0.00099	3	2	-1.2527	0.81901	0.81982	0.999995	792	0	-1.2527
MTG2	4	7.7207e-07	4.6703e-06	0.00099	4	4	-0.99445	1.0	1.0	0.999995	1058	0	-0.99445
RPP21	4	8.9943e-07	4.6703e-06	0.00099	5	4	-1.6354	1.0	1.0	0.999995	1057	0	-1.6354
PRPF8	4	2.3373e-06	1.4011e-05	0.002122	6	4	-1.178	1.0	1.0	0.999995	1056	0	-1.178
BUB3	4	5.219e-06	1.4011e-05	0.002122	7	4	-1.6662	0.99999	0.99999	0.999995	1053	0	-1.6662
ALDOA	4	6.2684e-06	2.3351e-05	0.003094	8	3	-1.5514	0.98733	0.98784	0.999995	970	0	-1.5514
CCND1	4	8.1329e-06	3.2692e-05	0.00385	9	4	-1.0005	0.99999	1.0	0.999995	1055	0	-1.0005
PDCD6IP	4	1.0119e-05	4.2033e-05	0.004455	10	4	-1.0768	0.99999	0.99999	0.999995	1054	0	-1.0768
UQCRC1	4	1.2841e-05	5.1373e-05	0.004538	11	4	-0.81694	0.99999	0.99999	0.999995	1052	0	-0.81694
POLR2L	4	1.3445e-05	5.1373e-05	0.004538	12	4	-1.6758	0.99999	0.99999	0.999995	1051	0	-1.6758
MRPL38	4	2.4665e-05	7.0054e-05	0.005712	13	4	-0.72501	0.99998	0.99998	0.999995	1050	0	-0.72501
COPA	4	2.632e-05	7.9395e-05	0.006011	14	4	-1.0843	0.99997	0.99998	0.999995	1049	0	-1.0843
NAE1	8	2.8525e-05	0.00015412	0.01021	15	6	-0.38011	0.97327	0.97349	0.999995	944	0	-0.38011
NAA10	4	6.125e-05	0.00015412	0.01021	16	4	-0.79611	0.99994	0.99994	0.999995	1048	0	-0.79611
KIF11	4	8.6034e-05	0.00030357	0.017877	17	4	-0.79572	0.99991	0.99991	0.999995	1047	0	-0.79572
INTS6	3	8.6206e-05	0.00023818	0.014851	18	3	-1.6886	0.99991	0.9999	0.999995	1046	0	-1.6886
TIMM10	4	8.7694e-05	0.00034093	0.01902	19	4	-0.78192	0.99991	0.99991	0.999995	1045	0	-0.78192
SF3B3	4	8.9379e-05	0.00035961	0.019059	20	4	-0.92591	0.99991	0.9999	0.999995	1044	0	-0.92591
MRPL41	4	0.00010186	0.00037829	0.019095	21	4	-0.96499	0.9999	0.9999	0.999995	1043	0	-0.96499
ATP5F1B	4	0.00011977	0.00046236	0.021309	22	4	-0.57215	0.99988	0.99988	0.999995	1042	0	-0.57215
ATP6V1B2	4	0.00012624	0.00053708	0.023721	23	4	-0.86529	0.99987	0.99986	0.999995	1041	0	-0.86529
CHORDC1	3	0.00012805	0.00039697	0.019127	24	3	-1.5862	0.99987	0.99985	0.999995	1040	0	-1.5862
SF3B1	4	0.00013287	0.00057444	0.024356	25	3	-0.84221	0.99858	0.9987	0.999995	1016	0	-0.84221
RPL36	4	0.00014476	0.00062115	0.024752	26	4	-1.051	0.99986	0.99986	0.999995	1039	0	-1.051
BAP1	4	0.00015094	0.00063049	0.024752	27	4	-0.37001	0.99985	0.99986	0.999995	1038	0	-0.37001
NDUFB4	4	0.00015982	0.00065851	0.024929	28	4	-0.82692	0.99965	0.99969	0.999995	1030	0	-0.82692
CLTC	4	0.00018199	0.00082664	0.030215	29	4	-0.69276	0.99982	0.99984	0.999995	1037	0	-0.69276
NKAP	4	0.00022939	0.00096675	0.032642	30	4	-0.60922	0.99977	0.99979	0.999995	1036	0	-0.60922
ATP6V1C1	4	0.00023112	0.00098543	0.032642	31	4	-0.58671	0.99977	0.99979	0.999995	1035	0	-0.58671
E2F3	3	0.00028566	0.00088268	0.031188	32	3	-0.87999	0.99971	0.99975	0.999995	1034	0	-0.87999
