gene	Mel270.D28A	Mel270.D28B	Mel270.D28C	Mel270.D35A	Mel270.D35B	Mel270.D35C
ABCA3	-0.214161805700212	-0.206596224241154	-0.231772313847322	-0.206038531199099	-0.250359265521895	-0.294305850374236
ABCB1	-0.0906812544826139	-0.14638583702919	0.0407331522699105	-0.163629964083869	-0.209269789580712	0.124111089840798
ABCC3	-0.362031722540195	-0.132562363169161	-0.27207091076197	-0.349782969769036	-0.0884689107644306	-0.288138916116888
ABCG2	-0.159411565810597	-0.147503852059911	-0.118169110685827	-0.114690797905829	-0.170650250533518	-0.0416533844175273
ABL1	-0.149180698720067	-0.142674630634406	-0.0657695203948383	-0.136936930976925	-0.229921953543619	-0.0572464835648416
ABL2	-0.310844332582586	-0.138991078043464	-0.125347997025369	-0.389733946256155	-0.0430229037443616	-0.126234102369881
ABT1	-1.0514589692395	-0.721488225534583	-0.854062064689851	-1.14789716343131	-0.796350965370168	-1.01929291801915
ABTB2	-0.239593410335387	0.0736957241616194	-0.340412163830399	-0.268661034492134	0.0772549504511221	-0.402696661840026
ACACA	-0.170707803099125	-0.288273630940577	-0.445144828995741	-0.160867468606679	-0.423831531142063	-0.434440812958406
ACACB	-0.257868714767303	-0.174209390051021	-0.123658762024907	-0.27808256566474	-0.124140218335491	-0.161423783349287
ACTL6A	-0.562364096208581	-0.773780403797005	-0.58639610178929	-0.614657100440547	-0.799581292327255	-0.557190762848786
ACTL6B	-0.177825947202395	-0.404488479716949	-0.312465602806215	-0.0712760234395296	-0.433213671209871	-0.306289479969281
ACTL7A	-0.0256815041770381	-0.181693068888482	-0.230583782484662	-0.0517333890394012	-0.310014107853726	-0.318770912219842
ADAM19	-0.0815530721385015	-0.18986982035299	-0.248364591530546	-0.0390444261632999	-0.287732300540172	-0.329119535581404
ADAP1	-0.190677012270846	-0.22866549604857	-0.359127174422298	-0.182481989518956	-0.234659485214153	-0.373241795044421
ADAP2	-0.344152939920469	-0.136758471784488	-0.113272091148477	-0.334766771253407	-0.151688133089853	-0.191917146713615
ADARB1	-0.151007082114887	-0.0358400888615484	-0.0299900273243906	-0.148686255480397	-0.0373661983719301	-0.0590382763250961
ADARB2	-0.188741532665548	-0.206032129002164	0.167770406245338	-0.17780771699433	-0.240328960444178	0.175301453352447
ADGRG7	-0.181201866872822	-0.260505154418455	-0.0939490004360779	-0.202211272167394	-0.276807284290701	-0.0587008667671095
ADM	-0.152010732239809	-0.0945201778149311	-0.232201886144367	-0.148451107972407	-0.161953657695047	-0.191693188393287
ADSS	-0.377692145110581	-0.215038764380931	-0.360667028374313	-0.263209505133299	0.0620811949436714	-0.30886636898406
ADSSL1	-0.30510235735753	-0.288078137937514	-0.15633681643875	-0.267388202152834	-0.253866367242416	-0.13180972345997
AFG3L2	-0.726776040352549	-0.44136619560287	-0.8196927387578	-0.836158616477589	-0.375647093410549	-0.87891369695613
AHCYL1	-0.274788966522095	-0.452741682115707	-0.637826611623631	-0.356427097646625	-0.56882932911169	-0.75480639677004
AHCYL2	-0.388330169407753	-0.240863350974885	-0.314534736296687	-0.502442773672522	-0.27797244276614	-0.33678663304224
AIPL1	-0.20123541152575	0.0158623783627572	0.0598181722722412	-0.112416207582746	0.0735062553578646	-0.115380397478906
AKAP11	-0.268510792430599	-0.0948853877156497	-0.0692305505411852	-0.370053039634284	-0.125870812839773	-0.0683055917315402
AKIRIN1	-0.51262686832568	-0.386772139853012	-0.313368629754492	-0.593476602980848	-0.473704203289503	-0.334860273421142
AKIRIN2	-0.802398301146275	-0.704453475126554	-0.974074793456015	-0.817298059411314	-0.655031624054349	-1.04427315105648
ALAS1	-0.179013955434609	-0.153991929624541	-0.0338078965430444	-0.12555884211812	-0.151504431603906	-0.0306467689342899
ALAS2	-0.181347742335035	-0.0724187359414485	-0.0526341914578901	-0.16070896192826	-0.118707707380241	-0.0852181312930725
ALDOA	-1.40924562519104	-1.08808325514845	-1.40999557289868	-1.34751257384861	-1.23628985780615	-1.51347103987109
ALDOC	-0.201050114900347	-0.413394075498765	-0.165036034136051	-0.194879749876598	-0.458070564853227	-0.167207145915172
ALG14	-0.0427589304976967	-0.0429492083201283	-0.382191993032218	0.0428501158409871	-0.0940686312234836	-0.44932039194839
AMELX	0.217981129204348	0.147818474677527	0.211905079825529	0.321147629874319	0.202131861501221	0.215060953162031
ANAPC4	-0.377555174808344	-0.275573992097512	-0.349159769851834	-0.349902375722823	-0.254898409541416	-0.446265458386764
ANKRD10	-0.0559708096077067	-0.164400721613578	-0.0910750534877835	-0.0144052628470663	-0.187352173982616	-0.0938088580900933
ANKRD37	-0.0524049602587305	-0.18031584505546	-0.0698982522655083	-0.0310108787130797	-0.176582251577523	-0.0560004706630249
ANXA1	0.0551812895829399	-0.0329755701362259	-0.143338573718732	0.0786244601701373	-0.00350361453781821	-0.17909734661635
AOX1	-0.252470367808577	-0.0358139964260991	0.0525719605948046	-0.241742772939293	-0.0281830334774866	0.018569757448987
AP1G1	-0.180157648161295	-0.143265259392292	-0.256401460071478	-0.216983962702269	-0.153586378325401	-0.273979517297836
AP1G2	0.0119127415719785	-0.0869894400374833	-0.153431804219187	0.0139920626610772	-0.13851789948749	-0.200716974298271
AP2A1	-0.34381908840795	-0.136492581712977	-0.161490638538302	-0.350590049588224	-0.14159881869694	-0.251488153242578
AP2A2	-0.0453248390072089	-0.220330669416242	-0.0327635106855801	0.082275178286033	-0.329417949826281	-0.0333456009923959
AP3M1	0.124583015380955	-0.221947256735851	-0.0868604998935789	0.198432022412769	-0.206030597456319	-0.0215880872463889
AP5M1	-0.299593744101995	-0.102243683047694	-0.0513135215674894	-0.257902270950301	-0.125006983090405	-0.0331778863476871
APH1A	-0.0651218127678059	-0.268638211658211	-0.152519508772666	-0.0385491777806791	-0.281787790807529	-0.175857625131205
APH1B	-0.368982458173204	-0.200533659190141	-0.277253918035737	-0.347349918915517	-0.21674624022587	-0.178458541403037
APOBEC1	-0.138526092676184	-0.306232255574256	-0.19016487180051	-0.265186142975857	-0.219292781202272	-0.11116601002868
APOBEC3C	-0.10945935632327	-0.179493682668522	0.013332371267062	-0.229864964367903	-0.205236595621491	0.000484271348426046
AQP8	-0.00506117525743389	-0.0975558342514068	0.0182894222509982	-0.0792396792726689	-0.198131318621584	0.048490415249676
ARFGEF1	-0.0619284880998762	-0.0692301267158692	-0.00522367970138913	0.0514025510223896	-0.0555659142090133	-0.0584710785019945
ARFGEF2	0.00232878564415386	-0.232494273835076	-0.185824791737931	-0.0704750815466154	-0.284460754731638	-0.0899121556876646
ARFIP1	0.0838517773449121	0.00529542156653081	0.00872782826371719	0.0826415294379938	0.107166565103142	0.0833861320158019
ARFIP2	-0.211613420350138	-0.318887606389176	-0.305800349107966	-0.177469681074717	-0.353552097783202	-0.313380854892591
ARHGEF3	-0.133693228138519	0.00937458134404741	0.0293746834247455	-0.139942589551717	0.102171257251472	0.113218381442843
ARHGEF6	-0.0169513971628641	-0.087570344059458	0.0577511863096015	0.0583738321993479	-0.107621577263847	-0.0256547939105486
ARHGEF7	-0.227822679614534	-0.120161432539373	-0.0873991741477962	-0.0682400676923957	-0.0873305695857554	-0.0620950114128029
ARID1A	-0.276780828429939	-0.377428831157714	-0.499439921990279	-0.346689182928431	-0.420574115452346	-0.418846679215809
ARID1B	-0.165611044852255	-0.151424076990824	-0.0769221717758301	-0.151852245949322	-0.280173105357238	-0.00930614734026744
