gene	BF
ABCA3	-0.321520833333333
ABCB1	-0.4699375
ABCC3	-0.2960625
ABCG2	-0.1003125
ABL1	-0.7615625
ABL2	-0.2845625
ABT1	0.624020833333333
ABTB2	-0.259104166666667
ACACA	0.4121875
ACACB	-0.0461458333333334
ACTL6A	0.283895833333333
ACTL6B	-0.345145833333333
ACTL7A	-0.0882708333333334
ADAM19	-0.408645833333333
ADAP1	-0.3486875
ADAP2	-0.0361041666666668
ADARB1	-0.2238125
ADARB2	-0.3788125
ADGRG7	-0.2588125
ADM	-0.150729166666667
ADSS	-0.426576388888889
ADSSL1	-0.198979166666667
AFG3L2	0.570923611111111
AHCYL1	-0.0584375000000001
AHCYL2	-0.247145833333333
AIPL1	-0.349020833333333
AKAP11	-0.304645833333333
AKIRIN1	0.1319375
AKIRIN2	0.547020833333333
ALAS1	-0.332458333333333
ALAS2	-0.442770833333333
ALDOA	0.883229166666667
ALDOC	-0.353229166666667
ALG14	0.3368125
AMELX	-0.315729166666667
ANAPC4	0.384020833333333
ANKRD10	-0.100354166666667
ANKRD37	-0.391895833333333
ANXA1	-0.3369375
AOX1	-0.343520833333333
AP1G1	0.334645833333333
AP1G2	-0.143270833333333
AP2A1	-0.872729166666667
AP2A2	-0.427770833333333
AP3M1	-0.377479166666667
AP5M1	-0.0289791666666668
APH1A	0.151145833333333
APH1B	-0.0804375000000001
APOBEC1	-0.1785625
APOBEC3C	-0.345020833333333
AQP8	-0.651354166666667
ARFGEF1	-0.223229166666667
ARFGEF2	-0.0172708333333334
ARFIP1	-0.718479166666667
ARFIP2	-0.1433125
ARHGEF3	-0.5526875
ARHGEF6	-0.292604166666667
ARHGEF7	0.170479166666667
ARID1A	0.278770833333333
ARID1B	0.1255625
ARID4A	-0.2303125
ARPC5	-0.3193125
ARPC5L	-0.440395833333333
ARSJ	-0.339145833333333
ASCL1	-0.4854375
ASF1A	-0.2765625
ASF1B	0.00345833333333324
ATAD2	-0.3421875
ATAD2B	-0.1673125
ATM	-0.175145833333333
ATOH1	-0.352145833333333
ATP5F1A	0.480520833333333
ATP5F1B	0.505270833333333
ATP5F1D	0.438770833333333
ATP5PB	-0.0503125000000001
ATP6V1B1	-0.1096875
ATP6V1B2	0.773145833333333
ATP6V1C1	0.495520833333333
ATP6V1C2	-0.368104166666667
ATP6V1D	0.3635625
ATP6V1E1	-0.121243055555556
ATP6V1E2	-0.326854166666667
ATP7A	-0.317229166666667
ATP7B	-0.254979166666667
ATP8B3	-0.154979166666667
ATR	0.114979166666667
AXL	-0.528395833333334
BAP1	-0.0411458333333334
BARHL1	-0.283604166666667
BATF3	-0.3906875
BCAP31	0.2245625
BECN1	0.149270833333333
BECN2	-0.266270833333333
BICD1	0.140729166666667
BICD2	0.2831875
BRD8	0.0438124999999999
BRSK1	-0.171354166666667
BRSK2	0.0101458333333332
BTBD11	-0.321729166666667
BTG1	0.1118125
BUB1B	0.350729166666667
BUB3	1.0741875
BZW1	-0.154743055555556
BZW2	-0.467020833333333
CAB39	-1.4623125
CAB39L	-0.283645833333333
CABP5	-0.2994375
CADPS	-0.0255208333333334
CADPS2	-0.340645833333333
CALY	-0.0444791666666668
CAND1	-0.0538125000000001
CAND2	-0.0797708333333334
CAP1	0.1141875
CAP2	-0.3490625
CAPN2	-0.266270833333333
CASP4	-0.305020833333333
CAT	-0.262395833333333
CAV1	-0.3450625
CAVIN1	-0.0706458333333334
CBLL1	-0.897020833333333
CBLL2	-0.393604166666667
CCDC69	-0.4540625
CCND1	0.663270833333333
CCND3	-0.3760625
CCNE1	-0.260604166666667
CCNE2	0.182770833333333
CCNL1	0.8283125
CCNL2	-0.137770833333333
CCNT1	0.157979166666667
CCNT2	0.160229166666667
CCT6A	0.559368055555555
CCT6B	-0.1453125
CD163L1	-0.455020833333333
CD44	-0.337479166666667
CD72	-0.121854166666667
CDC34	-0.110895833333333
CDIPT	0.495604166666667
CDK16	-0.2625625
CDK17	0.136729166666667
CDK19	-0.483604166666667
CDK2	0.152770833333333
CDK5R1	-0.283895833333333
CDK5R2	0.0146041666666666
CDK7	0.720979166666667
CDK8	-0.1920625
CDNF	-0.439854166666667
CDS1	-0.3460625
CDS2	0.355729166666667
CEACAM1	-0.1848125
CELA2A	-0.329895833333333
CFL1	0.00560416666666658
CHM	-0.373395833333333
CHML	-0.2573125
CHMP1A	-0.1615625
CHMP1B	-0.394520833333333
CHORDC1	0.774201388888889
CHRNB3	-0.411479166666667
CHSY1	-0.7036875
CHSY3	-0.2319375
CHUK	-0.395291666666667
CKAP5	0.770833333333333
CLASP1	0.189645833333333
CLASP2	0.1204375
CLCA1	-0.341020833333333
CLDN4	-0.3113125
CLIP4	-0.167354166666667
CLNS1A	0.676701388888889
CLTA	-0.576020833333333
CLTB	-0.2430625
CLTC	0.0790624999999999
CLTCL1	-0.4049375
CNOT6	-0.2201875
CNOT6L	-0.618104166666667
CNOT7	0.154895833333333
CNOT8	0.0340347222222221
COPA	0.8083125
COPG1	0.3086875
COPG2	-0.0534375000000001
COPS7A	-0.271854166666667
COPS7B	0.0538124999999999
COPZ1	0.252145833333333
COPZ2	-0.536479166666667
COQ10A	-0.138770833333333
COQ10B	-0.1279375
COX4I1	0.2035625
COX4I2	0.1573125
COX6B1	0.0684166666666666
