gene	BF
ABCA3	-0.365395833333333
ABCB1	-0.314520833333333
ABCC3	-0.0750624999999999
ABCG2	-0.3233125
ABL1	-0.311395833333333
ABL2	-0.0756458333333333
ABT1	0.0470625000000001
ABTB2	-0.382729166666667
ACACA	-0.253395833333333
ACACB	-0.355104166666667
ACTL6A	-0.0518541666666666
ACTL6B	-0.222895833333333
ACTL7A	-0.1566875
ADAM19	-0.383354166666667
ADAP1	0.0606041666666667
ADAP2	-0.0906041666666666
ADARB1	-0.2005625
ADARB2	-0.3573125
ADGRG7	-0.212020833333333
ADM	-0.259645833333333
ADSS	-0.116465277777778
ADSSL1	-0.4405625
AFG3L2	-0.0228541666666666
AHCYL1	-0.0423124999999999
AHCYL2	-0.137145833333333
AIPL1	-0.257145833333333
AKAP11	-0.1864375
AKIRIN1	-0.101520833333333
AKIRIN2	-0.1311875
ALAS1	-0.204375
ALAS2	-0.157979166666667
ALDOA	0.0382291666666667
ALDOC	-0.0856041666666666
ALG14	-0.290520833333333
AMELX	-0.398395833333333
ANAPC4	-0.103979166666667
ANKRD10	-0.334604166666667
ANKRD37	-0.302104166666667
ANXA1	-0.366854166666667
AOX1	-0.184520833333333
AP1G1	-0.267354166666667
AP1G2	-0.174520833333333
AP2A1	-0.352645833333333
AP2A2	-0.250979166666667
AP3M1	-0.240770833333333
AP5M1	-0.363770833333333
APH1A	-0.0953124999999999
APH1B	-0.104729166666667
APOBEC1	-0.6416875
APOBEC3C	0.0297291666666667
AQP8	-0.375104166666667
ARFGEF1	-0.0287291666666666
ARFGEF2	-0.192395833333333
ARFIP1	-0.222354166666667
ARFIP2	-0.4524375
ARHGEF3	-0.4040625
ARHGEF6	-0.3628125
ARHGEF7	-0.1373125
ARID1A	-0.3828125
ARID1B	-0.304354166666667
ARID4A	-0.205229166666667
ARPC5	-0.1568125
ARPC5L	-0.4419375
ARSJ	-0.493895833333333
ASCL1	-0.315645833333333
ASF1A	-0.177979166666667
ASF1B	-0.1116875
ATAD2	-0.191270833333333
ATAD2B	-0.169770833333333
ATM	-0.478395833333333
ATOH1	-0.170854166666667
ATP5F1A	-0.120020833333333
ATP5F1B	-0.0697708333333333
ATP5F1D	-0.192270833333333
ATP5PB	-0.302270833333333
ATP6V1B1	-0.2659375
ATP6V1B2	0.142020833333333
ATP6V1C1	-0.0932708333333333
ATP6V1C2	-0.20675
ATP6V1D	0.0322291666666667
ATP6V1E1	-0.317576388888889
ATP6V1E2	-0.119270833333333
ATP7A	-0.1500625
ATP7B	-0.148104166666667
ATP8B3	-0.186104166666667
ATR	-0.1965625
AXL	-0.323520833333333
BAP1	-0.3323125
BARHL1	-0.309854166666667
BATF3	-0.259895833333333
BCAP31	-0.1823125
BECN1	-0.179895833333333
BECN2	-0.2583125
BICD1	-0.2514375
BICD2	-0.1990625
BRD8	-0.200395833333333
BRSK1	-0.2198125
BRSK2	-0.238729166666667
BTBD11	-0.304145833333333
BTG1	-0.335395833333333
