id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
MYC	8	2.016e-05	8.8735e-05	0.094059	1	6	-1.4193	0.99959	0.99958	0.999865	1058	0	-1.4193
FNIP1	4	0.00014355	0.00061181	0.324257	2	4	-1.1537	0.99986	0.99986	0.999865	1060	0	-1.1537
RPL5	4	0.00036821	0.0015272	0.330858	3	4	-1.49	0.99963	0.99967	0.999865	1059	0	-1.49
RPL36	4	0.0004206	0.001714	0.330858	4	2	-1.3267	0.9036	0.90269	0.999865	938	0	-1.3267
FAM71A	4	0.00044466	0.0018167	0.330858	5	4	-0.96573	0.99956	0.99958	0.999865	1057	0	-0.96573
RAN	4	0.00046128	0.0018728	0.330858	6	1	0.3049	0.28912	0.31749	0.983521	339	1	0.3049
TSG101	4	0.00089357	0.0036195	0.442879	7	4	-0.85207	0.99911	0.99926	0.999865	1056	0	-0.85207
RSBN1L	4	0.0009883	0.0039557	0.442879	8	3	-1.8147	0.98651	0.98689	0.999865	1033	0	-1.8147
GSDMD	4	0.0012142	0.0048431	0.442879	9	3	-1.4567	0.95885	0.95857	0.999865	997	0	-1.4567
HTR2C	4	0.0013517	0.0053288	0.442879	10	3	-1.4072	0.90376	0.90282	0.999865	939	0	-1.4072
NCBP2	4	0.0013834	0.0054315	0.442879	11	1	0.010319	0.23703	0.27921	0.982582	301	1	0.010319
RPL14	3	0.0014346	0.0040211	0.442879	12	2	-2.1069	0.74037	0.74121	0.999865	763	0	-2.1069
RRM1	8	0.0017186	0.0082337	0.536109	13	5	-1.1321	0.99243	0.99231	0.999865	1048	0	-1.1321
ATP6V1B2	4	0.0017489	0.0068606	0.519448	14	4	-1.1686	0.99825	0.99833	0.999865	1055	0	-1.1686
E2F3	3	0.0019276	0.0053475	0.442879	15	3	-1.7653	0.99807	0.99796	0.999865	1054	0	-1.7653
TOP1	4	0.0022279	0.0083364	0.536109	16	3	-1.3277	0.98211	0.98258	0.999865	1026	0	-1.3277
SF3A1	4	0.0023048	0.008598	0.536109	17	1	0.1041	0.58351	0.58297	0.999865	604	0	0.1041
EIF3B	4	0.0028718	0.010335	0.585982	18	3	-1.5748	0.99704	0.99705	0.999865	1053	0	-1.5748
MBD3L1	4	0.0037005	0.012381	0.602243	19	2	-0.98534	0.31171	0.33464	0.983521	359	1	-0.98534
POLR2L	4	0.0041458	0.013446	0.602243	20	1	-0.16105	0.64739	0.64673	0.999865	657	0	-0.16105
GRHL2	4	0.0043297	0.013875	0.602243	21	3	-1.4599	0.073979	0.12688	0.933366	143	1	-1.4599
FANCM	4	0.004466	0.014268	0.602243	22	3	-1.2961	0.91371	0.91256	0.999865	951	0	-1.2961
CTR9	4	0.004469	0.014268	0.602243	23	3	-1.123	0.93955	0.93893	0.999865	979	0	-1.123
NRBP2	4	0.0047615	0.015052	0.602243	24	3	-1.4002	0.80124	0.80133	0.999865	841	0	-1.4002
TRRAP	4	0.005066	0.015809	0.602243	25	3	-1.4194	0.99605	0.99623	0.999865	1051	0	-1.4194
RPL31	2	0.0052986	0.010503	0.585982	26	2	-2.3473	0.99176	0.9914	0.999865	1045	0	-2.3473
RPP21	4	0.0053796	0.016575	0.602243	27	3	-1.4433	0.98518	0.98552	0.999865	1030	0	-1.4433
CHORDC1	3	0.0057994	0.015874	0.602243	28	2	-1.6245	0.90435	0.90372	0.999865	941	0	-1.6245
SLC35F3	4	0.0059842	0.018079	0.602243	29	1	0.64353	0.3756	0.38582	0.999865	410	1	0.64353
IPO7	3	0.0062809	0.016911	0.602243	30	2	-1.616	0.51774	0.51572	0.999865	537	0	-1.616
