gene	BF
ABCA3	-1.122875
ABCB1	-0.880791666666667
ABCC3	-1.31991666666667
ABCG2	0.414875
ABL1	-1.176125
ABL2	-0.121083333333333
ABT1	2.56129166666667
ABTB2	-1.42816666666667
ACACA	4.82875
ACACB	-0.249083333333333
ACTL6A	5.360875
ACTL6B	0.0691666666666666
ACTL7A	-0.456458333333333
ADAM19	-1.6335
ADAP1	0.149875
ADAP2	-0.421916666666667
ADARB1	-1.24391666666667
ADARB2	-1.58883333333333
ADGRG7	-0.629416666666667
ADM	-0.794
ADSS	-0.0705833333333334
ADSSL1	0.0289166666666666
AFG3L2	4.72358333333333
AHCYL1	3.673875
AHCYL2	-1.0845
AIPL1	-1.245375
AKAP11	-0.867
AKIRIN1	1.18304166666667
AKIRIN2	3.46745833333333
ALAS1	-1.01279166666667
ALAS2	-0.876583333333333
ALDOA	6.39583333333333
ALDOC	-0.788916666666667
ALG14	-0.300875
AMELX	-2.079875
ANAPC4	1.5625
ANKRD10	-1.42679166666667
ANKRD37	-1.441625
ANXA1	-1.009875
AOX1	-0.628416666666667
AP1G1	-0.568416666666667
AP1G2	-0.23475
AP2A1	0.0781249999999999
AP2A2	-0.92925
AP3M1	-1.10895833333333
AP5M1	-1.19629166666667
APH1A	0.425875
APH1B	1.06491666666667
APOBEC1	-1.00416666666667
APOBEC3C	-0.720041666666667
AQP8	-2.16825
ARFGEF1	-0.5285
ARFGEF2	-0.856875
ARFIP1	-0.769666666666667
ARFIP2	-0.285041666666667
ARHGEF3	-1.81183333333333
ARHGEF6	-1.03716666666667
ARHGEF7	-0.913
ARID1A	1.46070833333333
ARID1B	-1.382125
ARID4A	-0.593833333333333
ARPC5	0.0191249999999998
ARPC5L	-0.713916666666667
ARSJ	-1.02470833333333
ASCL1	-1.70633333333333
ASF1A	0.119125
ASF1B	0.376916666666667
ATAD2	-1.00579166666667
ATAD2B	-0.993875
ATM	-0.417666666666667
ATOH1	-1.38991666666667
ATP5F1A	4.11575
ATP5F1B	3.742875
ATP5F1D	1.12166666666667
ATP5PB	-0.0712083333333334
ATP6V1B1	-0.0655833333333334
ATP6V1B2	4.04470833333333
ATP6V1C1	3.605
ATP6V1C2	-0.351145833333333
ATP6V1D	3.15245833333333
ATP6V1E1	-0.036638888888889
ATP6V1E2	0.477375
ATP7A	1.15216666666667
ATP7B	-0.642375
ATP8B3	-0.663
ATR	1.79608333333333
AXL	-0.921166666666667
BAP1	1.36575
BARHL1	-1.581875
BATF3	-0.198875
BCAP31	-0.524916666666667
BECN1	1.274
BECN2	-1.02479166666667
BICD1	-0.588041666666667
BICD2	-0.586833333333333
BRD8	0.838083333333333
BRSK1	-1.24475
BRSK2	-0.982791666666667
BTBD11	-0.978458333333333
BTG1	-1.89741666666667
BUB1B	3.84545833333333
BUB3	8.77241666666666
BZW1	-0.15025
BZW2	0.0433333333333332
CAB39	-2.89516666666667
CAB39L	-0.667833333333334
CABP5	-0.304708333333333
CADPS	-1.12316666666667
CADPS2	-0.569666666666667
CALY	-0.853083333333333
CAND1	2.44716666666667
CAND2	-0.913541666666667
CAP1	-0.462958333333333
CAP2	-0.69575
CAPN2	-0.615833333333333
CASP4	-1.60458333333333
CAT	-0.909583333333333
CAV1	-0.0375833333333334
CAVIN1	-1.43266666666667
CBLL1	0.424125
CBLL2	-1.72045833333333
CCDC69	-1.06520833333333
CCND1	3.632875
CCND3	-0.857125
CCNE1	-0.644541666666667
CCNE2	-1.03608333333333
CCNL1	2.31
CCNL2	-1.55604166666667
CCNT1	-1.06595833333333
CCNT2	-1.07416666666667
CCT6A	4.23647222222222
CCT6B	0.255416666666667
CD163L1	-1.40254166666667
CD44	-1.091625
CD72	-0.880625
CDC34	-0.0881250000000001
CDIPT	4.26091666666667
CDK16	-1.44441666666667
CDK17	0.0830833333333333
CDK19	-0.763333333333333
CDK2	1.02108333333333
CDK5R1	-0.501916666666667
CDK5R2	-0.303375
CDK7	7.11079166666667
CDK8	-0.408791666666667
CDNF	-0.639
CDS1	-0.237125
CDS2	2.92191666666667
CEACAM1	-1.37545833333333
CELA2A	-1.6585
CFL1	2.03766666666667
CHM	-1.19616666666667
CHML	-0.371833333333333
CHMP1A	0.694375
CHMP1B	-1.33379166666667
CHORDC1	6.59713888888889
CHRNB3	-0.991375
CHSY1	-2.43970833333333
CHSY3	-1.20779166666667
CHUK	-0.276875
CKAP5	4.92085416666667
CLASP1	-0.490125
CLASP2	-1.00758333333333
CLCA1	-2.17691666666667
CLDN4	-0.135583333333333
CLIP4	-0.695666666666667
CLNS1A	5.53625
CLTA	-0.377291666666667
CLTB	-0.0642083333333334
