id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
RRM1	8	2.0455e-09	4.6703e-06	0.001238	1	8	-1.4219	1.0	1.0	0.999995	1060	0	-1.4219
MYC	8	5.7469e-09	4.6703e-06	0.001238	2	8	-0.94653	1.0	1.0	0.999995	1059	0	-0.94653
NAE1	8	2.6984e-08	4.6703e-06	0.001238	3	7	-0.66732	0.98775	0.98803	0.999995	967	0	-0.66732
BUB3	4	6.8033e-07	4.6703e-06	0.001238	4	4	-1.5314	1.0	1.0	0.999995	1058	0	-1.5314
CKAP5	8	5.7166e-06	1.4011e-05	0.00297	5	8	-0.8071	0.99993	0.99993	0.999995	1049	0	-0.8071
KIF11	4	5.9945e-06	2.3351e-05	0.003536	6	4	-1.295	0.99999	1.0	0.999995	1057	0	-1.295
RRM2	4	6.4565e-06	2.3351e-05	0.003536	7	3	-0.80144	0.53461	0.53356	0.999995	516	0	-0.80144
CDK7	4	1.7781e-05	7.0054e-05	0.006751	8	4	-1.164	0.99998	0.99999	0.999995	1056	0	-1.164
MTG2	4	1.9078e-05	7.0054e-05	0.006751	9	4	-0.82324	0.99998	0.99999	0.999995	1055	0	-0.82324
RPP21	4	1.9346e-05	7.0054e-05	0.006751	10	4	-1.3295	0.99998	0.99999	0.999995	1054	0	-1.3295
SF3B3	4	2.4344e-05	7.0054e-05	0.006751	11	4	-1.2932	0.99998	0.99998	0.999995	1053	0	-1.2932
RPL36	4	4.2251e-05	0.00011676	0.010314	12	4	-0.99036	0.99996	0.99996	0.999995	1052	0	-0.99036
ATP5F1A	4	4.9984e-05	0.00013544	0.011043	13	4	-0.81986	0.99995	0.99995	0.999995	1051	0	-0.81986
PRPF8	4	5.9982e-05	0.00015412	0.011669	14	4	-1.196	0.99994	0.99994	0.999995	1050	0	-1.196
ALDOA	4	6.7205e-05	0.00019148	0.013304	15	4	-1.1728	0.99993	0.99993	0.999995	1048	0	-1.1728
POLR2L	4	7.0383e-05	0.00020082	0.013304	16	4	-1.4378	0.99991	0.99991	0.999995	1044	0	-1.4378
INTS6	3	8.0916e-05	0.00022884	0.014269	17	3	-1.4699	0.99992	0.9999	0.999995	1047	0	-1.4699
SF3B1	4	8.1194e-05	0.00027555	0.015894	18	4	-0.86703	0.99992	0.99991	0.999995	1046	0	-0.86703
TOP2A	4	8.2784e-05	0.00028489	0.015894	19	4	-1.1283	0.99992	0.99991	0.999995	1045	0	-1.1283
TOMM40	7	8.7581e-05	0.00061181	0.024386	20	6	-0.68298	0.53944	0.54158	0.999995	522	1	-0.68298
VMP1	4	9.5466e-05	0.00036895	0.019095	21	4	-0.94118	0.9999	0.9999	0.999995	1043	0	-0.94118
SF3A1	4	9.9526e-05	0.00037829	0.019095	22	3	-1.1949	0.93041	0.92968	0.999995	898	0	-1.1949
CCND1	4	0.00010662	0.00040631	0.019577	23	4	-0.75928	0.99989	0.99989	0.999995	1042	0	-0.75928
NAA10	4	0.00011929	0.00046236	0.021309	24	4	-1.0002	0.99946	0.99949	0.999995	1023	0	-1.0002
STT3B	4	0.0001219	0.00049038	0.021658	25	4	-0.69814	0.99988	0.99987	0.999995	1041	0	-0.69814
AKIRIN2	4	0.00013526	0.00058378	0.024386	26	4	-0.65659	0.99986	0.99986	0.999995	1040	0	-0.65659
PPP4C	4	0.00014598	0.00062115	0.024386	27	4	-0.91892	0.99985	0.99986	0.999995	1039	0	-0.91892
TOMM22	4	0.00017208	0.00076126	0.028819	28	4	-0.84085	0.99983	0.99986	0.999995	1038	0	-0.84085
ATP6V1C1	4	0.00018344	0.00084532	0.030501	29	4	-0.71972	0.99982	0.99984	0.999995	1037	0	-0.71972
COPA	4	0.00018636	0.000864	0.030501	30	4	-1.551	0.99981	0.99984	0.999995	1036	0	-1.551
