gene	OMM25.D28A	OMM25.D28B	OMM25.D28C	OMM25.D42A	OMM25.D42B	OMM25.D42C
ABCA3	-0.0400537107973203	0.00618166154910049	0.0443145801839748	-0.0871354662720958	0.0178887367595318	-0.010142768393069
ABCB1	-0.0525881106896145	-0.051908773751589	-0.0513844486160086	-0.130057197149507	0.0197786634798961	-0.0913751209837414
ABCC3	-0.0951071411471786	-0.0322887904707068	0.0572150925505955	-0.123031817808731	0.0962191537418591	0.139054524288606
ABCG2	-0.344087322342338	-0.276908167230996	-0.178789805265885	-0.246028829640341	-0.292163564376383	-0.186673090425806
ABL1	0.00412327213867268	-0.131248711802531	-0.00567388122981716	0.0666693757266285	-0.0481369989325887	0.0253814051399675
ABL2	-0.130707055162287	-0.217804825172065	-0.174325090814701	-0.141291745075312	-0.205743311132092	-0.181290054567537
ABT1	-0.771784395396311	-0.461516716037523	-0.509733824386496	-0.751908111640361	-0.481912292531157	-0.512362936225918
ABTB2	0.015433954514095	0.11949903834825	-0.0198735341405314	-0.0920181001276945	0.129391624708426	0.0492783847216243
ACACA	-0.823682176780622	-0.755585980712496	-0.983822961975697	-0.898526184872297	-1.01970540079749	-1.32295512435249
ACACB	-0.163312470871119	-0.0699643635410345	-0.177350749343095	-0.244602983397162	-0.0649361495415773	-0.212076519983008
ACTL6A	-0.744859050387155	-0.995057508147383	-1.06096779129911	-0.80644146533024	-1.15826460574324	-1.28947165183539
ACTL6B	-0.135017780508249	-0.181026528567669	-0.214510175605134	-0.194612083170759	-0.176248307425596	-0.238813391302268
ACTL7A	-0.127139269979479	0.0251841596756239	-0.0185606165987533	-0.355804565024578	0.0585031921319112	-0.255025010867527
ADAM19	0.11737773266383	0.049991446347367	0.0481264244496197	0.171572493544865	0.0173293756156658	-0.00530420672382488
ADAP1	-0.18406175921794	-0.211545158458296	-0.128515515611679	-0.240954261272702	-0.294825238658455	-0.155470625762705
ADAP2	-0.226014385232893	-0.0164820733927352	-0.0203198023573806	-0.188931069660323	-0.149889052166982	-0.0806526402105207
ADARB1	-0.0497051331119722	0.0453786130309536	-0.0263722714485416	-0.0119439610204049	0.0813202696279024	-0.00568597611840792
ADARB2	0.0134972746376515	0.0774642417807551	0.0691474164070056	-0.0555852539915971	0.0883012373768943	0.165330458822835
ADGRG7	-0.226007037064192	0.0263932438739303	-0.0550425881244882	-0.127260574723409	-0.0247565998648405	-0.103268108846892
ADM	-0.00808166056654423	-0.167553050407114	-0.0721968017351366	0.09199913585549	-0.0739108081497404	-0.140657724612264
ADSS	-0.252145180052663	-0.115262724434818	-0.164939289534729	-0.0824574272678935	-0.191410829013908	-0.243079624734012
ADSSL1	-0.0939854297307008	-0.189112830218742	-0.143394767892464	-0.214145108297623	-0.304949544991432	-0.195545267892731
