gene	BF
ABCA3	-1.01685416666667
ABCB1	-2.1983125
ABCC3	-0.7818125
ABCG2	-1.56602083333333
ABL1	-1.33402083333333
ABL2	-0.1571875
ABT1	1.0808125
ABTB2	-0.440979166666667
ACACA	-1.06214583333333
ACACB	-1.40022916666667
ACTL6A	0.8785625
ACTL6B	-0.369729166666667
ACTL7A	-0.0997708333333335
ADAM19	-1.31435416666667
ADAP1	-0.158770833333334
ADAP2	-0.603645833333334
ADARB1	-1.5431875
ADARB2	-1.34052083333333
ADGRG7	-0.645145833333334
ADM	-0.00960416666666687
ADSS	-0.904965277777778
ADSSL1	-0.757520833333334
AFG3L2	-0.120354166666667
AHCYL1	0.4948125
AHCYL2	-1.90085416666667
AIPL1	-1.45185416666667
AKAP11	-0.622979166666667
AKIRIN1	0.0264374999999998
AKIRIN2	0.463020833333333
ALAS1	-1.70316666666667
ALAS2	-1.38614583333333
ALDOA	1.58502083333333
ALDOC	-0.4151875
ALG14	-1.33477083333333
AMELX	-1.67760416666667
ANAPC4	-0.615354166666667
ANKRD10	-0.630020833333334
ANKRD37	-1.24352083333333
ANXA1	-1.97485416666667
AOX1	-1.62552083333333
AP1G1	-1.01522916666667
AP1G2	-1.00327083333333
AP2A1	0.8321875
AP2A2	-1.2110625
AP3M1	-0.371479166666667
AP5M1	-1.16227083333333
APH1A	-1.11964583333333
APH1B	-1.23160416666667
APOBEC1	-0.6308125
APOBEC3C	-0.7131875
AQP8	-1.7430625
ARFGEF1	-0.963979166666667
ARFGEF2	-0.6628125
ARFIP1	-1.77135416666667
ARFIP2	-0.598770833333334
ARHGEF3	-1.18247916666667
ARHGEF6	-2.58272916666667
ARHGEF7	-0.375895833333334
ARID1A	-0.387645833333334
ARID1B	-0.5830625
ARID4A	-1.52202083333333
ARPC5	-0.129229166666667
ARPC5L	-0.4884375
ARSJ	-0.858145833333334
ASCL1	-0.4461875
ASF1A	-0.768479166666667
ASF1B	-0.1889375
ATAD2	-1.18697916666667
ATAD2B	-1.51364583333333
ATM	-1.16327083333333
ATOH1	-0.935104166666667
ATP5F1A	0.130479166666666
ATP5F1B	1.65985416666667
ATP5F1D	0.910854166666667
ATP5PB	-0.362145833333334
ATP6V1B1	-1.13789583333333
ATP6V1B2	1.39247916666667
ATP6V1C1	0.8774375
ATP6V1C2	-0.509770833333334
ATP6V1D	0.0545624999999998
ATP6V1E1	-1.87013194444444
ATP6V1E2	-1.16064583333333
ATP7A	-4.25510416666667
ATP7B	-1.54110416666667
ATP8B3	-1.13927083333333
ATR	-0.302979166666667
AXL	-1.35522916666667
BAP1	-1.03497916666667
BARHL1	-0.644145833333334
BATF3	-0.541020833333334
BCAP31	-0.9344375
BECN1	-0.9374375
BECN2	-1.20002083333333
BICD1	-0.00872916666666688
BICD2	-0.0781458333333335
BRD8	-0.269020833333334
BRSK1	-1.1268125
BRSK2	0.3771875
BTBD11	-0.555395833333334
BTG1	-0.583979166666667
BUB1B	-0.136479166666667
BUB3	3.1503125
BZW1	-0.397131944444445
BZW2	-0.0547708333333335
CAB39	-1.95947916666667
CAB39L	-1.08572916666667
CABP5	-0.231729166666667
CADPS	-0.812020833333334
CADPS2	-1.9103125
CALY	-0.632895833333334
CAND1	-0.356604166666667
CAND2	-0.8640625
CAP1	-0.866729166666667
CAP2	-0.477520833333334
CAPN2	-0.453020833333334
CASP4	-1.20297916666667
CAT	-1.69072916666667
CAV1	-1.44297916666667
CAVIN1	-0.0172291666666668
CBLL1	-1.01085416666667
CBLL2	-1.49210416666667
CCDC69	-1.5201875
CCND1	2.81089583333333
CCND3	1.1093125
CCNE1	-1.0908125
CCNE2	-1.12339583333333
CCNL1	-0.8780625
CCNL2	-1.01402083333333
CCNT1	0.495104166666666
CCNT2	0.0472291666666665
CCT6A	-0.415631944444445
CCT6B	-0.942770833333334
CD163L1	-1.83677083333333
CD44	-1.0755625
CD72	-1.30839583333333
CDC34	-0.770604166666667
CDIPT	-0.330145833333333
CDK16	-2.26485416666667
CDK17	-2.28714583333333
CDK19	-1.4443125
CDK2	0.755770833333333
CDK5R1	-0.0258958333333335
CDK5R2	-0.00256250000000019
CDK7	1.5405625
CDK8	0.1750625
CDNF	-1.09389583333333
CDS1	-1.57852083333333
CDS2	-0.0935625000000002
CEACAM1	-0.8718125
CELA2A	-1.13922916666667
CFL1	-0.395145833333333
CHM	-1.8513125
CHML	-1.64002083333333
CHMP1A	0.0583958333333331
CHMP1B	-1.2110625
CHORDC1	2.60959027777778
CHRNB3	-1.09002083333333
CHSY1	-1.8386875
CHSY3	-0.499020833333334
CHUK	-0.4573125
CKAP5	0.574270833333333
CLASP1	-0.542354166666667
CLASP2	-1.45027083333333
CLCA1	-1.22985416666667
CLDN4	-0.547979166666667
CLIP4	-2.03302083333333
CLNS1A	1.63864583333333
CLTA	0.171979166666666
CLTB	-0.6268125
CLTC	1.63597916666667
CLTCL1	-1.56089583333333
CNOT6	-0.8079375
CNOT6L	-1.8361875
CNOT7	-0.0153125000000003
CNOT8	-1.25474305555556
COPA	1.67947916666667
COPG1	-1.0415625
COPG2	-1.0829375
COPS7A	-0.5751875
COPS7B	-0.295270833333334
COPZ1	-0.545729166666667
COPZ2	-1.2175625
COQ10A	-0.0548958333333335
COQ10B	-0.964854166666667
COX4I1	-0.1741875
COX4I2	-0.723895833333334
COX6B1	-0.202041666666667
COX6B2	-0.220604166666667
CPS1	-1.61214583333333
CPSF3	0.245104166666666
CREBBP	-1.2784375
CRK	-0.3941875
CRKL	-1.18989583333333
CRNN	-0.896270833333334
CRX	-1.4194375
CRY1	-0.532729166666667
CRY2	0.5126875
CRYBB2	-1.1115625
CSTF2	-1.08497916666667
CSTF2T	-1.2099375
CTCFL	-1.52302083333333
CTNNB1	-2.1791875
CTPS1	-0.320895833333334
CTPS2	-0.3469375
CTR9	0.567020833333333
CTSZ	-0.713479166666667
CWF19L1	-0.1723125
CYFIP1	-1.35222916666667
CYFIP2	-1.0130625
CYP26C1	-1.16114583333333
CYP2A6	-1.83889583333333
CYP2C8	-2.30139583333333
CYP7A1	-0.00110416666666684
DBT	-1.17277083333333
DCAF4L2	-1.8958125
DCAF8L1	-1.6254375
DDI1	-1.3229375
DDI2	-2.04589583333333
DDX17	-1.31797916666667
DDX39A	-1.8101875
DDX39B	-1.01602083333333
DDX5	-0.0638125000000001
DEGS1	-1.47935416666667
DEGS2	-1.12202083333333
DENND5A	-1.00664583333333
DENND5B	-2.34597916666667
DGAT1	-0.0857708333333335
DGAT2L6	-1.6391875
DGKI	-0.765395833333334
DGKZ	1.10659027777778
DHX29	-0.105631944444445
DHX9	0.839923611111111
DLL1	-1.6138125
DLL4	-0.961270833333334
DMD	-1.1718125
DMP1	-1.28139583333333
DMXL1	-0.973979166666667
DMXL2	-0.157729166666667
DNAJC15	-1.63147916666667
DNAJC19	-1.67390972222222
DPCR1	-1.33364583333333
DRD3	-1.6049375
DST	-0.659479166666667
DUOX1	-1.2260625
DUOX2	-1.19939583333333
DUSP10	-0.980145833333334
DYNC1LI1	-1.6221875
DYNC1LI2	-1.02827083333333
DYNLRB1	1.48120138888889
DYNLRB2	-1.96785416666667
DYNLT1	-1.92497916666667
DYNLT3	-1.33989583333333
DZIP1L	-1.90114583333333
DZIP3	-1.60314583333333
E2F3	3.57542361111111
E2F4	-0.364354166666667
EAF1	0.473729166666666
EAF2	-1.65297916666667
EEFSEC	-1.35914583333333
EFNB1	-1.24222916666667
EFR3A	-0.522979166666667
EFR3B	-0.662520833333333
EGFR	-1.36722916666667
EIF3B	0.567770833333333
EIF3J	0.927270833333333
EIF3L	-0.0874375000000002
EIF4A3	-0.489270833333334
ELL	1.14610416666667
ELL2	-1.23810416666667
ENOX1	-1.52947916666667
ENOX2	-2.02697916666667
EP300	-1.2190625
EPC1	-0.968479166666667
EPC2	0.456229166666666
EPHA2	-1.17814583333333
EPHA3	-1.58660416666667
EPS15	0.5420625
EPS15L1	-0.3518125
ERBB3	-0.257145833333334
ERC1	-1.3985625
ERC2	-1.26927083333333
ERH	-1.8216875
ERN1	-1.24777083333333
ERN2	-1.61602083333333
ERO1A	-1.68602083333333
ERO1B	-0.327770833333334
ESRP1	0.339270833333333
ESRP2	-0.855354166666667
EXOC6	-1.72877083333333
EXOC6B	-1.16739583333333
EZH1	-0.292395833333334
EZH2	-1.86214583333333
FAM126A	-1.43385416666667
