id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
MYC	8	4.2415e-10	4.6703e-06	0.002475	1	8	-1.2604	1.0	1.0	0.999995	1060	0	-1.2604
RRM2	4	7.1805e-07	4.6703e-06	0.002475	2	3	-1.3455	0.59158	0.59118	0.999995	607	0	-1.3455
RRM1	8	3.6564e-06	1.4011e-05	0.003713	3	8	-1.4074	0.99988	0.99989	0.999995	1052	0	-1.4074
MTG2	4	4.6681e-06	1.4011e-05	0.003713	4	4	-1.0689	1.0	1.0	0.999995	1059	0	-1.0689
POLR2L	4	1.4283e-05	6.0714e-05	0.01052	5	4	-1.3997	0.99999	0.99999	0.999995	1058	0	-1.3997
PRKDC	8	1.9074e-05	0.00011676	0.012376	6	7	-0.81371	0.96157	0.96139	0.999995	970	0	-0.81371
BUB3	4	2.0856e-05	7.0054e-05	0.01052	7	4	-1.4375	0.99992	0.99992	0.999995	1054	0	-1.4375
RPP21	4	2.309e-05	7.0054e-05	0.01052	8	4	-1.3312	0.99998	0.99998	0.999995	1057	0	-1.3312
E2F3	3	3.552e-05	7.9395e-05	0.01052	9	3	-1.6193	0.99996	0.99996	0.999995	1056	0	-1.6193
PRPF8	4	3.5877e-05	9.8076e-05	0.011551	10	4	-1.2602	0.99996	0.99996	0.999995	1055	0	-1.2602
CCND1	4	7.0383e-05	0.00020082	0.019352	11	4	-1.304	0.99991	0.99991	0.999995	1053	0	-1.304
NAE1	8	8.042e-05	0.00050906	0.044967	12	7	-0.74661	0.24335	0.24215	0.999995	246	0	-0.74661
ALDOA	4	0.00015355	0.00063049	0.051409	13	3	-1.0111	0.75059	0.7507	0.999995	740	0	-1.0111
HRAS	4	0.00016525	0.00070521	0.052475	14	4	-0.74281	0.99983	0.99986	0.999995	1051	0	-0.74281
PPP4C	4	0.00016955	0.00074257	0.052475	15	3	-1.0102	0.89588	0.89519	0.999995	883	0	-1.0102
KIF11	4	0.00018199	0.00082664	0.054765	16	4	-1.0693	0.99982	0.99984	0.999995	1050	0	-1.0693
CCND3	4	0.00021925	0.00092004	0.056931	17	4	-0.81778	0.99978	0.9998	0.999995	1049	0	-0.81778
CHORDC1	3	0.00031354	0.00096675	0.056931	18	3	-1.0712	0.99969	0.99972	0.999995	1048	0	-1.0712
NMT1	4	0.00033505	0.0013591	0.072525	19	4	-0.93931	0.99966	0.99971	0.999995	1047	0	-0.93931
TOP1MT	4	0.00033859	0.0013684	0.072525	20	3	-0.97546	0.56651	0.56623	0.999995	581	0	-0.97546
TIMM10	4	0.00035134	0.0014525	0.073314	21	4	-0.8352	0.99965	0.99969	0.999995	1046	0	-0.8352
LDB1	8	0.00035787	0.0022931	0.105682	22	7	-0.80202	0.95178	0.95167	0.999995	957	0	-0.80202
SOX9	4	0.00055544	0.0022838	0.105682	23	4	-0.66293	0.99944	0.99948	0.999995	1045	0	-0.66293
RHBDF1	4	0.0008653	0.00347	0.142612	24	4	-0.72832	0.99913	0.99928	0.999995	1044	0	-0.72832
RPS5	4	0.00086587	0.0034887	0.142612	25	3	-0.81828	0.90328	0.90241	0.999995	897	0	-0.81828
MRPL41	4	0.00086702	0.003498	0.142612	26	4	-1.0552	0.99207	0.99245	0.999995	1015	0	-1.0552
CLTC	4	0.00090629	0.0036848	0.144664	27	4	-0.95782	0.99654	0.99658	0.999995	1031	0	-0.95782
SF3B1	4	0.0011202	0.0044695	0.164732	28	3	-0.83482	0.56995	0.56972	0.999995	585	0	-0.83482
MRPL38	4	0.0011283	0.0045068	0.164732	29	4	-0.83528	0.99887	0.99904	0.999995	1043	0	-0.83528
SLC25A37	4	0.001222	0.0048711	0.172112	30	4	-1.0374	0.99878	0.99892	0.999995	1042	0	-1.0374
