gene	X921.D28A	X921.D28B	X921.D28C	X921.D42A	X921.D42B	X921.D42C
ABCA3	-0.267033413900843	-0.348646331119436	-0.254712933503355	-0.234418091178848	-0.349346509539878	-0.187952357930667
ABCB1	-0.00763578747762355	0.0383605423465265	-0.115512000218212	0.0995412387748055	-0.00124615436570289	-0.0537566241954216
ABCC3	-0.310578611342344	-0.340238693742268	-0.32410232684014	-0.357889577128177	-0.262586319583759	-0.483108816579644
ABCG2	-0.0809117962405196	-0.220822755107517	-0.0881087806707932	-0.157251319344306	-0.300161059825069	0.0647464611479673
ABL1	-0.157763766124147	-0.229106945009092	-0.16933362955002	-0.179195297830223	-0.262854901997621	-0.141822282511706
ABL2	-0.491799217227791	-0.451179176142968	-0.472856955512043	-0.747950499394418	-0.373943676319009	-0.47773127404952
ABT1	-0.715899215495686	-0.67198335816887	-0.784004436562489	-0.936878098993108	-0.918805583752661	-0.953226655364275
ABTB2	-0.346292894142546	-0.356365824646449	-0.613303015323012	-0.452284063118264	-0.262942021092926	-0.556821900194165
ACACA	-0.483911809526593	-0.297259340223486	-0.305116959213798	-0.327162725979657	-0.106305079243033	-0.18487669110199
ACACB	-0.177191961486447	-0.151932815959754	-0.270019450967925	-0.259317914223477	-0.0738404743530555	-0.292895487481428
ACTL6A	-0.693939837794845	-0.711534002604102	-0.606784401640678	-0.69317732676273	-1.00318199635036	-0.957275748737027
ACTL6B	-0.411884784710464	-0.318970736813915	-0.513244155598712	-0.547833963757875	-0.272165353812226	-0.636325378876554
ACTL7A	-0.434896343825202	-0.486841742530128	-0.627750148755678	-0.153808274936122	-0.581363167805494	-0.801391689572954
ADAM19	-0.230244928466785	-0.161388638022913	-0.185270955161515	-0.291520493414188	-0.304046472051491	-0.180094288469084
ADAP1	-0.42219294599354	-0.459189832178731	-0.492603479863337	-0.58630594229021	-0.587328636464683	-0.445596360419577
ADAP2	-0.321697382659487	-0.315707884745525	-0.31333662878441	-0.420987939378994	-0.380862857187837	-0.54192661408471
ADARB1	-0.104254202380567	-0.108342755729654	-0.144904991386358	-0.155420804313581	-0.233504969455469	-0.193691040992632
ADARB2	-0.244620335914438	-0.244213449215096	-0.248786157805945	-0.106357755960181	-0.115163101428819	-0.304388151689675
ADGRG7	-0.252703891715604	-0.346342777792741	-0.267743309019018	-0.488910924896965	-0.494932165418492	-0.382865375602244
ADM	-0.599269459554811	-0.489745298714734	-0.475070008037642	-0.814643867889447	-0.493777340600603	-0.378055630381995
ADSS	-0.223014753531672	-0.258885646276284	-0.287403866886556	-0.331787940477263	-0.428662388857528	-0.290291193324085
ADSSL1	-0.366752695545293	-0.307359992006076	-0.339501071681171	-0.564082485680374	-0.176062733980197	-0.300837560268012
AFG3L2	-0.4051597053963	-0.603489188262591	-0.386751519760451	-0.51774543125738	-0.859446307134834	-0.349503182881496
AHCYL1	-0.67880273453922	-0.548894933209712	-0.592218187186309	-0.627711422472439	-0.66856829053863	-0.871007597340169
AHCYL2	-0.10254367192804	-0.0756949725498974	-0.160750967272182	-0.143603893576084	0.00614968307749009	0.0316036811358138
AIPL1	-0.206919063306812	-0.0961942183880581	-0.234976778136327	-0.287354866360838	0.00450638604977965	-0.298505493809721
AKAP11	-0.441984496383009	-0.369345693612843	-0.325097731222784	-0.525316245873014	-0.401022351727636	-0.253266596056971
AKIRIN1	-0.345143346036536	-0.451176010149673	-0.66995492788033	-0.576956537047416	-0.484598377675438	-0.81208232930019
AKIRIN2	-0.605718089799794	-0.653974772651468	-0.598766034056771	-0.932111676703803	-0.775109399745835	-0.461992998553701
ALAS1	-0.0928849169312033	-0.124060316850093	-0.10984600143189	-0.0382572852534521	-0.143340358947633	-0.0414100459753138
ALAS2	-0.0968313113915505	-0.271559548703957	-0.215722343942427	-0.161498328419773	-0.232759747347974	-0.244630717836533
ALDOA	-0.774324469397789	-1.08150586974389	-0.755530498919646	-1.16540924649309	-1.27855665866002	-0.677213046968053
ALDOC	-0.445751763597059	-0.305633982966084	-0.450902691454282	-0.544795546593705	-0.29514621934569	-0.557107754303203
ALG14	-0.135121757774077	-0.20555891847589	-0.119747919212906	-0.156267855464012	-0.324767296590172	-0.35366130731798
AMELX	-0.168194577054892	-0.0666003879267435	-0.0797948517909323	-0.198216751220144	-0.105284592179612	-0.0942594779190257
ANAPC4	-0.328080262691754	-0.380674008866937	-0.315821185752334	-0.445592690748956	-0.384284972578233	-0.535486512141318
ANKRD10	-0.427457936761094	-0.322188279329233	-0.364483561817419	-0.598184048890107	-0.234378439201761	-0.306291379983203
ANKRD37	-0.190172967207328	-0.251878772261032	-0.199775067869738	-0.162654778938563	-0.310783693441512	-0.317097232656315
ANXA1	0.0854915947203847	-0.0817668681595527	-0.0234302687199895	0.0902172982231938	-0.214144126873931	-0.187989139156566
AOX1	-0.110021033792852	-0.315596855204452	-0.0703015503985117	0.0363678206605816	-0.298532945197409	-0.132453211360372
AP1G1	-0.324798711967141	-0.216858817746807	-0.279502075549112	-0.305802351265643	-0.239103835457552	-0.281992837994103
AP1G2	-0.282300738655604	-0.255909959340722	-0.178040113668408	-0.388771257865665	-0.421876973152114	-0.266263060819325
AP2A1	-0.774276023792064	-0.792864933691998	-0.56735542917782	-1.03193988034721	-0.901649050333383	-0.513755650590269
