gene	BF
ABCA3	-0.262041666666667
ABCB1	-1.64725
ABCC3	-0.807041666666667
ABCG2	-1.64304166666667
ABL1	-1.4405
ABL2	-0.404291666666667
ABT1	3.45466666666667
ABTB2	-0.302375
ACACA	0.469833333333333
ACACB	-1.23095833333333
ACTL6A	3.14266666666667
ACTL6B	-1.28845833333333
ACTL7A	-0.377375
ADAM19	-1.93083333333333
ADAP1	0.616625
ADAP2	-0.0925833333333334
ADARB1	-1.29429166666667
ADARB2	-0.64475
ADGRG7	-1.310125
ADM	-0.751958333333333
ADSS	-0.705319444444445
ADSSL1	-0.404875
AFG3L2	3.75023611111111
AHCYL1	3.63970833333333
AHCYL2	-1.00216666666667
AIPL1	-0.469791666666667
AKAP11	-1.02495833333333
AKIRIN1	-0.0330833333333334
AKIRIN2	2.34358333333333
ALAS1	-0.279041666666667
ALAS2	-1.52475
ALDOA	5.08508333333333
ALDOC	-0.465291666666667
ALG14	-0.651916666666667
AMELX	-1.4655
ANAPC4	0.150291666666667
ANKRD10	-1.60183333333333
ANKRD37	-1.31783333333333
ANXA1	-2.037375
AOX1	-0.915625
AP1G1	-0.318958333333333
AP1G2	-0.905208333333333
AP2A1	-0.441416666666667
AP2A2	-1.72125
AP3M1	-0.894083333333333
AP5M1	-1.02975
APH1A	1.04541666666667
APH1B	-1.18129166666667
APOBEC1	-0.944208333333333
APOBEC3C	-1.12
AQP8	-1.444875
ARFGEF1	-0.491041666666667
ARFGEF2	0.363333333333333
ARFIP1	-1.939875
ARFIP2	-1.76579166666667
ARHGEF3	-1.07666666666667
ARHGEF6	-1.37479166666667
ARHGEF7	-0.681125
ARID1A	1.21983333333333
ARID1B	-0.750041666666667
ARID4A	0.337625
ARPC5	-1.207125
ARPC5L	-0.358375
ARSJ	-0.976291666666667
ASCL1	-0.794166666666667
ASF1A	-1.23183333333333
ASF1B	-0.838041666666667
ATAD2	-0.560833333333333
ATAD2B	-1.57825
ATM	-1.552
ATOH1	-1.30183333333333
ATP5F1A	3.04325
ATP5F1B	3.42975
ATP5F1D	2.47320833333333
ATP5PB	0.176958333333333
ATP6V1B1	-0.720833333333333
ATP6V1B2	7.380375
ATP6V1C1	1.446
ATP6V1C2	-0.8964375
ATP6V1D	1.65504166666667
ATP6V1E1	-0.239930555555556
ATP6V1E2	-0.112583333333333
ATP7A	1.092125
ATP7B	-1.464
ATP8B3	-0.616041666666667
ATR	1.513375
AXL	-1.30208333333333
BAP1	-1.1505
BARHL1	-0.551083333333333
BATF3	-1.15783333333333
BCAP31	-0.513166666666667
BECN1	0.593625
BECN2	-1.33420833333333
BICD1	-0.144791666666667
BICD2	0.427708333333333
BRD8	-0.727708333333333
BRSK1	-0.859041666666667
BRSK2	-0.10325
BTBD11	-0.777458333333333
BTG1	-1.08258333333333
BUB1B	1.7975
BUB3	7.6935
BZW1	-0.440986111111111
BZW2	0.264791666666667
CAB39	0.1265
CAB39L	-1.260125
CABP5	-0.061625
CADPS	-0.882916666666667
CADPS2	-1.60341666666667
CALY	-0.906625
CAND1	2.20316666666667
CAND2	-1.0205
CAP1	1.17954166666667
CAP2	-1.12204166666667
CAPN2	-1.04054166666667
CASP4	-1.12429166666667
CAT	-1.04491666666667
CAV1	-1.30341666666667
CAVIN1	-1.05754166666667
CBLL1	-0.257666666666667
CBLL2	-1.12158333333333
CCDC69	-1.488
CCND1	7.086375
CCND3	-0.066875
CCNE1	-0.29975
CCNE2	1.22495833333333
CCNL1	-1.021375
CCNL2	-0.876541666666667
CCNT1	-0.404666666666667
CCNT2	0.183666666666667
CCT6A	1.44540277777778
CCT6B	-1.21833333333333
CD163L1	-1.35075
CD44	0.129083333333333
CD72	-1.183875
CDC34	-1.04595833333333
CDIPT	4.12554166666667
CDK16	-1.12520833333333
CDK17	-1.650125
CDK19	-1.190625
