id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
MYC	8	2.5248e-09	4.6703e-06	0.000825	1	8	-1.1853	1.0	1.0	0.999995	1057	0	-1.1853
RRM1	8	8.1119e-08	4.6703e-06	0.000825	2	8	-1.5187	0.99995	0.99993	0.999995	1052	0	-1.5187
CCND1	4	6.1709e-07	4.6703e-06	0.000825	3	4	-1.5504	1.0	1.0	0.999995	1060	0	-1.5504
PRPF8	4	1.1352e-06	4.6703e-06	0.000825	4	4	-1.3837	1.0	1.0	0.999995	1059	0	-1.3837
BUB3	4	1.3403e-06	4.6703e-06	0.000825	5	4	-1.802	1.0	1.0	0.999995	1058	0	-1.802
NAE1	8	1.7114e-06	4.6703e-06	0.000825	6	7	-0.66251	0.96825	0.96811	0.999995	950	0	-0.66251
COPA	4	3.6516e-06	1.4011e-05	0.00165	7	4	-1.5665	1.0	1.0	0.999995	1056	0	-1.5665
RRM2	4	3.907e-06	1.4011e-05	0.00165	8	2	-1.0397	0.57288	0.57267	0.999995	545	0	-1.0397
ATP6V1B2	4	4.0525e-06	1.4011e-05	0.00165	9	4	-1.6066	1.0	1.0	0.999995	1055	0	-1.6066
POLR2L	4	1.7281e-05	7.0054e-05	0.007426	10	4	-1.6599	0.99998	0.99999	0.999995	1054	0	-1.6599
SF3B3	4	4.2736e-05	0.00011676	0.011251	11	4	-1.3119	0.99996	0.99996	0.999995	1053	0	-1.3119
UQCRC1	4	6.4507e-05	0.00018214	0.015613	12	4	-0.60981	0.99994	0.99993	0.999995	1051	0	-0.60981
KIF11	4	6.8585e-05	0.00019148	0.015613	13	4	-1.1391	0.99993	0.99993	0.999995	1050	0	-1.1391
KIF4A	4	9.1951e-05	0.00036895	0.024231	14	4	-0.72443	0.99991	0.9999	0.999995	1049	0	-0.72443
NDUFB4	4	0.00010759	0.00040631	0.024231	15	4	-0.92925	0.99989	0.99989	0.999995	1048	0	-0.92925
TSG101	4	0.00011154	0.00041565	0.024231	16	4	-0.85424	0.99989	0.99989	0.999995	1047	0	-0.85424
EAF1	4	0.00011356	0.000425	0.024231	17	4	-1.0612	0.99989	0.99989	0.999995	1046	0	-1.0612
PPP4C	4	0.00011413	0.000425	0.024231	18	4	-0.96301	0.99985	0.99986	0.999995	1043	0	-0.96301
MTHFD1	4	0.0001156	0.00043434	0.024231	19	4	-0.84161	0.99988	0.99989	0.999995	1045	0	-0.84161
SMARCA4	4	0.00012732	0.00054642	0.02896	20	4	-1.0847	0.99689	0.99694	0.999995	1012	0	-1.0847
ZNF407	4	0.00013526	0.00058378	0.029467	21	4	-1.3832	0.99986	0.99986	0.999995	1044	0	-1.3832
NKAP	4	0.00016795	0.00073323	0.035084	22	4	-0.69368	0.99983	0.99986	0.999995	1042	0	-0.69368
ALDOA	4	0.00022806	0.00095741	0.042285	23	3	-1.3102	0.78482	0.78526	0.999995	757	0	-1.3102
INTS6	3	0.00024566	0.00076126	0.035084	24	3	-1.3829	0.99975	0.99977	0.999995	1041	0	-1.3829
TOP2A	4	0.0002563	0.0011255	0.045655	25	4	-0.85676	0.99974	0.99976	0.999995	1040	0	-0.85676
ATP5F1B	4	0.00026386	0.0011536	0.045655	26	4	-0.67145	0.99974	0.99975	0.999995	1039	0	-0.67145
PDCD6IP	4	0.00026964	0.0011629	0.045655	27	4	-0.80391	0.99973	0.99974	0.999995	1038	0	-0.80391
MORF4L2	4	0.00030632	0.0012843	0.047969	28	4	-0.78893	0.99969	0.99972	0.999995	1037	0	-0.78893
SF3B1	4	0.000376	0.0015459	0.052859	29	4	-0.9721	0.97954	0.97969	0.999995	969	0	-0.9721
MED18	8	0.00038854	0.0024612	0.068656	30	6	-0.76666	0.58857	0.58849	0.999995	562	0	-0.76666
MTG2	4	0.00039854	0.0016673	0.055229	31	4	-0.75196	0.9996	0.99961	0.999995	1036	0	-0.75196
E2F3	3	0.00041558	0.0013123	0.047969	32	3	-0.73948	0.99958	0.99959	0.999995	1035	0	-0.73948
MAT2A	4	0.00045895	0.0018634	0.058969	33	4	-0.84829	0.99954	0.99957	0.999995	1034	0	-0.84829
SF3A1	4	0.00046661	0.0018915	0.058969	34	3	-1.2056	0.77322	0.77388	0.999995	745	0	-1.2056
MRPL38	4	0.00047656	0.0019475	0.058982	35	4	-0.61035	0.99952	0.99956	0.999995	1033	0	-0.61035
RPL13	3	0.00048034	0.0014431	0.05099	36	3	-1.0354	0.99952	0.99952	0.999995	1032	0	-1.0354
RPL3	7	0.00050215	0.0033019	0.081395	37	5	-0.87789	0.81611	0.81864	0.999995	783	0	-0.87789
CDIPT	4	0.0005172	0.002097	0.061744	38	4	-0.90359	0.9766	0.97676	0.999995	963	0	-0.90359
SNRPD3	4	0.00059229	0.0024145	0.068656	39	3	-1.4498	0.94935	0.94895	0.999995	923	0	-1.4498
SBNO1	4	0.00064659	0.002648	0.071973	40	3	-1.2244	0.26012	0.25903	0.999995	256	0	-1.2244
CDK7	4	0.00068732	0.0028068	0.074381	41	4	-1.326	0.99885	0.999	0.999995	1026	0	-1.326
TOP1	4	0.00075047	0.0030123	0.07788	42	4	-1.0173	0.99925	0.99934	0.999995	1031	0	-1.0173
RPS19	4	0.00077375	0.0030964	0.078147	43	4	-1.0602	0.999	0.99915	0.999995	1028	0	-1.0602
VMP1	4	0.00092253	0.0037502	0.090347	44	4	-0.87774	0.99908	0.99925	0.999995	1030	0	-0.87774
CTR9	4	0.00096223	0.0038997	0.090723	45	4	-0.79992	0.99904	0.99921	0.999995	1029	0	-0.79992
RPL10A	4	0.00097779	0.003937	0.090723	46	4	-1.1921	0.97904	0.97932	0.999995	967	0	-1.1921
MRPL41	4	0.0010508	0.0042453	0.09375	47	4	-0.72091	0.99895	0.99912	0.999995	1027	0	-0.72091
RPA1	4	0.0011902	0.004759	0.101089	48	4	-0.99069	0.99806	0.99817	0.999995	1018	0	-0.99069
RPL36	4	0.0011921	0.0047684	0.101089	49	4	-1.0026	0.99881	0.99896	0.999995	1025	0	-1.0026
XRCC6	4	0.0012897	0.005114	0.103026	50	4	-0.82955	0.99871	0.99887	0.999995	1024	0	-0.82955
AHCYL1	4	0.0014041	0.0054876	0.107719	51	4	-0.87913	0.99835	0.99844	0.999995	1021	0	-0.87913
CHORDC1	3	0.0014664	0.0041612	0.09375	52	3	-0.99115	0.99853	0.9984	0.999995	1023	0	-0.99115
SLC25A28	4	0.0014956	0.0058332	0.112421	53	4	-0.57973	0.9985	0.99858	0.999995	1022	0	-0.57973
TRRAP	4	0.0017098	0.0067205	0.125152	54	4	-0.97413	0.99829	0.99839	0.999995	1020	0	-0.97413
CDK2	4	0.0017162	0.0067299	0.125152	55	3	-1.1957	0.72244	0.72173	0.999995	702	0	-1.1957
HMGCS1	3	0.001751	0.0048991	0.101825	56	3	-0.99023	0.99825	0.99814	0.999995	1019	0	-0.99023
RPL14	3	0.001848	0.0051513	0.103026	57	2	-1.7189	0.88624	0.88643	0.999995	862	0	-1.7189
RPL19	4	0.0018723	0.0072436	0.132383	58	2	-0.76507	0.31658	0.31585	0.999995	314	0	-0.76507
POLR2A	4	0.0020596	0.0077387	0.139033	59	4	-0.55428	0.99794	0.99804	0.999995	1017	0	-0.55428
CLTC	4	0.0021046	0.0078881	0.139356	60	4	-0.60812	0.9979	0.99799	0.999995	1016	0	-0.60812
ELL	4	0.0022639	0.0084859	0.143951	61	4	-0.69472	0.99631	0.99638	0.999995	1009	0	-0.69472
PSMC3	4	0.0023048	0.008598	0.143951	62	3	-0.56851	0.28841	0.28702	0.999995	282	0	-0.56851
MED12	4	0.0023259	0.0086914	0.143951	63	3	-0.93625	0.85029	0.85094	0.999995	815	0	-0.93625
CAND1	4	0.0023743	0.0088408	0.144174	64	3	-0.84477	0.35526	0.35433	0.999995	353	0	-0.84477
UTP14A	4	0.0026654	0.009859	0.155978	65	3	-0.74217	0.76679	0.76708	0.999995	738	0	-0.74217
RNF40	4	0.0027699	0.010205	0.156533	66	4	-0.43675	0.99723	0.99723	0.999995	1015	0	-0.43675
RPS5	4	0.0028298	0.010447	0.156533	67	3	-0.79197	0.89001	0.88983	0.999995	864	0	-0.79197
RIC8A	4	0.0028508	0.010485	0.156533	68	3	-0.81275	0.96807	0.96819	0.999995	949	0	-0.81275
STT3B	4	0.0030471	0.011101	0.163435	69	4	-0.41473	0.99695	0.997	0.999995	1014	0	-0.41473
PSMB3	3	0.0030621	0.0083645	0.143951	70	3	-0.99023	0.99694	0.99677	0.999995	1013	0	-0.99023
SMC1A	4	0.0032057	0.011718	0.167195	71	4	-0.72043	0.99679	0.99685	0.999995	1011	0	-0.72043
HNRNPK	4	0.0032496	0.01183	0.167195	72	2	-0.7325	0.30119	0.29988	0.999995	296	0	-0.7325
TIMM10	4	0.0033151	0.012073	0.168382	73	4	-0.79198	0.98827	0.98876	0.999995	987	0	-0.79198
MED20	4	0.0034325	0.012446	0.169777	74	4	-0.7162	0.99246	0.99278	0.999995	995	0	-0.7162
XAB2	4	0.0034563	0.012493	0.169777	75	3	-1.0336	0.57434	0.57411	0.999995	546	0	-1.0336
DHX9	3	0.0036181	0.0098123	0.155978	76	3	-0.71229	0.99638	0.99627	0.999995	1010	0	-0.71229
CKAP5	8	0.0036213	0.01962	0.217667	77	7	-0.45774	0.96426	0.96414	0.999995	944	0	-0.45774
RPS3	3	0.0038159	0.010401	0.156533	78	3	-1.3246	0.94872	0.94834	0.999995	922	0	-1.3246
INTS2	4	0.0041837	0.015052	0.196981	79	4	-0.7381	0.99582	0.99596	0.999995	1008	0	-0.7381
ATP5F1A	4	0.0042747	0.015314	0.197602	80	4	-0.7708	0.98606	0.9864	0.999995	980	0	-0.7708
PAF1	4	0.004322	0.015473	0.197602	81	4	-0.66609	0.99568	0.99581	0.999995	1007	0	-0.66609
HSCB	4	0.0045117	0.016154	0.203203	82	4	-0.56086	0.99549	0.99566	0.999995	1006	0	-0.56086
MYBL2	4	0.00456	0.016295	0.203203	83	4	-0.45449	0.99544	0.99561	0.999995	1005	0	-0.45449
WRN	4	0.0047241	0.016864	0.207863	84	4	-0.67597	0.99528	0.99547	0.999995	1004	0	-0.67597
