gene	MP38.D28A	MP38.D28B	MP38.D28C	MP38.D65A	MP38.D65B	MP38.D65C
ABCA3	-0.204163698135474	-0.166000849806794	-0.162440715374688	-0.338066069039365	-0.189270906564919	-0.357906254517437
ABCB1	-0.0421115942977583	-0.0413525130642592	0.0315028953801823	0.14213342500147	-0.0163995043528138	0.068407156221951
ABCC3	-0.0611659155888614	-0.191889392002393	-0.20869089072264	0.0601040173512584	-0.201063080879015	-0.255910346901135
ABCG2	-0.00267287292663814	-0.0919071069713459	-0.0306023495153443	0.118793191590372	0.00474089088192801	0.139017891295621
ABL1	0.00904757783693555	-0.0174470903592496	-0.00754974203998759	-0.00594183478968309	-0.0890666884511367	-0.0534177718081278
ABL2	-0.144771396416835	-0.183536250705528	-0.159946793935843	-0.201469687471134	-0.331325793889666	-0.319007995449624
ABT1	-0.649516214596074	-0.78318852096812	-0.728468671300009	-1.13517460275174	-1.68569985657122	-1.09317069044246
ABTB2	-0.0841090449084113	-0.252218785338775	-0.168975054362714	-0.0676919990915568	-0.447775289874028	-0.501987035800554
ACACA	-0.110551107955842	-0.272145838718008	-0.206271552046426	-0.57927161682803	-0.507999869360396	-0.730831753720779
ACACB	-0.117643599622329	-0.0398889682417576	-0.139931059595474	-0.00733585336885486	0.108095434783618	-0.201460828686679
ACTL6A	-0.617094273044646	-0.692610440170802	-0.539939413242735	-1.59355097328875	-1.49352167425839	-0.750233424415302
ACTL6B	-0.0982738641989381	-0.0998422135041444	-0.0255768172219234	-0.216682979333844	-0.0548838874254885	0.292925880978113
ACTL7A	-0.214927302383728	-0.191507702576069	-0.185566236018987	-0.362051543894716	-0.255320870142502	-0.0677687054712486
ADAM19	0.0393938339711042	-0.0464043531807648	0.023125070001938	0.020017756595632	0.144805817460171	0.22292350031766
ADAP1	-0.326579739601986	-0.208593633218187	-0.267597722802479	-0.676289905583804	-0.488422948075522	-0.582028658574772
ADAP2	-0.302236306286215	-0.215411423992293	-0.0659448506296245	-0.65222222104253	-0.390178800688531	-0.0554139682720275
ADARB1	-0.00996941659111677	-0.0538982864174421	-0.0103633734891443	-0.0214079386942618	-0.191186116470158	0.085282714681779
ADARB2	-0.139460938398675	-0.075997203063519	-0.200563956288984	-0.0333258961692196	-0.189059264614618	-0.401709948366437
ADGRG7	-0.13565051335276	-0.163502302677296	-0.106188994941886	0.03558733732779	-0.188140810503076	0.298468220495977
ADM	-0.0916491064177824	-0.165351036187856	-0.122483263594609	-0.0791971251183474	-0.173228163476358	-0.292322369114741
ADSS	-0.12344183259631	-0.226165542562493	0.0331601174913088	-0.202279051132983	-0.371820777766209	-0.0893131708893525
ADSSL1	-0.216311419936538	-0.0731036988196824	-0.162224607068664	-0.380175649799332	-0.308822699545497	-0.156288257262216
AFG3L2	-0.743368416111462	-0.637902532386289	-0.70163739349131	-1.82568537829599	-0.884552112321814	-1.51434673746046
AHCYL1	-0.831557012532258	-0.668083723440328	-0.636114292846432	-1.49717014881836	-1.24813882442041	-1.35726205286459
AHCYL2	-0.0104424261672378	-0.0105866605984675	-0.0457101342845567	-0.301335937292139	-0.138580218506646	-0.180932253105928
AIPL1	-0.135758104380014	-0.152471770400412	-0.0908612975351976	-0.392664559845031	-0.0744572064401395	-0.364835706295527
AKAP11	-0.148456690814171	-0.0616101350882466	-0.136025125271313	0.0670211965882602	-0.0738327851558578	-0.17816612172333
AKIRIN1	-0.205129326671589	-0.239091414070683	-0.258429065695328	-0.384383790674626	-0.267012248181478	-0.443094310583002
AKIRIN2	-0.592019084805432	-0.600699563082653	-0.599081810811205	-0.858260133188254	-1.09814209599792	-0.90432829506954
ALAS1	-0.0763974334034367	-0.138574055475666	-0.0848451243196513	-0.428659607091728	-0.353934072603568	-0.4129741079024
ALAS2	-0.081130548352966	-0.0396074349927999	-0.0532044119522863	-0.109863863324819	0.333635778126084	-0.111109469502552
ALDOA	-0.859688507075321	-0.800698525831738	-0.755915097850595	-1.73485098318954	-2.36564487532934	-1.55331245828826
ALDOC	-0.109618406495397	-0.315985081710155	-0.206995155001466	-0.277612315601748	-0.113254915781135	-0.243357758566625
ALG14	-0.102207437745872	-0.054985292495235	-0.140594646214623	-0.352620680243051	-0.122558398963847	-0.332597847761705
AMELX	-0.0900020851837499	0.0134399051586354	0.0584175636194883	-0.146373372358527	0.0130311496379776	0.0169393343994378
ANAPC4	-0.236239456021725	-0.229219096534314	-0.29842259885834	-0.421283869326308	-0.275085523137959	-0.55675914442155
ANKRD10	-0.0594067882377348	-0.0365102226253321	0.0222395759404486	-0.121297932961581	0.172909581558655	0.237135432642616
ANKRD37	-0.0585362611132423	-0.0541385029925201	-0.0869308557067121	-0.0760634980489079	0.00027029694632674	0.0609629532958766
ANXA1	0.0158108637677071	0.0287662171442965	0.0905972337212508	0.174467601048488	0.195112131825294	0.148707395361293
AOX1	-0.0908267738828694	-0.0161976212735757	-0.178368431752853	-0.319624357999021	0.0223177441939882	-0.12500655734735
AP1G1	-0.14911849368197	-0.0990390730296029	-0.170511240003684	-0.284615066433971	-0.42980674349849	-0.263755075266563
AP1G2	-0.130966758909419	-0.0758347937129449	-0.0274772823695177	-0.392488379339474	-0.234549302574127	0.180266940359465
AP2A1	-0.144765138126219	-0.146931420397353	-0.241554395226792	-0.138478985761085	-0.3394969107753	-0.233944390269179
AP2A2	-0.00428913639733961	0.0125495251144037	0.0314852881987423	0.0861681615411762	0.0396098190474741	0.101932332328433
AP3M1	-0.133812400087597	-0.112310395334528	-0.166438771720383	-0.235041568882896	-0.0197867161596882	-0.0239151197241269
AP5M1	-0.0797131120226683	-0.0821854373228911	-0.106743352111604	-0.186273698637674	-0.0360606105190986	-0.0368730746548273
APH1A	-0.241313735895523	-0.227806739890336	-0.149774969261677	-0.865456018243219	-0.836618325807587	-0.761091868271508
APH1B	-0.189199214277393	-0.0977370230566319	-0.0191291784087151	-0.0738689796579833	-0.0271214983045661	0.109749295416972
APOBEC1	-0.13068163425081	-0.037665365045106	-0.118322372575583	-0.212026806653562	0.210883037779089	-0.393143743344587
APOBEC3C	-0.0892674149365232	-0.0591902918607308	-0.0532855727080061	-0.218064086567193	-0.090883777177361	-0.0362045903727104
AQP8	-0.107167359363399	0.0196436484431731	-0.0463557469506152	0.0325141822069575	0.0552841317936663	0.0292775635018797
ARFGEF1	-0.171283012961721	-0.224354954579315	-0.129532723360424	-0.185107188138452	-0.33214792349458	-0.19163766233569
ARFGEF2	-0.200251613666564	-0.272517928500436	-0.200494743680995	-0.39371688712352	-0.753283838167989	-0.409486857805577
ARFIP1	0.0291839506342477	0.0101287685203977	0.0401760325407564	0.140260402427469	0.189026677585019	0.0230308730387508
ARFIP2	0.0410231982674209	0.0654383409236448	-0.00395182305724638	-0.0157155195363728	0.263453757210906	-0.0667752202812786
ARHGEF3	-0.13785000223158	-0.1207373475182	-0.0840173265965335	-0.111300438105233	0.140018113712445	-0.1538478128749
ARHGEF6	-0.0914339517242333	-0.0259355845489236	0.0304967221776637	-0.125013080394653	0.161531279777452	-0.0529235974317091
ARHGEF7	-0.211870691383307	-0.0311094094452594	-0.138298176396533	-0.430468770272514	0.0145273328859689	-0.211496458046119
ARID1A	-0.404262030971388	-0.482805472163642	-0.318213349775814	-0.440520459275994	-0.845377854502027	-0.805542358198884
ARID1B	-0.036856915641469	-0.0698179436492022	-0.109794983128142	-0.174123848829398	-0.297354922425338	-0.300566864546099
