gene	BF
ABCA3	0.115041666666667
ABCB1	-1.553375
ABCC3	-0.547583333333333
ABCG2	-1.057125
ABL1	-0.962708333333333
ABL2	0.677541666666667
ABT1	5.88391666666667
ABTB2	-0.745708333333333
ACACA	0.485875
ACACB	-0.994916666666667
ACTL6A	4.68316666666667
ACTL6B	-0.512041666666667
ACTL7A	-0.736291666666667
ADAM19	-0.494958333333333
ADAP1	0.106666666666667
ADAP2	-0.52225
ADARB1	-1.433125
ADARB2	-1.35170833333333
ADGRG7	-0.834083333333334
ADM	0.385958333333333
ADSS	-0.791027777777778
ADSSL1	-0.631583333333333
AFG3L2	3.18363888888889
AHCYL1	3.00983333333333
AHCYL2	-1.11295833333333
AIPL1	-2.14908333333333
AKAP11	-0.0146250000000001
AKIRIN1	-0.410958333333333
AKIRIN2	2.01529166666667
ALAS1	-2.00254166666667
ALAS2	-1.65229166666667
ALDOA	8.117625
ALDOC	-0.590958333333333
ALG14	-0.279166666666667
AMELX	-1.6925
ANAPC4	0.00408333333333322
ANKRD10	-0.859166666666667
ANKRD37	-1.37404166666667
ANXA1	-2.31770833333333
AOX1	-1.83033333333333
AP1G1	0.40425
AP1G2	1.24558333333333
AP2A1	0.992083333333333
AP2A2	-0.526375
AP3M1	0.114916666666667
AP5M1	-1.52904166666667
APH1A	-0.911416666666667
APH1B	-0.0123333333333333
APOBEC1	-1.14608333333333
APOBEC3C	-0.536625
AQP8	-1.60804166666667
ARFGEF1	-0.970875
ARFGEF2	0.889083333333333
ARFIP1	-1.80808333333333
ARFIP2	-1.14229166666667
ARHGEF3	-0.874041666666667
ARHGEF6	-2.22345833333333
ARHGEF7	0.206541666666667
ARID1A	0.0175833333333333
ARID1B	-1.28183333333333
ARID4A	0.6375
ARPC5	0.0467916666666668
ARPC5L	-0.804166666666667
ARSJ	-0.746
ASCL1	-1.04495833333333
ASF1A	1.33766666666667
ASF1B	0.739166666666667
ATAD2	-1.03820833333333
ATAD2B	-0.527791666666667
ATM	-1.968125
ATOH1	-1.12016666666667
ATP5F1A	6.033875
