gene	OMM1.D28A	OMM1.D28B	OMM1.D28C	OMM1.D35A	OMM1.D35B	OMM1.D35C
ABCA3	-0.258333621665884	-0.251106952448023	-0.232560246735617	-0.263701783984107	-0.215386817128913	-0.265792800662359
ABCB1	-0.107253853827689	-0.0380294391038601	-0.00811833643960681	-0.0833351693548923	-0.0563484983557962	0.0581804838491739
ABCC3	-0.120416887712145	-0.217563665468806	-0.134593972961792	-0.0759497588738213	-0.234451931855797	-0.137950031484044
ABCG2	-0.208171732937266	-0.0220265592499774	-0.0790928734572645	-0.195035375536305	-0.0602770561733385	-0.0426923444042386
ABL1	-0.0477944404088245	-0.0739067436423071	-0.0808805815529861	-0.0362310317509738	-0.0257952254782771	-0.0250398828177799
ABL2	-0.386483256977086	-0.287460509215241	-0.250196775781561	-0.386006373491368	-0.335182376521733	-0.195718608887941
ABT1	-0.941432590575316	-0.818203665541691	-0.905377876349264	-0.963007019619595	-1.05190772699723	-1.12892106471584
ABTB2	-0.177537657142057	-0.023913112633718	-0.204468530444849	-0.221149121739281	0.0252581971388838	-0.279877803283175
ACACA	-0.363899707135154	-0.276447900237039	-0.24316977797926	-0.37086256512718	-0.256442123958826	-0.254277342525981
ACACB	0.0331278789535549	-0.05163906713781	-0.130261210713065	0.068690633095236	-0.0494781586637855	-0.0948263130239817
ACTL6A	-1.01264920212761	-0.723436551879789	-0.590376265549377	-1.20643430060211	-0.798876271932781	-0.696220530443321
ACTL6B	-0.16838590064127	-0.105077258560134	-0.0626005425221232	-0.203757919074781	-0.0873305130018375	-0.0825050149984159
ACTL7A	-0.0379270118688693	0.01118097103726	-0.223055426759779	-0.019085062696392	0.0163808109645581	-0.24810006876115
ADAM19	-0.0280130752436851	-0.195073765297162	-0.0921022097918079	-0.00361789702403132	-0.207189303157348	-0.199595624896565
ADAP1	-0.156228389303442	-0.213613125113404	-0.220546586867434	-0.230889552487492	-0.220166152964743	-0.245060483884419
ADAP2	-0.14278707538871	-0.170004819137308	-0.22155039587847	-0.137194455759556	-0.19378475796253	-0.179067386682682
ADARB1	-0.0877386946347263	-0.0104343051631382	-0.0745205507211003	-0.135880159525814	-0.0372264093559261	-0.0354375603816126
ADARB2	-0.0995875623006341	0.000111557691957314	-0.0914129009717574	-0.106378779573467	-0.0167149533445913	-0.0201198911418444
ADGRG7	-0.104705431728479	-0.0860495899078565	-0.143422690209504	-0.228031035699145	-0.107229091389849	-0.188028281784167
ADM	-0.307888110319182	-0.236186177395491	-0.23650280446334	-0.303259548400782	-0.214463046976793	-0.246390943493672
ADSS	-0.0812410603233245	-0.109588172558854	-0.21424302826259	-0.0317775955800549	-0.214476566213492	-0.197360530286355
ADSSL1	-0.140130472057217	-0.189409304294576	-0.115607078314639	-0.138042222655324	-0.197635876733342	-0.162404582188338
AFG3L2	-0.520209758918331	-0.449789023477255	-1.076688386263	-0.618618031953085	-0.451440848092389	-1.01490901921946
AHCYL1	-0.614454721860911	-0.611955061894588	-0.454186843661831	-0.608267921007212	-0.810460378031277	-0.516049607332101
AHCYL2	-0.153996092762426	0.0100240889800021	-0.166019193979336	-0.163635682386168	0.0296291332448539	-0.214137377816281
AIPL1	-0.0889102914545543	0.038803285612481	0.0764479114364712	-0.0269103002995003	0.042798641653209	0.0976164010185376
AKAP11	-0.131754670741876	-0.160397292756883	-0.225166104860907	-0.173367055973612	-0.197559886614605	-0.288538215199469
AKIRIN1	-0.144278321614772	-0.226849953794524	-0.0978718211955883	-0.275444225194785	-0.213552846288555	-0.107783886305393
AKIRIN2	-0.499589514748697	-0.464128561197438	-0.416221283384804	-0.581444373513149	-0.602609016482569	-0.477340917737128
ALAS1	-0.0546990516726048	0.0314463063801257	0.0483681454251998	-0.0682180694479863	0.131721514015338	0.0834453800307859
ALAS2	0.0236448040267064	-0.00528616314715008	0.0151568235768564	0.0266610422359656	0.0911764857092897	0.108740808333087
ALDOA	-1.06891146286522	-1.53323571134681	-1.54676487909195	-1.2018735843475	-1.50197008673857	-1.7597559618666
ALDOC	-0.213101857097088	-0.0559332508384735	-0.181626946246978	-0.182167836678654	-0.0477126944529504	-0.207674249023073
ALG14	-0.304708494610702	-0.0935714248024226	-0.191440699587828	-0.334360934483863	-0.0832455601543833	-0.213904217309926
AMELX	-0.0198417027542512	-0.0732381146177568	0.0305543742351845	-0.0334885062433114	-0.0137571800441239	0.0408011441793624
ANAPC4	-0.248508794331282	-0.173396729625147	-0.247559411306595	-0.218643597553843	-0.271677139871534	-0.258183437755715
ANKRD10	0.00760635594597514	-0.085603543837712	-0.0836215539534253	0.00654913426789925	-0.0970434024113003	-0.102348349596028
ANKRD37	0.0307572620374888	-0.0802097508284278	-0.134889512521317	-0.00286203068198842	-0.0895178659537426	-0.092794971291903
ANXA1	0.0296238437139032	0.0446462493414439	0.0509210209614595	0.065011321263223	0.112295042804952	0.114720977329782
AOX1	0.00715676248736475	-0.00987068555692309	-0.0155959799485992	0.0284600552332127	0.0525179045769107	-0.0199732163158186
AP1G1	-0.320497527700853	-0.177509366745348	-0.195333165659672	-0.455709226417501	-0.166302674961294	-0.24852167779056
AP1G2	-0.518791338771657	-0.33419041508795	-0.305743389662535	-0.501371843625349	-0.331316378818323	-0.353029046359785
AP2A1	-0.340106490465827	-0.303588087027631	-0.279374181292615	-0.476080138627582	-0.334422264593505	-0.411403694400372
AP2A2	-0.176614025876723	-0.0492516889064018	-0.0860723748126836	-0.175157081847143	-0.0629625225296872	-0.123501382887526
AP3M1	-0.256008224379374	-0.222423524837188	-0.15514714832335	-0.262767542188317	-0.214615778742174	-0.183196837287005
AP5M1	-0.0858842812813388	-0.0354359296060863	-0.118881403723076	-0.0990542591970754	0.0698097629938941	-0.0419668722794328
APH1A	-0.172156744512611	-0.10813645229323	-0.0914276597924756	-0.181176458318836	-0.137385961399679	-0.111923494290481
APH1B	-0.127245223752542	-0.192991527019422	-0.272010219741512	-0.156537126203392	-0.2172914850154	-0.209407957506741
