gene	is_depleted
ABCA3	0
ABCB1	0
ABCC3	0
ABCG2	0
ABL1	0
ABL2	0
ABT1	1
ABTB2	0
ACACA	1
ACACB	0
ACTL6A	1
ACTL6B	0
ACTL7A	0
ADAM19	0
ADAP1	0
ADAP2	0
ADARB1	0
ADARB2	0
ADGRG7	0
ADM	0
ADSS	0
ADSSL1	0
AFG3L2	1
AHCYL1	1
AHCYL2	0
AIPL1	0
AKAP11	0
AKIRIN1	1
AKIRIN2	1
ALAS1	0
ALAS2	0
ALDOA	1
ALDOC	0
ALG14	0
AMELX	0
ANAPC4	0
ANKRD10	0
ANKRD37	0
ANXA1	0
AOX1	0
AP1G1	0
AP1G2	0
AP2A1	0
AP2A2	0
AP3M1	0
AP5M1	0
APH1A	1
APH1B	0
APOBEC1	0
APOBEC3C	1
AQP8	0
ARFGEF1	0
ARFGEF2	0
ARFIP1	0
ARFIP2	0
ARHGEF3	0
ARHGEF6	0
ARHGEF7	0
ARID1A	1
ARID1B	0
ARID4A	0
ARPC5	0
ARPC5L	0
ARSJ	0
ASCL1	0
ASF1A	0
ASF1B	1
ATAD2	0
ATAD2B	0
ATM	0
ATOH1	0
ATP5F1A	1
ATP5F1B	1
ATP5F1D	1
ATP5PB	1
ATP6V1B1	0
ATP6V1B2	1
ATP6V1C1	1
ATP6V1C2	0
ATP6V1D	1
ATP6V1E1	0
ATP6V1E2	0
ATP7A	1
ATP7B	0
ATP8B3	0
ATR	1
AXL	0
BAP1	1
BARHL1	0
BATF3	0
BCAP31	1
BECN1	1
BECN2	0
BICD1	1
BICD2	0
BRD8	1
BRSK1	0
BRSK2	0
BTBD11	0
BTG1	0
BUB1B	1
BUB3	1
BZW1	1
BZW2	0
CAB39	0
CAB39L	0
CABP5	0
CADPS	0
CADPS2	0
CALY	0
CAND1	1
CAND2	0
CAP1	1
CAP2	0
CAPN2	0
CASP4	0
CAT	0
CAV1	0
CAVIN1	0
CBLL1	0
CBLL2	0
CCDC69	0
CCND1	1
CCND3	1
CCNE1	0
CCNE2	0
CCNL1	1
CCNL2	0
CCNT1	1
CCNT2	1
CCT6A	1
CCT6B	0
CD163L1	0
CD44	0
CD72	0
CDC34	0
CDIPT	1
CDK16	0
CDK17	0
CDK19	0
CDK2	1
CDK5R1	0
CDK5R2	0
CDK7	1
CDK8	1
CDNF	0
CDS1	0
CDS2	1
CEACAM1	0
CELA2A	0
CFL1	1
CHM	0
CHML	0
CHMP1A	1
CHMP1B	0
CHORDC1	1
CHRNB3	0
CHSY1	0
CHSY3	0
CHUK	0
CKAP5	1
CLASP1	0
CLASP2	0
CLCA1	0
CLDN4	0
CLIP4	0
CLNS1A	1
CLTA	0
CLTB	0
CLTC	1
CLTCL1	0
CNOT6	0
CNOT6L	0
CNOT7	0
CNOT8	0
COPA	1
COPG1	1
COPG2	0
COPS7A	0
COPS7B	0
COPZ1	1
COPZ2	0
COQ10A	1
COQ10B	1
COX4I1	1
COX4I2	0
COX6B1	1
COX6B2	0
CPS1	0
CPSF3	1
CREBBP	0
CRK	0
