id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
MYC	8	3.7044e-11	4.6703e-06	0.000825	1	8	-1.651	1.0	1.0	0.999995	1060	0	-1.651
RRM1	8	1.1178e-07	4.6703e-06	0.000825	2	7	-1.4612	1.0	1.0	0.999995	1059	0	-1.4612
RPP21	4	2.0731e-07	4.6703e-06	0.000825	3	4	-1.6354	1.0	1.0	0.999995	1058	0	-1.6354
RRM2	4	7.1805e-07	4.6703e-06	0.000825	4	2	-1.2527	0.75124	0.75139	0.999995	730	0	-1.2527
POLR2L	4	1.0122e-06	4.6703e-06	0.000825	5	4	-1.6758	1.0	1.0	0.999995	1057	0	-1.6758
MTG2	4	1.2007e-06	4.6703e-06	0.000825	6	4	-0.99445	1.0	1.0	0.999995	1056	0	-0.99445
ALDOA	4	3.7416e-06	1.4011e-05	0.001856	7	3	-1.5514	0.99736	0.99742	0.999995	994	0	-1.5514
PRPF8	4	3.9698e-06	1.4011e-05	0.001856	8	4	-1.178	1.0	1.0	0.999995	1055	0	-1.178
BUB3	4	6.2684e-06	2.3351e-05	0.002475	9	4	-1.6662	0.99997	0.99998	0.999995	1047	0	-1.6662
CCND1	4	6.8161e-06	2.3351e-05	0.002475	10	4	-1.0005	0.99999	1.0	0.999995	1054	0	-1.0005
UQCRC1	4	1.2841e-05	5.1373e-05	0.00495	11	4	-0.81694	0.99999	0.99999	0.999995	1052	0	-0.81694
PDCD6IP	4	1.6792e-05	7.0054e-05	0.00495	12	4	-1.0768	0.99998	0.99999	0.999995	1051	0	-1.0768
NAA10	4	1.8813e-05	7.0054e-05	0.00495	13	4	-0.79611	0.99998	0.99999	0.999995	1050	0	-0.79611
COPA	4	2.1885e-05	7.0054e-05	0.00495	14	4	-1.0843	0.99998	0.99998	0.999995	1049	0	-1.0843
MRPL38	4	2.4026e-05	7.0054e-05	0.00495	15	4	-0.72501	0.99998	0.99998	0.999995	1048	0	-0.72501
SF3B3	4	3.1787e-05	7.9395e-05	0.00526	16	4	-0.92591	0.99997	0.99997	0.999995	1046	0	-0.92591
INTS6	3	4.1845e-05	8.8735e-05	0.005533	17	3	-1.6886	0.99996	0.99995	0.999995	1045	0	-1.6886
ZNF407	4	7.8852e-05	0.00026621	0.014851	18	4	-0.82189	0.99992	0.99991	0.999995	1044	0	-0.82189
TIMM10	4	8.3588e-05	0.00028489	0.015099	19	4	-0.78192	0.99992	0.99991	0.999995	1043	0	-0.78192
ATP6V1B2	4	8.9379e-05	0.00035961	0.018152	20	4	-0.86529	0.99991	0.9999	0.999995	1042	0	-0.86529
CHORDC1	3	9.601e-05	0.00025687	0.014851	21	3	-1.5862	0.9999	0.99989	0.999995	1041	0	-1.5862
NDUFB4	4	0.0002321	0.00085466	0.04025	22	3	-0.82692	0.99907	0.99924	0.999995	1022	0	-0.82692
SF3B1	4	0.00024033	0.00087334	0.04025	23	3	-0.84221	0.9979	0.99799	0.999995	1003	0	-0.84221
SNRPD3	4	0.00027534	0.0010415	0.045998	24	2	-1.1502	0.45831	0.45683	0.707957	335	0	-1.1502
RNF113A	4	0.00046661	0.0015832	0.064547	25	3	-0.92623	0.74797	0.74792	0.999995	724	0	-0.92623
E2F3	3	0.00048888	0.0014525	0.061584	26	3	-0.87999	0.99951	0.99951	0.999995	1029	0	-0.87999
RPS19	4	0.00049285	0.0016579	0.06509	27	3	-0.94707	0.99972	0.99973	0.999995	1033	0	-0.94707
HSCB	4	0.00063864	0.002097	0.079385	28	3	-0.94158	0.99772	0.99777	0.999995	998	0	-0.94158
SBNO1	4	0.00068732	0.0022744	0.079687	29	3	-0.99454	0.45831	0.45683	0.707957	295	0	-0.99454
TUFM	3	0.00080715	0.0023211	0.079687	30	2	-1.1973	0.90989	0.90948	0.999995	876	0	-1.1973
DYNLRB1	3	0.00081243	0.0023305	0.079687	31	3	-0.84397	0.99919	0.99918	0.999995	1023	0	-0.84397
RPL19	4	0.0011098	0.0035354	0.112447	32	2	-0.93385	0.83437	0.83482	0.999995	800	0	-0.93385
SLC11A2	4	0.0011432	0.0036195	0.112447	33	3	-0.74606	0.99755	0.99759	0.999995	996	0	-0.74606
RPL36	4	0.0011784	0.0037129	0.112447	34	3	-1.051	0.99978	0.99979	0.999995	1038	0	-1.051
PAF1	4	0.0013388	0.0041986	0.123625	35	3	-0.68405	0.99906	0.99923	0.999995	1021	0	-0.68405
RPL14	3	0.0014049	0.0035074	0.112447	36	2	-1.5384	0.9956	0.99538	0.999995	986	0	-1.5384
SF3A1	4	0.0014308	0.0044508	0.124153	37	3	-0.89769	0.98179	0.98222	0.999995	946	0	-0.89769
MRPL41	4	0.0015551	0.0048431	0.129332	38	3	-0.96499	0.99985	0.99986	0.999995	1039	0	-0.96499
LONP1	4	0.0015693	0.0048804	0.129332	39	3	-0.72794	0.92501	0.92437	0.999995	885	0	-0.72794
KIF11	4	0.0016861	0.005226	0.135112	40	3	-0.79572	0.99989	0.99989	0.999995	1040	0	-0.79572
RPL10A	4	0.001778	0.0054502	0.137553	41	2	-1.0359	0.98286	0.98311	0.999995	948	0	-1.0359
SMARCA4	4	0.0018559	0.0055997	0.138038	42	3	-0.73245	0.45831	0.45683	0.707957	278	0	-0.73245
TOMM22	4	0.001953	0.0057865	0.139401	43	3	-0.57102	0.99919	0.9993	0.999995	1024	0	-0.57102
CDIPT	4	0.0021184	0.0062161	0.146425	44	2	-0.78056	0.99937	0.99944	0.999995	1027	0	-0.78056
RPS23	2	0.0021392	0.0043574	0.124153	45	2	-1.1014	0.99786	0.99787	0.999995	1002	0	-1.1014
PPP4C	4	0.0022209	0.006487	0.148414	46	2	-0.87842	0.99976	0.99978	0.999995	1036	0	-0.87842
FDPS	4	0.0022731	0.0066925	0.148414	47	2	-0.69424	0.45831	0.45683	0.707957	648	0	-0.69424
ATP5F1B	4	0.0023048	0.0067579	0.148414	48	3	-0.57215	0.99977	0.99979	0.999995	1037	0	-0.57215
HUS1	4	0.0023372	0.0068606	0.148414	49	3	-0.76507	0.98938	0.98981	0.999995	961	0	-0.76507
SF3B5	4	0.0024498	0.0070755	0.15	50	3	-0.95861	0.99676	0.99679	0.999995	992	0	-0.95861
MED18	8	0.0025191	0.0087568	0.168767	51	4	-0.47379	0.70658	0.70671	0.999995	695	0	-0.47379
SPAG9	4	0.0026454	0.0076359	0.158707	52	3	-0.68924	0.98683	0.98727	0.999995	957	0	-0.68924
ABT1	4	0.0027881	0.0079815	0.15963	53	3	-0.79471	0.45831	0.45683	0.707957	458	0	-0.79471
MDM4	4	0.0029572	0.0084018	0.164925	54	3	-0.6238	0.99047	0.99099	0.999995	962	0	-0.6238
RPS3	3	0.0039128	0.0079068	0.15963	55	2	-1.1657	0.36859	0.36672	0.707957	5	0	-1.1657
NAE1	8	0.0042257	0.014184	0.259218	56	4	-0.38011	0.94489	0.94476	0.999995	907	0	-0.38011
EIF3B	4	0.0051435	0.012586	0.234063	57	2	-0.88327	0.9966	0.99662	0.999995	990	0	-0.88327
RPL37A	2	0.0057587	0.011372	0.215258	58	1	-1.2618	0.59185	0.59051	0.912443	686	0	-1.2618
RPS5	4	0.0063741	0.014725	0.264558	59	2	-0.76818	0.45831	0.45683	0.707957	56	0	-0.76818
MED12	4	0.0065476	0.014996	0.264934	60	2	-0.52071	0.97676	0.97689	0.999995	936	0	-0.52071
TOMM40	7	0.0080935	0.021974	0.348382	61	3	-0.49023	0.99816	0.99821	0.999995	1008	0	-0.49023
RPL18A	2	0.0084081	0.016407	0.2851	62	2	-1.2283	0.99159	0.99128	0.999995	964	0	-1.2283
RFC2	4	0.0096231	0.020311	0.341741	63	2	-0.55108	0.45831	0.45683	0.707957	77	0	-0.55108
CTR9	4	0.0099399	0.020899	0.34326	64	2	-0.747	0.99812	0.99821	0.999995	1006	0	-0.747
RBBP4	3	0.010012	0.018602	0.318029	65	2	-0.8906	0.89057	0.89047	0.999995	856	0	-0.8906
