gene	BF
ABCA3	-0.485666666666667
ABCB1	-0.95225
ABCC3	-0.38925
ABCG2	-0.855375
ABL1	-1.06333333333333
ABL2	-0.772625
ABT1	3.60295833333333
ABTB2	-0.594458333333333
ACACA	0.25675
ACACB	-0.787708333333333
ACTL6A	2.020875
ACTL6B	-0.0671666666666665
ACTL7A	-0.673083333333333
ADAM19	-0.576166666666666
ADAP1	-0.0221666666666666
ADAP2	-0.61325
ADARB1	-1.22016666666667
ADARB2	-0.830916666666667
ADGRG7	-0.475708333333333
ADM	-0.830625
ADSS	-0.228902777777778
ADSSL1	-0.425791666666667
AFG3L2	2.06859722222222
AHCYL1	1.317625
AHCYL2	0.103125
AIPL1	-1.10795833333333
AKAP11	-0.875958333333333
AKIRIN1	0.70575
AKIRIN2	3.03495833333333
ALAS1	-1.09341666666667
ALAS2	-1.161375
ALDOA	5.88770833333333
ALDOC	-0.259583333333333
ALG14	-0.839958333333333
AMELX	-1.921125
ANAPC4	0.10325
ANKRD10	-1.18516666666667
ANKRD37	-1.225125
ANXA1	-1.26725
AOX1	-1.26045833333333
AP1G1	-0.594958333333333
AP1G2	-1.081875
AP2A1	-0.404291666666667
AP2A2	-0.868291666666667
AP3M1	-1.266
AP5M1	-1.0525
APH1A	-0.889291666666667
APH1B	-0.316875
APOBEC1	-0.658
APOBEC3C	-1.0635
AQP8	-1.12683333333333
ARFGEF1	-1.09366666666667
ARFGEF2	-1.017375
ARFIP1	-1.842625
ARFIP2	-0.265583333333333
ARHGEF3	-1.3155
ARHGEF6	-1.41608333333333
ARHGEF7	-1.03820833333333
ARID1A	0.469791666666667
ARID1B	-0.918833333333333
ARID4A	0.527208333333333
ARPC5	-0.0425833333333333
ARPC5L	-0.752541666666667
ARSJ	-0.70425
ASCL1	-1.224875
ASF1A	2.66725
ASF1B	1.444375
ATAD2	-1.17225
ATAD2B	-0.890625
ATM	-0.7785
ATOH1	-0.596708333333333
ATP5F1A	0.0168333333333335
ATP5F1B	-0.0466249999999999
ATP5F1D	-0.509458333333333
ATP5PB	-0.873375
ATP6V1B1	0.142125
ATP6V1B2	4.11020833333333
ATP6V1C1	2.80383333333333
ATP6V1C2	-0.622916666666667
ATP6V1D	0.9725
