gene	Mel285.D28A	Mel285.D28B	Mel285.D28C	Mel285.D49A	Mel285.D49B	Mel285.D49C
ABCA3	0	0	0	-1.04105451073948	-0.594079201804081	-0.934655895375944
ABCB1	-0.0445704769623532	0	0	-0.62171622027009	-0.840263600898491	-0.535135026506281
ABCC3	0	0	-0.129763701285129	-0.424117912143968	-0.680577236086402	-1.1119525449092
ABCG2	-0.0227531648573907	-0.0487125867569729	-0.100505902539375	-0.628973983508164	-1.2291373210745	-1.19321328495721
ABL1	0	-0.052039260286922	0	-0.377861948555241	-0.719543489993911	-0.562166293909386
ABL2	-0.000638792179319391	0	0	-0.992741405976095	-0.844952142479106	-0.813163402677059
ABT1	-0.382805149994991	-0.397874929302307	-0.645915122124233	-1.14055890232349	-1.24052782602427	-1.36332186768045
ABTB2	-0.181982045899481	0	0	-0.982395649712068	-0.758377112432099	-0.915422734394068
ACACA	-0.315838537024447	-0.29550384009805	-0.491468633829852	-1.02305317838907	-1.03217670984667	-1.38936326267143
ACACB	-0.0458393261999336	0	-0.00193568800476808	-0.982611423833	-0.96426498931325	-1.03238407602818
ACTL6A	-0.361008437693268	-0.389697119608977	-0.4288088703417	-0.815576580823391	-0.96643618021681	-1.12177657727912
ACTL6B	-0.0227023132922216	0	-0.16494329093193	-0.722521109460873	-0.518123572791525	-0.983437469434205
ACTL7A	-0.0223643167665916	-0.363685293997567	0	-1.02458764197327	-1.01484285024321	-0.669103141765372
ADAM19	0	-0.0308432541866276	-0.0649238888863674	-0.546061481053738	-0.939271215074564	-0.745293174527186
ADAP1	-0.050004147446149	0	0	-1.03642960280234	-1.01926319824462	-0.199299846566143
ADAP2	0	-0.00719062431204544	-0.0850298755459289	-1.16749279244243	-0.862933196129227	-0.829239567056655
ADARB1	-0.0559059568393835	-0.0282248591966908	0	-0.673029384067588	-0.821638593779353	-1.0925238276838
ADARB2	0	-0.0375318760122689	0	-0.372006627868012	-0.985533707999112	-0.888165567300387
ADGRG7	-0.0264751312598014	-0.0877990091661764	-0.165653765946527	-0.697458716082382	-0.624521754964205	-0.732603701220721
ADM	-0.120743879125991	0	-0.0735948021471476	-0.974172600793931	-0.918802485559243	-0.957007847569316
ADSS	-0.135913215695522	0	0	-0.802159487061946	-0.921808413034163	-0.742061093290319
ADSSL1	-0.00110525314912974	-0.0930082962057614	-0.0485036037780921	-0.939067705131203	-1.10935683570323	-0.647675648122798
AFG3L2	-0.617044040599976	-0.584855777414022	-0.395099815262893	-0.936437902577048	-1.10973642867007	-1.25335155543152
AHCYL1	-0.231991753977112	-0.0823550940656806	0	-0.933127084196417	-1.0365997530378	-0.783732877057541
AHCYL2	-0.00633437493187849	-0.0522126529479402	0	-1.00786436255963	-0.934187987969589	-0.554946811648893
AIPL1	0	0	-0.0612096242266331	-0.733692031786684	-0.822301378621612	-0.79068221245065
AKAP11	-0.0717360141497452	0	0	-0.668366843666823	-0.700520926581271	-0.924052520373432
AKIRIN1	-0.181663076357323	-0.0804114097858012	-0.336693764106613	-1.17322572622145	-0.841139485649645	-1.03157236300455
AKIRIN2	-0.456383527684978	-0.312726204389692	-0.23153116740634	-1.17105363881208	-1.33401495704528	-1.30563691022739
ALAS1	-0.048028453164944	-0.00319546004510957	-0.0402171598260723	-0.699517372312516	-0.819075469149546	-0.807893965017282
ALAS2	-0.0667653858245509	0	0	-0.764644360572142	-0.662162079007187	-0.732011153681963
