gene	BF
ABCA3	-0.445895833333333
ABCB1	-0.497395833333333
ABCC3	-0.2525625
ABCG2	-0.512854166666667
ABL1	-0.485354166666667
ABL2	-0.2010625
ABT1	-0.0105208333333333
ABTB2	-0.4398125
ACACA	-0.2400625
ACACB	-0.548145833333333
ACTL6A	-0.1089375
ACTL6B	-0.376729166666667
ACTL7A	-0.1834375
ADAM19	-0.3781875
ADAP1	-0.0185208333333333
ADAP2	-0.206520833333333
ADARB1	-0.335520833333333
ADARB2	-0.509354166666667
ADGRG7	-0.217229166666667
ADM	-0.4229375
ADSS	-0.261201388888889
ADSSL1	-0.5848125
AFG3L2	-0.153590277777778
AHCYL1	-0.150729166666667
AHCYL2	-0.252854166666667
AIPL1	-0.3630625
AKAP11	-0.381104166666667
AKIRIN1	-0.249645833333333
AKIRIN2	-0.232729166666667
ALAS1	-0.355416666666667
ALAS2	-0.3004375
ALDOA	-0.118354166666667
ALDOC	-0.2034375
ALG14	-0.382479166666667
AMELX	-0.349270833333333
ANAPC4	-0.206895833333333
ANKRD10	-0.479104166666667
ANKRD37	-0.467395833333333
ANXA1	-0.4361875
AOX1	-0.289395833333333
AP1G1	-0.3664375
AP1G2	-0.314145833333333
AP2A1	-0.402729166666667
AP2A2	-0.345020833333333
AP3M1	-0.3118125
AP5M1	-0.389895833333333
APH1A	-0.234729166666667
APH1B	-0.262395833333333
APOBEC1	-0.536395833333333
APOBEC3C	-0.0484791666666667
AQP8	-0.463270833333333
ARFGEF1	-0.1233125
ARFGEF2	-0.352145833333333
ARFIP1	-0.3660625
ARFIP2	-0.565604166666667
ARHGEF3	-0.5141875
ARHGEF6	-0.576229166666667
ARHGEF7	-0.259895833333333
ARID1A	-0.494229166666667
ARID1B	-0.422895833333333
ARID4A	-0.310895833333333
ARPC5	-0.250895833333333
ARPC5L	-0.556854166666667
ARSJ	-0.510479166666667
ASCL1	-0.504770833333333
ASF1A	-0.285729166666667
ASF1B	-0.236625
ATAD2	-0.3516875
ATAD2B	-0.2833125
ATM	-0.524270833333333
ATOH1	-0.306770833333333
ATP5F1A	-0.238395833333333
ATP5F1B	-0.143895833333333
ATP5F1D	-0.327145833333333
ATP5PB	-0.454979166666667
ATP6V1B1	-0.370020833333333
ATP6V1B2	-0.0100625
ATP6V1C1	-0.1331875
ATP6V1C2	-0.347666666666667
ATP6V1D	-0.0996041666666667
ATP6V1E1	-0.485701388888889
ATP6V1E2	-0.194395833333333
ATP7A	-0.3005625
ATP7B	-0.307229166666667
ATP8B3	-0.344479166666667
ATR	-0.410854166666667
AXL	-0.502520833333333
BAP1	-0.498104166666667
BARHL1	-0.304854166666667
BATF3	-0.384354166666667
BCAP31	-0.334479166666667
BECN1	-0.2763125
BECN2	-0.281645833333333
BICD1	-0.4623125
BICD2	-0.358520833333333
BRD8	-0.353145833333333
BRSK1	-0.3166875
BRSK2	-0.372020833333333
BTBD11	-0.4338125
BTG1	-0.464145833333333
BUB1B	-0.464479166666667
BUB3	-0.1660625
BZW1	-0.604756944444444
BZW2	-0.207020833333333
CAB39	-0.424145833333333
CAB39L	-0.294854166666667
CABP5	-0.135520833333333
CADPS	-0.4021875
CADPS2	-0.2353125
CALY	-0.365229166666667
CAND1	-0.279729166666667
CAND2	-0.383020833333333
CAP1	-0.365520833333333
CAP2	-0.299145833333333
CAPN2	-0.392854166666667
CASP4	-0.366645833333333
CAT	-0.3180625
CAV1	-0.5326875
CAVIN1	-0.2076875
CBLL1	-0.3469375
CBLL2	-0.426229166666667
CCDC69	-0.496520833333333
CCND1	-0.143270833333333
CCND3	-0.454854166666667
CCNE1	-0.345895833333333
CCNE2	-0.3900625
CCNL1	-0.394604166666667
CCNL2	-0.2724375
CCNT1	-0.353354166666667
CCNT2	-0.361729166666667
CCT6A	-0.3923125
CCT6B	-0.2911875
CD163L1	-0.401645833333333
CD44	-0.142145833333333
CD72	-0.357354166666667
CDC34	-0.376729166666667
CDIPT	-0.373020833333333
CDK16	-0.3814375
CDK17	-0.500354166666667
CDK19	-0.40175
CDK2	-0.215145833333333
CDK5R1	-0.1955625
CDK5R2	-0.388604166666667
CDK7	-0.126854166666667
CDK8	-0.3686875
CDNF	-0.4941875
CDS1	-0.465520833333333
CDS2	-0.305854166666667
CEACAM1	-0.4975625
CELA2A	-0.3949375
CFL1	-0.2704375
CHM	-0.5215625
CHML	-0.310479166666667
CHMP1A	-0.358854166666667
CHMP1B	-0.1594375
CHORDC1	-0.0514236111111111
CHRNB3	-0.320895833333333
CHSY1	-0.4005625
CHSY3	-0.3283125
CHUK	-0.333979166666667
CKAP5	-0.135354166666667
CLASP1	-0.352020833333333
CLASP2	-0.430229166666667
CLCA1	-0.284979166666667
CLDN4	-0.220395833333333
CLIP4	-0.3129375
CLNS1A	-0.100479166666667
CLTA	-0.338395833333333
CLTB	-0.383895833333333
CLTC	-0.184104166666667
CLTCL1	-0.4988125
CNOT6	-0.4749375
CNOT6L	-0.230229166666667
CNOT7	-0.280145833333333
CNOT8	-0.515645833333333
COPA	-0.0798541666666667
COPG1	-0.270895833333333
COPG2	-0.4078125
COPS7A	-0.539895833333333
COPS7B	-0.321854166666667
COPZ1	-0.2588125
COPZ2	-0.360104166666667
COQ10A	-0.198854166666667
COQ10B	-0.358645833333333
COX4I1	-0.294520833333333
COX4I2	-0.518104166666667
COX6B1	-0.471895833333333
COX6B2	-0.478770833333333
CPS1	-0.277395833333333
CPSF3	-0.2003125
CREBBP	-0.357979166666667
CRK	-0.553729166666667
CRKL	-0.576770833333333
CRNN	-0.317020833333333
CRX	-0.2643125
CRY1	-0.0660625
CRY2	-0.204395833333333
CRYBB2	-0.483520833333333
CSTF2	-0.417895833333333
CSTF2T	-0.436145833333333
CTCFL	-0.412854166666667
CTNNB1	-0.5938125
CTPS1	-0.312270833333333
CTPS2	-0.4321875
CTR9	-0.0350625
CTSZ	-0.398229166666667
CWF19L1	-0.438520833333333
CYFIP1	-0.374729166666667
CYFIP2	-0.3613125
CYP26C1	-0.303979166666667
CYP2A6	-0.3138125
CYP2C8	-0.420604166666667
CYP7A1	-0.280270833333333
DBT	-0.329979166666667
DCAF4L2	-0.330270833333333
DCAF8L1	-0.413354166666667
DDI1	-0.4509375
DDI2	-0.2993125
DDX17	-0.4208125
DDX39A	-0.507854166666667
DDX39B	-0.215270833333333
DDX5	-0.3244375
DEGS1	-0.295729166666667
DEGS2	-0.403354166666667
DENND5A	-0.394020833333333
DENND5B	-0.399770833333333
DGAT1	-0.4220625
DGAT2L6	-0.2028125
DGKI	-0.532895833333333
DGKZ	-0.391534722222222
DHX29	0.0735763888888888
DHX9	-0.0662569444444444
DLL1	-0.6288125
DLL4	-0.451104166666667
DMD	-0.325645833333333
DMP1	-0.272729166666667
DMXL1	-0.451020833333333
DMXL2	-0.290854166666667
DNAJC15	-0.3759375
DNAJC19	-0.445034722222222
DPCR1	-0.371479166666667
DRD3	-0.574729166666667
DST	-0.407854166666667
DUOX1	-0.4946875
DUOX2	-0.3524375
DUSP10	-0.3131875
DYNC1LI1	-0.228534722222222
DYNC1LI2	-0.400354166666667
DYNLRB1	0.159298611111111
DYNLRB2	-0.4149375
DYNLT1	-0.4645625
DYNLT3	-0.427354166666667
DZIP1L	-0.2766875
DZIP3	-0.548479166666667
E2F3	0.408909722222222
E2F4	-0.202520833333333
EAF1	-0.208979166666667
EAF2	-0.476520833333333
EEFSEC	-0.303895833333333
EFNB1	-0.413145833333333
EFR3A	-0.1978125
EFR3B	-0.340395833333333
EGFR	-0.5560625
EIF3B	0.2255625
EIF3J	-0.1595625
EIF3L	-0.386104166666667
EIF4A3	-0.3684375
ELL	-0.2296875
ELL2	-0.501604166666667
ENOX1	-0.493395833333333
ENOX2	-0.3255625
EP300	-0.2540625
EPC1	-0.3434375
EPC2	-0.431270833333333
EPHA2	-0.444979166666667
EPHA3	-0.171145833333333
EPS15	-0.2955625
EPS15L1	-0.1183125
ERBB3	-0.456770833333333
ERC1	-0.4586875
ERC2	-0.445645833333333
ERH	-0.4095625
ERN1	-0.4826875
ERN2	-0.233479166666667
ERO1A	-0.5630625
ERO1B	-0.522770833333333
ESRP1	-0.112895833333333
ESRP2	-0.3100625
EXOC6	-0.364520833333333
EXOC6B	-0.418645833333333
EZH1	-0.236979166666667
EZH2	-0.3705625
FAM126A	-0.274770833333333
FAM126B	-0.2394375
FAM50A	-0.4589375
FAM50B	-0.424770833333333
FAM71A	-0.152854166666667
FAM71B	-0.315979166666667
FANCF	-0.0380208333333333
FANCM	0.00535416666666666
FARS2	-0.0896875
FBLN1	-0.447854166666667
FCRL3	-0.500479166666667
FDPS	0.00093749999999998
FEZ1	-0.420104166666667
FEZ2	-0.4434375
FKBP10	-0.405145833333333
FKBP4	-0.4406875
FKBP5	-0.2920625
FKBP9	-0.316395833333333
FLNB	-0.4283125
FLNC	-0.464395833333333
FLOT1	-0.476229166666667
FLOT2	-0.372520833333333
FLT1	-0.5770625
FMR1	-0.519479166666667
FNIP1	-0.0498125
FNIP2	-0.278020833333333
FOSL1	-0.485923611111111
FOXA1	-0.312729166666667
FOXB1	-0.4415625
FOXE3	-0.592645833333333
FOXK1	-0.4683125
FOXK2	-0.269479166666667
FRS2	-0.356145833333333
FRS3	-0.2780625
FRY	-0.380020833333333
FRYL	-0.3069375
FSD1	-0.4773125
FSD1L	-0.496104166666667
FUT5	-0.0983125
FXR1	-0.414854166666667
FXR2	-0.467520833333333
FZD8	-0.5915625
FZR1	-0.4909375
G3BP1	-0.2459375
G3BP2	-0.601645833333333
G6PC	-0.115145833333333
GABPB1	-0.511895833333333
GABPB2	-0.384520833333333
GALNT2	-0.4395625
GALNT5	-0.162354166666667
GALR3	-0.371395833333333
GAPDH	-0.2833125
GATAD2A	-0.3706875
GBP3	-0.288020833333333
GBX1	-0.518604166666667
GBX2	-0.4635625
GCM2	-0.380395833333333
GDF15	-0.262145833333333
GDI1	-0.216979166666667
GDI2	-0.265708333333333
GFM1	-0.442979166666667
GIT1	-0.516145833333333
GIT2	-0.2520625
GJA8	-0.4375625
GLIS3	-0.449854166666667
GLT6D1	-0.457479166666667
GMPR	-0.433645833333333
GMPR2	-0.4396875
GNB3	-0.458104166666667
GOLPH3	-0.385645833333333
GOLPH3L	-0.402479166666667
GOLT1A	-0.424770833333333
GOLT1B	-0.435229166666667
GPR151	-0.257104166666667
