id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
MYC	8	4.6863e-07	4.6703e-06	0.00495	1	6	-1.4193	0.99964	0.99959	0.999995	1058	0	-1.4193
E2F3	3	0.00011165	0.00031291	0.165842	2	3	-1.7653	0.99966	0.99969	0.999995	1059	0	-1.7653
TOMM22	4	0.00016626	0.00072389	0.255776	3	4	-1.2261	0.99347	0.99377	0.999995	1049	0	-1.2261
RRM2	4	0.00039799	0.0016673	0.327558	4	2	-0.68868	0.58015	0.57979	0.722185	73	0	-0.68868
FNIP1	4	0.00042248	0.0017233	0.327558	5	4	-1.1537	0.99958	0.99959	0.999995	1057	0	-1.1537
RPL5	4	0.00045607	0.0018541	0.327558	6	4	-1.49	0.99954	0.99957	0.999995	1056	0	-1.49
FANCM	4	0.00065178	0.0026667	0.403819	7	3	-1.2961	0.58015	0.57979	0.722185	783	0	-1.2961
FAM71A	4	0.00077589	0.0031057	0.41151	8	4	-0.96573	0.99922	0.99932	0.999995	1055	0	-0.96573
BUB3	4	0.00093252	0.0037876	0.446095	9	2	-0.57194	0.58015	0.57979	0.722185	650	0	-0.57194
TSG101	4	0.0013471	0.0053008	0.479785	10	4	-0.85207	0.99865	0.99877	0.999995	1054	0	-0.85207
RRM1	8	0.0013577	0.007337	0.548713	11	7	-1.1321	0.82372	0.82304	0.983563	866	0	-1.1321
RSBN1L	4	0.0013647	0.0053755	0.479785	12	3	-1.8147	0.97311	0.97339	0.999995	1016	0	-1.8147
NCBP2	4	0.0013834	0.0054315	0.479785	13	1	-0.22564	0.58015	0.57979	0.722185	147	0	-0.22564
ATP6V1B2	4	0.002263	0.0084859	0.548713	14	4	-1.1686	0.99774	0.99778	0.999995	1053	0	-1.1686
ATP5F1B	4	0.0023048	0.008598	0.548713	15	2	-0.26423	0.58015	0.57979	0.722185	570	0	-0.26423
CHORDC1	3	0.00304	0.0082991	0.548713	16	2	-1.6245	0.8187	0.81853	0.983563	863	0	-1.6245
RAN	4	0.0032256	0.011783	0.548713	17	1	-0.033722	0.58015	0.57979	0.722185	54	0	-0.033722
CLTC	4	0.0032496	0.01183	0.548713	18	2	-0.7786	0.88315	0.88322	0.999995	917	0	-0.7786
TBPL2	4	0.0034354	0.012456	0.548713	19	4	-0.69475	0.99656	0.9966	0.999995	1052	0	-0.69475
FDPS	4	0.0034394	0.012465	0.548713	20	2	-0.88342	0.58015	0.57979	0.722185	800	0	-0.88342
RPL36	4	0.0035038	0.012652	0.548713	21	2	-1.52	0.92762	0.9268	0.999995	958	0	-1.52
SNRPD3	4	0.0035688	0.012941	0.548713	22	3	-1.283	0.58015	0.57979	0.722185	422	0	-1.283
DYNLRB1	3	0.0037201	0.01012	0.548713	23	2	-1.5003	0.92787	0.92731	0.999995	959	0	-1.5003
STX17	4	0.0038771	0.013959	0.569117	24	4	-1.0426	0.99378	0.9941	0.999995	1050	0	-1.0426
RPL14	3	0.0039617	0.010756	0.548713	25	2	-2.1069	0.93726	0.93656	0.999995	971	0	-2.1069
RPP21	4	0.004086	0.014697	0.577008	26	4	-1.4433	0.99303	0.99327	0.999995	1046	0	-1.4433
DHX29	3	0.0043657	0.011961	0.548713	27	3	-1.3827	0.99563	0.9954	0.999995	1051	0	-1.3827
PRDM16	4	0.0061264	0.021348	0.642739	28	3	-0.83248	0.58015	0.57979	0.722185	192	0	-0.83248
SPAG9	4	0.0061957	0.021581	0.642739	29	3	-1.0773	0.9622	0.96202	0.999995	1006	0	-1.0773
XRCC6	4	0.0067676	0.023356	0.642739	30	3	-1.2733	0.58015	0.57979	0.722185	325	0	-1.2733
MTHFD1	4	0.0068143	0.023459	0.642739	31	4	-0.58979	0.99319	0.99344	0.999995	1048	0	-0.58979
TOP1	4	0.0069022	0.023674	0.642739	32	4	-1.3277	0.9931	0.99331	0.999995	1047	0	-1.3277
SF3A1	4	0.0069025	0.023674	0.642739	33	2	-0.24374	0.58015	0.57979	0.722185	382	0	-0.24374
ALDOA	4	0.0069531	0.02387	0.642739	34	3	-1.0912	0.86318	0.86334	0.999995	892	0	-1.0912
EIF3B	4	0.0070282	0.02415	0.642739	35	4	-1.5748	0.99239	0.99275	0.999995	1045	0	-1.5748
ABT1	4	0.0075417	0.025738	0.642739	36	3	-1.2595	0.98625	0.98661	0.999995	1035	0	-1.2595
GSDMD	4	0.0077674	0.026494	0.642739	37	3	-1.4567	0.91357	0.91241	0.999995	943	0	-1.4567
TRRAP	4	0.0077809	0.026523	0.642739	38	4	-1.4194	0.99222	0.99263	0.999995	1044	0	-1.4194
POLR2L	4	0.0078201	0.026635	0.642739	39	2	-0.45884	0.94498	0.94428	0.999995	985	0	-0.45884
MTUS1	4	0.0078244	0.026644	0.642739	40	2	-0.48677	0.58015	0.57979	0.722185	148	0	-0.48677
SBNO1	4	0.0080155	0.027298	0.642739	41	2	-0.9399	0.96282	0.96274	0.999995	1007	0	-0.9399
