gene	BF
ABCA3	-1.6550625
ABCB1	-1.52260416666667
ABCC3	-1.69197916666667
ABCG2	0.279229166666667
ABL1	-1.7633125
ABL2	-0.480645833333333
ABT1	3.78760416666667
ABTB2	-1.51910416666667
ACACA	7.8821875
ACACB	-0.6133125
ACTL6A	8.81502083333333
ACTL6B	-0.2343125
ACTL7A	-0.391979166666667
ADAM19	-2.11589583333333
ADAP1	-0.0535625000000001
ADAP2	-0.506395833333333
ADARB1	-1.62422916666667
ADARB2	-1.90597916666667
ADGRG7	-0.916854166666667
ADM	-0.9295625
ADSS	-0.477340277777778
ADSSL1	-0.309270833333333
AFG3L2	7.01165972222222
AHCYL1	5.62289583333333
AHCYL2	-1.6824375
AIPL1	-1.3308125
AKAP11	-1.35397916666667
AKIRIN1	1.4484375
AKIRIN2	5.09047916666667
ALAS1	-1.2954375
ALAS2	-1.1598125
ALDOA	9.4181875
ALDOC	-1.2880625
ALG14	-0.646020833333333
AMELX	-1.76389583333333
ANAPC4	2.1763125
ANKRD10	-1.7823125
ANKRD37	-1.9515625
ANXA1	-1.29177083333333
AOX1	-1.22935416666667
AP1G1	-0.965604166666667
AP1G2	-0.680895833333333
AP2A1	0.0465208333333332
AP2A2	-1.2485625
AP3M1	-1.41989583333333
AP5M1	-1.41977083333333
APH1A	0.261020833333333
APH1B	1.22939583333333
APOBEC1	-1.2349375
APOBEC3C	-1.0925625
AQP8	-1.93439583333333
ARFGEF1	-0.6705625
ARFGEF2	-1.5581875
ARFIP1	-1.09564583333333
ARFIP2	-0.550729166666667
ARHGEF3	-2.2745625
ARHGEF6	-1.31789583333333
ARHGEF7	-0.932479166666667
ARID1A	1.88277083333333
ARID1B	-1.6068125
ARID4A	-0.7669375
ARPC5	-0.172270833333333
ARPC5L	-1.14477083333333
ARSJ	-1.01877083333333
ASCL1	-1.78047916666667
ASF1A	0.0561041666666666
ASF1B	0.338125
ATAD2	-1.27527083333333
ATAD2B	-1.16597916666667
ATM	-0.9064375
ATOH1	-1.42389583333333
ATP5F1A	6.74772916666667
ATP5F1B	5.53897916666667
ATP5F1D	2.3919375
ATP5PB	0.176520833333333
ATP6V1B1	-0.377479166666667
ATP6V1B2	6.34964583333333
ATP6V1C1	5.63010416666667
ATP6V1C2	-0.722458333333333
ATP6V1D	4.8408125
ATP6V1E1	0.110548611111111
ATP6V1E2	0.6865625
ATP7A	1.45652083333333
ATP7B	-0.971604166666667
ATP8B3	-0.9333125
ATR	2.4464375
AXL	-1.39335416666667
BAP1	1.90347916666667
BARHL1	-1.6221875
BATF3	-0.7404375
BCAP31	-0.8398125
BECN1	2.09560416666667
BECN2	-1.46235416666667
BICD1	-1.01610416666667
BICD2	-1.25447916666667
BRD8	1.09497916666667
BRSK1	-1.39427083333333
BRSK2	-1.42860416666667
BTBD11	-1.56522916666667
BTG1	-2.0956875
BUB1B	5.74289583333333
BUB3	13.5091875
BZW1	-0.391895833333333
BZW2	-0.0819375
CAB39	-2.21460416666667
CAB39L	-1.05889583333333
CABP5	-0.502229166666667
CADPS	-1.58535416666667
CADPS2	-0.822729166666667
CALY	-1.1779375
CAND1	3.60927083333333
CAND2	-0.975395833333333
CAP1	-0.799895833333333
CAP2	-1.3413125
CAPN2	-1.2756875
CASP4	-1.86735416666667
CAT	-1.11572916666667
CAV1	-0.300229166666667
CAVIN1	-2.0373125
CBLL1	0.904145833333333
CBLL2	-2.03985416666667
CCDC69	-1.5644375
CCND1	5.34214583333333
CCND3	-1.21052083333333
CCNE1	-0.842104166666667
CCNE2	-1.39935416666667
CCNL1	3.2706875
CCNL2	-1.9821875
CCNT1	-1.52647916666667
CCNT2	-1.6349375
CCT6A	6.35327083333333
CCT6B	0.165104166666667
CD163L1	-1.92085416666667
CD44	-1.4835625
CD72	-1.4055625
CDC34	-0.483770833333333
CDIPT	7.03247916666667
CDK16	-1.68927083333333
CDK17	-0.2808125
CDK19	-1.29035416666667
CDK2	1.35589583333333
CDK5R1	-0.7973125
CDK5R2	-0.844270833333333
CDK7	10.9186041666667
CDK8	-0.620104166666667
CDNF	-0.9530625
CDS1	-0.730354166666667
CDS2	5.0243125
CEACAM1	-1.66422916666667
CELA2A	-1.75964583333333
CFL1	2.66360416666667
CHM	-1.62827083333333
CHML	-1.08739583333333
