gene	OMM25.D28A	OMM25.D28B	OMM25.D28C	OMM25.D42A	OMM25.D42B	OMM25.D42C
ABCA3	-0.0991160698675202	-0.032392543054959	-0.0612479134241655	-0.144796405539397	-0.0113881319467599	-0.0969128370082715
ABCB1	-0.0693542877257759	-0.0718892283912301	-0.0575998977859648	-0.154423299371119	-0.0615166153588816	-0.106106756267314
ABCC3	-0.0951071411471786	-0.0586213979239094	-0.0287576692837821	-0.127151054244977	-0.0357607013130275	-0.0552488073149966
ABCG2	-0.344087322342338	-0.276908167230996	-0.189433611177392	-0.246028829640341	-0.292163564376383	-0.199246706272785
ABL1	-0.0683989005456055	-0.133355774672161	-0.0366064367987314	-0.0486279926894588	-0.0694773652939326	-0.0171436659313441
ABL2	-0.142941773954763	-0.217804825172065	-0.174325090814701	-0.190473424004621	-0.212029079783572	-0.181290054567537
ABT1	-0.771784395396311	-0.461516716037523	-0.509733824386496	-0.863688370605197	-0.481912292531157	-0.512362936225918
ABTB2	-0.0857600297235435	-0.0491766118004601	-0.0667074444360485	-0.208812893232546	-0.0594025370593659	-0.0385006605456291
ACACA	-0.823682176780622	-0.755585980712496	-0.983822961975697	-0.898526184872297	-1.01970540079749	-1.32295512435249
ACACB	-0.163312470871119	-0.0786075802108343	-0.17756147863874	-0.244602983397162	-0.151848824319399	-0.220104595317629
ACTL6A	-0.78336182457289	-1.0377217198393	-1.06968968366334	-0.893049617125808	-1.35664523984839	-1.28947165183539
ACTL6B	-0.166980949315058	-0.181026528567669	-0.233495630855654	-0.228238283665885	-0.176248307425596	-0.270867990003723
ACTL7A	-0.128838562241837	-0.123013602415394	-0.0770163468561771	-0.355804565024578	-0.221199121874171	-0.256984189109577
ADAM19	-0.0174704800831887	-0.00933704837888657	-0.0129357001073001	0	-0.0454414374773039	-0.0865899898278724
ADAP1	-0.213585357912349	-0.256429270856462	-0.15157626506836	-0.25068674409267	-0.323630958113752	-0.16229645484194
ADAP2	-0.23552022843957	-0.0502049609663428	-0.108351288322019	-0.188931069660323	-0.285124102504121	-0.207883151407482
ADARB1	-0.0957038488006227	-0.0384946416210743	-0.1267991438127	-0.0962917864669306	-0.0430257519142885	-0.0529568174729778
ADARB2	-0.0450434337057001	-0.0380467856172004	-0.00264029900917415	-0.127280781869409	-0.0672010079399985	0
ADGRG7	-0.281079976911402	-0.0634894195165625	-0.104041294391601	-0.178522798216369	-0.120142643585102	-0.110954838884878
ADM	-0.115650954209825	-0.167553050407114	-0.16828190153137	-0.103489362072172	-0.0992476439741537	-0.222221121448495
ADSS	-0.252145180052663	-0.14429422463737	-0.164939289534729	-0.103564847708993	-0.192601461735756	-0.243079624734012
ADSSL1	-0.118353406038521	-0.189112830218742	-0.150571045331116	-0.236181817566471	-0.304949544991432	-0.195545267892731
AFG3L2	-0.793238940478367	-0.837726622639151	-0.859619597305571	-0.991729579861455	-1.06081779257965	-0.953675636515076
AHCYL1	-0.544247834407762	-0.55516911724065	-0.592481940020048	-0.894138211360303	-1.0262450212838	-0.926182260950413
AHCYL2	-0.101908962762556	-0.0433883787300839	-0.0427670433171747	-0.0904706178323693	-0.0521725763990482	-0.121562254002632
AIPL1	-0.0434368824298502	-0.161947488360894	-0.0564624312319465	-0.00259148564111138	-0.266506573518091	-0.111730469116684
AKAP11	-0.12337992438844	-0.0547944027418484	-0.0541705226664609	-0.0892721836037363	-0.128006470728197	-0.127929133754367
AKIRIN1	-0.349057469148854	-0.24641626995211	-0.320079620113121	-0.358264336612463	-0.411930466906136	-0.492799925474544
AKIRIN2	-0.641309563849567	-0.682365997970415	-0.620612576422534	-0.736267462280368	-0.882844609301496	-0.668088142632209
ALAS1	-0.11516659079	-0.100617670067054	-0.0513176341088816	-0.150679173808067	-0.143414931243012	-0.0679716322398409
ALAS2	-0.061832910302409	-0.0870893772541132	-0.126130631186126	-0.0712962915574975	-0.040902617505589	-0.333077046193961
ALDOA	-0.938372382648963	-1.17987668546356	-1.03791823064492	-1.29315307866529	-1.25677849370779	-1.25315138323624
ALDOC	-0.0695804854044547	-0.15661828453872	-0.0682037442194759	-0.124616932549672	-0.125749148596459	-0.121729535426405
ALG14	-0.168260016564247	-0.0445195776680623	-0.176643104634175	-0.225009874433225	-0.207005786845538	-0.19563340713325
AMELX	-0.00895541125750672	-0.0866410205432543	-0.00984461107007655	0	-0.207325986073293	-0.0512290987035851
ANAPC4	-0.517981433014684	-0.333098173673924	-0.379849833515347	-0.558791737789515	-0.364574291414631	-0.481812844609568
ANKRD10	-0.0725459014249816	-0.0944733809726254	-0.039429964540446	-0.052587195437557	-0.0495672864891851	-0.0810794439971679
ANKRD37	-0.0624699794832095	-0.0258495874479028	-0.0100725507911556	-0.09096828707058	-0.0498781599716729	-0.0266137575384172
ANXA1	-0.179981314338776	-0.113655949703076	-0.0210741471933393	-0.193029594939757	-0.139716044809337	-0.0170741526914917
AOX1	-0.0478111487053912	-0.113259222774838	-0.092275997674224	-0.0811983449324072	-0.160128910157391	-0.201174620243932
AP1G1	-0.15499651904639	-0.0708209272845645	-0.101172113452597	-0.254203204178415	-0.0900211667805126	-0.148056496973015
AP1G2	-0.174841121523391	-0.159417339816795	-0.0559483056115368	-0.234453915718789	-0.213697243481477	-0.147408372383284
AP2A1	-0.248784494212833	-0.135700758893685	-0.180438094958377	-0.367584743270656	-0.184906733620732	-0.292526712170596
AP2A2	-0.0777182932721623	-0.146105024979418	-0.0070543933481985	-0.135670534482251	-0.298902499447034	-0.0311901909868968
AP3M1	-0.131972438324791	-0.0380058706972082	-0.0593795732939327	-0.139990023721206	-0.118317500907781	-0.0914374167926352
AP5M1	-0.119893636362624	-0.121551226899429	0	-0.140188861652411	-0.153414175855384	-0.0224938954137765
APH1A	-0.176510666182221	-0.272144710691597	-0.210372985121188	-0.189437714153356	-0.34392275825612	-0.334917222771639
APH1B	-0.355098352304377	-0.352224488486647	-0.28452422188164	-0.3689865275932	-0.362871478677286	-0.360507385916805
APOBEC1	-0.0601217652839893	-0.0832568678638136	-0.102821615285731	-0.107599413508182	-0.147842248477678	-0.174462896497154
APOBEC3C	-0.041055575243141	-0.138441168095655	-0.129573817947994	-0.0993475414454147	-0.212754772615759	-0.150441185252731
AQP8	-0.11656557819571	-0.0242671619272902	0	-0.134898375139725	0	0
ARFGEF1	-0.0642236931555877	-0.21465840087096	-0.206123477919587	-0.0624434324324772	-0.233622894289538	-0.198381070164344
ARFGEF2	-0.0387524437679877	-0.0266488277652635	-0.0336637681832586	-0.141106373796808	-0.121477667954985	-0.152146923047392
ARFIP1	-0.14186435387292	-0.0993251458975011	-0.0363130150488336	-0.194768358613002	-0.211206096910829	-0.075674238392437
ARFIP2	-0.106176373646788	-0.260312039573816	-0.0671620561523422	-0.0918174018126472	-0.41811782497934	-0.124203671469119
ARHGEF3	-0.00276881987821618	-0.00346245647721811	-0.0102916117296349	-0.0389476964949725	-0.0109843379655419	-0.0521112411207019
ARHGEF6	-0.0644355889405945	-0.0722907371831342	-0.0861575057832974	-0.0943967382634279	-0.12056478802424	-0.189680690149009
ARHGEF7	-0.188097500337727	-0.046042571132718	-0.172522896062115	-0.168555445210556	-0.0104588652128549	-0.267107080361293
ARID1A	-0.25069681412526	-0.256421239274741	-0.436175039856755	-0.35547403301258	-0.316278120199513	-0.845667081471807
ARID1B	-0.0205928147432554	-0.102513141210748	-0.0561341272210581	-0.0555882151682967	-0.151496116162941	-0.0703442391957791
ARID4A	-0.0968201492160863	-0.140935600210276	-0.0643448083907287	-0.244574914446868	-0.283554153078685	-0.113802760702511
ARPC5	-0.345155888179525	-0.166581142962982	-0.0678570778257155	-0.373495342834477	-0.279382762782998	-0.0702683330043509
ARPC5L	-0.0940878952845338	-0.180376066537318	-0.0529729442867651	-0.150074123800199	-0.169523789819515	-0.0839617308756875
ARSJ	-0.0919367043833392	-0.076890047584142	-0.116284622539941	-0.192129931847985	-0.104295041961816	-0.221728255808151
ASCL1	-0.0590070366292484	-0.0124817395720636	-0.0586850384628827	-0.120381005004416	-0.0136095242580635	-0.0996489270871941
ASF1A	-0.253262332939777	-0.163791325685738	-0.225637624376178	-0.267509235319105	-0.203927686138765	-0.305484547802374
ASF1B	-0.152520121655912	-0.276402613792793	-0.168256575331507	-0.234591252900792	-0.380501182363047	-0.391482849155001
ATAD2	-0.113255796255274	-0.116426549155204	-0.0887623305642977	-0.1082405830896	-0.111725253122194	-0.0855158663151973
ATAD2B	-0.0982206315035267	-0.141802801092771	-0.03711149642309	-0.11027064856224	-0.277162337084016	-0.0484140564476616
ATM	-0.0802641076633624	-0.170249597382093	-0.0358828249501352	-0.135239753038745	-0.235164080184757	-0.183995955128609
ATOH1	-0.0535902587645133	-0.0654438794545175	-0.155081451378784	-0.0558167208340834	-0.067881878451487	-0.170122764432649
ATP5F1A	-0.783827794077148	-0.488442217327518	-0.689448636381411	-1.29084779165682	-0.712080769858999	-1.14825563175283
ATP5F1B	-0.559169640879794	-0.74153523753838	-0.804112092061455	-0.458998955669369	-0.95653752597234	-1.04471443883255
ATP5F1D	-0.483438969978757	-0.302133331659149	-0.458743507307976	-0.596097394856227	-0.32620981131799	-0.561762937890376
ATP5PB	-0.18683637507311	-0.226099996924978	-0.130220095800564	-0.363568726284305	-0.334962211179403	-0.24544060441864
ATP6V1B1	-0.222521206904223	-0.178806082834085	-0.150881181587381	-0.183519853780892	-0.168926291313683	-0.262341037594441
ATP6V1B2	-0.794874633341587	-0.798713908419301	-0.708143897805712	-1.03214503264792	-0.641515499396992	-1.00572731767635
ATP6V1C1	-0.684950894378264	-0.910442887412847	-0.639149911956333	-0.624587131653067	-1.11899069292048	-0.639250087599765
ATP6V1C2	-0.177643367754644	-0.150671385995508	-0.103990735882326	-0.202298263368864	-0.224686988306149	-0.133891100535417
ATP6V1D	-0.623436596007021	-0.67200518065597	-0.504532362506095	-0.891558572969543	-0.859885992676721	-0.574809403005617
ATP6V1E1	-0.196266241331408	-0.282711143506002	-0.0735282490365525	-0.312046501008929	-0.389722782421637	-0.215252626564013
ATP6V1E2	-0.245101189139802	-0.171419024391174	-0.272404611455183	-0.410337957931424	-0.256614885122994	-0.400835599242115
ATP7A	-0.322240192177969	-0.352155531738281	-0.319981795450354	-0.424899800230842	-0.298500443083279	-0.512465583653567
ATP7B	-0.124777306804908	-0.102217340659498	-0.167899292731139	-0.122110775406658	-0.12013596536037	-0.195932017238605
ATP8B3	-0.111603641717978	-0.108527257925712	-0.155062124838273	-0.150780424845648	-0.11026182962368	-0.238118296786424
ATR	-0.318218118454574	-0.478721320695053	-0.437128627388237	-0.328762037638559	-0.631700483620395	-0.549914333488831
AXL	-0.0741147941130626	-0.0930002203415588	-0.0523046164169447	-0.0949456101648633	-0.117178907957981	-0.183573171076993
BAP1	-0.315651595587199	-0.346226942760676	-0.295432385023461	-0.488427311073607	-0.526142496567234	-0.48268132550676
BARHL1	0	-0.123111316061863	-0.0983234318333114	0	-0.113784004735316	-0.105679817401226
BATF3	-0.259629067818745	-0.128440970297746	-0.105868361659796	-0.192724836746875	-0.164655041471804	-0.11524472132211
BCAP31	-0.123592493441605	-0.151299484066322	-0.0679228402974209	-0.118074309248385	-0.214788865580841	-0.204231901691091
BECN1	-0.364908302844846	-0.390217787059051	-0.169098454277856	-0.784900822773241	-0.602871846494987	-0.224948728635114
BECN2	-0.0135199558079392	-0.0175771554132327	-0.213015400160009	-0.0711334758493466	-0.0713132145455828	-0.162237142130611
BICD1	-0.0851896087385177	-0.0765464008788449	-0.0588128220461498	-0.125953675640235	-0.185183242289172	-0.265543923142953
BICD2	-0.141575547777336	-0.0404879395835987	-0.102288904085317	-0.105920952439726	-0.0803356318163972	-0.214696752711012
BRD8	-0.313190392662407	-0.253844786484064	-0.294240436635866	-0.488638599610073	-0.307098263932854	-0.344650304201855
BRSK1	-0.108359120205415	-0.135319395218294	-0.0338940071983285	-0.0861711296765622	-0.181327140607395	-0.0369949802984189
BRSK2	-0.0265519146914036	-0.0960784644567092	-0.0486512568425356	-0.0822893793068719	-0.18529369222012	-0.146652396331274
BTBD11	-0.0821188080016291	-0.0281646878837424	-0.102220444427899	-0.120259467594272	-0.0323983023721344	-0.124621869112345
BTG1	-0.0106830146688021	-0.0454379957163212	-0.0294229257835774	0	-0.0842601843743306	-0.0495897838692588
BUB1B	-0.792380315090363	-0.794350297752816	-0.742708458057943	-0.745490365093589	-0.87518203264536	-0.841440863859421
BUB3	-1.24815504494666	-1.52270609259402	-1.40138342954656	-1.46214837722326	-1.83191769489221	-1.67079724618422
BZW1	-0.181203452946392	-0.141951713399728	-0.109689206630748	-0.128354720012589	-0.261438381428849	-0.338872516715865
BZW2	-0.244599539864038	-0.116969804752734	-0.20012880488483	-0.396613428732159	-0.145143775120779	-0.252567476979326
CAB39	-0.0695086131853526	0	-0.00881163815027613	-0.0370031942156183	0	0
CAB39L	-0.14268394562186	-0.133938612184859	-0.0905021553152834	-0.11616520978035	-0.198148589956113	-0.0916930477235245
CABP5	-0.0987596390479856	-0.260155444133771	-0.10630795552271	-0.10229770340637	-0.366052084465836	-0.165501592198209
CADPS	-0.0450924562485537	-0.122615355442229	-0.0468153805275619	-0.0587269653898428	-0.172032579096831	-0.0302447494566875
CADPS2	-0.15920589111349	-0.170799863788013	-0.232130755630331	-0.121878633004649	-0.108221770423247	-0.128784766860401
CALY	-0.0885306955427896	-0.0925407899522912	-0.125394236973843	-0.171125264625225	-0.108329470169135	-0.138366778606635
CAND1	-0.407284045372272	-0.606567365289861	-0.445164726925154	-0.649959252940927	-0.766379606679568	-0.499747131516924
CAND2	-0.165900502829272	-0.0898702470157495	-0.0996890859948972	-0.157579451442232	-0.186418088942306	-0.131487631975555
CAP1	-0.0631637181287087	-0.244614137287751	-0.141639670445964	-0.0628253356498098	-0.270702547408563	-0.142195141582267
CAP2	-0.063209499333298	-0.152989439348231	-0.110762905879152	-0.0622219439861976	-0.17219447408032	-0.0622446920590256
CAPN2	-0.112130974869544	-0.114700389898384	-0.144134880130281	-0.0373798085711055	-0.152290516828969	-0.0920902342058043
CASP4	-0.0873724866840008	0	-0.0316018881084201	-0.115868181520634	-0.0482083893369745	-0.0595035732294291
CAT	-0.168442675562468	-0.121573704863	-0.053203500235893	-0.172358870583077	-0.115966327215655	-0.119880841316066
CAV1	-0.200249861513325	-0.283031085674571	-0.183796312231778	-0.199252166185289	-0.295217805990779	-0.0488428486415427
CAVIN1	-0.0239416821875591	-0.0148565778723642	-0.0830594750183995	-0.0248389322487436	-0.0255543969638593	-0.0762088964323381
CBLL1	-0.234376014120865	-0.216887554514492	-0.272248660406635	-0.412036355259999	-0.297816608959166	-0.461429962942859
CBLL2	-0.0600821297087542	0	-0.0353234334518757	-0.0528693518446214	-0.00322399817027525	-0.0993078131879009
CCDC69	-0.073204676029626	-0.106686619936431	-0.0353155606647906	-0.065824966496439	-0.109523209791499	-0.106615557278069
CCND1	-0.619433131166375	-0.487565966411003	-0.549862299021297	-0.979585359728872	-0.834162135469508	-0.910573210217507
CCND3	-0.0909922209929341	-0.00868791390872516	-0.176745230187652	-0.120453934062512	-0.0203543386710494	-0.273145182248022
CCNE1	-0.116717677645889	-0.25628771652333	-0.147243711863833	-0.0981559365707388	-0.220331431306474	-0.0870124475629068
