gene	BF
ABCA3	-0.970020833333333
ABCB1	-1.5103125
ABCC3	-0.697104166666667
ABCG2	-1.04460416666667
ABL1	-1.2568125
ABL2	-0.1035625
ABT1	1.06635416666667
ABTB2	-0.4110625
ACACA	-0.871854166666667
ACACB	-1.13810416666667
ACTL6A	0.8664375
ACTL6B	-0.3521875
ACTL7A	0.00547916666666665
ADAM19	-1.0299375
ADAP1	-0.0892291666666667
ADAP2	-0.5960625
ADARB1	-1.21235416666667
ADARB2	-1.1850625
ADGRG7	-0.592145833333333
ADM	-0.0283125
ADSS	-0.543631944444444
ADSSL1	-0.6764375
AFG3L2	-0.0637986111111111
AHCYL1	0.429020833333333
AHCYL2	-1.3445625
AIPL1	-1.12189583333333
AKAP11	-0.5794375
AKIRIN1	0.0543124999999999
AKIRIN2	0.454395833333333
ALAS1	-1.49425
ALAS2	-1.1069375
ALDOA	1.49427083333333
ALDOC	-0.418645833333333
ALG14	-1.08897916666667
AMELX	-1.40239583333333
ANAPC4	-0.498770833333333
ANKRD10	-0.5845625
ANKRD37	-0.976645833333333
ANXA1	-1.62764583333333
AOX1	-1.2385625
AP1G1	-0.969104166666667
AP1G2	-0.840770833333333
AP2A1	0.784395833333333
AP2A2	-1.02772916666667
AP3M1	-0.282145833333333
AP5M1	-0.918104166666667
APH1A	-0.987520833333333
APH1B	-0.969395833333333
APOBEC1	-0.473520833333333
APOBEC3C	-0.577520833333333
AQP8	-1.38422916666667
ARFGEF1	-0.687270833333333
ARFGEF2	-0.5865625
ARFIP1	-1.46989583333333
ARFIP2	-0.485895833333333
ARHGEF3	-1.1254375
ARHGEF6	-1.73822916666667
ARHGEF7	-0.303229166666667
ARID1A	-0.3724375
ARID1B	-0.446520833333333
ARID4A	-1.3438125
ARPC5	-0.0446875
ARPC5L	-0.3964375
ARSJ	-0.799145833333333
ASCL1	-0.398645833333333
ASF1A	-0.412395833333333
ASF1B	-0.1474375
ATAD2	-1.0183125
ATAD2B	-1.35085416666667
ATM	-1.0109375
ATOH1	-0.845145833333333
ATP5F1A	0.1408125
ATP5F1B	1.60185416666667
ATP5F1D	0.874895833333333
ATP5PB	-0.263895833333333
ATP6V1B1	-1.07464583333333
ATP6V1B2	1.4179375
ATP6V1C1	0.8198125
ATP6V1C2	-0.4138125
ATP6V1D	0.0804791666666667
ATP6V1E1	-1.59613194444444
ATP6V1E2	-1.05572916666667
ATP7A	-2.05285416666667
ATP7B	-1.29497916666667
ATP8B3	-0.962145833333333
ATR	-0.137354166666667
AXL	-0.980979166666667
BAP1	-0.909604166666667
BARHL1	-0.5078125
BATF3	-0.469270833333333
BCAP31	-0.680520833333333
BECN1	-0.849729166666667
BECN2	-0.968645833333333
BICD1	-0.0207708333333334
BICD2	-0.0267291666666667
BRD8	-0.234229166666667
BRSK1	-0.8474375
BRSK2	0.3583125
BTBD11	-0.524645833333333
BTG1	-0.476520833333333
BUB1B	-0.143145833333333
BUB3	3.0116875
BZW1	-0.379131944444444
BZW2	-0.0550208333333334
CAB39	-1.59902083333333
CAB39L	-0.9389375
CABP5	-0.1006875
CADPS	-0.7138125
CADPS2	-1.2959375
CALY	-0.581354166666667
CAND1	-0.252604166666667
CAND2	-0.6480625
CAP1	-0.6901875
CAP2	-0.3845625
CAPN2	-0.384270833333333
CASP4	-0.957020833333333
CAT	-1.3323125
CAV1	-1.18072916666667
CAVIN1	0.00935416666666662
CBLL1	-0.944854166666667
CBLL2	-1.32147916666667
CCDC69	-1.16114583333333
CCND1	2.44914583333333
CCND3	1.0470625
CCNE1	-0.915604166666667
CCNE2	-0.885645833333333
CCNL1	-0.782854166666667
CCNL2	-0.901229166666667
CCNT1	0.4736875
CCNT2	0.0876875
CCT6A	-0.243854166666667
CCT6B	-0.7481875
CD163L1	-1.4798125
CD44	-0.850145833333333
CD72	-1.13285416666667
CDC34	-0.6545625
CDIPT	-0.219895833333333
CDK16	-1.5403125
CDK17	-1.64877083333333
CDK19	-1.11966666666667
CDK2	0.6733125
CDK5R1	0.0218541666666666
CDK5R2	0.0198541666666666
CDK7	1.41802083333333
CDK8	0.193229166666667
CDNF	-0.940895833333333
CDS1	-1.18197916666667
CDS2	-0.0258125
CEACAM1	-0.749604166666667
CELA2A	-0.9478125
CFL1	-0.232645833333333
CHM	-1.47289583333333
CHML	-1.20577083333333
CHMP1A	0.0922708333333333
CHMP1B	-1.05560416666667
CHORDC1	2.31947916666667
CHRNB3	-0.787395833333333
CHSY1	-1.5875625
CHSY3	-0.4986875
CHUK	-0.336333333333333
CKAP5	0.535104166666667
CLASP1	-0.4449375
CLASP2	-1.2333125
CLCA1	-1.0975625
CLDN4	-0.428770833333333
CLIP4	-1.50585416666667
CLNS1A	1.50292361111111
CLTA	0.156729166666667
