id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
MYC	8	6.0857e-11	4.6703e-06	0.002475	1	8	-1.2604	1.0	1.0	0.999995	1060	0	-1.2604
RRM2	4	1.994e-06	4.6703e-06	0.002475	2	3	-1.3455	0.60185	0.60109	0.999995	617	0	-1.3455
MTG2	4	3.2106e-06	1.4011e-05	0.00495	3	4	-1.0689	1.0	1.0	0.999995	1059	0	-1.0689
PRKDC	8	9.9809e-06	4.2033e-05	0.011139	4	7	-0.81371	0.97052	0.97055	0.999995	983	0	-0.81371
NAE1	8	1.6334e-05	9.8076e-05	0.015952	5	7	-0.74661	0.39449	0.39517	0.999995	409	0	-0.74661
RRM1	8	2.1007e-05	0.00013544	0.015952	6	8	-1.4074	0.99973	0.99972	0.999995	1050	0	-1.4074
E2F3	3	2.4264e-05	7.9395e-05	0.015952	7	3	-1.6193	0.99998	0.99999	0.999995	1058	0	-1.6193
PRPF8	4	3.8513e-05	0.00010742	0.015952	8	4	-1.2602	0.99996	0.99996	0.999995	1057	0	-1.2602
BUB3	4	4.8975e-05	0.00013544	0.015952	9	4	-1.4375	0.99992	0.99992	0.999995	1055	0	-1.4375
POLR2L	4	5.9356e-05	0.00015412	0.016337	10	4	-1.3997	0.99994	0.99995	0.999995	1056	0	-1.3997
PPP4C	4	6.8551e-05	0.00019148	0.018452	11	3	-1.0102	0.87867	0.87902	0.999995	869	0	-1.0102
HRAS	4	9.023e-05	0.00035961	0.031607	12	4	-0.74281	0.99991	0.9999	0.999995	1054	0	-0.74281
CCND1	4	0.00010425	0.00038763	0.031607	13	4	-1.304	0.99981	0.99984	0.999995	1053	0	-1.304
ALDOA	4	0.00012732	0.00054642	0.041372	14	3	-1.0111	0.72874	0.72811	0.999995	729	0	-1.0111
CCND3	4	0.00019842	0.00089202	0.062191	15	4	-0.81778	0.9998	0.99983	0.999995	1052	0	-0.81778
NMT1	4	0.00022428	0.00093873	0.062191	16	4	-0.93931	0.99978	0.99979	0.999995	1051	0	-0.93931
RPP21	4	0.00030207	0.001275	0.079499	17	4	-1.3312	0.9997	0.99972	0.999995	1049	0	-1.3312
SOX9	4	0.00039854	0.0016673	0.091337	18	4	-0.66293	0.9996	0.99961	0.999995	1048	0	-0.66293
KIF11	4	0.00042248	0.0017233	0.091337	19	4	-1.0693	0.99958	0.99959	0.999995	1047	0	-1.0693
CHORDC1	3	0.00044718	0.0013777	0.081133	20	3	-1.0712	0.99955	0.99955	0.999995	1046	0	-1.0712
MRPL38	4	0.00051015	0.0020596	0.103735	21	4	-0.83528	0.99949	0.9995	0.999995	1045	0	-0.83528
TOP1MT	4	0.00052699	0.002153	0.103735	22	3	-0.97546	0.55807	0.55759	0.999995	580	0	-0.97546
TIMM10	4	0.00055878	0.0023024	0.106113	23	4	-0.8352	0.99944	0.99948	0.999995	1044	0	-0.8352
LDB1	8	0.00059326	0.003853	0.157083	24	7	-0.80202	0.95639	0.95632	0.999995	966	0	-0.80202
RHBDF1	4	0.00064746	0.0026574	0.117368	25	4	-0.72832	0.99935	0.99943	0.999995	1043	0	-0.72832
SLC25A37	4	0.00086066	0.0034513	0.146337	26	4	-1.0374	0.99914	0.99928	0.999995	1042	0	-1.0374
UQCRC1	4	0.0010401	0.0041986	0.164833	27	4	-0.76093	0.99896	0.99913	0.999995	1041	0	-0.76093
CLTC	4	0.0011432	0.0045629	0.172737	28	4	-0.95782	0.99534	0.99555	0.999995	1028	0	-0.95782
SF3B1	4	0.0012142	0.0048431	0.177023	29	3	-0.83482	0.55204	0.55081	0.999995	573	0	-0.83482
PDCD6IP	4	0.0013601	0.0053661	0.189604	30	4	-0.87602	0.99864	0.99875	0.999995	1040	0	-0.87602
GTF3C1	4	0.0016185	0.0063282	0.216385	31	4	-0.80332	0.99838	0.99846	0.999995	1039	0	-0.80332
RPS5	4	0.0017317	0.0067859	0.223072	32	3	-0.81828	0.89554	0.89488	0.999995	889	0	-0.81828
MED18	8	0.0017616	0.010821	0.286757	33	7	-0.78001	0.39449	0.39517	0.999995	412	0	-0.78001
SF3A1	4	0.001778	0.0069447	0.223072	34	3	-1.013	0.22185	0.22139	0.595605	161	0	-1.013
AP2A1	4	0.0019376	0.0073931	0.229937	35	4	-0.58212	0.99806	0.99817	0.999995	1038	0	-0.58212
ERBB3	8	0.002016	0.012484	0.315064	36	8	-0.4745	0.99798	0.99798	0.999995	1037	0	-0.4745
RPL10A	4	0.002122	0.0079908	0.229937	37	3	-1.0172	0.46614	0.46491	0.999995	490	0	-1.0172
PHLDA2	4	0.0021503	0.0081216	0.229937	38	4	-0.60796	0.99785	0.99792	0.999995	1036	0	-0.60796
MRPL41	4	0.0021922	0.0082337	0.229937	39	4	-1.0552	0.9851	0.98542	0.999995	1007	0	-1.0552
MDM4	4	0.0021968	0.008243	0.229937	40	4	-0.85149	0.9978	0.99787	0.999995	1035	0	-0.85149
PLXDC1	8	0.0025255	0.015417	0.347693	41	8	-0.43669	0.99747	0.99745	0.999995	1034	0	-0.43669
