gene	X921.D28A	X921.D28B	X921.D28C	X921.D42A	X921.D42B	X921.D42C
ABCA3	-0.267033413900843	-0.348646331119436	-0.254712933503355	-0.246602688778522	-0.349346509539878	-0.203094226251435
ABCB1	-0.104926659480615	-0.063304397939662	-0.14748464105229	-0.144627784008004	-0.147187833528346	-0.160055946962162
ABCC3	-0.310578611342344	-0.340238693742268	-0.32410232684014	-0.357889577128177	-0.286936024079245	-0.483108816579644
ABCG2	-0.211813329790719	-0.275437320428053	-0.152992149241763	-0.367590299175789	-0.405972586001644	-0.0993249362704799
ABL1	-0.161166856388968	-0.229106945009092	-0.174072673432737	-0.179195297830223	-0.262854901997621	-0.150849644697382
ABL2	-0.491799217227791	-0.469476283359249	-0.472856955512043	-0.747950499394418	-0.417317349334893	-0.47773127404952
ABT1	-0.732829067363883	-0.67198335816887	-0.784004436562489	-0.936878098993108	-0.918805583752661	-0.953226655364275
ABTB2	-0.346292894142546	-0.356365824646449	-0.613303015323012	-0.452284063118264	-0.287007659964736	-0.556821900194165
ACACA	-0.483911809526593	-0.297259340223486	-0.305116959213798	-0.327162725979657	-0.167930396992382	-0.217775141642405
ACACB	-0.224182337698747	-0.162041923505228	-0.270019450967925	-0.334276593098449	-0.115964213039652	-0.292895487481428
ACTL6A	-0.693939837794845	-0.711534002604102	-0.610431081886433	-0.69317732676273	-1.00318199635036	-0.957275748737027
ACTL6B	-0.411884784710464	-0.318970736813915	-0.513244155598712	-0.547833963757875	-0.273856872698322	-0.636325378876554
ACTL7A	-0.434896343825202	-0.486841742530128	-0.627750148755678	-0.3489646927204	-0.581363167805494	-0.801391689572954
ADAM19	-0.259646049390684	-0.163003113796901	-0.200453807056933	-0.353137946117773	-0.304046472051491	-0.250089118113368
ADAP1	-0.434079382314331	-0.467699581970635	-0.497481300295523	-0.58630594229021	-0.587328636464683	-0.518181520739652
ADAP2	-0.321697382659487	-0.315707884745525	-0.31333662878441	-0.429948677997341	-0.380862857187837	-0.54192661408471
ADARB1	-0.115207476855432	-0.11478358471439	-0.164891635942299	-0.230706280453895	-0.245969527368016	-0.311983506902323
ADARB2	-0.244620335914438	-0.244213449215096	-0.248786157805945	-0.141655376674594	-0.182366250890038	-0.304388151689675
ADGRG7	-0.261176836527051	-0.346342777792741	-0.267743309019018	-0.488910924896965	-0.494932165418492	-0.382865375602244
ADM	-0.599269459554811	-0.489745298714734	-0.475070008037642	-0.814643867889447	-0.493777340600603	-0.378055630381995
ADSS	-0.372280088945969	-0.335787475006535	-0.364201653293114	-0.346912246988169	-0.542411747788658	-0.414040187243975
ADSSL1	-0.366752695545293	-0.307359992006076	-0.339501071681171	-0.564082485680374	-0.187670138234038	-0.357623490815891
AFG3L2	-0.4051597053963	-0.603489188262591	-0.386751519760451	-0.51774543125738	-0.859446307134834	-0.370831786212994
AHCYL1	-0.67880273453922	-0.548894933209712	-0.592218187186309	-0.627711422472439	-0.66856829053863	-0.871007597340169
AHCYL2	-0.174471483255535	-0.165540917811951	-0.180554504249405	-0.209584814659662	-0.182403119450576	-0.130938062960818
AIPL1	-0.206919063306812	-0.145723025721361	-0.234976778136327	-0.377762779328749	-0.08405544727954	-0.330629145820194
AKAP11	-0.441984496383009	-0.369345693612843	-0.325097731222784	-0.525316245873014	-0.401022351727636	-0.253266596056971
AKIRIN1	-0.350247070973813	-0.451176010149673	-0.66995492788033	-0.576956537047416	-0.484598377675438	-0.81208232930019
AKIRIN2	-0.605718089799794	-0.653974772651468	-0.598766034056771	-0.932111676703803	-0.775109399745835	-0.461992998553701
ALAS1	-0.13255692549945	-0.129188101000249	-0.140463972120914	-0.0706897257505796	-0.174948088887909	-0.145345179175031
ALAS2	-0.129839120814982	-0.271559548703957	-0.274909254694009	-0.165964460739857	-0.242646092228585	-0.32025043633086
ALDOA	-0.774324469397789	-1.08150586974389	-0.760681532543579	-1.16540924649309	-1.27855665866002	-0.749243060181679
ALDOC	-0.445751763597059	-0.305633982966084	-0.450902691454282	-0.544795546593705	-0.29514621934569	-0.557107754303203
ALG14	-0.158756888740029	-0.20555891847589	-0.119747919212906	-0.230428505261176	-0.391282588561793	-0.35366130731798
AMELX	-0.19857559635602	-0.0967622643746974	-0.0883359574721853	-0.198216751220144	-0.184342072768758	-0.13079273139825
ANAPC4	-0.328080262691754	-0.380674008866937	-0.315821185752334	-0.445592690748956	-0.444755574668074	-0.535486512141318
ANKRD10	-0.427457936761094	-0.322188279329233	-0.364483561817419	-0.598184048890107	-0.234378439201761	-0.336649410540107
ANKRD37	-0.213233935052444	-0.251878772261032	-0.246726566649497	-0.162654778938563	-0.342127193766989	-0.410189080968108
ANXA1	-0.0227983037425258	-0.0834600345071006	-0.0385452688843593	-0.0357094733176835	-0.214144126873931	-0.187989139156566
AOX1	-0.167650896649506	-0.315596855204452	-0.0829252174234888	-0.127295406461474	-0.298532945197409	-0.183557614952458
AP1G1	-0.324798711967141	-0.23488568587135	-0.279502075549112	-0.305802351265643	-0.239103835457552	-0.32189022413483
AP1G2	-0.285451909429558	-0.255909959340722	-0.179909076264756	-0.453421323593978	-0.425947992982185	-0.266263060819325
AP2A1	-0.774276023792064	-0.792864933691998	-0.56735542917782	-1.03193988034721	-0.901649050333383	-0.533755589230453
AP2A2	-0.281724563586199	-0.215988311642011	-0.199120801767607	-0.387542928647707	-0.199602487027938	-0.214346522493329
AP3M1	-0.4684257617106	-0.467299251133798	-0.345857102562879	-0.519606348843347	-0.50957823097816	-0.482020280132081
AP5M1	-0.192225559747449	-0.255245219607163	-0.310418495036589	-0.244779669283554	-0.431412799092197	-0.332295664049924
APH1A	-0.257648938910021	-0.206019099816995	-0.248778688934244	-0.391993536295287	-0.0965022336670044	-0.476076435911053
APH1B	-0.161240837893793	-0.184981669606115	-0.391361405423347	-0.166945467958466	-0.369703533259095	-0.406606421891114
APOBEC1	-0.312980839006073	-0.339840079609173	-0.319612460977347	-0.468874655674206	-0.594316440312129	-0.434149276478962
APOBEC3C	-0.474354330514384	-0.5073612316724	-0.303210242616366	-0.433904694544846	-0.383612431791278	-0.193195915086604
AQP8	-0.148567325709318	-0.12588734485749	-0.0971151418313416	-0.23032387204226	-0.302295461055955	-0.0845671289593425
ARFGEF1	-0.261719142990593	-0.425015924566197	-0.272652002945967	-0.27443621661169	-0.527876511305	-0.380309529361065
ARFGEF2	-0.375783712888893	-0.281065707241911	-0.417722740991649	-0.229784161958109	-0.419961351764376	-0.594811091793188
ARFIP1	-0.129723317828066	-0.177554813560762	-0.118141706769059	-0.102563481546307	-0.257223344414235	-0.132553523682201
ARFIP2	-0.376489952578997	-0.386052536411356	-0.297758788148638	-0.555128489710064	-0.460886656356552	-0.346792307045775
ARHGEF3	-0.169661897390719	-0.205323111274562	-0.209522847561343	-0.180434064207556	-0.268357053240679	-0.376434279666935
ARHGEF6	-0.0722096232919277	-0.0795739110286287	-0.00041172676382587	-0.116732358959658	-0.0450656249360873	-0.00596933194923495
ARHGEF7	-0.310265237404507	-0.450170109695922	-0.409104229147814	-0.587339807883925	-0.543950286370756	-0.448649584614293
ARID1A	-0.48996584962188	-0.511603928079239	-0.430186682359291	-0.295316992268726	-0.562238582835639	-0.358946159904437
ARID1B	-0.344508188250539	-0.392797695551082	-0.437050803195094	-0.325043863435443	-0.627092949797263	-0.4180341704323
ARID4A	-0.17338948471929	-0.235080502651387	-0.267606955947449	-0.0978957673847531	-0.0985302049937803	-0.170111893330706
ARPC5	-0.438966338734582	-0.439161368364723	-0.393143388776408	-0.664446030737139	-0.872313866839616	-0.367982287339566
ARPC5L	-0.351034855035582	-0.469970773077745	-0.39446608995165	-0.406955945432298	-0.457005589030728	-0.519289858993432
ARSJ	-0.334613463203116	-0.256277332606489	-0.423239491502611	-0.267273478052042	-0.356463197353049	-0.284695594755785
ASCL1	-0.525187429237327	-0.425463628294622	-0.393929419744401	-0.451430373457215	-0.351568508025438	-0.44841219441003
ASF1A	-0.345090493345278	-0.298742735085219	-0.334795713953883	-0.594388358662775	-0.480104042590665	-0.556691839561778
ASF1B	-0.428309087822092	-0.39128481764882	-0.567934543466179	-0.450541346575305	-0.415504684124914	-0.764532079573911
ATAD2	-0.311097458296639	-0.186441121519734	-0.293755948611078	-0.196411408027229	-0.199652633867895	-0.366905018145206
ATAD2B	-0.171982927503955	-0.188321894560772	-0.221616483517237	-0.291279543775779	-0.0295618088790909	-0.0969492380717393
ATM	-0.123294122564836	-0.146752183030704	-0.0985387385777371	-0.389575940756052	-0.506447361140234	-0.336508526158147
ATOH1	-0.306478856872135	-0.377405740298061	-0.296005869124801	-0.371028860044922	-0.23338356044663	-0.293777784887684
ATP5F1A	-0.707549010478356	-0.393913547364605	-0.381487071567228	-0.897037869819214	-0.596600540468017	-0.501968940475204
ATP5F1B	-0.918134140543882	-0.965406969092399	-0.793421480244937	-1.1284539786397	-1.16327619157935	-0.908299310779958
ATP5F1D	-0.608683413887761	-0.672025690404977	-0.737126533911491	-0.764763776603643	-0.987357900419351	-0.838604793478128
ATP5PB	-0.416714657085856	-0.371256297763155	-0.43145219567459	-0.538402703075409	-0.444069048377373	-0.620457676394585
ATP6V1B1	-0.240531173428703	-0.224907134861419	-0.222379045617631	-0.315393529916066	-0.16103211948064	-0.298290233583298
ATP6V1B2	-0.792734169987054	-0.711271305069858	-0.976209684260092	-1.03883188478186	-0.827614318033091	-1.1167128896823
ATP6V1C1	-0.758305789168496	-0.626993255213597	-0.702140075044368	-1.08304762654555	-0.877034379175563	-0.616662805051476
ATP6V1C2	-0.255868107585039	-0.393513840063299	-0.467594101482031	-0.444720970217015	-0.474785411020534	-0.533082547066441
ATP6V1D	-0.436252304693113	-0.477053775328651	-0.420047943217937	-0.46126037135104	-0.911948047149869	-0.708899896516963
ATP6V1E1	-0.0252852960074474	-0.0967622049616669	-0.0448354031656187	-0.107600970900251	-0.229895941308995	-0.130863127121233
ATP6V1E2	-0.35923181570526	-0.101962933866484	-0.200127034211526	-0.394525742448657	-0.258237036073619	-0.177128457969614
ATP7A	0	0	0	0	0	0
ATP7B	-0.0846589838329164	-0.150350236288511	-0.140737126698852	-0.23344921271089	-0.258937315430552	-0.211472646389538
ATP8B3	-0.28276523769613	-0.205513052016174	-0.281765912511677	-0.241840964159613	-0.245177486222	-0.353316548674234
