gene	BF
ABCA3	-0.4179375
ABCB1	-1.59497916666667
ABCC3	-0.832020833333333
ABCG2	-1.2835625
ABL1	-1.43772916666667
ABL2	-0.461645833333333
ABT1	3.95289583333333
ABTB2	-0.152770833333333
ACACA	0.434354166666667
ACACB	-1.14460416666667
ACTL6A	3.50285416666667
ACTL6B	-1.18997916666667
ACTL7A	-0.505729166666667
ADAM19	-1.61502083333333
ADAP1	0.560354166666667
ADAP2	-0.1443125
ADARB1	-1.31064583333333
ADARB2	-0.758020833333333
ADGRG7	-0.968479166666667
ADM	-0.895229166666667
ADSS	-0.648784722222222
ADSSL1	-0.493229166666667
AFG3L2	3.81788194444444
AHCYL1	3.98297916666667
AHCYL2	-0.821145833333333
AIPL1	-0.518020833333333
AKAP11	-1.0306875
AKIRIN1	0.2461875
AKIRIN2	2.43514583333333
ALAS1	-0.275895833333333
ALAS2	-1.20139583333333
ALDOA	5.7339375
ALDOC	-0.271520833333333
ALG14	-0.635020833333333
AMELX	-1.22722916666667
ANAPC4	0.0272291666666666
ANKRD10	-1.60660416666667
ANKRD37	-1.3323125
ANXA1	-1.59802083333333
AOX1	-0.8899375
AP1G1	-0.467770833333333
AP1G2	-0.875479166666667
AP2A1	-0.491479166666667
AP2A2	-1.6145625
AP3M1	-0.962479166666667
AP5M1	-0.9244375
APH1A	1.03472916666667
APH1B	-1.0698125
APOBEC1	-0.572854166666667
APOBEC3C	-1.0039375
AQP8	-1.3374375
ARFGEF1	-0.413520833333333
ARFGEF2	0.283604166666667
ARFIP1	-1.63364583333333
ARFIP2	-1.6394375
ARHGEF3	-1.09027083333333
ARHGEF6	-1.07060416666667
ARHGEF7	-0.6038125
ARID1A	1.18802083333333
ARID1B	-0.841979166666667
ARID4A	0.258395833333333
ARPC5	-1.12014583333333
ARPC5L	-0.4990625
ARSJ	-1.05610416666667
ASCL1	-0.776854166666667
ASF1A	-0.8605625
ASF1B	-0.912583333333333
ATAD2	-0.6428125
ATAD2B	-1.2014375
ATM	-1.14535416666667
ATOH1	-0.958770833333333
ATP5F1A	3.3611875
ATP5F1B	3.82472916666667
ATP5F1D	2.60077083333333
ATP5PB	0.107479166666667
ATP6V1B1	-0.8860625
ATP6V1B2	8.09589583333333
ATP6V1C1	1.6073125
ATP6V1C2	-0.911833333333333
ATP6V1D	1.88339583333333
ATP6V1E1	-0.302006944444444
ATP6V1E2	-0.343479166666667
ATP7A	1.3468125
ATP7B	-1.34589583333333
ATP8B3	-0.583854166666667
ATR	1.5845625
AXL	-1.26060416666667
BAP1	-1.1331875
BARHL1	-0.620979166666667
BATF3	-1.09952083333333
BCAP31	-0.399729166666667
BECN1	0.579895833333333
BECN2	-1.17660416666667
BICD1	-0.0310208333333333
BICD2	0.349104166666667
BRD8	-0.5709375
