id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
MYC	8	5.5582e-09	4.6703e-06	0.000825	1	8	-1.1853	1.0	1.0	0.999995	1057	0	-1.1853
RRM1	8	3.1865e-07	4.6703e-06	0.000825	2	8	-1.5187	0.99983	0.99982	0.999995	1047	0	-1.5187
CCND1	4	7.0245e-07	4.6703e-06	0.000825	3	4	-1.5504	1.0	1.0	0.999995	1060	0	-1.5504
NAE1	8	7.9769e-07	4.6703e-06	0.000825	4	7	-0.66251	0.97026	0.97021	0.999995	953	0	-0.66251
PRPF8	4	8.2127e-07	4.6703e-06	0.000825	5	4	-1.3837	1.0	1.0	0.999995	1059	0	-1.3837
BUB3	4	8.7278e-07	4.6703e-06	0.000825	6	4	-1.802	1.0	1.0	0.999995	1058	0	-1.802
RRM2	4	6.4565e-06	2.3351e-05	0.003536	7	3	-1.0397	0.54696	0.54591	0.999995	531	0	-1.0397
ATP6V1B2	4	1.0973e-05	4.2033e-05	0.005569	8	4	-1.6066	0.99999	0.99999	0.999995	1056	0	-1.6066
COPA	4	1.9078e-05	7.0054e-05	0.007651	9	4	-1.5665	0.99998	0.99999	0.999995	1055	0	-1.5665
UQCRC1	4	2.5649e-05	7.9395e-05	0.007651	10	4	-0.60981	0.99997	0.99998	0.999995	1054	0	-0.60981
POLR2L	4	2.7005e-05	7.9395e-05	0.007651	11	4	-1.6599	0.99997	0.99998	0.999995	1053	0	-1.6599
PPP4C	4	3.4656e-05	9.8076e-05	0.008663	12	4	-0.96301	0.99966	0.99969	0.999995	1038	0	-0.96301
NDUFB4	4	3.9423e-05	0.00010742	0.008759	13	4	-0.92925	0.99996	0.99996	0.999995	1052	0	-0.92925
SMARCA4	4	7.0383e-05	0.00020082	0.015205	14	4	-1.0847	0.99729	0.99731	0.999995	1016	0	-1.0847
KIF4A	4	9.1951e-05	0.00036895	0.026073	15	4	-0.72443	0.99991	0.9999	0.999995	1051	0	-0.72443
NKAP	4	0.00010759	0.00040631	0.026918	16	4	-0.69368	0.99989	0.99989	0.999995	1050	0	-0.69368
ALDOA	4	0.00013571	0.00058378	0.034928	17	3	-1.3102	0.74633	0.74596	0.999995	717	0	-1.3102
KIF11	4	0.00013877	0.00059313	0.034928	18	4	-1.1391	0.99986	0.99986	0.999995	1049	0	-1.1391
SF3B3	4	0.0001522	0.00063049	0.035175	19	4	-1.3119	0.99985	0.99986	0.999995	1048	0	-1.3119
ZNF407	4	0.00019688	0.00089202	0.042979	20	4	-1.3832	0.9998	0.99983	0.999995	1046	0	-1.3832
TSG101	4	0.00019997	0.00089202	0.042979	21	4	-0.85424	0.9998	0.99983	0.999995	1045	0	-0.85424
TOP2A	4	0.00022428	0.00093873	0.043263	22	4	-0.85676	0.99978	0.99979	0.999995	1044	0	-0.85676
MTG2	4	0.00023811	0.0010041	0.044348	23	4	-0.75196	0.99976	0.99978	0.999995	1043	0	-0.75196
E2F3	3	0.00024566	0.00076126	0.040347	24	3	-0.73948	0.99975	0.99977	0.999995	1042	0	-0.73948
MTHFD1	4	0.00025074	0.0010695	0.045347	25	4	-0.84161	0.99975	0.99976	0.999995	1041	0	-0.84161
ATP5F1B	4	0.00027948	0.0012189	0.049695	26	4	-0.67145	0.99972	0.99974	0.999995	1040	0	-0.67145
EAF1	4	0.00032825	0.0013404	0.052622	27	4	-1.0612	0.99967	0.99971	0.999995	1039	0	-1.0612
PDCD6IP	4	0.00037314	0.0015365	0.056845	28	4	-0.80391	0.99963	0.99967	0.999995	1037	0	-0.80391
SF3B1	4	0.00039799	0.0016673	0.057085	29	4	-0.9721	0.97286	0.97319	0.999995	960	0	-0.9721
CDIPT	4	0.0004206	0.001714	0.057085	30	4	-0.90359	0.95262	0.95251	0.999995	922	0	-0.90359
MORF4L2	4	0.00042248	0.0017233	0.057085	31	4	-0.78893	0.99958	0.99959	0.999995	1036	0	-0.78893
RPL3	7	0.0004237	0.0028442	0.077304	32	6	-0.87789	0.90163	0.90324	0.999995	878	0	-0.87789
MED18	8	0.00042414	0.0026667	0.07543	33	7	-0.76666	0.51608	0.51643	0.999995	498	0	-0.76666
SF3A1	4	0.00045384	0.0018448	0.059256	34	3	-1.2056	0.75927	0.75936	0.999995	730	0	-1.2056
MAT2A	4	0.00053244	0.002181	0.067997	35	4	-0.84829	0.99947	0.99949	0.999995	1035	0	-0.84829
INTS6	3	0.00054225	0.0015552	0.056845	36	3	-1.3829	0.99946	0.99946	0.999995	1034	0	-1.3829
MRPL38	4	0.00064	0.00262	0.07543	37	4	-0.61035	0.99936	0.99943	0.999995	1033	0	-0.61035
AHCYL1	4	0.00066269	0.0027041	0.07543	38	4	-0.87913	0.99687	0.9969	0.999995	1012	0	-0.87913
RPL10A	4	0.00074711	0.003003	0.079579	39	4	-1.1921	0.96622	0.96632	0.999995	947	0	-1.1921
RPL13	3	0.00088053	0.0025453	0.07543	40	3	-1.0354	0.99912	0.99911	0.999995	1032	0	-1.0354
XRCC6	4	0.00096223	0.0038997	0.100821	41	4	-0.82955	0.99904	0.99921	0.999995	1031	0	-0.82955
RPL36	4	0.0010562	0.004264	0.105721	42	4	-1.0026	0.99894	0.99912	0.999995	1030	0	-1.0026
MRPL41	4	0.001089	0.0043854	0.105721	43	4	-0.72091	0.99891	0.99908	0.999995	1029	0	-0.72091
VMP1	4	0.0011002	0.0044134	0.105721	44	4	-0.87774	0.9989	0.99907	0.999995	1028	0	-0.87774
RPS19	4	0.0011921	0.0047684	0.109879	45	4	-1.0602	0.99881	0.99896	0.999995	1027	0	-1.0602
SNRPD3	4	0.0012631	0.0050112	0.113019	46	4	-1.4498	0.96352	0.9634	0.999995	939	0	-1.4498
CDK7	4	0.0013536	0.0053381	0.117884	47	4	-1.326	0.99865	0.99876	0.999995	1025	0	-1.326
SBNO1	4	0.0014041	0.0054876	0.118711	48	3	-1.2244	0.30436	0.30312	0.654403	50	0	-1.2244
CHORDC1	3	0.0015762	0.0044881	0.105721	49	3	-0.99115	0.99842	0.99828	0.999995	1024	0	-0.99115
CTR9	4	0.0016037	0.0062348	0.132178	50	4	-0.79992	0.9984	0.99848	0.999995	1023	0	-0.79992
RPA1	4	0.0017466	0.0068513	0.1424	51	4	-0.99069	0.99099	0.99148	0.999995	997	0	-0.99069
CAND1	4	0.0018085	0.0070194	0.143088	52	3	-0.84477	0.30436	0.30312	0.654403	376	0	-0.84477
TOP1	4	0.002033	0.0077106	0.151432	53	4	-1.0173	0.99797	0.99807	0.999995	1022	0	-1.0173
ELL	4	0.0020703	0.0077667	0.151432	54	4	-0.69472	0.99591	0.99607	0.999995	1009	0	-0.69472
SLC25A28	4	0.0021228	0.0080002	0.151432	55	4	-0.57973	0.99788	0.99798	0.999995	1021	0	-0.57973
RPL19	4	0.0023792	0.0088502	0.158652	56	2	-0.76507	0.30436	0.30312	0.654403	66	0	-0.76507
SMC1A	4	0.0024101	0.0089156	0.158652	57	4	-0.72043	0.99759	0.99765	0.999995	1020	0	-0.72043
TIMM10	4	0.0025075	0.0092051	0.158652	58	4	-0.79198	0.98614	0.98649	0.999995	984	0	-0.79198
POLR2A	4	0.002512	0.0092145	0.158652	59	4	-0.55428	0.99749	0.99752	0.999995	1019	0	-0.55428
CLTC	4	0.0025537	0.0093919	0.158652	60	4	-0.60812	0.99745	0.99748	0.999995	1018	0	-0.60812
RNF40	4	0.0025642	0.0094293	0.158652	61	4	-0.43675	0.99744	0.99747	0.999995	1017	0	-0.43675
STT3B	4	0.0027922	0.010289	0.170405	62	4	-0.41473	0.99721	0.9972	0.999995	1015	0	-0.41473
HMGCS1	3	0.0029044	0.0079348	0.151432	63	3	-0.99023	0.9971	0.99693	0.999995	1014	0	-0.99023
PAF1	4	0.0030232	0.011036	0.179193	64	4	-0.66609	0.99698	0.99703	0.999995	1013	0	-0.66609
MED12	4	0.0030651	0.011157	0.179193	65	3	-0.93625	0.84329	0.8439	0.999995	810	0	-0.93625
RPL14	3	0.0032148	0.0088315	0.158652	66	2	-1.7189	0.85896	0.8592	0.999995	830	0	-1.7189
PSMC3	4	0.0032256	0.011783	0.183678	67	3	-0.56851	0.30436	0.30312	0.654403	111	0	-0.56851
TRRAP	4	0.0032809	0.011961	0.183742	68	4	-0.97413	0.99672	0.99672	0.999995	1011	0	-0.97413
MED20	4	0.0033852	0.012288	0.185818	69	4	-0.7162	0.98414	0.98449	0.999995	979	0	-0.7162
RPS5	4	0.0034325	0.012446	0.185818	70	3	-0.79197	0.88752	0.8874	0.999995	862	0	-0.79197
MYBL2	4	0.0037606	0.013511	0.196189	71	4	-0.45449	0.99624	0.99632	0.999995	1010	0	-0.45449
PFAS	4	0.0040399	0.014548	0.206139	72	4	-0.72604	0.98359	0.98392	0.999995	978	0	-0.72604
CDK2	4	0.0040595	0.014585	0.206139	73	3	-1.1957	0.75351	0.75359	0.999995	723	0	-1.1957
TUFM	3	0.0041834	0.011503	0.181986	74	3	-1.1909	0.99582	0.99565	0.999995	1008	0	-1.1909
RNF113B	4	0.0042447	0.015174	0.206334	75	4	-0.2761	0.99576	0.99589	0.999995	1007	0	-0.2761
RIC8A	4	0.0042474	0.015183	0.206334	76	4	-0.81275	0.96489	0.96473	0.999995	943	0	-0.81275
TOMM40	7	0.0043211	0.023057	0.249394	77	5	-0.46886	0.97986	0.9812	0.999995	972	0	-0.46886
UTP14A	4	0.0043297	0.01551	0.2081	78	3	-0.74217	0.74434	0.74392	0.999995	715	0	-0.74217
ARID1A	4	0.0044129	0.01579	0.2081	79	4	-0.54812	0.98438	0.98472	0.999995	981	0	-0.54812
SNRPB	4	0.0045255	0.016173	0.2081	80	4	-0.75578	0.96526	0.96522	0.999995	945	0	-0.75578
ISCA2	4	0.0045277	0.016192	0.2081	81	4	-0.49808	0.99547	0.99565	0.999995	1006	0	-0.49808
DHX9	3	0.0047655	0.013025	0.191763	82	3	-0.71229	0.99523	0.99508	0.999995	1005	0	-0.71229
VPS37A	4	0.0049341	0.017518	0.218928	83	3	-0.75192	0.70769	0.70695	0.999995	679	0	-0.75192
WRN	4	0.004944	0.017556	0.218928	84	4	-0.67597	0.99506	0.99522	0.999995	1004	0	-0.67597
