gene	MP41.D28A	MP41.D28B	MP41.D28C	MP41.D32A	MP41.D32B	MP41.D32C
ABCA3	-0.145599156889065	-0.290272064481176	-0.170310394840602	-0.0976443019989352	-0.284356550312186	-0.211587097652143
ABCB1	-0.111045589551556	-0.189894814606227	-0.15402681187066	-0.108740461622056	-0.142527436795524	-0.11833974224455
ABCC3	-0.284658901027367	-0.392976145794425	-0.418171692464275	-0.33039010186298	-0.435758597758007	-0.50442860412096
ABCG2	-0.141319664990852	-0.256288939150035	-0.268383162970594	-0.131868610645045	-0.237528743291508	-0.280112411185597
ABL1	-0.103458024046211	-0.126776910926851	-0.159603191973731	-0.0831636778471845	-0.100503147509861	-0.100331802859541
ABL2	-0.466813833566922	-0.316331371951606	-0.347978199522511	-0.465996700596599	-0.354668300566014	-0.454613405680889
ABT1	-0.768072337776157	-0.773650098884568	-0.730924641365026	-0.735484237010166	-0.700038830506395	-0.867563220011091
ABTB2	-0.207326743394799	-0.249724119126284	-0.149432494627775	-0.192389184895895	-0.159078346060379	-0.125056666899514
ACACA	-0.52158664449405	-0.522683024819814	-0.481559388956893	-0.764853050529716	-0.492339489887254	-0.681669520942852
ACACB	-0.220569638215921	-0.213317457807404	-0.232361833417525	-0.226180354705909	-0.167064956089374	-0.200757156203521
ACTL6A	-0.610433690882925	-0.758003077125612	-0.815087534229141	-0.715430888204625	-0.776349434896797	-0.972833531254379
ACTL6B	-0.298556245999879	-0.407384668203625	-0.278855118850702	-0.265381633895101	-0.350178229496943	-0.241655742214123
ACTL7A	-0.257583178844781	-0.361739299591192	-0.0745663201060651	-0.186672155659182	-0.349776320464033	-0.0384946830257005
ADAM19	-0.0442855663172601	-0.280838414117295	-0.255547807859817	-0.0121570719737048	-0.29029675983695	-0.226827569938631
ADAP1	-0.292370808244838	-0.353056187954036	-0.285684578928925	-0.405721151809667	-0.436965664086719	-0.331556805051863
ADAP2	-0.368785629241069	-0.384761268335086	-0.303879141389855	-0.295784722639879	-0.280496952302112	-0.390572189555233
ADARB1	-0.166412910252462	-0.200391463050786	-0.0647424920123764	-0.170592043923504	-0.202222176942311	-0.0265268969506137
ADARB2	-0.209731838288642	-0.352919846202133	-0.11433573739526	-0.196206160855374	-0.338926118143501	-0.276027367431691
ADGRG7	-0.328041850480992	-0.4281433888922	-0.324812646443415	-0.369019456909002	-0.434575650376046	-0.251128279936912
ADM	-0.231760479344424	-0.219325320133445	-0.30731950772263	-0.312631929431109	-0.307738633959457	-0.304388618294849
ADSS	-0.187444499113736	-0.221959162085706	-0.246739397879824	-0.233940234244073	-0.195590917272241	-0.298954588263729
ADSSL1	-0.409295412714817	-0.36589764367185	-0.30668734447202	-0.346133608373061	-0.442668579939033	-0.319660923337047
AFG3L2	-0.556183963493665	-0.586318281054841	-0.915615196117969	-0.721222136752375	-0.528320961861002	-1.0412069482133
AHCYL1	-0.756353878543841	-0.566483076769622	-0.848158101402551	-0.754069354906738	-0.662471631181807	-0.860335049856214
AHCYL2	-0.208889075148261	-0.13244370144755	-0.18091283083742	-0.0886335395857405	-0.181042092451852	-0.204255075354369
AIPL1	-0.279863418657473	-0.182834170759881	-0.103503999962061	-0.45827263959316	-0.158489450452183	-0.066714353456683
AKAP11	-0.294709608653508	-0.136468711781309	-0.296128617194737	-0.316990171674576	-0.127231393309447	-0.330857748230107
AKIRIN1	-0.451156022386101	-0.51858887170645	-0.509675542728761	-0.558762568191722	-0.456408603292115	-0.661579375259702
AKIRIN2	-0.542281966492452	-0.46816138875056	-0.444073111742265	-0.66468813504199	-0.49191904173886	-0.316720052683873
ALAS1	-0.151409462973502	-0.186857005181709	-0.0964498133155476	-0.149576264814719	-0.2198331395715	-0.063708182046002
ALAS2	-0.199391329780257	-0.369472408992137	-0.259247565172034	-0.205633312396694	-0.318194305626904	-0.289097989922723
ALDOA	-0.821862399198043	-0.988865749227463	-0.896706603618172	-0.822161750926278	-1.29727140149115	-0.999252186732435
ALDOC	-0.263727062184876	-0.261508525968765	-0.236463524310567	-0.26990179540433	-0.263320074845139	-0.261182728659745
ALG14	-0.134568569400139	-0.262829562643422	-0.193367887572854	-0.162659632837965	-0.267997919770151	-0.103628058194026
AMELX	-0.0915488165572526	-0.129423738006822	-0.213571019312008	-0.166514446229388	-0.0518103253046082	-0.224091478175914
ANAPC4	-0.117090275670377	-0.251139242862507	-0.243630666568096	-0.0843123966458731	-0.280492991602308	-0.325720159869186
ANKRD10	-0.168326877387321	-0.0974231348353291	-0.208507940525966	-0.211609336041132	-0.0682739808468482	-0.196417211367176
ANKRD37	-0.110352364083402	-0.192994016584918	-0.144192035967082	-0.0847464483354074	-0.182047374770497	-0.197302548156666
