id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
MYC	8	5.8616e-09	4.6703e-06	0.001238	1	8	-1.0045	1.0	1.0	0.999995	1060	0	-1.0045
RRM1	8	1.0775e-07	4.6703e-06	0.001238	2	8	-1.496	1.0	1.0	0.999995	1059	0	-1.496
NAE1	8	8.1536e-07	4.6703e-06	0.001238	3	7	-0.78401	0.99457	0.99458	0.999995	983	0	-0.78401
MTG2	4	1.8327e-06	4.6703e-06	0.001238	4	4	-0.92677	1.0	1.0	0.999995	1058	0	-0.92677
CDIPT	4	3.7416e-06	1.4011e-05	0.002122	5	3	-1.1389	0.78569	0.78598	0.999995	743	0	-1.1389
BUB3	4	3.8884e-06	1.4011e-05	0.002122	6	4	-1.2083	1.0	1.0	0.999995	1057	0	-1.2083
TOP2A	4	4.3963e-06	1.4011e-05	0.002122	7	4	-1.1105	1.0	1.0	0.999995	1056	0	-1.1105
CCND1	4	6.2212e-06	2.3351e-05	0.003094	8	4	-1.3356	0.99999	1.0	0.999995	1055	0	-1.3356
RRM2	4	1.3463e-05	5.1373e-05	0.005611	9	3	-0.88672	0.89158	0.89128	0.999995	839	0	-0.88672
PPP4C	4	1.6285e-05	6.0714e-05	0.005611	10	4	-1.3645	0.99962	0.99966	0.999995	1032	0	-1.3645
POLR2L	4	1.7781e-05	7.0054e-05	0.005611	11	4	-1.6969	0.99998	0.99999	0.999995	1054	0	-1.6969
PRPF8	4	2.1591e-05	7.0054e-05	0.005611	12	4	-1.4876	0.99998	0.99998	0.999995	1053	0	-1.4876
ALDOA	4	2.2549e-05	7.0054e-05	0.005611	13	4	-1.4108	0.99965	0.99969	0.999995	1034	0	-1.4108
CKAP5	8	2.8087e-05	0.00018214	0.010726	14	8	-1.0355	0.99997	0.99996	0.999995	1050	0	-1.0355
KIF11	4	2.8775e-05	7.9395e-05	0.005611	15	4	-1.44	0.99997	0.99998	0.999995	1052	0	-1.44
NAA10	4	3.1787e-05	7.9395e-05	0.005611	16	4	-1.2066	0.99997	0.99997	0.999995	1051	0	-1.2066
TOMM40	7	3.3615e-05	0.00023818	0.013288	17	7	-0.62224	0.99989	0.99989	0.999995	1045	0	-0.62224
RPS19	4	3.7619e-05	0.00010742	0.007116	18	4	-1.3789	0.99996	0.99996	0.999995	1049	0	-1.3789
RPL36	4	4.1769e-05	0.00011676	0.00728	19	4	-1.2033	0.99996	0.99996	0.999995	1048	0	-1.2033
SMC1A	4	8.6034e-05	0.00030357	0.016089	20	4	-0.98563	0.99991	0.99991	0.999995	1047	0	-0.98563
