gene	OMM1.D28A	OMM1.D28B	OMM1.D28C	OMM1.D35A	OMM1.D35B	OMM1.D35C
ABCA3	-0.258333621665884	-0.251106952448023	-0.232560246735617	-0.266779497623711	-0.215386817128913	-0.265792800662359
ABCB1	-0.107253853827689	-0.0601834659454545	-0.0490586992603734	-0.0847069843538217	-0.0735201238506327	-0.0208798138948637
ABCC3	-0.122344142521318	-0.217563665468806	-0.134593972961792	-0.109342476678359	-0.234451931855797	-0.137950031484044
ABCG2	-0.216875675165847	-0.0860042894272105	-0.110035621811521	-0.196645679626434	-0.125153921636777	-0.1070009126233
ABL1	-0.0477944404088245	-0.0739067436423071	-0.0808805815529861	-0.0544776787999515	-0.0426349329103378	-0.0713760665588848
ABL2	-0.386483256977086	-0.287460509215241	-0.250196775781561	-0.386006373491368	-0.335182376521733	-0.218220900394916
ABT1	-0.941432590575316	-0.818203665541691	-0.905377876349264	-0.963007019619595	-1.05190772699723	-1.12892106471584
ABTB2	-0.190674457526794	-0.0855924936606558	-0.204468530444849	-0.234217872815591	-0.0609965951574635	-0.279877803283175
ACACA	-0.363899707135154	-0.276447900237039	-0.24316977797926	-0.37086256512718	-0.256442123958826	-0.260794297759748
ACACB	-0.0570409026939263	-0.0902126284177545	-0.15614340889663	-0.0336522588784652	-0.107343506632318	-0.130742678129744
ACTL6A	-1.01264920212761	-0.723436551879789	-0.625695878671227	-1.20643430060211	-0.798876271932781	-0.739097593850806
ACTL6B	-0.197823559609929	-0.137636418263605	-0.083839446441457	-0.27556768630848	-0.131089457057027	-0.11527070680015
ACTL7A	-0.0737705629979534	-0.0195416470995746	-0.223055426759779	-0.0904622253509142	-0.0371077157037436	-0.264799957369678
ADAM19	-0.0728516528435419	-0.195073765297162	-0.102877427429474	-0.0644451358593858	-0.207189303157348	-0.207246079609228
ADAP1	-0.216371053113262	-0.213613125113404	-0.250997080261094	-0.269025693971804	-0.221505486474673	-0.261258990715397
ADAP2	-0.14278707538871	-0.170004819137308	-0.22155039587847	-0.1541171256829	-0.19378475796253	-0.220503322055143
ADARB1	-0.114182231639997	-0.0879868946159235	-0.0771067726038828	-0.165985541784797	-0.109255090700678	-0.0764266400803028
ADARB2	-0.152953504295172	-0.0510099568590602	-0.124242523456085	-0.180335357799715	-0.0608625335719221	-0.0727887964298921
ADGRG7	-0.146295830662016	-0.0995069056814794	-0.18427306948201	-0.257230742536697	-0.113984099395399	-0.24699579090139
ADM	-0.307888110319182	-0.236186177395491	-0.23650280446334	-0.303259548400782	-0.214463046976793	-0.246390943493672
ADSS	-0.0812410603233245	-0.201251691329092	-0.227547365150663	-0.0483584567473945	-0.260117990524828	-0.25785490169072
ADSSL1	-0.140130472057217	-0.189409304294576	-0.115607078314639	-0.138042222655324	-0.239362911316884	-0.162404582188338
AFG3L2	-0.520209758918331	-0.449789023477255	-1.076688386263	-0.618618031953085	-0.451440848092389	-1.01490901921946
AHCYL1	-0.614454721860911	-0.611955061894588	-0.454186843661831	-0.608267921007212	-0.810460378031277	-0.531871091359069
