gene	BF
ABCA3	-1.047375
ABCB1	-1.44545833333333
ABCC3	-0.707625
ABCG2	-1.01670833333333
ABL1	-1.545625
ABL2	-0.563208333333333
ABT1	4.35091666666667
ABTB2	-0.874916666666667
ACACA	2.90804166666667
ACACB	-0.881166666666667
ACTL6A	6.36975
ACTL6B	-0.38225
ACTL7A	-0.492791666666667
ADAM19	-1.17558333333333
ADAP1	-1.057125
ADAP2	-0.990458333333333
ADARB1	-1.247875
ADARB2	-1.27541666666667
ADGRG7	-0.661291666666667
ADM	-0.570333333333333
ADSS	-1.1115
ADSSL1	-0.0861666666666665
AFG3L2	3.6775
AHCYL1	4.58133333333333
AHCYL2	-1.38883333333333
AIPL1	-1.138
AKAP11	-0.803041666666667
AKIRIN1	0.287625
AKIRIN2	3.177375
ALAS1	-0.49325
ALAS2	-1.593
ALDOA	5.74270833333333
ALDOC	-0.895375
ALG14	-0.58725
AMELX	-0.893041666666667
ANAPC4	-0.0147916666666665
ANKRD10	-1.54370833333333
ANKRD37	-1.47616666666667
ANXA1	-1.713375
AOX1	-1.03491666666667
AP1G1	-0.727875
AP1G2	-0.875916666666666
AP2A1	-0.746833333333333
AP2A2	-1.334
AP3M1	-0.389416666666667
AP5M1	-0.614
APH1A	0.561458333333333
APH1B	-0.337875
APOBEC1	-0.906375
APOBEC3C	0.843708333333333
AQP8	-1.657875
ARFGEF1	-0.882208333333333
ARFGEF2	-1.12770833333333
ARFIP1	-1.86229166666667
ARFIP2	-0.947458333333333
ARHGEF3	-0.954333333333333
ARHGEF6	-1.69758333333333
ARHGEF7	-0.307958333333333
ARID1A	0.732333333333333
ARID1B	-1.08433333333333
ARID4A	-0.39125
ARPC5	-1.10275
ARPC5L	-1.48929166666667
ARSJ	-0.976875
ASCL1	-0.689583333333333
ASF1A	-0.518416666666667
ASF1B	0.143
ATAD2	-1.16770833333333
ATAD2B	-1.47316666666667
ATM	-1.12025
ATOH1	-1.27566666666667
ATP5F1A	5.35354166666667
ATP5F1B	5.64675
ATP5F1D	3.09420833333333
ATP5PB	2.15520833333333
ATP6V1B1	-0.627583333333333
ATP6V1B2	5.341125
ATP6V1C1	4.16825
ATP6V1C2	-0.6674375
ATP6V1D	3.8215
ATP6V1E1	-0.221333333333333
ATP6V1E2	-0.9445
ATP7A	1.46591666666667
ATP7B	-1.607625
ATP8B3	-1.01333333333333
ATR	1.59458333333333
AXL	-0.455708333333333
BAP1	1.572625
BARHL1	-0.828125
BATF3	-1.41979166666667
BCAP31	0.193583333333333
BECN1	1.252125
BECN2	-0.968708333333333
BICD1	0.121
BICD2	-0.257666666666667
BRD8	1.393125
BRSK1	-0.761833333333333
BRSK2	-0.322916666666667
BTBD11	-0.631458333333333
BTG1	-0.838125
BUB1B	5.247625
BUB3	9.69016666666667
BZW1	-0.0379444444444443
BZW2	-0.0983333333333332
CAB39	-1.80358333333333
CAB39L	-1.37254166666667
CABP5	-0.0109166666666667
CADPS	-0.748
CADPS2	-0.921958333333333
CALY	-0.534166666666667
CAND1	1.92854166666667
CAND2	-1.08754166666667
CAP1	0.990125
CAP2	-0.518541666666667
CAPN2	-0.956041666666667
CASP4	-0.633833333333333
CAT	-1.32433333333333
CAV1	-1.2155
CAVIN1	-0.833375
CBLL1	-1.136625
CBLL2	-1.11075
CCDC69	-1.41625
CCND1	2.60741666666667
