id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
MYC	8	1.9758e-11	4.6703e-06	0.000825	1	8	-3.139	1.0	1.0	0.999995	1060	0	-3.139
RRM1	8	1.4859e-08	4.6703e-06	0.000825	2	8	-2.6952	1.0	1.0	0.999995	1059	0	-2.6952
RPP21	4	1.5132e-07	4.6703e-06	0.000825	3	4	-3.0976	1.0	1.0	0.999995	1058	0	-3.0976
POLR2L	4	9.2669e-07	4.6703e-06	0.000825	4	4	-3.1898	1.0	1.0	0.999995	1057	0	-3.1898
MTG2	4	1.3403e-06	4.6703e-06	0.000825	5	4	-1.6095	1.0	1.0	0.999995	1056	0	-1.6095
RRM2	4	1.994e-06	4.6703e-06	0.000825	6	2	-2.1956	0.68466	0.84824	0.999995	808	2	-2.1956
ALDOA	4	3.4842e-06	1.4011e-05	0.001485	7	3	-2.9092	0.99679	0.99685	0.999995	995	0	-2.9092
BUB3	4	4.5888e-06	1.4011e-05	0.001485	8	4	-3.175	0.99997	0.99997	0.999995	1047	0	-3.175
CCND1	4	4.9524e-06	1.4011e-05	0.001485	9	4	-1.6242	1.0	1.0	0.999995	1055	0	-1.6242
PRPF8	4	5.3514e-06	1.4011e-05	0.001485	10	4	-2.038	0.99999	1.0	0.999995	1054	0	-2.038
COPA	4	1.516e-05	6.0714e-05	0.00526	11	4	-1.8203	0.99998	0.99999	0.999995	1053	0	-1.8203
PDCD6IP	4	1.753e-05	7.0054e-05	0.00526	12	4	-1.8022	0.99998	0.99999	0.999995	1052	0	-1.8022
NAA10	4	1.8551e-05	7.0054e-05	0.00526	13	4	-1.1454	0.99998	0.99999	0.999995	1051	0	-1.1454
SF3B3	4	2.632e-05	7.9395e-05	0.00526	14	4	-1.4501	0.99997	0.99998	0.999995	1050	0	-1.4501
UQCRC1	4	2.9878e-05	7.9395e-05	0.00526	15	4	-1.1943	0.99997	0.99997	0.999995	1049	0	-1.1943
INTS6	3	3.122e-05	7.9395e-05	0.00526	16	3	-3.2204	0.99997	0.99998	0.999995	1048	0	-3.2204
MRPL38	4	3.8513e-05	0.00010742	0.006698	17	4	-0.97922	0.99996	0.99996	0.999995	1046	0	-0.97922
TIMM10	4	6.125e-05	0.00015412	0.009076	18	4	-1.1126	0.99994	0.99994	0.999995	1045	0	-1.1126
ATP6V1B2	4	6.1891e-05	0.00016346	0.009119	19	4	-1.3083	0.99994	0.99994	0.999995	1044	0	-1.3083
ZNF407	4	6.9987e-05	0.00020082	0.010608	20	4	-1.2068	0.99993	0.99992	0.999995	1043	0	-1.2068
CHORDC1	3	7.2188e-05	0.00021016	0.010608	21	3	-2.9871	0.99993	0.99992	0.999995	1042	0	-2.9871
KIF11	4	9.3696e-05	0.00036895	0.017777	22	4	-1.146	0.99991	0.9999	0.999995	1041	0	-1.146
MRPL41	4	0.00013411	0.00057444	0.026474	23	4	-1.5416	0.99987	0.99986	0.999995	1040	0	-1.5416
RPL36	4	0.00018784	0.00087334	0.034477	24	4	-1.7422	0.99981	0.99984	0.999995	1039	0	-1.7422
RPS19	4	0.00019535	0.00089202	0.034477	25	4	-1.4999	0.9998	0.99983	0.999995	1038	0	-1.4999
ATP6V1C1	4	0.00020466	0.00090136	0.034477	26	4	-0.65616	0.9998	0.99981	0.999995	1037	0	-0.65616
SNRPD3	4	0.00020599	0.00090136	0.034477	27	3	-1.9697	0.52623	0.75786	0.999995	729	1	-1.9697
NKAP	4	0.00021594	0.0009107	0.034477	28	4	-0.70821	0.99978	0.9998	0.999995	1036	0	-0.70821
ATP5F1A	4	0.00025074	0.0010695	0.038119	29	4	-0.59483	0.99975	0.99976	0.999995	1035	0	-0.59483
ATP5F1B	4	0.00025258	0.0010788	0.038119	30	4	-0.62117	0.99975	0.99976	0.999995	1034	0	-0.62117
