gene	BF
ABCA3	-0.152305555555556
ABCB1	-0.713013888888889
ABCC3	-0.0683055555555556
ABCG2	-0.555722222222222
ABL1	-0.569888888888889
ABL2	-0.326180555555556
ABT1	2.38219444444444
ABTB2	-0.302222222222222
ACACA	0.174444444444444
ACACB	-0.336847222222222
ACTL6A	1.41148611111111
ACTL6B	0.0600277777777778
ACTL7A	-0.348097222222222
ADAM19	-0.253222222222222
ADAP1	-0.0490138888888889
ADAP2	-0.249222222222222
ADARB1	-0.685763888888889
ADARB2	-0.736888888888889
ADGRG7	-0.311555555555556
ADM	-0.424638888888889
ADSS	-0.111638888888889
ADSSL1	-0.120888888888889
AFG3L2	1.59163888888889
AHCYL1	0.841486111111111
AHCYL2	0.264694444444444
AIPL1	-0.811555555555556
AKAP11	-0.405180555555556
AKIRIN1	0.611319444444444
AKIRIN2	2.11965277777778
ALAS1	-0.607659722222222
ALAS2	-0.605055555555556
ALDOA	4.05498611111111
ALDOC	-0.0291805555555556
ALG14	-0.434263888888889
AMELX	-1.84797222222222
ANAPC4	0.260277777777778
ANKRD10	-0.695347222222222
ANKRD37	-0.722222222222222
ANXA1	-0.947013888888889
AOX1	-0.686305555555556
AP1G1	-0.286430555555556
AP1G2	-0.645388888888889
AP2A1	-0.124888888888889
AP2A2	-0.700138888888889
AP3M1	-0.891888888888889
AP5M1	-0.451638888888889
APH1A	-0.410930555555556
APH1B	-0.0440972222222222
APOBEC1	-0.262680555555556
APOBEC3C	-0.626263888888889
AQP8	-0.763263888888889
ARFGEF1	-0.946138888888889
ARFGEF2	-0.526347222222222
ARFIP1	-1.21268055555556
ARFIP2	0.0145277777777778
ARHGEF3	-0.952013888888889
ARHGEF6	-1.01476388888889
ARHGEF7	-0.663763888888889
ARID1A	0.427861111111111
ARID1B	-0.521472222222222
ARID4A	0.495569444444444
ARPC5	0.155486111111111
ARPC5L	-0.423097222222222
ARSJ	-0.389013888888889
ASCL1	-0.702013888888889
ASF1A	1.91515277777778
ASF1B	1.10219444444444
ATAD2	-1.01318055555556
ATAD2B	-0.660388888888889
ATM	-0.340097222222222
ATOH1	-0.254597222222222
ATP5F1A	0.0869027777777777
ATP5F1B	0.171319444444444
ATP5F1D	-0.358055555555556
ATP5PB	-0.570430555555556
ATP6V1B1	0.320402777777778
ATP6V1B2	2.82256944444444
ATP6V1C1	1.96936111111111
ATP6V1C2	-0.297972222222222
ATP6V1D	0.731236111111111
ATP6V1E1	-0.429361111111111
ATP6V1E2	-0.000972222222222208
ATP7A	1.07465277777778
ATP7B	-0.716263888888889
ATP8B3	-0.489763888888889
ATR	0.500527777777778
AXL	-0.549597222222222
BAP1	0.456319444444444
BARHL1	-0.685597222222222
BATF3	-0.276430555555556
BCAP31	-0.647847222222222
BECN1	-0.352847222222222
BECN2	-0.673013888888889
BICD1	0.576319444444444
BICD2	-0.512680555555556
BRD8	0.384902777777778
BRSK1	-0.206305555555556
BRSK2	-0.633180555555556
BTBD11	-0.473263888888889
BTG1	-0.967513888888889
BUB1B	0.887694444444444
BUB3	3.52323611111111
BZW1	-0.0838611111111111
BZW2	0.666694444444444
CAB39	-1.38113888888889
CAB39L	-0.791305555555555
CABP5	-0.775805555555556
CADPS	-0.429055555555556
CADPS2	-0.802888888888889
CALY	-0.557930555555555
CAND1	1.00865277777778
CAND2	0.0268194444444445
CAP1	-0.310680555555556
CAP2	0.228069444444444
CAPN2	-0.809972222222222
CASP4	-0.528972222222222
CAT	-0.730638888888889
CAV1	-0.638513888888889
CAVIN1	-0.373263888888889
CBLL1	-0.612305555555556
CBLL2	-0.758388888888889
CCDC69	-0.796347222222222
CCND1	4.19202777777778
CCND3	0.833694444444444
CCNE1	-0.0100138888888889
CCNE2	-0.188680555555556
CCNL1	0.959986111111111
CCNL2	-0.459263888888889
CCNT1	-0.260597222222222
CCNT2	-1.33197222222222
CCT6A	1.18586111111111
CCT6B	-0.893347222222222
CD163L1	-0.526013888888889
CD44	-0.475430555555556
CD72	-0.746263888888889
CDC34	-0.812222222222222
CDIPT	0.848736111111111
CDK16	-0.792888888888889
CDK17	0.0638194444444445
CDK19	-0.649243055555556
CDK2	2.32673611111111
CDK5R1	-0.0997222222222223
CDK5R2	0.00544444444444442
CDK7	1.92423611111111
CDK8	0.289986111111111
CDNF	-0.212472222222222
CDS1	-0.494847222222222
CDS2	0.909361111111111
CEACAM1	-0.441722222222222
CELA2A	-0.210222222222222
CFL1	0.379861111111111
CHM	-0.745888888888889
CHML	-0.517805555555556
CHMP1A	-0.340222222222222
CHMP1B	-0.551097222222222
CHORDC1	3.33008333333333
CHRNB3	-0.661888888888889
CHSY1	-1.26980555555556
CHSY3	-0.946430555555555
CHUK	-0.548618055555556
CKAP5	0.825256944444444
CLASP1	-0.795722222222222
