gene	Mel270.D28A	Mel270.D28B	Mel270.D28C	Mel270.D35A	Mel270.D35B	Mel270.D35C
ABCA3	0.327571539683281	0.339996402147807	0.298648482960004	0.340915476468876	0.268124838948588	0.195948992557751
ABCB1	0.530308558724156	0.438822395991034	0.746144464855385	0.410492871263705	0.335550532605602	0.883084040830532
ABCC3	0.0844733270053843	0.461368198376196	0.232240461504258	0.104590314862967	0.533797129508614	0.205849533629969
ABCG2	0.417466142550997	0.437001846707905	0.48519234650806	0.490916305712133	0.398988388574014	0.610855088475285
ABL1	0.434399847755574	0.445092974587254	0.571379225504098	0.454506903431233	0.301816771697329	0.585373730143619
ABL2	0.168214904892599	0.450514476260369	0.472929605195191	0.0386434450881052	0.608176773249441	0.471466595828409
ABT1	-1.04752258735802	-0.505699269154588	-0.723711545183888	-1.20594338117619	-0.628116746563439	-0.995004025322337
ABTB2	0.285325405589913	0.800006960677608	0.119718599438016	0.237583827557729	0.80583187229575	0.0174332633247753
ACACA	0.398441253775038	0.205283852506175	-0.0523942096609479	0.41458993485882	-0.0173430476019009	-0.034795914526817
ACACB	0.255626574598286	0.393027991422479	0.476049500935377	0.222437354840649	0.475265120647329	0.414016199695474
ACTL6A	-0.245111727486945	-0.592088407818911	-0.284570732588263	-0.330929294397006	-0.634162888903811	-0.236604682781847
ACTL6B	0.386906141238234	0.0146933442899798	0.165830465860999	0.561936981167648	-0.0325002620911739	0.175987075351545
ACTL7A	0.635985746759904	0.379443113965644	0.299221534838267	0.593094287900508	0.168594996266753	0.154388360861274
ADAM19	0.544874170555493	0.366871370150484	0.270752056939698	0.614708999130431	0.206081586931222	0.138097548078381
ADAP1	0.365597153211142	0.303196844255809	0.0889424755700756	0.379071958706471	0.293372382430336	0.065710122614057
ADAP2	0.112997314641904	0.453817298315358	0.49239942665186	0.128420393472389	0.429288882269558	0.363164923574258
ADARB1	0.430807169352132	0.620010944693305	0.629617023960059	0.434627753080864	0.617493596215763	0.581893539240517
ADARB2	0.368813594995497	0.340404828310082	0.954523243207484	0.386797221326772	0.284076232134168	0.966903098433595
ADGRG7	0.380433305232361	0.249970573935717	0.523774472390637	0.345898566418908	0.223219801580386	0.581825936210135
ADM	0.429335196536432	0.523795075906592	0.297598403255429	0.435164964415688	0.413047808506139	0.364136605751267
ADSS	0.0583016363355997	0.325302481852438	0.0862181179024657	0.246441643341063	0.780748429851526	0.17131236180906
ADSSL1	0.17785857475796	0.205831509079943	0.422202411296922	0.239804777583421	0.262032804486834	0.462489914597294
AFG3L2	-0.515542962459599	-0.0467434109413679	-0.668143275543772	-0.694841680735505	0.0612390418541538	-0.76511960396231
AHCYL1	0.227398784505743	-0.0648394664490301	-0.369256999322711	0.0932683721722145	-0.255530230178412	-0.561273211694278
AHCYL2	0.0411079592200684	0.283291050039154	0.162270611773261	-0.146263684879765	0.222344851556727	0.12572170292064
AIPL1	0.347460505626133	0.70405156764335	0.776127405067677	0.493595402222976	0.798912823885014	0.487947550455977
AKAP11	0.238214627297614	0.523367661051953	0.56550345526527	0.0714546290951994	0.47247736805886	0.567022083077754
AKIRIN1	-0.163418724524458	0.0433236676233217	0.164021991640839	-0.296222977714745	-0.0994933140842559	0.128771073292024
AKIRIN2	-0.638825652900409	-0.478130613277045	-0.920802601175589	-0.663073336636131	-0.396933591939137	-1.03598742745068
ALAS1	0.384821721234892	0.425944081446868	0.6234065909825	0.472625327228883	0.43001351553708	0.628569262250318
ALAS2	0.380748443550215	0.559775802714074	0.592231342557441	0.414659990069259	0.483704119787163	0.538682624784028
ALDOA	-1.63486084330896	-1.1081348644921	-1.63626461397519	-1.53357744738642	-1.35130467006558	-1.80585118262905
ALDOC	0.348494007457029	-0.000335456989253742	0.407659130603501	0.358628477333828	-0.0737203146898803	0.40408966212038
ALG14	0.608641860483505	0.608338556705932	0.0510809891943342	0.74926135229158	0.524343608236849	-0.0591867295446258
AMELX	1.03648541339597	0.921189679321978	1.02651057458618	1.20602907110436	1.01047683374436	1.03172269141983
ANAPC4	0.0586773451440418	0.22623590795618	0.105332143804784	0.104098990828161	0.260201332603299	-0.0541910376887636
ANKRD10	0.587328112249864	0.409232475088645	0.52966435190374	0.655596554634477	0.371538795099461	0.525174889286556
ANKRD37	0.593155405176335	0.38306558461349	0.564406718704103	0.628302831166613	0.38919496551404	0.587234389010336
ANXA1	0.769709963064795	0.624914355740538	0.443651482120764	0.808216396969124	0.673353748317617	0.384921582394114
AOX1	0.264045177976079	0.619980769058067	0.765194531952081	0.281652491528461	0.632522817566886	0.709328894403813
AP1G1	0.382728820054757	0.443352976538627	0.257494661917216	0.322230375811324	0.426387816486801	0.22859633831701
AP1G2	0.698351849201433	0.535909195703018	0.426742191564202	0.701761486111268	0.451287942780896	0.349059095497539
AP2A1	0.1143703320659	0.454895359998164	0.41383137123996	0.103283609001878	0.446511528577368	0.266004865671752
