gene	BF
ABCA3	-0.376625
ABCB1	-0.318708333333333
ABCC3	-0.0647916666666667
ABCG2	-0.346916666666667
ABL1	-0.302416666666667
ABL2	-0.0998333333333333
ABT1	0.062375
ABTB2	-0.396625
ACACA	-0.251083333333333
ACACB	-0.386416666666667
ACTL6A	-0.0421666666666667
ACTL6B	-0.217375
ACTL7A	-0.178083333333333
ADAM19	-0.356375
ADAP1	0.0940833333333334
ADAP2	-0.111458333333333
ADARB1	-0.196375
ADARB2	-0.355791666666667
ADGRG7	-0.205583333333333
ADM	-0.283625
ADSS	-0.0994166666666667
ADSSL1	-0.426958333333333
AFG3L2	-0.02525
AHCYL1	-0.0395
AHCYL2	-0.128333333333333
AIPL1	-0.26525
AKAP11	-0.197416666666667
AKIRIN1	-0.093625
AKIRIN2	-0.132875
ALAS1	-0.203479166666667
ALAS2	-0.159291666666667
ALDOA	0.00216666666666665
ALDOC	-0.083625
ALG14	-0.285791666666667
AMELX	-0.408
ANAPC4	-0.106583333333333
ANKRD10	-0.3025
ANKRD37	-0.299291666666667
ANXA1	-0.391291666666667
AOX1	-0.179458333333333
AP1G1	-0.276166666666667
AP1G2	-0.178916666666667
AP2A1	-0.356416666666667
AP2A2	-0.256958333333333
AP3M1	-0.269875
AP5M1	-0.358041666666667
APH1A	-0.0995416666666667
APH1B	-0.107541666666667
APOBEC1	-0.671708333333333
APOBEC3C	0.00316666666666665
AQP8	-0.381625
ARFGEF1	-0.0651666666666667
ARFGEF2	-0.18575
ARFIP1	-0.228791666666667
ARFIP2	-0.488583333333333
ARHGEF3	-0.379833333333333
ARHGEF6	-0.408125
ARHGEF7	-0.135041666666667
ARID1A	-0.38125
ARID1B	-0.299375
ARID4A	-0.199375
ARPC5	-0.154625
ARPC5L	-0.44325
ARSJ	-0.47775
ASCL1	-0.316125
ASF1A	-0.17125
ASF1B	-0.1118125
ATAD2	-0.188416666666667
ATAD2B	-0.175375
ATM	-0.463791666666667
ATOH1	-0.192166666666667
ATP5F1A	-0.107958333333333
ATP5F1B	-0.09725
ATP5F1D	-0.186958333333333
ATP5PB	-0.278208333333333
ATP6V1B1	-0.272958333333333
ATP6V1B2	0.132291666666667
ATP6V1C1	-0.104666666666667
ATP6V1C2	-0.20875
ATP6V1D	0.0569166666666667
ATP6V1E1	-0.312083333333333
ATP6V1E2	-0.129916666666667
ATP7A	-0.147375
ATP7B	-0.157333333333333
ATP8B3	-0.188541666666667
ATR	-0.185833333333333
AXL	-0.320083333333333
BAP1	-0.326333333333333
BARHL1	-0.333958333333333
BATF3	-0.245
BCAP31	-0.186708333333333
BECN1	-0.176208333333333
BECN2	-0.254333333333333
BICD1	-0.253125
BICD2	-0.196166666666667
BRD8	-0.204291666666667
BRSK1	-0.232541666666667
BRSK2	-0.239708333333333
BTBD11	-0.329791666666667
BTG1	-0.319041666666667
BUB1B	-0.344791666666667
BUB3	-0.102541666666667
BZW1	-0.375416666666667
BZW2	-0.09525
CAB39	-0.336833333333333
CAB39L	-0.14825
CABP5	-0.0162916666666666
CADPS	-0.323375
CADPS2	-0.1035
CALY	-0.201708333333333
CAND1	-0.113083333333333
CAND2	-0.203458333333333
CAP1	-0.231083333333333
CAP2	-0.164
CAPN2	-0.25775
CASP4	-0.216791666666667
CAT	-0.228875
CAV1	-0.347625
CAVIN1	-0.0777916666666666
CBLL1	-0.302416666666667
CBLL2	-0.257583333333333
CCDC69	-0.308458333333333
CCND1	0.011625
CCND3	-0.348
CCNE1	-0.255791666666667
CCNE2	-0.284375
CCNL1	-0.213625
CCNL2	-0.158083333333333
CCNT1	-0.297708333333333
CCNT2	-0.196416666666667
CCT6A	-0.307194444444444
CCT6B	-0.227875
CD163L1	-0.265208333333333
CD44	-0.107958333333333
CD72	-0.298458333333333
CDC34	-0.250666666666667
CDIPT	-0.273875
CDK16	-0.241
CDK17	-0.321916666666667
CDK19	-0.264041666666667
CDK2	-0.160041666666667
CDK5R1	-0.0545416666666667
CDK5R2	-0.256041666666667
CDK7	-0.00841666666666668
CDK8	-0.196666666666667
CDNF	-0.349708333333333
CDS1	-0.326458333333333
CDS2	-0.136333333333333
CEACAM1	-0.387166666666667
CELA2A	-0.289208333333333
CFL1	-0.165875
CHM	-0.345166666666667
CHML	-0.188833333333333
CHMP1A	-0.276666666666667
CHMP1B	-0.096625
CHORDC1	0.0675277777777777
CHRNB3	-0.164208333333333
CHSY1	-0.360458333333333
CHSY3	-0.262708333333333
CHUK	-0.206791666666667
CKAP5	-0.0911666666666667
CLASP1	-0.192958333333333
CLASP2	-0.252708333333333
CLCA1	-0.1995
CLDN4	-0.0948333333333333
CLIP4	-0.229291666666667
CLNS1A	0.0105277777777778
CLTA	-0.1575
CLTB	-0.252291666666667
CLTC	-0.0596666666666667
CLTCL1	-0.326833333333333
CNOT6	-0.339916666666667
CNOT6L	-0.115041666666667
CNOT7	-0.0858333333333333
CNOT8	-0.441694444444444
COPA	-0.0197916666666667
COPG1	-0.11
COPG2	-0.296541666666667
COPS7A	-0.377458333333333
COPS7B	-0.299166666666667
COPZ1	-0.129416666666667
COPZ2	-0.188916666666667
COQ10A	-0.0689583333333333
COQ10B	-0.182916666666667
COX4I1	-0.177625
COX4I2	-0.428291666666667
COX6B1	-0.309833333333333
COX6B2	-0.39575
CPS1	-0.178916666666667
CPSF3	-0.0364583333333333
CREBBP	-0.284333333333333
CRK	-0.439208333333333
CRKL	-0.518208333333333
CRNN	-0.207041666666667
CRX	-0.106083333333333
CRY1	-0.01375
CRY2	-0.114041666666667
CRYBB2	-0.377416666666667
CSTF2	-0.286541666666667
CSTF2T	-0.393875
CTCFL	-0.306333333333333
CTNNB1	-0.41425
CTPS1	-0.256583333333333
CTPS2	-0.336125
CTR9	0.0777916666666666
CTSZ	-0.23825
CWF19L1	-0.248875
CYFIP1	-0.258583333333333
CYFIP2	-0.195458333333333
CYP26C1	-0.160375
CYP2A6	-0.138458333333333
CYP2C8	-0.231916666666667
CYP7A1	-0.187041666666667
DBT	-0.205458333333333
DCAF4L2	-0.244083333333333
DCAF8L1	-0.313041666666667
DDI1	-0.3770625
DDI2	-0.155708333333333
DDX17	-0.289541666666667
DDX39A	-0.37775
DDX39B	-0.121416666666667
DDX5	-0.272666666666667
DEGS1	-0.184541666666667
DEGS2	-0.301666666666667
DENND5A	-0.286791666666667
DENND5B	-0.258083333333333
DGAT1	-0.347416666666667
DGAT2L6	-0.115125
DGKI	-0.416958333333333
DGKZ	-0.187361111111111
DHX29	0.17525
DHX9	0.0631388888888889
DLL1	-0.630125
DLL4	-0.38825
DMD	-0.230375
DMP1	-0.174
DMXL1	-0.388291666666667
DMXL2	-0.174333333333333
DNAJC15	-0.289416666666667
DNAJC19	-0.283638888888889
DPCR1	-0.209958333333333
DRD3	-0.437166666666667
DST	-0.267166666666667
DUOX1	-0.340708333333333
DUOX2	-0.176083333333333
DUSP10	-0.134833333333333
DYNC1LI1	-0.0805277777777778
DYNC1LI2	-0.27775
DYNLRB1	0.159305555555556
DYNLRB2	-0.361
DYNLT1	-0.31525
DYNLT3	-0.274708333333333
DZIP1L	-0.08025
DZIP3	-0.499333333333333
E2F3	0.416194444444445
E2F4	-0.034375
EAF1	-0.0906666666666667
EAF2	-0.295291666666667
EEFSEC	-0.145833333333333
EFNB1	-0.367833333333333
EFR3A	-0.102125
EFR3B	-0.1835
EGFR	-0.340291666666667
EIF3B	0.200208333333333
EIF3J	-0.078375
EIF3L	-0.196083333333333
EIF4A3	-0.205958333333333
ELL	-0.156666666666667
ELL2	-0.319833333333333
ENOX1	-0.41575
ENOX2	-0.274083333333333
EP300	-0.11425
EPC1	-0.202416666666667
EPC2	-0.36875
EPHA2	-0.270083333333333
EPHA3	-0.0579166666666666
EPS15	-0.166166666666667
EPS15L1	-0.0305833333333334
ERBB3	-0.404625
ERC1	-0.309083333333333
ERC2	-0.304541666666667
