gene	BF
ABCA3	-0.983291666666667
ABCB1	-0.846833333333334
ABCC3	-1.0915
ABCG2	0.38075
ABL1	-1.12370833333333
ABL2	-0.095125
ABT1	2.31279166666667
ABTB2	-1.42375
ACACA	4.685375
ACACB	-0.183875
ACTL6A	4.86245833333333
ACTL6B	0.00849999999999995
ACTL7A	-0.391583333333333
ADAM19	-1.62529166666667
ADAP1	0.0369166666666666
ADAP2	-0.473791666666667
ADARB1	-1.18454166666667
ADARB2	-1.50866666666667
ADGRG7	-0.697541666666667
ADM	-0.764375
ADSS	-0.114583333333333
ADSSL1	0.0367083333333333
AFG3L2	4.33508333333333
AHCYL1	3.43120833333333
AHCYL2	-0.97
AIPL1	-1.24883333333333
AKAP11	-0.845041666666667
AKIRIN1	1.01966666666667
AKIRIN2	3.08083333333333
ALAS1	-0.973583333333333
ALAS2	-0.674875
ALDOA	5.769375
ALDOC	-0.759166666666667
ALG14	-0.338333333333333
AMELX	-2.04020833333333
ANAPC4	1.45870833333333
ANKRD10	-1.32154166666667
ANKRD37	-1.34254166666667
ANXA1	-1.04
AOX1	-0.566125
AP1G1	-0.473375
AP1G2	-0.216583333333333
AP2A1	0.0740833333333333
AP2A2	-0.856958333333333
AP3M1	-1.02170833333333
AP5M1	-1.15204166666667
APH1A	0.403583333333333
APH1B	0.897291666666667
APOBEC1	-1.03095833333333
APOBEC3C	-0.614541666666667
AQP8	-2.126375
ARFGEF1	-0.531875
ARFGEF2	-0.788708333333333
ARFIP1	-0.749625
ARFIP2	-0.313291666666667
ARHGEF3	-1.48220833333333
ARHGEF6	-1.09020833333333
ARHGEF7	-0.852
ARID1A	1.34391666666667
ARID1B	-1.31716666666667
ARID4A	-0.609416666666667
ARPC5	0.017875
ARPC5L	-0.648333333333333
ARSJ	-1.06629166666667
ASCL1	-1.74533333333333
ASF1A	0.0582499999999999
ASF1B	0.308729166666667
ATAD2	-0.992958333333333
ATAD2B	-1.000125
ATM	-0.325333333333333
ATOH1	-1.21175
ATP5F1A	3.98916666666667
ATP5F1B	3.37458333333333
ATP5F1D	1.09383333333333
ATP5PB	-0.113583333333333
ATP6V1B1	-0.08975
ATP6V1B2	4.1115
ATP6V1C1	3.496375
ATP6V1C2	-0.405791666666667
ATP6V1D	2.95679166666667
ATP6V1E1	-0.10175
ATP6V1E2	0.472458333333333
ATP7A	1.05245833333333
ATP7B	-0.600041666666667
ATP8B3	-0.678291666666667
ATR	1.65533333333333
AXL	-0.969708333333333
BAP1	1.31245833333333
BARHL1	-1.67933333333333
BATF3	-0.281708333333333
BCAP31	-0.573208333333333
BECN1	1.17095833333333
BECN2	-1.04416666666667
BICD1	-0.58575
BICD2	-0.586208333333333
BRD8	0.784958333333333
BRSK1	-1.14908333333333
BRSK2	-0.815041666666667
BTBD11	-0.890708333333333
BTG1	-1.869875
BUB1B	3.669875
BUB3	8.56204166666667
BZW1	-0.129527777777778
BZW2	0.00595833333333329
CAB39	-2.58879166666667
CAB39L	-0.547166666666667
CABP5	-0.279666666666667
CADPS	-1.09741666666667
CADPS2	-0.576416666666667
CALY	-0.770791666666667
CAND1	2.308875
CAND2	-0.895708333333333
CAP1	-0.400458333333333
CAP2	-0.722416666666667
CAPN2	-0.662958333333333
CASP4	-1.40133333333333
CAT	-0.866333333333333
CAV1	0.0199583333333333
CAVIN1	-1.37445833333333
CBLL1	0.396583333333333
CBLL2	-1.59083333333333
CCDC69	-0.932041666666667
CCND1	3.470875
CCND3	-0.888541666666667
CCNE1	-0.65825
CCNE2	-0.999958333333333
CCNL1	2.13366666666667
CCNL2	-1.56154166666667
CCNT1	-1.161
CCNT2	-1.05175
CCT6A	3.72658333333333
CCT6B	0.2465
CD163L1	-1.33191666666667
CD44	-1.01125
CD72	-0.875583333333333
CDC34	-0.166791666666667
CDIPT	4.00795833333333
CDK16	-1.473125
CDK17	0.0107499999999999
CDK19	-0.8015
CDK2	0.944041666666667
CDK5R1	-0.499875
CDK5R2	-0.319875
CDK7	6.37341666666667
CDK8	-0.458875
CDNF	-0.590708333333333
CDS1	-0.262083333333333
CDS2	2.96308333333333
CEACAM1	-1.348625
CELA2A	-1.47133333333333
CFL1	1.95808333333333
CHM	-1.254125
CHML	-0.386125
CHMP1A	0.6175
CHMP1B	-1.22970833333333
CHORDC1	6.16669444444444
CHRNB3	-0.901583333333333
CHSY1	-2.315875
CHSY3	-1.21479166666667
CHUK	-0.298083333333333
CKAP5	4.3610625
CLASP1	-0.416333333333333
CLASP2	-1.02929166666667
CLCA1	-2.01758333333333
CLDN4	-0.1765
CLIP4	-0.681916666666667
CLNS1A	4.97975
CLTA	-0.407708333333333
CLTB	-0.0346250000000001
CLTC	4.0585
CLTCL1	0.000291666666666579
CNOT6	-0.8975
CNOT6L	-1.23766666666667
CNOT7	-0.691833333333333
CNOT8	-1.99402777777778
COPA	7.368875
COPG1	0.667708333333333
COPG2	-0.170958333333333
COPS7A	0.82075
COPS7B	-0.773083333333333
COPZ1	2.25558333333333
COPZ2	-2.29116666666667
COQ10A	-0.960416666666667
COQ10B	-0.931541666666667
COX4I1	2.69554166666667
COX4I2	-0.240708333333334
COX6B1	2.04129166666667
COX6B2	-1.094125
CPS1	-1.18241666666667
CPSF3	4.68804166666667
CREBBP	-1.12833333333333
CRK	-0.117666666666667
CRKL	-0.21325
CRNN	-0.219083333333333
CRX	-0.643208333333333
CRY1	-0.746791666666667
CRY2	-0.295791666666667
CRYBB2	-1.42541666666667
CSTF2	-1.8465
CSTF2T	-0.751958333333334
CTCFL	-1.527
CTNNB1	-0.841208333333333
CTPS1	0.4705
CTPS2	-1.9675
CTR9	4.54283333333333
CTSZ	-0.681083333333333
CWF19L1	0.117666666666667
CYFIP1	-0.934458333333333
CYFIP2	-0.910041666666667
CYP26C1	-0.988708333333333
CYP2A6	-0.368416666666667
CYP2C8	-0.931166666666667
CYP7A1	-1.58845833333333
DBT	-0.642291666666667
DCAF4L2	-1.97483333333333
DCAF8L1	-2.10883333333333
DDI1	-1.06679166666667
DDI2	0.755125
DDX17	-1.03341666666667
DDX39A	-1.28370833333333
DDX39B	-0.348625
DDX5	0.4335
DEGS1	-1.10008333333333
DEGS2	-1.20666666666667
DENND5A	-0.69475
DENND5B	-1.13075
DGAT1	-0.949791666666667
DGAT2L6	-0.944041666666667
DGKI	-1.05120833333333
DGKZ	0.365805555555555
DHX29	1.06208333333333
DHX9	4.17430555555556
DLL1	-1.55075
DLL4	-1.25954166666667
DMD	-1.35683333333333
DMP1	-0.262875
DMXL1	-1.3235
DMXL2	-0.0590833333333334
DNAJC15	-1.150625
DNAJC19	-0.743916666666667
DPCR1	-0.449208333333333
DRD3	-0.621791666666667
DST	-1.27533333333333
DUOX1	-1.018625
DUOX2	-0.584166666666667
DUSP10	-0.502
DYNC1LI1	-0.886083333333333
DYNC1LI2	-1.19729166666667
DYNLRB1	4.81836111111111
DYNLRB2	-1.404
DYNLT1	-1.43579166666667
DYNLT3	-2.04316666666667
DZIP1L	0.1015
DZIP3	-1.22691666666667
E2F3	4.52575
E2F4	-0.817583333333333
EAF1	0.148583333333333
EAF2	-1.18775
EEFSEC	0.442625
EFNB1	-1.69516666666667
EFR3A	-0.122791666666667
EFR3B	-0.42
EGFR	-1.004125
EIF3B	4.085125
EIF3J	1.39275
EIF3L	0.929125
EIF4A3	4.900125
ELL	2.03104166666667
ELL2	-0.958833333333333
ENOX1	-1.39358333333333
ENOX2	-0.931458333333333
EP300	-0.0885833333333335
EPC1	-0.750375
EPC2	0.784916666666667
EPHA2	-1.58683333333333
EPHA3	-0.378416666666667
EPS15	-0.800291666666667
EPS15L1	-0.710041666666667
ERBB3	-1.0876875
ERC1	-1.24625
ERC2	-0.325541666666667
ERH	0.0562083333333333
ERN1	-1.03083333333333
ERN2	-1.44620833333333
ERO1A	-1.173375
ERO1B	-0.787333333333333
ESRP1	-0.443458333333334
ESRP2	-0.786208333333333
EXOC6	-0.298708333333333
EXOC6B	-0.153375
EZH1	-0.0969166666666668
EZH2	-0.86575
FAM126A	-0.203458333333333
FAM126B	-0.981875
FAM50A	0.724625
FAM50B	-1.70175
FAM71A	-0.766916666666667
FAM71B	-1.407125
FANCF	0.560083333333333
FANCM	2.16954166666667
FARS2	1.204125
FBLN1	-0.664916666666667
FCRL3	-0.920166666666667
FDPS	2.9465
FEZ1	-0.397958333333333
FEZ2	-0.536666666666667
