id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
MYC	8	3.3835e-10	4.6703e-06	0.00099	1	8	-1.5744	1.0	1.0	0.999995	1060	0	-1.5744
RRM1	8	1.5004e-07	4.6703e-06	0.00099	2	7	-1.8817	1.0	1.0	0.999995	1057	0	-1.8817
RRM2	4	7.1805e-07	4.6703e-06	0.00099	3	2	-1.7434	0.35725	0.59019	0.999995	590	1	-1.7434
RPP21	4	1.0419e-06	4.6703e-06	0.00099	4	4	-1.7029	1.0	1.0	0.999995	1059	0	-1.7029
POLR2L	4	1.6986e-06	4.6703e-06	0.00099	5	4	-1.8652	1.0	1.0	0.999995	1058	0	-1.8652
BUB3	4	4.5888e-06	1.4011e-05	0.002475	6	4	-1.9402	0.99987	0.99986	0.999995	1050	0	-1.9402
CCND1	4	1.4499e-05	6.0714e-05	0.008251	7	4	-1.6671	0.99999	0.99999	0.999995	1056	0	-1.6671
KIF11	4	1.9617e-05	7.0054e-05	0.008251	8	4	-1.1714	0.99998	0.99999	0.999995	1055	0	-1.1714
MTG2	4	2.1591e-05	7.0054e-05	0.008251	9	4	-1.1645	0.99998	0.99998	0.999995	1054	0	-1.1645
PRPF8	4	2.7703e-05	7.9395e-05	0.008416	10	4	-1.5753	0.99997	0.99998	0.999995	1053	0	-1.5753
E2F3	3	8.8936e-05	0.00023818	0.022952	11	3	-2.3143	0.99991	0.99989	0.999995	1052	0	-2.3143
MED18	8	9.6248e-05	0.00049972	0.037836	12	6	-0.57778	0.42701	0.74226	0.999995	655	2	-0.57778
TIMM10	4	0.00011663	0.00044368	0.036177	13	4	-0.6899	0.99988	0.99988	0.999995	1051	0	-0.6899
COPA	4	0.00013877	0.00059313	0.041914	14	4	-0.85334	0.99986	0.99986	0.999995	1049	0	-0.85334
CHORDC1	3	0.00014838	0.00043434	0.036177	15	3	-1.1801	0.99985	0.99984	0.999995	1048	0	-1.1801
LDB1	8	0.00021065	0.00099477	0.065903	16	6	-0.62225	0.91391	0.97788	0.999995	924	1	-0.62225
PRKDC	8	0.00028276	0.0014058	0.074505	17	5	-0.64303	0.8699	0.96565	0.999995	902	2	-0.64303
ALDOA	4	0.00029853	0.0012656	0.074257	18	3	-1.0556	0.90086	0.92988	0.999995	912	1	-1.0556
CCND3	4	0.00030632	0.0012843	0.074257	19	4	-0.64952	0.99969	0.99972	0.999995	1046	0	-0.64952
SF3B3	4	0.00032601	0.001331	0.074257	20	4	-0.84975	0.99967	0.99971	0.999995	1045	0	-0.84975
NAE1	8	0.00038652	0.0017887	0.082437	21	5	-0.5033	0.14892	0.41219	0.977551	385	2	-0.5033
TOP1MT	4	0.00041692	0.0017047	0.082437	22	3	-0.97253	0.46844	0.69982	0.999995	685	1	-0.97253
RPL13	3	0.00059446	0.00177	0.082437	23	3	-0.81528	0.99941	0.99943	0.999995	1044	0	-0.81528
MRPL41	4	0.00060723	0.0024799	0.105149	24	4	-1.1494	0.99939	0.99944	0.999995	1043	0	-1.1494
CLTC	4	0.00060748	0.0024799	0.105149	25	3	-0.94567	0.99834	0.99842	0.999995	1038	0	-0.94567
RPL36	4	0.00064659	0.0026107	0.106436	26	3	-1.0378	0.99347	0.99377	0.999995	1024	0	-1.0378
HUS1	4	0.0010419	0.003825	0.150165	27	3	-1.0233	0.91958	0.9379	0.999995	928	1	-1.0233
PPP4C	4	0.0012142	0.00432	0.157261	28	3	-1.0522	0.95528	0.958	0.999995	957	1	-1.0522
SBNO1	4	0.0012508	0.0044134	0.157261	29	3	-1.0101	0.39797	0.63262	0.999995	632	1	-1.0101
SLC25A37	4	0.0012624	0.0044508	0.157261	30	3	-1.1093	0.99595	0.9961	0.999995	1033	0	-1.1093
SF3B1	4	0.0013517	0.004703	0.157333	31	3	-0.68719	0.63238	0.79136	0.999995	778	1	-0.68719
TRRAP	4	0.0013647	0.0047497	0.157333	32	3	-1.1996	0.99474	0.995	0.999995	1031	0	-1.1996
SF3A1	4	0.0019203	0.0061414	0.19727	33	3	-1.0602	0.38077	0.61498	0.999995	609	1	-1.0602
NMT1	4	0.0020195	0.0063843	0.199039	34	3	-0.90576	0.99906	0.99924	0.999995	1041	0	-0.90576
RPL10A	4	0.0021922	0.0068233	0.206648	35	3	-1.0677	0.549	0.74352	0.999995	731	1	-1.0677
HSCB	4	0.0023557	0.0072716	0.208048	36	3	-1.0709	0.93312	0.94413	0.999995	943	1	-1.0709
RPS5	4	0.0024877	0.0075332	0.208048	37	2	-0.65228	0.92813	0.94172	0.999995	936	1	-0.65228
NRBP2	4	0.0025464	0.0076546	0.208048	38	3	-0.82148	0.93103	0.9432	0.999995	940	1	-0.82148
RPL14	3	0.0026239	0.0071969	0.208048	39	2	-1.5721	0.81981	0.85351	0.999995	882	1	-1.5721
NCBP2	4	0.0032256	0.0094386	0.250124	40	1	0.62115	0.26601	0.4872	0.999995	508	3	0.62115
NAA10	4	0.0033151	0.0096815	0.250302	41	3	-0.66835	0.99077	0.99123	0.999995	1016	0	-0.66835
PDCD6IP	4	0.0036504	0.010531	0.265794	42	3	-0.77562	0.99785	0.99792	0.999995	1036	0	-0.77562
SF3B5	4	0.0041797	0.011802	0.290928	43	2	-0.90092	0.93153	0.94339	0.999995	941	1	-0.90092
H2AFX	4	0.005066	0.014137	0.340572	44	2	-0.4061	0.32761	0.55762	0.999995	572	2	-0.4061
FDPS	4	0.0052216	0.014548	0.342684	45	2	-0.71071	0.16049	0.35531	0.932249	404	1	-0.71071
RPS19	4	0.0055904	0.015314	0.345376	46	3	-0.7877	0.97826	0.97849	0.999995	987	0	-0.7877
MRPL38	4	0.0058545	0.016108	0.355714	47	3	-0.68961	0.98914	0.98954	0.999995	1010	0	-0.68961
ZNF407	4	0.0062654	0.017126	0.363069	48	3	-0.5763	0.9988	0.99894	0.999995	1040	0	-0.5763
INTS6	3	0.0065286	0.015118	0.345376	49	2	-1.2028	0.98323	0.98316	0.999995	1000	0	-1.2028
MDM4	4	0.0066944	0.018228	0.373902	50	3	-0.72587	0.99926	0.99935	0.999995	1042	0	-0.72587
RPL19	4	0.0067234	0.01835	0.373902	51	2	-0.22152	0.2558	0.47506	0.999995	496	2	-0.22152
ATP5F1B	4	0.0071417	0.019424	0.377948	52	3	-0.59748	0.97236	0.97268	0.999995	976	0	-0.59748
GTF3C1	4	0.0072181	0.01961	0.377948	53	3	-0.61948	0.99714	0.99717	0.999995	1034	0	-0.61948
UQCRC1	4	0.0074113	0.020021	0.378978	54	3	-0.53559	0.98904	0.9895	0.999995	1009	0	-0.53559
RPS3	3	0.0075655	0.016855	0.363069	55	2	-1.0816	0.59036	0.7393	0.999995	751	1	-1.0816
RFC2	4	0.0082089	0.022067	0.387632	56	2	-0.44452	0.45674	0.69191	0.999995	676	2	-0.44452
RPL8	4	0.0082173	0.022076	0.387632	57	3	-0.52276	0.99016	0.99066	0.999995	1013	0	-0.52276
RHBDF1	4	0.008259	0.022188	0.387632	58	3	-0.46254	0.99719	0.99719	0.999995	1035	0	-0.46254
PUM1	4	0.0084695	0.022721	0.387632	59	3	-0.95838	0.97763	0.97784	0.999995	985	0	-0.95838
HASPIN	4	0.008503	0.022824	0.387632	60	2	-0.49181	0.98179	0.98222	0.999995	997	0	-0.49181
GAPDH	4	0.0086021	0.023038	0.387632	61	2	-0.55576	0.27037	0.49224	0.999995	512	1	-0.55576
DYNLRB1	3	0.0086043	0.018695	0.373902	62	2	-1.0996	0.9718	0.97143	0.999995	975	0	-1.0996
RPL3	7	0.0086619	0.028241	0.421629	63	3	0.12699	0.37619	0.69178	0.999995	604	3	0.12699
MED13	4	0.0091662	0.024486	0.405554	64	3	-0.61586	0.80988	0.90293	0.999995	878	1	-0.61586
TLN1	4	0.0093911	0.024944	0.406778	65	3	-0.50306	0.99431	0.99462	0.999995	1029	0	-0.50306
CDK7	4	0.0096657	0.025682	0.409266	66	3	-0.95591	0.91209	0.93449	0.999995	922	1	-0.95591
SNRPD3	4	0.0097583	0.025869	0.409266	67	3	-0.60715	0.77982	0.88329	0.999995	859	1	-0.60715
INTS2	4	0.01037	0.02741	0.421629	68	2	-0.55668	0.84557	0.91228	0.999995	892	1	-0.55668
ATP6V1B2	4	0.010569	0.027868	0.421629	69	3	-0.69393	0.99314	0.99337	0.999995	1021	0	-0.69393
RPS8	3	0.010688	0.022114	0.387632	70	2	-0.47685	0.96422	0.9638	0.999995	970	0	-0.47685
RRAGC	4	0.010698	0.028185	0.421629	71	2	-0.18067	0.2832	0.50714	0.999995	526	2	-0.18067
EPS15	4	0.011065	0.02925	0.430624	72	3	-0.49988	0.84329	0.91166	0.999995	891	1	-0.49988
TACC3	4	0.011482	0.030333	0.440458	73	2	-0.52516	0.62226	0.78555	0.999995	769	1	-0.52516
TUBB4B	8	0.011669	0.037684	0.499319	74	4	-0.33039	0.97719	0.99286	0.999995	983	2	-0.33039
POLR2B	4	0.012261	0.032174	0.46066	75	3	-0.64134	0.048459	0.14051	0.874899	166	1	-0.64134
LONP1	4	0.012423	0.032594	0.46066	76	3	-0.54899	0.59393	0.76944	0.999995	753	1	-0.54899
