gene	BF
ABCA3	-0.569895833333333
ABCB1	-0.877895833333333
ABCC3	-0.0152708333333333
ABCG2	-0.816770833333333
ABL1	-1.04902083333333
ABL2	-0.0043125
ABT1	1.60577083333333
ABTB2	-0.9583125
ACACA	0.755145833333333
ACACB	-0.964854166666667
ACTL6A	1.7166875
ACTL6B	-0.2400625
ACTL7A	-0.628395833333333
ADAM19	-0.765729166666667
ADAP1	-0.140479166666667
ADAP2	-0.114979166666667
ADARB1	-1.34310416666667
ADARB2	-0.452520833333333
ADGRG7	-0.0249375
ADM	-0.266770833333333
ADSS	-1.07511805555556
ADSSL1	-0.1390625
AFG3L2	1.33049305555556
AHCYL1	1.38835416666667
AHCYL2	-1.13727083333333
AIPL1	-0.649229166666667
AKAP11	-0.4284375
AKIRIN1	0.546895833333333
AKIRIN2	0.2801875
ALAS1	-1.28289583333333
ALAS2	-0.5513125
ALDOA	2.13714583333333
ALDOC	-0.449854166666667
ALG14	-0.6694375
AMELX	-0.8865625
ANAPC4	-0.798979166666667
ANKRD10	-0.8278125
ANKRD37	-1.18210416666667
ANXA1	-1.77797916666667
AOX1	-1.17860416666667
AP1G1	-0.2656875
AP1G2	-0.745520833333333
AP2A1	-0.0664374999999999
AP2A2	-1.07322916666667
AP3M1	-0.3836875
AP5M1	-0.130729166666667
APH1A	-0.8224375
APH1B	-0.746479166666667
APOBEC1	-1.20185416666667
APOBEC3C	-0.632854166666667
AQP8	-1.49764583333333
ARFGEF1	-0.6008125
ARFGEF2	-0.668145833333333
ARFIP1	-1.30522916666667
ARFIP2	-0.682020833333333
ARHGEF3	-0.541395833333333
ARHGEF6	-0.604354166666667
ARHGEF7	-0.539729166666667
ARID1A	0.2999375
ARID1B	-1.42189583333333
ARID4A	-0.214520833333333
ARPC5	-0.3805625
ARPC5L	-1.17227083333333
ARSJ	-0.309145833333333
ASCL1	-0.147645833333333
ASF1A	0.1504375
ASF1B	0.16975
ATAD2	-0.9636875
ATAD2B	-0.3606875
ATM	-0.5870625
ATOH1	-0.126270833333333
ATP5F1A	1.07860416666667
ATP5F1B	1.40572916666667
ATP5F1D	0.585020833333333
ATP5PB	-0.0501458333333333
ATP6V1B1	-0.739979166666667
ATP6V1B2	2.7984375
ATP6V1C1	0.106645833333333
ATP6V1C2	-0.481770833333333
ATP6V1D	0.242104166666667
ATP6V1E1	-1.33817361111111
ATP6V1E2	-0.641395833333333
ATP7A	-0.4408125
ATP7B	-1.79089583333333
ATP8B3	-0.721395833333333
ATR	-0.404979166666667
AXL	-0.5051875
BAP1	-0.122729166666667
BARHL1	-0.535604166666667
BATF3	-0.759520833333333
BCAP31	-0.5980625
BECN1	-0.1056875
BECN2	-0.473020833333333
BICD1	0.335395833333333
BICD2	0.6904375
BRD8	-0.424895833333333
BRSK1	-0.722895833333333
BRSK2	-0.0474375
BTBD11	-0.8198125
BTG1	-0.342229166666667
BUB1B	0.536520833333333
BUB3	1.5910625
BZW1	0.112993055555556
BZW2	0.2229375
CAB39	-1.4749375
CAB39L	-0.8529375
CABP5	-0.263104166666667
CADPS	-0.1200625
CADPS2	-0.800270833333333
CALY	-0.177395833333333
CAND1	0.0391041666666667
CAND2	-1.12414583333333
CAP1	-0.110604166666667
CAP2	-0.1221875
CAPN2	-0.700854166666667
CASP4	-0.0720625
CAT	-0.896604166666667
CAV1	-1.1556875
CAVIN1	-0.155020833333333
CBLL1	-0.775395833333333
CBLL2	-1.0544375
CCDC69	-1.28127083333333
CCND1	1.9844375
CCND3	-0.6876875
CCNE1	-0.6231875
CCNE2	0.00872916666666662
CCNL1	0.466854166666667
CCNL2	-0.378145833333333
CCNT1	-0.778020833333333
CCNT2	-0.526395833333333
CCT6A	0.0978819444444445
