id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
MYC	8	6.5323e-12	4.6703e-06	0.00165	1	7	-2.0958	1.0	1.0	0.999995	1059	0	-2.0958
MTG2	4	1.1891e-07	4.6703e-06	0.00165	2	4	-1.4415	1.0	1.0	0.999995	1060	0	-1.4415
RRM1	8	7.5901e-07	4.6703e-06	0.00165	3	7	-1.3746	0.99637	0.99905	0.999995	1030	1	-1.3746
RRM2	4	9.6419e-06	4.2033e-05	0.006051	4	2	-1.3382	0.4295	0.67052	0.999995	687	2	-1.3382
PPP4C	4	1.0759e-05	4.2033e-05	0.006051	5	3	-1.6596	0.98047	0.98101	0.999995	1000	1	-1.6596
KIF11	4	1.2067e-05	4.2033e-05	0.006051	6	4	-1.3229	0.99999	0.99999	0.999995	1058	0	-1.3229
COPA	4	1.245e-05	5.1373e-05	0.006051	7	4	-1.5046	0.99999	0.99999	0.999995	1057	0	-1.5046
SF3B3	4	1.2644e-05	5.1373e-05	0.006051	8	4	-1.6322	0.99999	0.99999	0.999995	1056	0	-1.6322
CCND1	4	1.3445e-05	5.1373e-05	0.006051	9	4	-1.6059	0.99999	0.99999	0.999995	1055	0	-1.6059
POLR2L	4	1.516e-05	6.0714e-05	0.006436	10	4	-1.9625	0.99998	0.99999	0.999995	1054	0	-1.9625
UQCRC1	4	2.632e-05	7.9395e-05	0.007013	11	4	-0.9554	0.99997	0.99998	0.999995	1053	0	-0.9554
PRPF8	4	2.9878e-05	7.9395e-05	0.007013	12	4	-1.334	0.99997	0.99997	0.999995	1052	0	-1.334
BUB3	4	4.206e-05	0.00011676	0.00952	13	3	-1.6668	0.99429	0.99458	0.999995	1019	0	-1.6668
RPS19	4	4.9984e-05	0.00013544	0.010255	14	4	-1.364	0.99995	0.99995	0.999995	1051	0	-1.364
RPS5	4	5.9864e-05	0.00015412	0.010891	15	3	-1.8786	0.94756	0.96204	0.999995	973	1	-1.8786
RPP21	4	0.00011413	0.000425	0.0265	16	3	-1.6908	0.99894	0.99911	0.999995	1040	0	-1.6908
CHORDC1	3	0.00011614	0.00032225	0.021349	17	3	-1.4367	0.99988	0.99986	0.999995	1050	0	-1.4367
SF3A1	4	0.00015982	0.00065851	0.038779	18	3	-1.7847	0.27762	0.51905	0.98929	554	1	-1.7847
ALDOA	4	0.00022011	0.00092939	0.048934	19	3	-1.3269	0.75221	0.87601	0.999995	892	1	-1.3269
ATP6V1B2	4	0.00024891	0.0010602	0.048934	20	4	-1.1154	0.99975	0.99976	0.999995	1049	0	-1.1154
SMARCA4	4	0.00026616	0.0011629	0.048934	21	3	-1.1274	0.66844	0.83347	0.999995	850	1	-1.1274
MED18	8	0.0002662	0.0012003	0.048934	22	5	-0.79192	0.26194	0.59307	0.999995	538	2	-0.79192
NDUFB4	4	0.0002677	0.0011629	0.048934	23	4	-0.66072	0.99973	0.99975	0.999995	1048	0	-0.66072
MED20	4	0.00026964	0.0011629	0.048934	24	4	-0.64503	0.99973	0.99974	0.999995	1047	0	-0.64503
