gene	BF
ABCA3	0.210479166666667
ABCB1	-1.38472916666667
ABCC3	-0.507770833333333
ABCG2	-0.908520833333333
ABL1	-1.4054375
ABL2	0.610770833333333
ABT1	5.79697916666667
ABTB2	-0.5954375
ACACA	0.561729166666667
ACACB	-1.51827083333333
ACTL6A	4.34464583333333
ACTL6B	-0.4361875
ACTL7A	-1.1288125
ADAM19	-0.502854166666667
ADAP1	0.00331249999999983
ADAP2	-0.2504375
ADARB1	-1.2848125
ADARB2	-1.3768125
ADGRG7	-0.602854166666667
ADM	0.191270833333333
ADSS	-0.593659722222222
ADSSL1	-0.284145833333334
AFG3L2	3.55728472222222
AHCYL1	2.9229375
AHCYL2	-0.483229166666667
AIPL1	-1.84185416666667
AKAP11	-0.1143125
AKIRIN1	-0.388395833333333
AKIRIN2	2.22752083333333
ALAS1	-1.9725
ALAS2	-1.99297916666667
ALDOA	6.67739583333333
ALDOC	-0.354979166666667
ALG14	-0.200395833333333
AMELX	-1.1610625
ANAPC4	0.0196874999999999
ANKRD10	-1.25289583333333
ANKRD37	-0.961020833333333
ANXA1	-2.32164583333333
AOX1	-1.86089583333333
AP1G1	0.340395833333333
AP1G2	1.11064583333333
AP2A1	0.951895833333333
AP2A2	-0.939270833333333
AP3M1	0.0687291666666667
AP5M1	-1.37602083333333
APH1A	-0.5059375
APH1B	-0.1781875
APOBEC1	-0.9648125
APOBEC3C	-0.4720625
AQP8	-1.5781875
ARFGEF1	-0.606895833333333
ARFGEF2	0.917520833333333
ARFIP1	-2.25264583333333
ARFIP2	-1.00864583333333
ARHGEF3	-0.957854166666667
ARHGEF6	-2.1279375
ARHGEF7	0.218020833333333
ARID1A	-0.232979166666667
ARID1B	-1.0864375
ARID4A	0.514479166666666
ARPC5	0.181020833333333
ARPC5L	-0.511520833333333
ARSJ	-0.346479166666667
ASCL1	-0.505645833333333
ASF1A	1.4151875
ASF1B	0.610083333333333
ATAD2	-0.6823125
ATAD2B	-0.5114375
ATM	-1.99302083333333
ATOH1	-1.17327083333333
ATP5F1A	7.01947916666667
ATP5F1B	6.20277083333333
ATP5F1D	3.84202083333333
ATP5PB	1.00139583333333
ATP6V1B1	-0.537395833333334
ATP6V1B2	5.95585416666667
ATP6V1C1	3.3990625
ATP6V1C2	-0.744104166666667
ATP6V1D	2.6394375
ATP6V1E1	0.590840277777778
ATP6V1E2	-0.611020833333333
ATP7A	4.29710416666667
ATP7B	-1.57989583333333
ATP8B3	-0.517770833333334
ATR	1.1716875
AXL	-0.865770833333333
BAP1	1.44802083333333
BARHL1	-1.2260625
BATF3	-1.43835416666667
BCAP31	1.46802083333333
BECN1	1.8079375
BECN2	-1.5419375
BICD1	-0.525104166666667
BICD2	-0.136270833333333
BRD8	1.6005625
BRSK1	-0.5775625
BRSK2	0.310854166666667
BTBD11	-0.9976875
BTG1	-0.644020833333333
BUB1B	2.37002083333333
BUB3	6.5101875
BZW1	-0.0121597222222225
BZW2	0.522729166666667
CAB39	-2.32847916666667
CAB39L	-0.698979166666667
CABP5	0.203520833333333
