id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
MYC	8	3.9562e-10	4.6703e-06	0.00165	1	8	-2.4394	1.0	1.0	0.999995	1060	0	-2.4394
RRM1	8	3.7515e-09	4.6703e-06	0.00165	2	8	-4.0441	1.0	1.0	0.999995	1059	0	-4.0441
CKAP5	8	5.6951e-07	4.6703e-06	0.00165	3	8	-2.5282	1.0	1.0	0.999995	1058	0	-2.5282
TOMM40	7	2.1399e-06	2.3351e-05	0.00275	4	7	-1.1696	1.0	1.0	0.999995	1057	0	-1.1696
BUB3	4	3.2812e-06	1.4011e-05	0.002122	5	4	-3.1484	1.0	1.0	0.999995	1056	0	-3.1484
RPS19	4	4.8563e-06	1.4011e-05	0.002122	6	4	-3.6388	1.0	1.0	0.999995	1055	0	-3.6388
PPP4C	4	4.8972e-06	1.4011e-05	0.002122	7	4	-3.6614	0.99991	0.9999	0.999995	1042	0	-3.6614
NAE1	8	5.5836e-06	1.4011e-05	0.002122	8	7	-1.7224	0.97551	0.9938	0.999995	927	1	-1.7224
TOP2A	4	7.322e-06	2.3351e-05	0.00275	9	4	-2.8129	0.99999	1.0	0.999995	1054	0	-2.8129
NAA10	4	8.4177e-06	3.2692e-05	0.00315	10	4	-3.1462	0.99999	0.99999	0.999995	1053	0	-3.1462
POLR2L	4	8.5628e-06	3.2692e-05	0.00315	11	4	-4.7361	0.99999	0.99999	0.999995	1052	0	-4.7361
RRM2	4	9.6419e-06	4.2033e-05	0.003713	12	2	-2.0603	0.67285	0.82287	0.999995	783	2	-2.0603
ALDOA	4	1.4925e-05	6.0714e-05	0.004368	13	4	-3.8326	0.99998	0.99998	0.999995	1047	0	-3.8326
SF3B3	4	1.4938e-05	6.0714e-05	0.004368	14	4	-3.2117	0.99999	0.99999	0.999995	1051	0	-3.2117
ATP5F1A	4	1.7781e-05	7.0054e-05	0.004368	15	4	-2.9827	0.99998	0.99999	0.999995	1050	0	-2.9827
MTG2	4	1.9617e-05	7.0054e-05	0.004368	16	4	-2.1904	0.99998	0.99999	0.999995	1049	0	-2.1904
KIF11	4	2.1885e-05	7.0054e-05	0.004368	17	4	-3.8466	0.99998	0.99998	0.999995	1048	0	-3.8466
CCND1	4	2.7178e-05	7.9395e-05	0.004429	18	4	-3.5804	0.99997	0.99997	0.999995	1045	0	-3.5804
RPL36	4	2.7703e-05	7.9395e-05	0.004429	19	4	-3.136	0.99997	0.99998	0.999995	1046	0	-3.136
RPS5	4	3.9486e-05	0.00010742	0.005693	20	3	-4.1611	0.99635	0.99641	0.999995	980	0	-4.1611
RPA1	4	5.165e-05	0.00013544	0.006836	21	4	-2.9442	0.99995	0.99995	0.999995	1044	0	-2.9442
PRPF8	4	6.6751e-05	0.00019148	0.008825	22	4	-4.0805	0.99985	0.99986	0.999995	1040	0	-4.0805
COPA	4	6.8585e-05	0.00019148	0.008825	23	4	-3.2452	0.99993	0.99993	0.999995	1043	0	-3.2452
CDIPT	4	9.722e-05	0.00037829	0.016708	24	3	-2.9175	0.95893	0.96306	0.999995	904	1	-2.9175
CPSF3	4	0.00012734	0.00054642	0.023168	25	4	-2.0446	0.99987	0.99986	0.999995	1041	0	-2.0446
TRRAP	4	0.00019535	0.00089202	0.032853	26	4	-3.7086	0.9998	0.99983	0.999995	1039	0	-3.7086
CTR9	4	0.00019688	0.00089202	0.032853	27	4	-1.9105	0.9998	0.99983	0.999995	1038	0	-1.9105
ZNF407	4	0.0002143	0.00090136	0.032853	28	4	-3.3149	0.99979	0.9998	0.999995	1037	0	-3.3149
TOP1	4	0.00022428	0.00093873	0.032853	29	4	-3.9424	0.99978	0.99979	0.999995	1036	0	-3.9424
ISCA2	4	0.00023112	0.00098543	0.032853	30	4	-2.1158	0.99977	0.99979	0.999995	1035	0	-2.1158
SMC1A	4	0.00023811	0.0010041	0.032853	31	4	-2.3989	0.99976	0.99978	0.999995	1034	0	-2.3989
ATP6V1B2	4	0.00024347	0.0010228	0.032853	32	4	-1.9347	0.99976	0.99977	0.999995	1033	0	-1.9347
SNRPD3	4	0.00025303	0.0010882	0.033925	33	3	-3.2929	0.18925	0.40414	0.928404	455	1	-3.2929
GAPDH	4	0.00028436	0.001247	0.036259	34	4	-3.7571	0.99951	0.99955	0.999995	1021	0	-3.7571
GTF3C1	4	0.00028551	0.001247	0.036259	35	4	-1.3206	0.99971	0.99973	0.999995	1032	0	-1.3206
RPL8	4	0.0002937	0.0012656	0.036259	36	4	-3.5785	0.99971	0.99973	0.999995	1031	0	-3.5785
INTS6	3	0.00030405	0.00092004	0.032853	37	3	-3.504	0.9997	0.99973	0.999995	1030	0	-3.504
ATP6V1C1	4	0.00031278	0.0013123	0.03651	38	4	-1.5401	0.99969	0.99972	0.999995	1029	0	-1.5401
CDK7	4	0.00033278	0.0013591	0.03651	39	4	-2.5749	0.99967	0.99971	0.999995	1028	0	-2.5749
SIN3A	4	0.00037562	0.0015459	0.038107	40	4	-1.6227	0.99962	0.99967	0.999995	1027	0	-1.6227
NMT1	4	0.00039854	0.0016673	0.039501	41	4	-1.004	0.9996	0.99961	0.999995	1026	0	-1.004
MRPL38	4	0.0004206	0.001714	0.039501	42	3	-2.6908	0.99824	0.99832	0.999995	992	0	-2.6908
RPL10A	4	0.00042293	0.0017233	0.039501	43	3	-3.5412	0.33985	0.57558	0.999995	593	1	-3.5412
MTHFD1	4	0.00044184	0.0017887	0.039501	44	4	-1.8751	0.99956	0.99958	0.999995	1025	0	-1.8751
DYNLRB1	3	0.00044315	0.0013777	0.03651	45	3	-2.4239	0.99956	0.99956	0.999995	1024	0	-2.4239
TSG101	4	0.0004677	0.0019008	0.04106	46	4	-1.2576	0.99953	0.99956	0.999995	1023	0	-1.2576
VMP1	4	0.00048555	0.0019755	0.04106	47	4	-2.7716	0.99951	0.99955	0.999995	1022	0	-2.7716
HMGCS1	3	0.00048888	0.0014525	0.036657	48	3	-2.6491	0.99951	0.99951	0.999995	1020	0	-2.6491
RPL13	3	0.00049319	0.0014525	0.036657	49	3	-2.4209	0.99951	0.99951	0.999995	1019	0	-2.4209
TOMM22	4	0.000526	0.0021437	0.043698	50	4	-1.262	0.99947	0.9995	0.999995	1018	0	-1.262
FZR1	4	0.00053568	0.0021904	0.043807	51	4	-1.7884	0.99946	0.99949	0.999995	1017	0	-1.7884
RPP21	4	0.00056264	0.0023118	0.044734	52	3	-2.1259	0.99853	0.99864	0.999995	999	0	-2.1259
PSMB3	3	0.00061425	0.0017794	0.039501	53	3	-2.7805	0.99939	0.99943	0.999995	1015	0	-2.7805
XRCC6	4	0.00065877	0.0026948	0.049249	54	4	-1.0956	0.99934	0.99943	0.999995	1014	0	-1.0956
E2F3	3	0.00067092	0.0019568	0.04106	55	3	-2.7486	0.99933	0.99938	0.999995	1013	0	-2.7486
HSCB	4	0.00067904	0.0027788	0.049924	56	3	-3.2165	0.9982	0.99827	0.999995	991	0	-3.2165
TRAPPC3	4	0.0007095	0.0028535	0.050413	57	4	-1.3334	0.99929	0.99941	0.999995	1012	0	-1.3334
XPR1	4	0.00074213	0.0029843	0.051858	58	4	-0.99545	0.99926	0.99935	0.999995	1011	0	-0.99545
NKAP	4	0.00079756	0.0031618	0.054056	59	4	-1.024	0.9992	0.99931	0.999995	1010	0	-1.024
CLNS1A	3	0.00080044	0.0023211	0.044734	60	3	-2.6153	0.9992	0.99919	0.999995	1009	0	-2.6153
DHX9	3	0.00083065	0.0023865	0.045173	61	3	-2.4182	0.99917	0.99915	0.999995	1008	0	-2.4182
COX6B1	8	0.00086772	0.0043013	0.06705	62	6	-1.0082	0.99941	0.99941	0.999995	1016	1	-1.0082
SF3B1	4	0.00086997	0.003498	0.058856	63	4	-1.4523	0.99913	0.99928	0.999995	1007	0	-1.4523
CLTC	4	0.00089357	0.0036195	0.059947	64	4	-1.6193	0.99911	0.99926	0.999995	1006	0	-1.6193
RPS11	3	0.00090621	0.0026294	0.048897	65	3	-2.2807	0.99909	0.99906	0.999995	1005	0	-2.2807
