gene	Mel202.D28A	Mel202.D28B	Mel202.D28C
ABCA3	-0.0495287951584841	-0.0144036684203666	-0.142576449658816
ABCB1	0.0763521032964967	0.072355674300046	0.0217300822662755
ABCC3	-0.046244348095438	-0.0979615232334155	-0.0880948075784452
ABCG2	-0.0999605177156007	-0.0736195255231201	-0.0276396593804351
ABL1	0.020282442651857	-0.013107355308815	0.0229479492879792
ABL2	-0.202158683401501	-0.154153259200102	-0.141124372677451
ABT1	-0.966095242832864	-0.947310969403667	-0.60672771545786
ABTB2	-0.12774411560065	-0.0971766247551573	-0.13147542790892
ACACA	-0.390834813171009	-0.163777110911512	-0.190816390388865
ACACB	-0.172274807594714	-0.118686427294168	-0.273163584818021
ACTL6A	-0.678490235060861	-0.363038008778905	-0.322632617459732
ACTL6B	-0.26207765599581	-0.345653363229454	-0.178690937490244
ACTL7A	-0.143997844082984	-0.0684635021666854	-0.154197903635584
ADAM19	0.0628065848094399	-0.0224028827682967	0.0769676908021144
ADAP1	-0.397236404060978	-0.255576240191915	-0.3259873749973
ADAP2	-0.0713957236902538	-0.016038930854557	-0.13842529882374
ADARB1	-0.0150743616864187	-0.0374889479181522	0.172375279413633
ADARB2	-0.00871734890002446	0.0902781269089712	0.117453121331085
ADGRG7	0.0383215832785093	-0.117209149640058	-0.283789444713092
ADM	-0.0744785615115806	-0.134030483775138	-0.178820618076608
ADSS	-0.0874354967083406	-0.221201018201175	-0.00159981938015641
ADSSL1	-0.19668438506996	-0.0223911747706396	-0.176292502396318
AFG3L2	-1.2743276243863	-0.70552441373603	-0.581231870561463
AHCYL1	-0.302381287047858	-0.436836762234916	-0.252996164298384
AHCYL2	-0.0268336404454068	-0.126765426599428	-0.112880143919441
AIPL1	-0.0322568680288945	0.170245447840809	-0.0761994739034542
AKAP11	-0.123758472448053	-0.0469706139180988	-0.156606256178134
AKIRIN1	-0.351613559374688	-0.162424793180231	-0.169589848498362
AKIRIN2	-0.652021587166115	-0.474464187229211	-0.514635421408399
ALAS1	-0.362523139552144	-0.248311840092165	-0.301467553990217
ALAS2	0.0232750288407924	-0.107439059270126	-0.0728730235855382
ALDOA	-1.44831204119255	-1.230742363135	-1.4268553345523
ALDOC	-0.233581333255614	-0.13211378361763	-0.126471249044062
ALG14	-0.15194764382844	-0.161852088257995	-0.227076104205935
AMELX	0.0899286347145758	0.0198528586288606	0.120130798934993
ANAPC4	-0.382977958042362	-0.268543675571382	-0.3002970400692
ANKRD10	-0.109026983206154	-0.0779130154428044	0.0110100906826922
ANKRD37	-0.0118141908299594	-0.0455451408262158	0.0138634979172611
ANXA1	0.0220068121514695	0.0634090008410105	0.0540295152161378
AOX1	-0.0670126433207519	-0.0176765209597229	-0.137789438406933
AP1G1	-0.0535218411163555	-0.13244403988148	-0.110281439884644
AP1G2	-0.103034340704869	-0.0486665854091822	-0.22126972157624
AP2A1	-0.634057205346841	-0.496048460751056	-0.507358022359929
AP2A2	-0.120438593602109	-0.17647471517993	0.039241830954886
AP3M1	-0.0312382410490518	-0.0124858572206378	-0.0434957781186229
AP5M1	-0.159771019419564	-0.0587448957228279	-0.0317951464307085
APH1A	-0.713760441468862	-0.606991121660879	-0.603934689960192
APH1B	-0.11935659200283	0.0176291455217213	-0.134668688377729
APOBEC1	0.0188823748259983	-0.0935922288788943	-0.0292589164796013
APOBEC3C	-0.0435562611418601	-0.00714801997782323	0.0650305414810221
AQP8	0.0729393493835804	-0.00645751759154858	0.0857448084114987
ARFGEF1	-0.226398077733991	-0.0286543007071757	0.0223278227454125
ARFGEF2	-0.160065576771207	-0.0408677569729277	-0.0717809503921875
ARFIP1	0.09591441653851	0.101074083071149	-0.0268234303896403
ARFIP2	-0.0815327496394846	-0.149130652339322	-0.186351703826755
ARHGEF3	0.0215420961260989	-0.11913993875552	-0.185519876692112
ARHGEF6	0.0425774626955324	-0.0150020820846609	0.0710841423893614
ARHGEF7	-0.0423358945403491	-0.0594297339074966	-0.0862972997059271
ARID1A	-0.600973324565434	-0.361038194922861	-0.353542197338447
ARID1B	-0.239963836206193	-0.212799794360029	-0.231711547292662
ARID4A	-0.0436555524038864	-0.0396375079722371	0.0504815402756107
ARPC5	-0.203510297523604	-0.238374009279408	-0.254097170472401
ARPC5L	-0.149603896809194	-0.0605347857706648	-0.146466581538281
ARSJ	-0.0576008788210512	-0.0612146682288799	-0.193132792054267
ASCL1	-0.0712809437407665	-0.0847454127690746	-0.169897435563854
ASF1A	-0.152242841781446	-0.124413395440005	-0.0848576793917676
ASF1B	-0.258402650261402	-0.154691851761479	-0.235885400017426
ATAD2	-0.189976961126123	-0.186963537986544	-0.215225603956776
ATAD2B	0.0469160995245896	0.100093437464579	0.0402235103831169
ATM	0.0342931502506978	0.0507650822413109	0.122158468453827
ATOH1	-0.0399790326511178	0.0387601853928274	-0.155016627192265
ATP5F1A	-0.924461199333049	-0.645831865271603	-0.488016128696645
ATP5F1B	-1.20944769800514	-1.06733358242357	-1.0859032371848
ATP5F1D	-0.819424107531254	-0.637179107954281	-0.492255108579088
ATP5PB	-0.173439600759016	-0.118352108182745	-0.227856996934131
ATP6V1B1	-0.0288602848984312	-0.0109495718108431	-0.0580727085347801
ATP6V1B2	-1.05577611823678	-0.818997024627583	-0.731183373039711
ATP6V1C1	-0.834670216093905	-0.528351631970114	-0.466883158613418
ATP6V1C2	-0.0814785909136462	-0.059243454313861	-0.0510253736169335
ATP6V1D	-0.494916746252691	-0.30957197751561	-0.352498647003809
ATP6V1E1	-0.0499910737996952	0.0471007357450814	-0.0418645780527232
ATP6V1E2	-0.135813851743338	0.0194104963380775	-0.121497227375497
ATP7A	-0.0508452181055847	0.041250697744305	-0.0594823855972211
ATP7B	-0.0617630740546946	-0.00209354239383285	0.0192078924432247
ATP8B3	-0.105892112169995	-0.0336009610441623	-0.15526223250472
ATR	-0.327292036076919	-0.309014093697773	-0.240495051973182
AXL	0.0530320584316397	0.0696995842268045	0.00755582421477485
BAP1	-0.397665749692126	-0.392089668622712	-0.29490358230232
BARHL1	-0.0605810499420096	0.0454766161433813	-0.119890953356682
BATF3	-0.168337146576352	-0.121475982849738	-0.1586976499306
BCAP31	-0.173608341989793	-0.180396266777583	-0.106076681250916
BECN1	-0.279964856286529	-0.0817796146450452	-0.19815933945703
BECN2	-0.0648002812129895	0.0374114722652763	-0.112945389053141
BICD1	-0.242241749439635	-0.20020236865655	-0.185582075192902
BICD2	-0.0724179297792066	-0.168065091279925	-0.11925079846299
BRD8	-0.329915220652637	-0.339161265917339	-0.295425688907932
BRSK1	-0.124160900180952	0.0222072562466421	-0.0926488773235096
BRSK2	0.10933000490178	-0.0681710430552123	0.0318636106711678
BTBD11	-0.179356987795925	-0.102153690200275	-0.0998485821340622
BTG1	-0.145498188921248	-0.221775407946865	-0.137654993109418
BUB1B	-0.430275126911164	-0.421000073058079	-0.514906341384259
BUB3	-1.64497108868588	-1.10309575579134	-1.43827489447911
BZW1	0.0328342799751385	-0.121051708158505	-0.207628660343364
BZW2	-0.301808682202512	-0.324545793573178	-0.284643846306584
CAB39	-0.010854074959739	-0.129323430075693	-0.071305378445466
CAB39L	-0.0112784497186462	0.0728025996486972	-0.211983924114361
CABP5	-0.242246591392922	-0.274501821558668	-0.0718539234851468
CADPS	-0.0666097848977499	-0.0690345435048791	-0.129832345082523
