gene	BF
ABCA3	-0.342833333333333
ABCB1	-0.47225
ABCC3	-0.287875
ABCG2	-0.120625
ABL1	-0.743708333333333
ABL2	-0.310458333333333
ABT1	0.623916666666667
ABTB2	-0.260583333333333
ACACA	0.41625
ACACB	-0.0459999999999999
ACTL6A	0.259291666666667
ACTL6B	-0.337916666666667
ACTL7A	-0.133125
ADAM19	-0.427
ADAP1	-0.35125
ADAP2	-0.0525833333333332
ADARB1	-0.233416666666667
ADARB2	-0.384625
ADGRG7	-0.275708333333333
ADM	-0.183708333333333
ADSS	-0.422333333333333
ADSSL1	-0.190916666666667
AFG3L2	0.565222222222222
AHCYL1	-0.0712083333333332
AHCYL2	-0.240833333333333
AIPL1	-0.349625
AKAP11	-0.325541666666667
AKIRIN1	0.10725
AKIRIN2	0.52125
ALAS1	-0.3510625
ALAS2	-0.468458333333333
ALDOA	0.87925
ALDOC	-0.375208333333333
ALG14	0.323291666666667
AMELX	-0.316916666666667
ANAPC4	0.374666666666667
ANKRD10	-0.1295
ANKRD37	-0.38275
ANXA1	-0.396
AOX1	-0.324833333333333
AP1G1	0.313875
AP1G2	-0.147458333333333
AP2A1	-0.961958333333333
AP2A2	-0.442375
AP3M1	-0.36775
AP5M1	-0.0384999999999999
APH1A	0.131166666666667
APH1B	-0.0912083333333332
APOBEC1	-0.204166666666667
APOBEC3C	-0.339416666666667
AQP8	-0.705333333333333
ARFGEF1	-0.219166666666667
ARFGEF2	-0.0274999999999999
ARFIP1	-0.704833333333333
ARFIP2	-0.14475
ARHGEF3	-0.581541666666667
ARHGEF6	-0.329958333333333
ARHGEF7	0.156791666666667
ARID1A	0.268041666666667
ARID1B	0.113208333333333
ARID4A	-0.263625
ARPC5	-0.327375
ARPC5L	-0.423916666666667
ARSJ	-0.367083333333333
ASCL1	-0.50675
ASF1A	-0.273541666666667
ASF1B	-0.0116458333333332
ATAD2	-0.363458333333333
ATAD2B	-0.182375
ATM	-0.209041666666667
ATOH1	-0.391125
ATP5F1A	0.474083333333333
ATP5F1B	0.510833333333333
ATP5F1D	0.4375
ATP5PB	-0.0604166666666666
ATP6V1B1	-0.126
ATP6V1B2	0.768833333333333
ATP6V1C1	0.508958333333333
ATP6V1C2	-0.428854166666667
ATP6V1D	0.343291666666667
ATP6V1E1	-0.133888888888889
ATP6V1E2	-0.323666666666667
ATP7A	-0.31425
ATP7B	-0.274208333333333
ATP8B3	-0.164041666666667
ATR	0.103833333333333
AXL	-0.547166666666667
BAP1	-0.0508333333333332
BARHL1	-0.290166666666667
BATF3	-0.416583333333333
BCAP31	0.202083333333333
BECN1	0.137458333333333
BECN2	-0.247208333333333
BICD1	0.126541666666667
BICD2	0.268916666666667
BRD8	0.00866666666666677
BRSK1	-0.174833333333333
BRSK2	-0.00854166666666656
BTBD11	-0.333666666666667
BTG1	0.107333333333333
BUB1B	0.330458333333333
BUB3	1.047875
BZW1	-0.173111111111111
BZW2	-0.461583333333333
CAB39	-1.545875
CAB39L	-0.309666666666667
CABP5	-0.30875
CADPS	-0.0363333333333332
CADPS2	-0.358833333333333
CALY	-0.0659583333333332
CAND1	-0.0709166666666665
CAND2	-0.0970416666666666
CAP1	0.0911666666666668
CAP2	-0.340041666666667
CAPN2	-0.248791666666667
CASP4	-0.31525
CAT	-0.274416666666667
CAV1	-0.370375
CAVIN1	-0.0854166666666666
CBLL1	-0.920625
CBLL2	-0.388458333333333
CCDC69	-0.469416666666667
CCND1	0.639416666666667
CCND3	-0.380333333333333
CCNE1	-0.297708333333333
CCNE2	0.173458333333333
CCNL1	0.833666666666667
CCNL2	-0.139291666666667
CCNT1	0.145041666666667
CCNT2	0.146041666666667
CCT6A	0.534
CCT6B	-0.160208333333333
CD163L1	-0.458333333333333
CD44	-0.354583333333333
CD72	-0.125083333333333
CDC34	-0.127375
CDIPT	0.470333333333333
CDK16	-0.278291666666667
CDK17	0.122583333333333
CDK19	-0.489770833333333
CDK2	0.141
CDK5R1	-0.30025
CDK5R2	0.00195833333333343
CDK7	0.710875
CDK8	-0.228875
CDNF	-0.485958333333333
CDS1	-0.386125
CDS2	0.323833333333333
CEACAM1	-0.219
CELA2A	-0.327083333333333
CFL1	-0.0132499999999999
CHM	-0.368416666666667
CHML	-0.260583333333333
CHMP1A	-0.190666666666667
CHMP1B	-0.396958333333333
CHORDC1	0.770666666666667
CHRNB3	-0.401958333333333
CHSY1	-0.724916666666667
CHSY3	-0.256833333333333
CHUK	-0.411895833333333
CKAP5	0.742041666666667
CLASP1	0.165958333333333
CLASP2	0.10525
CLCA1	-0.335416666666667
CLDN4	-0.308541666666667
CLIP4	-0.163958333333333
CLNS1A	0.691777777777778
CLTA	-0.584083333333333
CLTB	-0.264416666666667
CLTC	0.0601250000000001
CLTCL1	-0.422625
CNOT6	-0.218791666666667
CNOT6L	-0.613375
CNOT7	0.145166666666667
CNOT8	0.001888888888889
COPA	0.790416666666667
COPG1	0.284208333333333
COPG2	-0.0843333333333333
COPS7A	-0.285916666666667
COPS7B	0.0410833333333334
COPZ1	0.235708333333333
COPZ2	-0.519166666666667
COQ10A	-0.139833333333333
COQ10B	-0.14325
COX4I1	0.189666666666667
COX4I2	0.139125
COX6B1	0.0729791666666668
COX6B2	-0.279875
CPS1	-0.277291666666667
CPSF3	0.303791666666667
CREBBP	-0.30475
CRK	0.5795
CRKL	0.142791666666667
CRNN	-0.762583333333333
CRX	-0.110333333333333
CRY1	-0.112666666666667
CRY2	0.000333333333333422
CRYBB2	-0.446916666666667
CSTF2	0.117541666666667
CSTF2T	-0.373666666666667
CTCFL	-0.203625
CTNNB1	-0.576916666666667
CTPS1	-0.4385
CTPS2	-0.220583333333333
CTR9	0.578833333333333
CTSZ	0.181375
CWF19L1	-0.169958333333333
CYFIP1	0.0729583333333334
CYFIP2	-0.0036249999999999
CYP26C1	0.0356666666666668
CYP2A6	-0.368583333333333
CYP2C8	-0.292208333333333
CYP7A1	-0.197583333333333
DBT	-0.262375
DCAF4L2	-0.217708333333333
DCAF8L1	-0.424625
DDI1	-0.321583333333333
DDI2	0.260625
DDX17	-0.223
DDX39A	-0.256125
DDX39B	-0.408833333333333
