id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
MYC	8	1.5128e-09	4.6747e-06	0.00099	1	8	-1.2388	1.0	1.0	0.999995	1059	0	-1.2388
RRM1	8	5.6806e-09	4.6747e-06	0.00099	2	8	-1.1905	1.0	1.0	0.999995	1058	0	-1.1905
PRPF8	4	2.1264e-07	4.6747e-06	0.00099	3	4	-1.2542	1.0	1.0	0.999995	1057	0	-1.2542
RPL3	7	2.7919e-07	4.6747e-06	0.00099	4	4	-1.3043	0.99896	0.99897	0.999995	1017	0	-1.3043
TUBB4B	8	8.7594e-07	4.6747e-06	0.00099	5	7	-0.96596	0.96387	0.96381	0.999995	932	0	-0.96596
RRM2	4	2.0638e-06	1.4024e-05	0.002475	6	2	-0.81684	0.55993	0.56004	0.999995	538	0	-0.81684
TOP2A	4	6.4219e-06	3.2723e-05	0.00495	7	4	-1.1436	0.99999	1.0	0.999995	1056	0	-1.1436
BUB3	4	8.5632e-06	4.2072e-05	0.005569	8	4	-1.2629	0.99999	1.0	0.999995	1055	0	-1.2629
CKAP5	8	1.1742e-05	6.0771e-05	0.007013	9	7	-1.041	0.9998	0.99983	0.999995	1043	0	-1.041
KIF11	4	1.5073e-05	7.947e-05	0.007013	10	4	-1.0895	0.99998	1.0	0.999995	1054	0	-1.0895
EAF1	4	1.5302e-05	7.947e-05	0.007013	11	4	-1.1346	0.99998	1.0	0.999995	1053	0	-1.1346
TRRAP	4	1.5766e-05	7.947e-05	0.007013	12	4	-1.1395	0.99998	1.0	0.999995	1052	0	-1.1395
POLR2L	4	3.2815e-05	9.8168e-05	0.007997	13	4	-1.0745	0.99997	1.0	0.999995	1050	0	-1.0745
RPP21	4	3.5281e-05	0.00010752	0.008133	14	4	-1.2408	0.99991	0.99991	0.999995	1047	0	-1.2408
COPA	4	4.4747e-05	0.00012622	0.008911	15	4	-1.1049	0.99996	0.99998	0.999995	1049	0	-1.1049
VMP1	4	5.9036e-05	0.00021036	0.013923	16	4	-0.96039	0.99994	0.99997	0.999995	1048	0	-0.96039
RPS19	4	0.00011526	0.00053759	0.031628	17	4	-1.0365	0.99988	0.99988	0.999995	1046	0	-1.0365
RPL11	3	0.00014431	0.00043475	0.027082	18	3	-1.0953	0.99986	0.99984	0.999995	1045	0	-1.0953
TOMM40	7	0.00017201	0.00094896	0.043111	19	6	-0.78539	0.99998	1.0	0.999995	1051	0	-0.78539
RPL8	4	0.0001855	0.00086482	0.043111	20	4	-1.1375	0.99942	0.99948	0.999995	1026	0	-1.1375
RPL36	4	0.00019496	0.00091156	0.043111	21	4	-0.87294	0.99981	0.9998	0.999995	1044	0	-0.87294
SIN3A	4	0.00022958	0.00096766	0.043111	22	4	-0.97919	0.99977	0.99976	0.999995	1042	0	-0.97919
NAA10	4	0.00023015	0.00097701	0.043111	23	4	-1.0957	0.99936	0.99945	0.999995	1024	0	-1.0957
INTS6	3	0.00023114	0.00073393	0.040907	24	3	-1.137	0.99977	0.99977	0.999995	1041	0	-1.137
ATP6V1C1	4	0.00023666	0.0010238	0.043222	25	4	-0.90935	0.99976	0.99975	0.999995	1040	0	-0.90935
GAPDH	4	0.00024575	0.0010612	0.043222	26	4	-0.99227	0.99975	0.99974	0.999995	1039	0	-0.99227
CDK7	4	0.00025699	0.0011546	0.04367	27	4	-0.95885	0.99974	0.99972	0.999995	1038	0	-0.95885
CCNL1	4	0.00027258	0.0012481	0.045579	28	4	-1.0695	0.99973	0.99971	0.999995	1037	0	-1.0695
NAA15	4	0.00033046	0.0014258	0.05033	29	4	-0.86474	0.99967	0.99964	0.999995	1036	0	-0.86474
RPL13	3	0.00036494	0.0011266	0.04367	30	3	-0.9836	0.99964	0.99964	0.999995	1035	0	-0.9836
ATP6V1B2	4	0.00042695	0.001725	0.055217	31	4	-1.0137	0.99957	0.99957	0.999995	1034	0	-1.0137
MDM4	4	0.0004526	0.0018185	0.055217	32	4	-0.91472	0.99955	0.99957	0.999995	1033	0	-0.91472
HSCB	4	0.00045846	0.0018465	0.055217	33	4	-1.0458	0.99954	0.99957	0.999995	1032	0	-1.0458
CCND1	4	0.00047034	0.0019026	0.055217	34	4	-0.80637	0.99953	0.99956	0.999995	1031	0	-0.80637
ATP5F1B	4	0.00048859	0.0019774	0.055217	35	4	-0.87606	0.99951	0.99955	0.999995	1030	0	-0.87606
TOMM22	4	0.00049782	0.0019961	0.055217	36	3	-1.0823	0.99603	0.99604	0.999995	1004	0	-1.0823
MTG2	4	0.00050419	0.0020335	0.055217	37	4	-0.86877	0.9995	0.99953	0.999995	1029	0	-0.86877
NAE1	8	0.00052571	0.0026225	0.066124	38	6	-0.81774	0.6854	0.68466	0.999995	653	0	-0.81774
ALDOA	4	0.00055666	0.0022953	0.059285	39	4	-1.1413	0.99944	0.99949	0.999995	1028	0	-1.1413
PPP4C	4	0.00056007	0.0022953	0.059285	40	4	-1.0065	0.99944	0.99949	0.999995	1027	0	-1.0065
DYNLRB1	3	0.00061573	0.0017904	0.055217	41	3	-1.1179	0.99938	0.99943	0.999995	1025	0	-1.1179
SNRPB2	3	0.00069537	0.0020335	0.055217	42	3	-0.94426	0.9993	0.99936	0.999995	1023	0	-0.94426
POLR2B	4	0.0007861	0.0029965	0.073797	43	3	-1.0323	0.83962	0.84141	0.999995	796	0	-1.0323
SF3B3	4	0.0008175	0.0031274	0.07527	44	4	-0.9636	0.99918	0.99928	0.999995	1022	0	-0.9636
CRK	4	0.00086384	0.0033331	0.078438	45	4	-0.90245	0.99914	0.99926	0.999995	1021	0	-0.90245
ZNF407	4	0.00093012	0.00352	0.081037	46	2	-0.73213	0.66384	0.66296	0.999995	631	0	-0.73213
AKIRIN2	4	0.0009624	0.0036603	0.081786	47	4	-0.89141	0.99904	0.99919	0.999995	1020	0	-0.89141
PDS5A	4	0.00098831	0.003707	0.081786	48	4	-0.83127	0.99901	0.99918	0.999995	1019	0	-0.83127
RBBP7	4	0.0010308	0.0038286	0.082744	49	4	-0.75625	0.99897	0.99914	0.999995	1018	0	-0.75625
SBNO1	4	0.0013682	0.0049411	0.104653	50	3	-0.98361	0.90803	0.90813	0.999995	858	0	-0.98361
TAMM41	4	0.0014356	0.0051001	0.104817	51	3	-1.02	0.37706	0.37589	0.999995	370	0	-1.02
ABT1	4	0.0018212	0.0061285	0.118002	52	3	-0.94777	0.98994	0.98995	0.999995	983	0	-0.94777
CLNS1A	3	0.0018438	0.0051468	0.104817	53	3	-0.92408	0.99816	0.99804	0.999995	1013	0	-0.92408
CHORDC1	3	0.0020544	0.0057545	0.11487	54	3	-1.1785	0.99756	0.9975	0.999995	1010	0	-1.1785
RPL17	3	0.0020867	0.0058574	0.11487	55	3	-0.81651	0.99791	0.99783	0.999995	1011	0	-0.81651
