gene	Mel285.D28A	Mel285.D28B	Mel285.D28C	Mel285.D49A	Mel285.D49B	Mel285.D49C
ABCA3	0.171739365615799	0.800060192193733	0.478594800880184	-1.04105451073948	-0.453635436873279	-0.918615204003114
ABCB1	0.555731151554686	0.483503960146662	0.625340880599951	-0.599157612551238	-0.840263600898491	-0.535135026506281
ABCC3	0.626639615814859	0.410926112921351	0.0395633781647983	-0.424117912143968	-0.63859148213439	-1.1119525449092
ABCG2	0.562700567597616	0.385598063289842	0.203870797869494	-0.628973983508164	-1.2291373210745	-1.19321328495721
ABL1	0.884289176879668	0.559415904088377	0.577543909778038	0.0205665506626501	-0.719543489993911	-0.562166293909386
ABL2	0.398927872137656	0.438091730870869	0.668812062111156	-0.992741405976095	-0.800736275828312	-0.813163402677059
ABT1	-0.258350545170343	-0.359356244985466	-0.633302499117532	-1.14055890232349	-1.24052782602427	-1.36332186768045
ABTB2	0.240206914558464	0.363933084984037	0.66443083534542	-0.960125297637249	-0.694311625534171	-0.915422734394068
ACACA	0.0210506458172392	-0.227187096025147	-0.491468633829852	-1.02305317838907	-1.03217670984667	-1.38936326267143
ACACB	0.23325939840125	0.352943126329642	0.182299314995187	-0.982611423833	-0.96426498931325	-1.03238407602818
ACTL6A	-0.257091490637117	-0.24105669308854	-0.127233409435558	-0.815576580823391	-0.96643618021681	-1.12177657727912
ACTL6B	0.370283016869722	0.696172702118894	0.214126359743819	-0.722521109460873	-0.518123572791525	-0.983437469434205
ACTL7A	0.119562617783363	-0.363685293997567	0.701654018467045	-1.02458764197327	-1.01484285024321	-0.310586439677048
ADAM19	0.615275067977204	0.28371016158145	0.565359434246675	-0.546061481053738	-0.939271215074564	-0.581743322911345
ADAP1	0.149598832116123	0.123935376477581	0.867906925952422	-1.03642960280234	-1.01926319824462	-0.014425634489656
ADAP2	0.170747670276575	0.205657301697293	0.283262234777298	-1.16749279244243	-0.862933196129227	-0.829239567056655
ADARB1	0.411601241186103	0.4052629699118	0.38367981626708	-0.673029384067588	-0.821638593779353	-1.0925238276838
ADARB2	0.607890363457107	0.332335165539945	0.339736622269955	-0.151700484305184	-0.985533707999112	-0.888165567300387
ADGRG7	0.222164839658073	0.341730544771271	0.172327288114686	-0.675298417505738	-0.624521754964205	-0.732603701220721
ADM	0.304508959737221	0.381708407524282	0.413937584615409	-0.974172600793931	-0.918802485559243	-0.888260831005395
ADSS	0.308015543803723	0.639490296519671	0.471192092996577	-0.584944649282122	-0.921808413034163	-0.516941824967082
ADSSL1	0.329454033530247	0.238437336890044	0.535556648024629	-0.939067705131203	-1.10935683570323	-0.566911166918054
AFG3L2	-0.57960777281133	-0.584855777414022	-0.364565020504724	-0.936437902577048	-1.10973642867007	-1.25335155543152
AHCYL1	0.0371546322089031	0.201386685652727	0.411945595242548	-0.933127084196417	-1.0365997530378	-0.783732877057541
AHCYL2	0.151238726805394	0.312461753165901	0.734366268832466	-1.00786436255963	-0.934187987969589	-0.554946811648893
AIPL1	0.437180212071258	0.565092114289002	0.397121870120941	-0.733692031786684	-0.822301378621612	-0.759950116223727
AKAP11	0.273614114205366	0.578806816932895	0.504080958432124	-0.668366843666823	-0.700520926581271	-0.924052520373432
AKIRIN1	-0.0535147732281425	0.274284215930028	-0.0404296362714059	-1.17322572622145	-0.841139485649645	-1.03157236300455
