gene	BF
ABCA3	-0.365041666666667
ABCB1	-0.3285
ABCC3	-0.0682916666666667
ABCG2	-0.325375
ABL1	-0.314791666666667
ABL2	-0.08875
ABT1	0.0222083333333333
ABTB2	-0.370708333333333
ACACA	-0.262708333333333
ACACB	-0.392875
ACTL6A	-0.0575
ACTL6B	-0.224208333333333
ACTL7A	-0.164666666666667
ADAM19	-0.409916666666667
ADAP1	0.0828333333333333
ADAP2	-0.106416666666667
ADARB1	-0.206208333333333
ADARB2	-0.362416666666667
ADGRG7	-0.213125
ADM	-0.273333333333333
ADSS	-0.114125
ADSSL1	-0.44025
AFG3L2	-0.0333472222222222
AHCYL1	-0.0500833333333333
AHCYL2	-0.126833333333333
AIPL1	-0.254625
AKAP11	-0.194958333333333
AKIRIN1	-0.113791666666667
AKIRIN2	-0.151666666666667
ALAS1	-0.222041666666667
ALAS2	-0.155333333333333
ALDOA	0.0401666666666667
ALDOC	-0.0839583333333333
ALG14	-0.277166666666667
AMELX	-0.379791666666667
ANAPC4	-0.11725
ANKRD10	-0.336583333333333
ANKRD37	-0.288333333333333
ANXA1	-0.367875
AOX1	-0.185416666666667
AP1G1	-0.265625
AP1G2	-0.191916666666667
AP2A1	-0.356
AP2A2	-0.258791666666667
AP3M1	-0.259708333333333
AP5M1	-0.367
APH1A	-0.116375
APH1B	-0.127833333333333
APOBEC1	-0.681416666666667
APOBEC3C	0.0367083333333333
AQP8	-0.374458333333333
ARFGEF1	-0.040375
ARFGEF2	-0.182958333333333
ARFIP1	-0.223208333333333
ARFIP2	-0.481958333333333
ARHGEF3	-0.38525
ARHGEF6	-0.381
ARHGEF7	-0.137416666666667
ARID1A	-0.393166666666667
ARID1B	-0.303625
ARID4A	-0.20575
ARPC5	-0.172416666666667
ARPC5L	-0.443666666666667
ARSJ	-0.485833333333333
ASCL1	-0.312458333333333
ASF1A	-0.175291666666667
ASF1B	-0.1181875
ATAD2	-0.189708333333333
ATAD2B	-0.174625
ATM	-0.484958333333333
ATOH1	-0.181333333333333
ATP5F1A	-0.119375
ATP5F1B	-0.0747083333333333
ATP5F1D	-0.199333333333333
ATP5PB	-0.295416666666667
ATP6V1B1	-0.264208333333333
ATP6V1B2	0.119833333333333
ATP6V1C1	-0.1125
ATP6V1C2	-0.213229166666667
ATP6V1D	0.0375833333333333
ATP6V1E1	-0.323625
ATP6V1E2	-0.12825
ATP7A	-0.15625
ATP7B	-0.175583333333333
ATP8B3	-0.200916666666667
ATR	-0.2035
AXL	-0.315875
BAP1	-0.336416666666667
BARHL1	-0.325041666666667
BATF3	-0.246583333333333
BCAP31	-0.187375
BECN1	-0.176125
BECN2	-0.257
BICD1	-0.261625
BICD2	-0.203833333333333
BRD8	-0.211875
BRSK1	-0.246166666666667
BRSK2	-0.241375
BTBD11	-0.319708333333333
BTG1	-0.339583333333333
BUB1B	-0.344166666666667
BUB3	-0.107583333333333
BZW1	-0.368513888888889
BZW2	-0.108166666666667
CAB39	-0.349333333333333
CAB39L	-0.16075
CABP5	-0.041625
CADPS	-0.327958333333333
CADPS2	-0.119
CALY	-0.212916666666667
CAND1	-0.120875
CAND2	-0.204083333333333
CAP1	-0.239583333333333
CAP2	-0.168625
CAPN2	-0.241375
CASP4	-0.219625
CAT	-0.236833333333333
CAV1	-0.325916666666667
CAVIN1	-0.0890416666666667
CBLL1	-0.28275
CBLL2	-0.25425
CCDC69	-0.33475
CCND1	-0.00241666666666665
CCND3	-0.336875
CCNE1	-0.259916666666667
CCNE2	-0.279625
CCNL1	-0.216291666666667
CCNL2	-0.164833333333333
