id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
MYC	8	1.9938e-05	0.00010752	0.113861	1	6	-1.4193	0.99959	0.99963	0.999874	1057	0	-1.4193
FNIP1	4	0.00014244	0.00064978	0.334158	2	4	-1.1537	0.99986	0.99987	0.999874	1059	0	-1.1537
RPL5	4	0.00036884	0.0015941	0.334158	3	4	-1.49	0.99963	0.99962	0.999874	1058	0	-1.49
RPL36	4	0.00043525	0.0017624	0.334158	4	2	-1.3267	0.90258	0.90261	0.999874	937	0	-1.3267
FAM71A	4	0.00044106	0.0017717	0.334158	5	4	-0.96573	0.99956	0.99957	0.999874	1056	0	-0.96573
RAN	4	0.00046929	0.0018932	0.334158	6	1	0.3049	0.28916	0.31663	0.97867	338	1	0.3049
TSG101	4	0.00089258	0.0034265	0.439071	7	4	-0.85207	0.99911	0.99924	0.999874	1055	0	-0.85207
RSBN1L	4	0.0009853	0.0036977	0.439071	8	3	-1.8147	0.98657	0.98669	0.999874	1032	0	-1.8147
GSDMD	4	0.001215	0.0045859	0.439071	9	3	-1.4567	0.95873	0.95916	0.999874	996	0	-1.4567
HTR2C	4	0.0013419	0.0050253	0.439071	10	3	-1.4072	0.90275	0.90277	0.999874	938	0	-1.4072
NCBP2	4	0.0014074	0.0053899	0.439071	11	1	0.010319	0.23691	0.27892	0.977216	301	1	0.010319
RPL14	3	0.0014538	0.0041371	0.439071	12	2	-2.1069	0.73974	0.74054	0.999874	762	0	-2.1069
RRM1	8	0.0017093	0.0081947	0.535527	13	5	-1.1321	0.99229	0.99238	0.999874	1046	0	-1.1321
ATP6V1B2	4	0.0017339	0.0066614	0.50389	14	4	-1.1686	0.99827	0.99842	0.999874	1054	0	-1.1686
E2F3	3	0.0019189	0.0053432	0.439071	15	3	-1.7653	0.99808	0.99796	0.999874	1053	0	-1.7653
TOP1	4	0.002232	0.0081947	0.535527	16	3	-1.3277	0.9821	0.98201	0.999874	1026	0	-1.3277
SF3A1	4	0.0023448	0.0085968	0.535527	17	1	0.1041	0.58329	0.58299	0.999874	603	0	0.1041
EIF3B	4	0.0028672	0.010102	0.578166	18	3	-1.5748	0.99706	0.99716	0.999874	1052	0	-1.5748
MBD3L1	4	0.0037595	0.012365	0.598	19	2	-0.98534	0.31071	0.33296	0.97867	357	1	-0.98534
POLR2L	4	0.0042177	0.013412	0.598	20	1	-0.16105	0.64652	0.64606	0.999874	656	0	-0.16105
GRHL2	4	0.0043243	0.013608	0.598	21	3	-1.4599	0.074341	0.12728	0.934158	144	1	-1.4599
CTR9	4	0.004466	0.014075	0.598	22	3	-1.123	0.93901	0.93887	0.999874	978	0	-1.123
FANCM	4	0.0045445	0.014309	0.598	23	3	-1.2961	0.91295	0.91312	0.999874	950	0	-1.2961
NRBP2	4	0.0048477	0.01502	0.598	24	3	-1.4002	0.80084	0.80196	0.999874	840	0	-1.4002
TRRAP	4	0.0051602	0.015796	0.598	25	3	-1.4194	0.99608	0.99607	0.999874	1050	0	-1.4194
RPL31	2	0.0053905	0.010373	0.578166	26	2	-2.3473	0.99177	0.9922	0.999874	1044	0	-2.3473
RPP21	4	0.0054821	0.0166	0.598	27	3	-1.4433	0.98523	0.98554	0.999874	1029	0	-1.4433
CHORDC1	3	0.0058176	0.015908	0.598	28	2	-1.6245	0.90349	0.90299	0.999874	940	0	-1.6245
SLC35F3	4	0.0060879	0.018058	0.598	29	1	0.64353	0.3764	0.38668	0.998756	411	1	0.64353
IPO7	3	0.006246	0.016862	0.598	30	2	-1.616	0.51643	0.51444	0.999874	535	0	-1.616
GALNT5	4	0.0068845	0.019919	0.598	31	3	-1.0373	0.9074	0.90736	0.999874	944	0	-1.0373
PSMB3	3	0.0070144	0.018909	0.598	32	2	-1.5919	0.92111	0.92032	0.999874	957	0	-1.5919
ACTL6A	4	0.007022	0.020237	0.598	33	1	-0.32511	0.11013	0.17954	0.966695	186	1	-0.32511
ATP6V1D	4	0.0072694	0.020938	0.598	34	3	-1.1644	0.9893	0.98918	0.999874	1038	0	-1.1644
SF3B3	4	0.0074176	0.021246	0.598	35	2	-1.1112	0.86105	0.86219	0.999874	894	0	-1.1112
DHX29	3	0.0075388	0.020312	0.598	36	3	-1.3827	0.99246	0.99251	0.999874	1047	0	-1.3827
XRCC6	4	0.0076073	0.021677	0.598	37	3	-1.2733	0.23767	0.27942	0.977216	302	1	-1.2733
GTF3C1	4	0.0077084	0.021882	0.598	38	3	-0.98233	0.7142	0.71356	0.999874	732	0	-0.98233
RBPJ	4	0.0078961	0.022424	0.598	39	2	-1.1536	0.96951	0.96968	0.999874	1004	0	-1.1536
STX17	4	0.0081218	0.022929	0.598	40	3	-1.0426	0.99489	0.99499	0.999874	1048	0	-1.0426
DYNLRB1	3	0.0087529	0.023453	0.598	41	2	-1.5003	0.93382	0.93318	0.999874	970	0	-1.5003
GIT2	4	0.0088883	0.024668	0.598	42	1	-0.16158	0.76665	0.76738	0.999874	794	0	-0.16158
SNRPD3	4	0.0091019	0.025201	0.598	43	3	-1.283	0.45237	0.45378	0.999874	474	1	-1.283
COPA	4	0.0093083	0.02565	0.598	44	3	-0.99171	0.98044	0.98046	0.999874	1022	0	-0.99171
RGS19	4	0.0093107	0.02565	0.598	45	2	-0.90625	0.90421	0.90422	0.999874	941	0	-0.90625
ATP5F1B	4	0.0098205	0.026959	0.598	46	1	-0.22653	0.71603	0.71534	0.999874	735	0	-0.22653
ABT1	4	0.0099505	0.027286	0.598	47	3	-1.2595	0.9873	0.98738	0.999874	1034	0	-1.2595
RPS3	3	0.010082	0.026706	0.598	48	3	-0.77979	0.98992	0.98998	0.999874	1042	0	-0.77979
CDK7	4	0.010499	0.028502	0.603663	49	3	-1.2438	0.54295	0.5419	0.999874	561	0	-1.2438
INTS6	3	0.010515	0.027669	0.598	50	3	-1.4248	0.98949	0.98956	0.999874	1039	0	-1.4248
RPL8	4	0.010835	0.02939	0.61027	51	2	-0.85685	0.26785	0.30064	0.977216	324	1	-0.85685
VCP	4	0.011175	0.030315	0.617384	52	2	-0.91694	0.93317	0.93327	0.999874	968	0	-0.91694
TOMM22	4	0.011893	0.031998	0.639361	53	3	-1.2261	0.99697	0.99711	0.999874	1051	0	-1.2261
FDPS	4	0.012708	0.03384	0.663641	54	2	-0.88342	0.80168	0.80287	0.999874	842	0	-0.88342
TOB1	4	0.013512	0.035654	0.675301	55	3	-0.91438	0.98982	0.98987	0.999874	1041	0	-0.91438
MED20	4	0.013543	0.03571	0.675301	56	2	-0.42316	0.31213	0.33416	0.97867	359	1	-0.42316
SBNO1	4	0.014076	0.036832	0.684297	57	2	-0.9399	0.88754	0.88761	0.999874	923	0	-0.9399
SPAG9	4	0.015078	0.039207	0.715859	58	3	-1.0773	0.97792	0.97802	0.999874	1016	0	-1.0773
EIF3J	4	0.015509	0.040207	0.721681	59	2	-1.0281	0.74312	0.74262	0.999874	767	0	-1.0281
