gene	BF
ABCA3	-1.214
ABCB1	-0.902208333333334
ABCC3	-1.51908333333333
ABCG2	0.391375
ABL1	-1.23966666666667
ABL2	-0.22025
ABT1	2.448375
ABTB2	-1.51241666666667
ACACA	5.00654166666667
ACACB	-0.256166666666667
ACTL6A	5.30258333333333
ACTL6B	-0.0325833333333336
ACTL7A	-0.669708333333334
ADAM19	-1.94320833333333
ADAP1	0.0986249999999997
ADAP2	-0.582291666666667
ADARB1	-1.50841666666667
ADARB2	-1.59333333333333
ADGRG7	-0.863375
ADM	-0.870125
ADSS	-0.120069444444445
ADSSL1	-0.0475000000000002
AFG3L2	4.517375
AHCYL1	3.69116666666667
AHCYL2	-1.06095833333333
AIPL1	-1.509875
AKAP11	-1.10316666666667
AKIRIN1	1.06204166666667
AKIRIN2	3.3055
ALAS1	-1.14866666666667
ALAS2	-0.836333333333334
ALDOA	6.274875
ALDOC	-0.834416666666667
ALG14	-0.357291666666667
AMELX	-2.42245833333333
ANAPC4	1.54641666666667
ANKRD10	-1.527375
ANKRD37	-1.52570833333333
ANXA1	-1.06283333333333
AOX1	-0.609791666666667
AP1G1	-0.70675
AP1G2	-0.303916666666667
AP2A1	0.071333333333333
AP2A2	-1.00983333333333
AP3M1	-1.11479166666667
AP5M1	-1.29325
APH1A	0.338625
APH1B	1.00166666666667
APOBEC1	-1.14120833333333
APOBEC3C	-0.798291666666667
AQP8	-2.150875
ARFGEF1	-0.598583333333333
ARFGEF2	-0.929791666666667
ARFIP1	-0.894958333333334
ARFIP2	-0.355
ARHGEF3	-1.710125
ARHGEF6	-1.111375
ARHGEF7	-0.902041666666667
ARID1A	1.43766666666667
ARID1B	-1.275625
ARID4A	-0.622833333333334
ARPC5	0.00054166666666644
ARPC5L	-0.79425
ARSJ	-1.26720833333333
ASCL1	-1.76208333333333
ASF1A	0.0315416666666665
ASF1B	0.367479166666666
ATAD2	-1.06320833333333
ATAD2B	-1.0515
ATM	-0.4065
ATOH1	-1.47358333333333
ATP5F1A	4.1975
ATP5F1B	3.687
ATP5F1D	1.14545833333333
ATP5PB	-0.173041666666667
ATP6V1B1	-0.131708333333334
ATP6V1B2	4.05645833333333
ATP6V1C1	4.01658333333333
ATP6V1C2	-0.464708333333334
ATP6V1D	3.10029166666667
ATP6V1E1	-0.140569444444445
ATP6V1E2	0.408291666666666
ATP7A	1.08841666666667
ATP7B	-0.767208333333333
ATP8B3	-0.716333333333333
ATR	1.69729166666667
AXL	-0.96825
BAP1	1.26908333333333
BARHL1	-1.65454166666667
BATF3	-0.288541666666667
BCAP31	-0.688458333333334
BECN1	1.181125
BECN2	-1.06745833333333
BICD1	-0.683166666666667
BICD2	-0.666416666666667
BRD8	0.767166666666666
BRSK1	-1.32891666666667
BRSK2	-0.924375
BTBD11	-1.03895833333333
BTG1	-2.04933333333333
BUB1B	3.97166666666667
BUB3	8.78579166666667
BZW1	-0.157625
BZW2	-0.051166666666667
CAB39	-2.7945
CAB39L	-0.597208333333334
CABP5	-0.325875
CADPS	-1.15116666666667
CADPS2	-0.625458333333333
CALY	-0.874625
CAND1	2.33154166666667
CAND2	-0.983583333333334
CAP1	-0.592666666666667
CAP2	-0.818833333333334
CAPN2	-0.708041666666667
CASP4	-1.61270833333333
CAT	-0.898791666666667
CAV1	-0.0713333333333336
CAVIN1	-1.516875
CBLL1	0.373625
CBLL2	-1.75583333333333
CCDC69	-1.07779166666667
CCND1	3.50270833333333
CCND3	-1.09241666666667
CCNE1	-0.707
CCNE2	-1.12008333333333
CCNL1	2.29766666666667
CCNL2	-1.67629166666667
CCNT1	-1.18758333333333
CCNT2	-1.160625
CCT6A	4.05576388888889
CCT6B	0.225458333333333
CD163L1	-1.42758333333333
CD44	-1.14516666666667
CD72	-0.932833333333334
CDC34	-0.186583333333334
CDIPT	4.25475
CDK16	-1.566125
CDK17	-0.0249583333333335
CDK19	-0.934770833333334
CDK2	1.05291666666667
CDK5R1	-0.555833333333334
CDK5R2	-0.369375
CDK7	6.891625
CDK8	-0.492416666666667
CDNF	-0.686791666666667
CDS1	-0.426166666666667
CDS2	2.9985
CEACAM1	-1.45241666666667
CELA2A	-1.982125
CFL1	1.90508333333333
CHM	-1.251125
CHML	-0.486166666666667
CHMP1A	0.578791666666666
CHMP1B	-1.60516666666667
CHORDC1	6.88198611111111
CHRNB3	-1.08216666666667
CHSY1	-2.66666666666667
CHSY3	-1.2925
CHUK	-0.344916666666667
CKAP5	4.77995833333333
CLASP1	-0.69825
CLASP2	-1.02641666666667
CLCA1	-2.38283333333333
CLDN4	-0.238083333333334
CLIP4	-0.749125
CLNS1A	5.98859722222222
CLTA	-0.452208333333334
CLTB	-0.130333333333334
CLTC	4.2175
CLTCL1	-0.0350833333333336
CNOT6	-0.985333333333333
CNOT6L	-1.26420833333333
CNOT7	-0.715958333333334
CNOT8	-2.357125
COPA	8.01658333333333
COPG1	0.655833333333333
COPG2	-0.193583333333334
COPS7A	0.780208333333333
COPS7B	-0.762333333333334
COPZ1	2.47516666666667
COPZ2	-2.54008333333333
COQ10A	-1.07829166666667
COQ10B	-0.95275
COX4I1	2.85895833333333
COX4I2	-0.316
COX6B1	2.34120833333333
COX6B2	-1.11141666666667
CPS1	-1.248625
CPSF3	5.078
CREBBP	-1.25020833333333
CRK	-0.110916666666667
CRKL	-0.205083333333334
CRNN	-0.207666666666667
CRX	-0.72425
CRY1	-0.841
CRY2	-0.298625
CRYBB2	-1.55183333333333
CSTF2	-2.10708333333333
CSTF2T	-0.807416666666667
CTCFL	-1.94608333333333
CTNNB1	-0.800541666666667
CTPS1	0.476833333333333
CTPS2	-2.18729166666667
CTR9	5.056
CTSZ	-0.801791666666667
CWF19L1	0.179416666666666
CYFIP1	-0.995333333333334
CYFIP2	-0.896125
CYP26C1	-1.08958333333333
CYP2A6	-0.458666666666667
CYP2C8	-0.973375
CYP7A1	-1.660875
DBT	-0.701625
DCAF4L2	-2.28479166666667
DCAF8L1	-2.24
DDI1	-1.34383333333333
DDI2	0.750708333333333
DDX17	-1.14820833333333
DDX39A	-1.62670833333333
DDX39B	-0.339583333333334
DDX5	0.430875
DEGS1	-1.19620833333333
DEGS2	-1.32429166666667
DENND5A	-0.837625
DENND5B	-1.38166666666667
DGAT1	-1.01654166666667
DGAT2L6	-1.08141666666667
DGKI	-1.11445833333333
DGKZ	0.291208333333333
DHX29	1.06965277777778
DHX9	4.27198611111111
DLL1	-1.64483333333333
DLL4	-1.37020833333333
DMD	-1.49329166666667
DMP1	-0.294916666666667
DMXL1	-1.57425
DMXL2	-0.0946250000000002
DNAJC15	-1.20395833333333
DNAJC19	-0.710180555555556
DPCR1	-0.522208333333334
DRD3	-0.830125
DST	-1.45166666666667
DUOX1	-0.984708333333334
DUOX2	-0.55025
DUSP10	-0.476791666666667
DYNC1LI1	-0.992180555555556
DYNC1LI2	-1.25758333333333
DYNLRB1	4.735875
DYNLRB2	-1.68958333333333
DYNLT1	-1.70445833333333
DYNLT3	-2.582625
DZIP1L	0.088333333333333
DZIP3	-1.41266666666667
E2F3	4.59981944444444
E2F4	-0.899
EAF1	0.0946249999999997
EAF2	-1.18079166666667
EEFSEC	0.500208333333333
EFNB1	-1.88004166666667
EFR3A	-0.158166666666667
EFR3B	-0.588541666666667
EGFR	-1.29279166666667
EIF3B	4.55625
EIF3J	1.478125
EIF3L	0.942125
EIF4A3	5.83954166666667
ELL	2.10408333333333
ELL2	-1.05879166666667
ENOX1	-1.59683333333333
ENOX2	-1.15983333333333
EP300	-0.115833333333334
EPC1	-0.958
EPC2	0.782458333333333
EPHA2	-1.657875
EPHA3	-0.483958333333334
EPS15	-0.901375
EPS15L1	-0.841125
ERBB3	-1.28260416666667
ERC1	-1.45958333333333
ERC2	-0.388208333333333
ERH	0.0342916666666664
ERN1	-1.05683333333333
ERN2	-1.67116666666667
ERO1A	-1.15725
ERO1B	-0.979958333333334
ESRP1	-0.408708333333334
ESRP2	-0.918083333333334
EXOC6	-0.439333333333334
EXOC6B	-0.279458333333334
EZH1	-0.123375
EZH2	-1.004125
FAM126A	-0.237083333333334
FAM126B	-1.08241666666667
FAM50A	0.71575
FAM50B	-1.90520833333333
FAM71A	-0.925208333333334
FAM71B	-1.50383333333333
FANCF	0.571458333333333
FANCM	2.307125
FARS2	1.16025
FBLN1	-0.789833333333334
FCRL3	-0.986208333333334
FDPS	3.10204166666667
FEZ1	-0.5045
FEZ2	-0.550583333333334
FKBP10	-1.41858333333333
FKBP4	-0.65825
FKBP5	-0.331625
FKBP9	-1.0385
FLNB	-1.50241666666667
FLNC	-0.653666666666667
FLOT1	-1.36470833333333
FLOT2	-0.734458333333334
FLT1	-1.424375
FMR1	-0.973166666666667
FNIP1	-0.566125
FNIP2	-0.461375
FOSL1	-0.351958333333334
FOXA1	-1.95204166666667
FOXB1	-1.08545833333333
FOXE3	-1.56333333333333
FOXK1	0.775916666666666
FOXK2	0.352291666666666
FRS2	-0.292166666666667
FRS3	-2.08058333333333
FRY	-1.40933333333333
FRYL	-2.71345833333333
FSD1	-1.24920833333333
FSD1L	-1.47216666666667
FUT5	-1.61179166666667
FXR1	-0.0645000000000002
FXR2	-1.285125
FZD8	-2.662375
FZR1	1.52029166666667
G3BP1	1.33483333333333
G3BP2	0.548
G6PC	-0.356708333333334
GABPB1	-0.44975
GABPB2	-0.147416666666667
GALNT2	-1.50208333333333
GALNT5	-0.595291666666667
GALR3	-1.01625
GAPDH	3.913
GATAD2A	-0.867916666666667
GBP3	-0.867375
GBX1	-2.43775
GBX2	-0.912875
GCM2	0.241791666666666
GDF15	-1.02
GDI1	-1.22058333333333
GDI2	0.252375
GFM1	1.30475
GIT1	-2.171
GIT2	0.00733333333333319
GJA8	-0.918666666666667
GLIS3	-0.842
GLT6D1	-0.61025
GMPR	-1.108125
GMPR2	-0.17475
GNB3	-1.42104166666667
GOLPH3	-1.628
GOLPH3L	-0.420458333333334
GOLT1A	-1.05629166666667
GOLT1B	-0.353958333333334
GPR151	0.593208333333333
GPR183	-1.74541666666667
GPR50	-2.16670833333333
GPSM1	-0.6545
GPSM2	-1.698125
GRHL2	0.224791666666666
GRHL3	0.247916666666666
GRIP1	-0.194916666666667
GRIP2	-1.032
GRM4	-1.818875
GSDMD	-1.43275
GSTP1	-0.205708333333334
GSX1	-1.12654166666667
GSX2	-1.735
GTF3C1	1.90483333333333
GXYLT1	-1.050625
GXYLT2	0.0935833333333331
GYS1	-0.563416666666667
GYS2	0.265291666666666
H1FOO	-0.964916666666667
H2AFX	-0.787208333333334
H2BFM	-2.09470833333333
HACD1	-1.2455
HACD2	2.73025
HASPIN	-0.904666666666667
HEATR5A	-0.94425
HEATR5B	-1.735875
HMG20B	-0.450458333333334
HMGCL	-1.33175
HMGCLL1	-1.783125
HMGCS1	6.03081944444444
HMGCS2	-0.724083333333334
HMSD	-0.528708333333334
HNRNPF	-0.15225
HNRNPH1	1.84354166666667
HNRNPH3	-0.97625
HNRNPK	3.350125
HOXB1	-0.458083333333334
HPS1	-1.785625
HRAS	-0.680666666666667
HRH1	-1.13620833333333
HRH3	-2.51283333333333
HSCB	4.40779166666667
HTR2C	-2.12241666666667
HTR3D	-2.01891666666667
HTR3E	-0.569791666666667
HUS1	2.67458333333333
HUS1B	-1.77795833333333
IAPP	-0.661208333333334
ICK	-0.174625
IDH1	-1.3285
IDH2	-0.780958333333333
IDH3B	-1.68125
IDH3G	-2.157375
IFIH1	-0.733875
IKBKB	-2.06866666666667
IKBKE	-1.03516666666667
IL10RA	-0.983791666666667
IL6R	-1.31916666666667
IL6ST	-0.647708333333334
ILF3	4.19408333333333
IMPDH1	-0.347666666666667
IMPDH2	1.31041666666667
INCENP	1.63445833333333
INTS2	3.63995833333333
INTS6	9.22826388888889
INTS6L	-0.932833333333334
IPO5	0.311833333333333
IPO7	1.80904166666667
IPO8	-1.90141666666667
IQCA1	-1.08645833333333
IQCA1L	-1.44845833333333
IRF4	-1.03495833333333
IRF6	-0.437625
IRF8	-1.63766666666667
ISCA2	4.44579166666667
ISL1	-1.16895833333333
ITGB1BP2	-1.06666666666667
ITSN1	-0.482
ITSN2	0.457333333333333
JAG1	-0.815958333333334
JAG2	-1.50154166666667
JUP	-1.47195833333333
KAT6A	1.60704166666667
KAT6B	-1.12879166666667
KCNG4	-0.818875
KCNMB3	-1.68666666666667
KCNT1	-1.216125
KCNT2	-0.798666666666667
KHSRP	0.985416666666666
KIAA0319	-1.11516666666667
KIAA0319L	0.1375
KIF11	7.81483333333333
KIF20A	0.0752916666666663
KIF4A	3.81320833333333
KIT	-1.3255
KLF4	-0.50425
KLF5	-1.27175
KLK12	-2.30029166666667
KPNA2	0.191930555555555
KPNA3	-0.470541666666667
KRT25	-0.985416666666667
KRT37	-0.747291666666667
KRT38	-2.017625
KRT74	-0.777666666666667
KRTAP1-1	-2.54441666666667
KRTAP10-10	-2.16045833333333
L3MBTL2	-0.891583333333334
LARP1	0.502
LARP1B	-0.0198333333333336
LATS1	-1.420375
LATS2	-0.774416666666667
LBX1	-2.16970833333333
LDB1	-0.264291666666667
LDB2	-2.01225
LGALS9	-1.0785
LHFPL5	-1.50025
LIF	-0.421541666666667
LIM2	-1.02558333333333
LIMK1	-0.770916666666667
LIMK2	-0.721208333333334
LIN28A	-0.962902777777778
LIN28B	-1.05120833333333
LMBR1	-0.417166666666667
LMBR1L	-1.496625
LNX1	-1.47866666666667
LNX2	-1.67291666666667
LONP1	3.59916666666667
LOR	-1.33
LRBA	-1.590125
LRFN1	-1.76716666666667
LSM14A	-0.757458333333334
LSM14B	-1.01920833333333
LSM4	0.801208333333333
MACF1	-0.911666666666667
MAK	-1.185
MANF	2.64270833333333
MAP4K4	-0.942041666666667
MAPK8IP3	-1.16729166666667
MARCKS	-1.83908333333333
MAT1A	-0.871875
MAT2A	-0.862666666666667
MBD3L1	0.0226249999999997
MBD4	-0.842520833333334
MBP	-1.19891666666667
MBTD1	0.390708333333333
MCPH1	-1.08154166666667
MDM4	-0.0555000000000002
MECOM	-1.33395833333333
MECP2	-1.756
MED12	2.34233333333333
MED12L	-0.281041666666667
MED13	0.382583333333333
MED13L	0.650625
MED18	3.3895625
MED20	3.48008333333333
MED23	2.660875
MED26	2.29879166666667
MED31	1.58670833333333
MED8	2.29420833333333
MEP1B	-1.56933333333333
MMD	0.883125
MMD2	-0.637208333333334
MOGAT2	-0.177
MORF4L1	2.04215277777778
MORF4L2	-0.582375
MPC1	-0.431208333333334
MPC1L	-2.126
MRGPRX2	-1.03920833333333
MRPL27	0.636791666666666
MRPL38	2.86225
MRPL41	4.332875
MRPL55	0.0176249999999997
MT2A	-2.37966666666667
MTA1	-0.340416666666667
MTA3	-0.346166666666667
MTG2	5.03833333333333
MTHFD1	0.546125
MTMR3	-0.0383750000000003
MTMR4	-0.403875
MTUS1	-0.969666666666667
MTUS2	-0.616541666666667
MTX1	-0.637847222222222
MYBL2	-0.402875
MYBPH	-1.68104166666667
MYBPHL	-0.563125
MYC	5.01847916666667
MYCN	-0.984166666666667
MYD88	-1.82041666666667
MYH7	-0.707541666666667
MYL7	0.0167916666666663
NAA10	5.36845833333333
NAA11	0.553
NAA15	6.947375
NAA16	0.0277083333333331
NAE1	3.4716875
NAPA	2.81908333333333
NAPB	-1.04779166666667
NAT8L	-1.99370833333333
NBEA	-1.084
NBEAL1	-0.822333333333334
NBEAL2	-1.88104166666667
NCBP2	2.39933333333333
NCBP2L	-0.444333333333333
NCK1	-2.19754166666667
NCK2	-1.62541666666667
NCKAP1	-1.1815
NCKAP1L	-0.30275
NCOR2	-0.934291666666667
NDE1	-0.297208333333334
NDEL1	-0.590875
NDUFB4	2.788
NDUFC1	1.68345833333333
NET1	-1.04429166666667
NETO1	-1.80104166666667
NETO2	-0.666291666666667
NHLRC1	-0.807916666666667
NKAP	2.70033333333333
NKAPL	-1.84245833333333
NLRP8	-1.68804166666667
NMT1	1.05129166666667
NMT2	-0.995291666666667
NOX3	-0.8635
NR2E1	-1.3665
NR5A1	-0.637458333333334
NR5A2	-1.81829166666667
NRBP1	-0.755541666666667
NRBP2	0.22575
NSDHL	-0.757625
NSG1	-1.49104166666667
NSG2	0.0304583333333331
NUMB	-1.362625
NUMBL	-0.916791666666667
NUTF2	2.251125
NXT1	-2.23925
NXT2	1.087125
OGDHL	-1.64933333333333
OSBPL6	-1.06316666666667
OSMR	-0.821416666666667
PACS1	-1.22191666666667
PACS2	-0.80075
PAF1	3.444375
PAPSS1	-0.875125
PAPSS2	-2.28154166666667
PAX4	-1.60733333333333
PCBD1	-0.924125
PCBD2	-1.99275
PCDH1	-2.16079166666667
PCGF1	-1.09125
PDCD4	-1.00320833333333
PDCD6IP	0.0311249999999997
PDGFC	-0.792583333333334
PDGFD	-1.37295833333333
PDLIM5	-1.1115
PDS5A	1.22608333333333
PDS5B	0.448791666666666
PDX1	-1.44529166666667
PEF1	0.096833333333333
PFAS	-0.392458333333334
PFN1	0.442708333333333
PGLS	-1.94304166666667
PHLDA1	-0.891875
PHLDA2	-0.992875
PHLDA3	-1.12191666666667
PIP4P1	-0.0463750000000003
PIP4P2	-0.0673750000000003
PKM	0.314375
PLAU	-1.34945833333333
PLCG1	-1.46179166666667
PLCG2	-0.820708333333334
PLD1	-1.34775
PLD2	-0.906125
PLEK2	-0.361666666666667
PLXDC1	-0.1123125
PLXDC2	-0.870583333333334
PMM1	-0.106041666666667
PMM2	-0.348625
PMPCB	1.85704166666667
POLD1	-0.701541666666667
POLR2A	4.698375
POLR2B	4.19841666666667
POLR2F	1.003375
POLR2L	8.97879166666667
POU4F2	-0.924833333333334
POU5F2	-1.74570833333333
PPP2CA	0.1700625
PPP2CB	-0.137625
PPP2R1A	1.12479166666667
PPP2R1B	-0.448958333333334
PPP3CA	-1.21666666666667
PPP3CC	-1.27841666666667
PPP3R1	-0.560333333333334
PPP3R2	-1.63741666666667
PPP4C	5.4025
PRDM13	-2.29558333333333
PRDM16	-1.05566666666667
PRG3	-0.693583333333334
PRKAB1	-0.68075
PRKAB2	-0.429125
PRKDC	0.6463125
PRPF38A	3.59
PRPF8	6.290625
PRSS37	-1.9525
PSEN1	-0.0724583333333335
PSEN2	-1.518625
PSMA2	1.75383333333333
PSMB3	7.47020833333333
PSMB6	1.61066666666667
PSMB8	-0.310791666666667
PSMB9	-0.861333333333334
PSMC3	3.784
PTCH1	-0.413708333333334
PTCH2	-1.22616666666667
PTF1A	-0.795041666666667
PTPN11	-0.19225
PTPN14	-1.1335
PTPN21	-0.520708333333334
PTPN6	-1.42395833333333
PTTG1	1.48843055555556
PUM1	-0.509583333333333
PUM2	0.905666666666666
PXDN	-1.67283333333333
PXDNL	-1.423125
QSOX1	-0.855041666666667
RAD17	-1.06034722222222
RALGPS1	-1.420125
RALGPS2	-0.996
RAMP2	-0.208333333333334
RAN	4.91779166666667
RANBP10	-1.381625
RANBP17	-0.576375
RANBP6	-0.954069444444445
RANBP9	-0.561041666666667
RAP1GAP	-1.04391666666667
RAP1GAP2	-1.50854166666667
RB1	-1.2865
RBBP4	3.59231944444444
RBBP7	-0.341291666666667
RBM22	3.83095833333333
RBMX	0.113375
RBMXL2	-1.90504166666667
RBPJ	-1.129
RBPJL	-0.77825
RC3H1	-1.01025
RC3H2	-1.54745833333333
RCBTB1	-1.22816666666667
RCBTB2	-2.11558333333333
RECK	0.000583333333333047
REG3A	-1.7785
RFC2	2.69708333333333
RGS19	-0.378333333333334
RHBDF1	0.686125
RHBDF2	-0.363375
RHOBTB2	-1.67466666666667
RHOT1	0.78725
RHOT2	-0.245916666666667
RIC8A	3.91329166666667
RIC8B	-0.637041666666667
RIMKLB	-0.116958333333334
RING1	-1.61245833333333
RNF10	-0.484958333333334
RNF103	-1.37008333333333
RNF113A	1.67125
RNF113B	-1.73020833333333
RNF125	-1.1665
RNF130	-0.340791666666667
RNF144A	-0.94925
RNF144B	-0.561833333333334
RNF2	0.241708333333333
RNF20	1.739125
RNF38	-0.277708333333334
RNF40	1.3355
RNF44	-1.35808333333333
RP1	-1.20858333333333
RPA1	3.54375
RPA3	1.37495833333333
RPL10A	4.26716666666667
RPL11	2.746875
RPL13	4.998875
RPL14	6.89054166666667
RPL15	0.390958333333333
RPL17	3.78454166666667
RPL18A	5.516375
RPL19	2.99275
RPL21	0.0858749999999997
RPL27A	-0.961708333333333
RPL3	2.37732738095238
RPL31	2.57120833333333
RPL36	6.22433333333333
RPL37A	4.593125
RPL3L	-0.994791666666667
RPL5	4.22291666666667
RPL6	-0.105958333333334
RPL8	4.6705
RPP14	-1.09058333333333
RPP21	8.23620833333333
RPRD1A	-1.77795833333333
RPRD1B	0.246416666666666
RPS11	6.26604166666667
RPS15	1.18429166666667
RPS19	5.80316666666667
RPS23	5.78279166666667
RPS28	2.372125
RPS3	4.04281944444444
RPS5	4.56775
RPS7	-1.84529166666667
RPS8	3.59043055555556
RRAGC	-1.89170833333333
RRAGD	-1.13270833333333
RRM1	9.36329166666667
RRM2	4.11270833333333
RRM2B	-1.60541666666667
RSBN1	-0.356416666666667
RSBN1L	0.542125
RSC1A1	0.14375
RSPH1	-1.57420833333333
RTP1	-3.056125
RUNX1	-1.86979166666667
RXFP3	-1.20745833333333
RYBP	1.12131944444444
S100A6	-1.305375
S1PR4	-1.327625
SAFB2	-0.874416666666667
SAMD4A	-1.466625
SAMD4B	-0.331208333333334
SAMD9	-0.168291666666667
SAP30	-1.22270833333333
SAP30L	-0.502333333333334
SAR1A	-0.195416666666667
SAR1B	-0.529916666666667
SATB1	-1.31516666666667
SATB2	-0.111041666666667
SBF1	-1.796125
SBF2	-0.524291666666667
SBNO1	3.92725
SBNO2	-1.346625
SCN10A	-1.573375
SEC11A	-1.03995833333333
SEC11C	-1.31708333333333
SEC14L3	-1.72970833333333
SEC23A	-0.5355
SEC23B	-1.34933333333333
SEC31A	-1.03683333333333
SEC31B	-0.373
SEPHS1	2.17948611111111
SEPHS2	1.72354166666667
SERPINA11	-1.05941666666667
SERPINA12	-1.7265625
SERPINA9	-1.63629166666667
SF1	1.97283333333333
SF3A1	7.770625
SF3B1	5.15520833333333
SF3B2	1.90325
SF3B3	8.53083333333333
SF3B5	3.95808333333333
SFPQ	3.46341666666667
SHCBP1L	-0.569083333333334
SHMT1	-1.53091666666667
SHMT2	-0.714791666666667
SIK2	-1.79895833333333
SIN3A	2.24795833333333
SIN3B	1.21366666666667
SIRPA	-2.57068055555556
SIX6	-0.668166666666667
SKA1	1.139
SLC10A2	-1.04816666666667
SLC11A1	-1.12479166666667
SLC11A2	0.278583333333333
SLC17A2	-1.50016666666667
SLC22A13	-1.910375
SLC22A8	0.0117916666666664
SLC25A15	-1.39395833333333
SLC25A2	-0.636208333333334
SLC25A24	-0.734958333333334
SLC25A25	0.367625
SLC25A28	1.22708333333333
SLC25A37	-1.05654166666667
SLC32A1	-1.1895
SLC35F3	-1.60358333333333
SLC35F4	-0.749458333333334
SLC9A3R1	-1.208
SLC9A3R2	-1.15933333333333
SLCO2B1	-0.253333333333334
SLITRK1	-0.665041666666667
SMAP1	-1.82691666666667
SMAP2	-0.8845
SMARCA1	-1.33245833333333
SMARCA2	-1.46041666666667
SMARCA4	1.219125
SMARCC1	-0.564791666666667
SMARCC2	-0.999416666666667
SMC1A	4.226375
SMC1B	-0.806
SNAPC4	1.41729166666667
SNRPB	3.10495833333333
SNRPB2	3.15098611111111
SNRPD2	2.49493055555556
SNRPD3	5.22870833333333
SNRPN	-1.5455
