id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
RRM1	8	2.3476e-09	4.6747e-06	0.001238	1	8	-1.4219	1.0	1.0	0.999995	1059	0	-1.4219
MYC	8	6.5956e-09	4.6747e-06	0.001238	2	8	-0.94653	1.0	1.0	0.999995	1058	0	-0.94653
NAE1	8	2.9892e-08	4.6747e-06	0.001238	3	7	-0.66732	0.98711	0.98721	0.999995	966	0	-0.66732
BUB3	4	7.2884e-07	4.6747e-06	0.001238	4	4	-1.5314	1.0	1.0	0.999995	1057	0	-1.5314
KIF11	4	6.4219e-06	3.2723e-05	0.00495	5	4	-1.295	0.99999	1.0	0.999995	1056	0	-1.295
CKAP5	8	6.4338e-06	3.2723e-05	0.00495	6	8	-0.8071	0.99993	0.99994	0.999995	1047	0	-0.8071
RRM2	4	6.6825e-06	3.2723e-05	0.00495	7	3	-0.80144	0.53296	0.53214	0.999995	515	0	-0.80144
CDK7	4	1.9049e-05	7.947e-05	0.008416	8	4	-1.164	0.99998	1.0	0.999995	1055	0	-1.164
RPP21	4	2.0439e-05	7.947e-05	0.008416	9	4	-1.3295	0.99998	1.0	0.999995	1054	0	-1.3295
MTG2	4	2.0726e-05	7.947e-05	0.008416	10	4	-0.82324	0.99998	1.0	0.999995	1053	0	-0.82324
SF3B3	4	2.608e-05	8.8819e-05	0.008551	11	4	-1.2932	0.99997	1.0	0.999995	1052	0	-1.2932
RPL36	4	4.5263e-05	0.00012622	0.011139	12	4	-0.99036	0.99995	0.99998	0.999995	1051	0	-0.99036
ATP5F1A	4	5.3548e-05	0.00018231	0.014851	13	4	-0.81986	0.99995	0.99997	0.999995	1050	0	-0.81986
PRPF8	4	6.4259e-05	0.00021971	0.01662	14	4	-1.196	0.99994	0.99996	0.999995	1049	0	-1.196
ALDOA	4	7.1997e-05	0.00027581	0.017181	15	4	-1.1728	0.99993	0.99995	0.999995	1048	0	-1.1728
POLR2L	4	7.216e-05	0.00027581	0.017181	16	4	-1.4378	0.99991	0.99991	0.999995	1043	0	-1.4378
INTS6	3	8.5206e-05	0.00023841	0.016832	17	3	-1.4699	0.99991	0.9999	0.999995	1046	0	-1.4699
SF3B1	4	8.6983e-05	0.000388	0.022827	18	4	-0.86703	0.99991	0.99991	0.999995	1045	0	-0.86703
TOP2A	4	8.8686e-05	0.00041605	0.023189	19	4	-1.1283	0.99991	0.99991	0.999995	1044	0	-1.1283
TOMM40	7	9.6852e-05	0.00065913	0.027228	20	6	-0.68298	0.54008	0.54151	0.999995	525	1	-0.68298
VMP1	4	0.00010227	0.00046279	0.02381	21	4	-0.94118	0.9999	0.9999	0.999995	1042	0	-0.94118
SF3A1	4	0.00010476	0.00047214	0.02381	22	3	-1.1949	0.92796	0.92792	0.999995	897	0	-1.1949
CCND1	4	0.00011422	0.00053759	0.025878	23	4	-0.75928	0.99989	0.99988	0.999995	1041	0	-0.75928
NAA10	4	0.00012556	0.00058434	0.026609	24	4	-1.0002	0.99943	0.99948	0.999995	1022	0	-1.0002
STT3B	4	0.00013059	0.00060303	0.026609	25	4	-0.69814	0.99987	0.99988	0.999995	1040	0	-0.69814
AKIRIN2	4	0.0001449	0.00066848	0.027228	26	4	-0.65659	0.99986	0.99987	0.999995	1039	0	-0.65659
PPP4C	4	0.00015639	0.00073393	0.028786	27	4	-0.91892	0.99984	0.99987	0.999995	1038	0	-0.91892
TOMM22	4	0.00018434	0.00086482	0.031779	28	4	-0.84085	0.99982	0.99983	0.999995	1037	0	-0.84085
ATP6V1C1	4	0.00019652	0.00092091	0.031779	29	4	-0.71972	0.9998	0.9998	0.999995	1036	0	-0.71972
COPA	4	0.00019965	0.00092091	0.031779	30	4	-1.551	0.9998	0.99979	0.999995	1035	0	-1.551
ATP5F1B	4	0.00021257	0.00093026	0.031779	31	4	-0.70486	0.99979	0.99977	0.999995	1034	0	-0.70486
MED20	4	0.00023666	0.0010238	0.033753	32	4	-0.76645	0.99976	0.99975	0.999995	1033	0	-0.76645
CTR9	4	0.00024391	0.0010518	0.033753	33	4	-0.82119	0.99976	0.99975	0.999995	1032	0	-0.82119
SNRPD3	4	0.00030418	0.001351	0.042079	34	3	-1.1299	0.30787	0.30751	0.999995	315	1	-1.1299
TIMM10	4	0.00034211	0.0014725	0.044554	35	4	-0.7035	0.99966	0.99963	0.999995	1031	0	-0.7035
TOP1	4	0.00037639	0.0016221	0.045062	36	4	-0.84067	0.99962	0.99962	0.999995	1030	0	-0.84067
CLTC	4	0.00038406	0.0016502	0.045062	37	4	-0.85666	0.99962	0.99961	0.999995	1029	0	-0.85666
CPSF3	4	0.00038664	0.0016595	0.045062	38	4	-1.0452	0.99961	0.99961	0.999995	1028	0	-1.0452
CDIPT	4	0.0003891	0.0016595	0.045062	39	3	-0.90298	0.65209	0.65149	0.999995	621	0	-0.90298
SMC1A	4	0.0004497	0.0018091	0.046969	40	4	-0.86396	0.99955	0.99957	0.999995	1027	0	-0.86396
ISCA2	4	0.0004526	0.0018185	0.046969	41	4	-0.62921	0.99955	0.99957	0.999995	1026	0	-0.62921
UQCRC1	4	0.00050104	0.0020241	0.050771	42	4	-0.4175	0.9995	0.99954	0.999995	1025	0	-0.4175
NKAP	4	0.00051054	0.0020615	0.050771	43	4	-0.69554	0.99949	0.99953	0.999995	1024	0	-0.69554
RIC8A	4	0.00056007	0.0022953	0.055243	44	4	-0.84173	0.99944	0.99949	0.999995	1023	0	-0.84173
MED18	8	0.00056759	0.0033705	0.062619	45	6	-0.60467	0.20045	0.302	0.999995	214	1	-0.60467
THRAP3	4	0.00062417	0.0023981	0.056436	46	4	-0.50086	0.99938	0.99946	0.999995	1021	0	-0.50086
RPL3	7	0.00064778	0.004081	0.070849	47	4	-0.72724	0.061559	0.11525	0.951291	112	1	-0.72724
ACACA	4	0.00067771	0.0026973	0.060495	48	4	-0.95286	0.99932	0.9994	0.999995	1020	0	-0.95286
PAF1	4	0.00070574	0.0027814	0.060495	49	4	-0.60738	0.99929	0.99939	0.999995	1019	0	-0.60738
TSG101	4	0.00073044	0.0028562	0.060495	50	4	-0.51708	0.99927	0.99938	0.999995	1018	0	-0.51708
NAA15	4	0.00076871	0.0029778	0.061024	51	4	-1.1514	0.99923	0.99933	0.999995	1017	0	-1.1514
EIF3B	4	0.00078619	0.0029965	0.061024	52	4	-0.83778	0.99921	0.99931	0.999995	1016	0	-0.83778
RPS19	4	0.00082205	0.0031554	0.061476	53	4	-0.89221	0.99918	0.99928	0.999995	1015	0	-0.89221
ZNF407	4	0.00082662	0.0031741	0.061476	54	4	-0.85729	0.99917	0.99928	0.999995	1014	0	-0.85729
ILF3	4	0.00083315	0.0031928	0.061476	55	3	-0.95963	0.85847	0.85986	0.999995	820	0	-0.95963
SBNO1	4	0.0008721	0.0033705	0.062619	56	3	-0.86764	0.93572	0.93587	0.999995	904	0	-0.86764
TNPO1	3	0.00095425	0.0027814	0.060495	57	3	-0.87682	0.99905	0.999	0.999995	1013	0	-0.87682
CHORDC1	3	0.00099578	0.0028562	0.060495	58	3	-1.2499	0.999	0.99895	0.999995	1012	0	-1.2499
ELL	4	0.0010041	0.0037444	0.067209	59	4	-0.55522	0.999	0.99917	0.999995	1011	0	-0.55522
