gene	BF
ABCA3	-1.08689583333333
ABCB1	-2.10797916666667
ABCC3	-0.859520833333333
ABCG2	-1.67485416666667
ABL1	-1.43860416666667
ABL2	-0.207979166666667
ABT1	1.1041875
ABTB2	-0.4294375
ACACA	-1.04702083333333
ACACB	-1.28114583333333
ACTL6A	0.863354166666667
ACTL6B	-0.495270833333333
ACTL7A	-0.150145833333333
ADAM19	-1.27139583333333
ADAP1	-0.3028125
ADAP2	-0.673979166666667
ADARB1	-1.6516875
ADARB2	-1.4105625
ADGRG7	-0.735604166666667
ADM	-0.0409791666666666
ADSS	-0.909270833333333
ADSSL1	-0.829854166666667
AFG3L2	-0.130159722222222
AHCYL1	0.443020833333333
AHCYL2	-1.92872916666667
AIPL1	-1.48252083333333
AKAP11	-0.599354166666667
AKIRIN1	-0.0137708333333333
AKIRIN2	0.433604166666667
ALAS1	-1.82883333333333
ALAS2	-1.3854375
ALDOA	1.57572916666667
ALDOC	-0.476895833333333
ALG14	-1.36035416666667
AMELX	-1.80135416666667
ANAPC4	-0.649145833333333
ANKRD10	-0.700145833333333
ANKRD37	-1.25072916666667
ANXA1	-2.00560416666667
AOX1	-1.60322916666667
AP1G1	-1.1238125
AP1G2	-0.990604166666667
AP2A1	0.7868125
AP2A2	-1.2149375
AP3M1	-0.396895833333333
AP5M1	-1.2304375
APH1A	-1.19960416666667
APH1B	-1.19297916666667
APOBEC1	-0.7139375
APOBEC3C	-0.7205625
AQP8	-1.72747916666667
ARFGEF1	-0.9666875
ARFGEF2	-0.729645833333333
ARFIP1	-1.69664583333333
ARFIP2	-0.646270833333333
ARHGEF3	-1.34614583333333
ARHGEF6	-2.4715625
ARHGEF7	-0.427354166666667
ARID1A	-0.4455625
ARID1B	-0.578895833333333
ARID4A	-1.61610416666667
ARPC5	-0.105645833333333
ARPC5L	-0.4876875
ARSJ	-0.940354166666667
ASCL1	-0.4963125
ASF1A	-0.888645833333333
ASF1B	-0.232208333333333
ATAD2	-1.2413125
ATAD2B	-1.68927083333333
ATM	-1.23464583333333
ATOH1	-1.01477083333333
ATP5F1A	0.0805625000000001
ATP5F1B	1.66447916666667
ATP5F1D	0.758229166666667
ATP5PB	-0.4469375
ATP6V1B1	-1.22189583333333
ATP6V1B2	1.42885416666667
ATP6V1C1	0.839270833333333
ATP6V1C2	-0.6059375
ATP6V1D	0.0289791666666667
ATP6V1E1	-1.86827083333333
ATP6V1E2	-1.2218125
ATP7A	-4.1743125
ATP7B	-1.6431875
ATP8B3	-1.16385416666667
ATR	-0.3319375
AXL	-1.4206875
BAP1	-1.06185416666667
BARHL1	-0.747395833333333
BATF3	-0.607604166666667
BCAP31	-0.9599375
BECN1	-0.955520833333333
BECN2	-1.28360416666667
BICD1	-0.0757708333333333
BICD2	-0.0991041666666666
BRD8	-0.300895833333333
BRSK1	-1.1230625
BRSK2	0.350104166666667
BTBD11	-0.601229166666667
BTG1	-0.5686875
BUB1B	-0.270395833333333
BUB3	3.11377083333333
BZW1	-0.467493055555555
BZW2	-0.0941458333333333
CAB39	-1.82522916666667
CAB39L	-1.0888125
CABP5	-0.240395833333333
CADPS	-0.903729166666667
CADPS2	-1.98627083333333
CALY	-0.689229166666667
CAND1	-0.401895833333333
CAND2	-0.9218125
CAP1	-0.965354166666667
CAP2	-0.466479166666667
CAPN2	-0.483520833333333
CASP4	-1.18102083333333
CAT	-1.68760416666667
CAV1	-1.57747916666667
CAVIN1	-0.0272708333333333
CBLL1	-1.02197916666667
CBLL2	-1.52897916666667
CCDC69	-1.64952083333333
CCND1	2.72627083333333
CCND3	1.0988125
CCNE1	-1.08697916666667
CCNE2	-1.2469375
CCNL1	-0.879895833333333
CCNL2	-1.08410416666667
CCNT1	0.483770833333333
CCNT2	0.0251875
CCT6A	-0.374604166666667
CCT6B	-0.979270833333333
CD163L1	-1.8459375
CD44	-1.0958125
CD72	-1.3089375
CDC34	-0.7459375
CDIPT	-0.3344375
CDK16	-2.2601875
CDK17	-2.19185416666667
CDK19	-1.54041666666667
CDK2	0.6064375
CDK5R1	-0.0782291666666666
