gene	BF
ABCA3	-0.440791666666667
ABCB1	-1.708625
ABCC3	-0.900416666666667
ABCG2	-1.80245833333333
ABL1	-1.46120833333333
ABL2	-0.503208333333333
ABT1	3.32795833333333
ABTB2	-0.363916666666667
ACACA	0.362708333333333
ACACB	-1.34895833333333
ACTL6A	3.01391666666667
ACTL6B	-0.736125
ACTL7A	-0.56225
ADAM19	-1.04
ADAP1	0.466666666666667
ADAP2	-0.261833333333333
ADARB1	-1.51641666666667
ADARB2	-0.743708333333333
ADGRG7	-1.36970833333333
ADM	-0.92525
ADSS	-0.346111111111111
ADSSL1	-0.186958333333333
AFG3L2	3.51572222222222
AHCYL1	3.45979166666667
AHCYL2	-1.02720833333333
AIPL1	-0.613041666666667
AKAP11	-1.15191666666667
AKIRIN1	-0.156958333333333
AKIRIN2	2.1875
ALAS1	-0.3860625
ALAS2	-1.53345833333333
ALDOA	4.9245
ALDOC	-0.558916666666667
ALG14	-0.692666666666667
AMELX	-1.478125
ANAPC4	0.0360833333333334
ANKRD10	-1.87129166666667
ANKRD37	-1.409625
ANXA1	-2.24483333333333
AOX1	-1.01016666666667
AP1G1	-0.470208333333333
AP1G2	-1.031625
AP2A1	-0.57925
AP2A2	-1.91283333333333
AP3M1	-1.02341666666667
AP5M1	-1.23841666666667
APH1A	0.905708333333333
APH1B	-0.688458333333333
APOBEC1	-1.10795833333333
APOBEC3C	-1.14095833333333
AQP8	-1.59695833333333
ARFGEF1	-0.597125
ARFGEF2	0.209708333333333
ARFIP1	-1.93204166666667
ARFIP2	-1.95225
ARHGEF3	-1.208625
ARHGEF6	-1.510375
ARHGEF7	-0.767625
ARID1A	1.10645833333333
ARID1B	-0.785125
ARID4A	0.220166666666667
ARPC5	-1.43045833333333
ARPC5L	-0.54125
ARSJ	-1.071625
ASCL1	-0.951875
ASF1A	-1.415625
ASF1B	-0.454479166666667
ATAD2	-0.733
ATAD2B	-1.577875
ATM	-0.821916666666667
ATOH1	-1.31645833333333
ATP5F1A	3.038875
ATP5F1B	3.26933333333333
ATP5F1D	2.28033333333333
ATP5PB	0.0221250000000001
ATP6V1B1	-0.916875
ATP6V1B2	7.2025
ATP6V1C1	1.31708333333333
ATP6V1C2	-0.467375
ATP6V1D	1.53016666666667
ATP6V1E1	-0.385611111111111
ATP6V1E2	-0.293208333333333
ATP7A	0.963916666666667
ATP7B	-1.6485
ATP8B3	-0.320541666666667
ATR	1.3095
AXL	-1.45333333333333
BAP1	-1.27779166666667
BARHL1	-0.679958333333333
BATF3	-1.24325
BCAP31	-0.610666666666667
BECN1	0.465666666666667
BECN2	-1.59220833333333
BICD1	-0.285583333333333
BICD2	0.290583333333333
BRD8	-0.814875
BRSK1	-0.988958333333333
BRSK2	-0.206083333333333
BTBD11	-0.871791666666667
BTG1	-1.205125
BUB1B	1.65425
BUB3	7.52629166666667
BZW1	-0.545666666666667
BZW2	0.154833333333333
CAB39	-0.0574166666666667
CAB39L	-0.691125
CABP5	-0.00391666666666657
CADPS	-1.04416666666667
CADPS2	-1.74383333333333
CALY	-1.00558333333333
CAND1	2.03891666666667
CAND2	-1.105625
