id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
MYC	8	4.4299e-13	4.6747e-06	0.002475	1	8	-1.3834	0.99999	1.0	0.999995	1057	0	-1.3834
MTG2	4	4.3396e-08	4.6747e-06	0.002475	2	4	-1.082	1.0	1.0	0.999995	1059	0	-1.082
RRM1	8	1.9868e-06	1.4024e-05	0.00495	3	7	-1.0563	0.96842	0.96835	0.999995	990	0	-1.0563
PPP4C	4	7.4126e-06	3.2723e-05	0.008663	4	3	-1.1822	0.93292	0.93303	0.999995	957	0	-1.1822
UQCRC1	4	9.4903e-06	5.1422e-05	0.010451	5	4	-0.85825	0.99999	1.0	0.999995	1058	0	-0.85825
RRM2	4	9.9794e-06	6.0771e-05	0.010451	6	3	-1.0356	0.738	0.73763	0.999995	762	0	-1.0356
KIF11	4	1.6483e-05	7.947e-05	0.010451	7	4	-1.0379	0.99998	1.0	0.999995	1056	0	-1.0379
CCND1	4	1.7731e-05	7.947e-05	0.010451	8	4	-1.1574	0.99998	1.0	0.999995	1055	0	-1.1574
PRPF8	4	3.044e-05	8.8819e-05	0.010451	9	4	-1.0334	0.99997	1.0	0.999995	1054	0	-1.0334
COPA	4	4.7371e-05	0.00012622	0.013366	10	4	-1.1116	0.99995	0.99998	0.999995	1053	0	-1.1116
BUB3	4	5.004e-05	0.00015426	0.014851	11	4	-1.187	0.99643	0.99648	0.999995	1032	0	-1.187
RPS5	4	5.9586e-05	0.00021036	0.018564	12	3	-1.2868	0.91577	0.91575	0.999995	942	0	-1.2868
RPP21	4	8.6377e-05	0.00037865	0.030845	13	4	-1.1973	0.97517	0.97525	0.999995	998	0	-1.1973
RPS19	4	9.6663e-05	0.0004441	0.032673	14	4	-1.0547	0.9999	0.99991	0.999995	1052	0	-1.0547
POLR2L	4	0.00010132	0.00046279	0.032673	15	4	-1.3247	0.9999	0.9999	0.999995	1051	0	-1.3247
SF3B3	4	0.00011319	0.00052824	0.034963	16	4	-1.1724	0.99989	0.99989	0.999995	1050	0	-1.1724
ALDOA	4	0.00015838	0.00074328	0.043512	17	3	-1.03	0.50198	0.50085	0.973113	543	0	-1.03
SMARCA4	4	0.00016161	0.00078067	0.043512	18	3	-0.93747	0.77166	0.77245	0.999995	793	0	-0.93747
CHORDC1	3	0.00018206	0.00057499	0.035818	19	3	-1.0791	0.99982	0.99983	0.999995	1049	0	-1.0791
MRPL38	4	0.00020603	0.00093026	0.044779	20	4	-0.77256	0.99979	0.99978	0.999995	1048	0	-0.77256
NKAP	4	0.00021092	0.00093026	0.044779	21	4	-0.71211	0.99979	0.99978	0.999995	1047	0	-0.71211
SF3A1	4	0.00021552	0.00093026	0.044779	22	3	-1.2408	0.12975	0.13003	0.960695	143	0	-1.2408
MED18	8	0.00035762	0.0022672	0.08575	23	6	-0.78258	0.40945	0.40922	0.961144	446	0	-0.78258
TOP2A	4	0.00037304	0.0016034	0.068736	24	4	-0.91766	0.99909	0.99923	0.999995	1043	0	-0.91766
NDUFB4	4	0.00038406	0.0016502	0.068736	25	4	-0.72284	0.99962	0.99961	0.999995	1046	0	-0.72284
ATP5F1B	4	0.0004024	0.0016782	0.068736	26	4	-0.77629	0.9996	0.99959	0.999995	1045	0	-0.77629
PRPF38A	4	0.00041404	0.0016876	0.068736	27	3	-0.9326	0.76979	0.7706	0.999995	791	0	-0.9326
NAE1	8	0.00046824	0.0029591	0.104455	28	7	-0.47158	0.56357	0.56226	0.985812	604	0	-0.47158
RPL14	3	0.00059907	0.0017811	0.069857	29	3	-1.8786	0.91418	0.91391	0.999995	941	0	-1.8786
ATP6V1B2	4	0.00070574	0.0027814	0.101571	30	4	-0.93214	0.99929	0.99939	0.999995	1044	0	-0.93214
RPL36	4	0.00088202	0.0033798	0.115458	31	4	-1.0422	0.98495	0.9852	0.999995	1011	0	-1.0422
SOX9	4	0.0010859	0.0041091	0.131863	32	4	-0.50995	0.99891	0.99909	0.999995	1042	0	-0.50995
PDCD6IP	4	0.0012519	0.00467	0.145457	33	4	-0.58961	0.99875	0.99889	0.999995	1041	0	-0.58961
HMGCS1	3	0.0013123	0.0037538	0.124226	34	3	-0.91193	0.99869	0.99856	0.999995	1040	0	-0.91193
NMT1	4	0.001322	0.0049411	0.149505	35	4	-0.63572	0.99868	0.99881	0.999995	1039	0	-0.63572
RPL19	4	0.0014074	0.0053899	0.158553	36	3	-0.72789	0.90912	0.9091	0.999995	934	0	-0.72789
SF3B1	4	0.001758	0.0067362	0.187728	37	3	-0.88388	0.17778	0.17778	0.961144	190	0	-0.88388
MED12	4	0.002037	0.0075403	0.197658	38	3	-0.74691	0.41059	0.40917	0.961144	447	0	-0.74691
CDIPT	4	0.0020879	0.0076525	0.197658	39	3	-0.78142	0.70152	0.701	0.999995	730	0	-0.78142
BICD2	4	0.0021403	0.0078769	0.198609	40	4	-0.56785	0.99786	0.99791	0.999995	1038	0	-0.56785
