gene	MP41.D28A	MP41.D28B	MP41.D28C	MP41.D32A	MP41.D32B	MP41.D32C
ABCA3	-0.145599156889065	-0.290272064481176	-0.170310394840602	-0.0798876064197259	-0.280865439175548	-0.211587097652143
ABCB1	-0.059566545009765	-0.179190599414551	-0.145889502040132	-0.0554927313522347	-0.108543121774886	-0.114435105916469
ABCC3	-0.284658901027367	-0.392976145794425	-0.418171692464275	-0.316093137560598	-0.435758597758007	-0.50442860412096
ABCG2	-0.0719894539030424	-0.17732872170712	-0.212371402802593	-0.0508309149233226	-0.0874340760386784	-0.16488590811083
ABL1	-0.0588630090865346	-0.117367838871787	-0.159603191973731	-0.0503554275117903	-0.0134424004010702	-0.0755637133693439
ABL2	-0.455991157425381	-0.316331371951606	-0.332557352204918	-0.44907195931978	-0.354668300566014	-0.445794908629412
ABT1	-0.768072337776157	-0.773650098884568	-0.700643773011106	-0.735484237010166	-0.700038830506395	-0.819634908522643
ABTB2	-0.176698487930207	-0.249724119126284	-0.149432494627775	-0.185993892781432	-0.137594168417297	-0.125056666899514
ACACA	-0.52158664449405	-0.517561320959263	-0.481559388956893	-0.764853050529716	-0.492339489887254	-0.681669520942852
ACACB	-0.165542767186131	-0.175226527199975	-0.215677351588692	-0.166133268803555	-0.116242761502781	-0.194069751338516
ACTL6A	-0.610433690882925	-0.758003077125612	-0.815087534229141	-0.715430888204625	-0.776349434896797	-0.972833531254379
ACTL6B	-0.295226084855057	-0.407384668203625	-0.278855118850702	-0.259874896178335	-0.350178229496943	-0.241655742214123
ACTL7A	-0.257583178844781	-0.332893180971168	-0.0103577061661902	-0.186672155659182	-0.302872482404451	0.0134009513933447
ADAM19	-0.0398331639312876	-0.256015970944367	-0.25160465670683	0.0275927335123214	-0.220115471632516	-0.226827569938631
ADAP1	-0.292370808244838	-0.307375903614209	-0.182497965155574	-0.405721151809667	-0.429247654877651	-0.168807128274643
ADAP2	-0.368785629241069	-0.384761268335086	-0.267645506165111	-0.295784722639879	-0.280496952302112	-0.336259002708562
ADARB1	-0.130496553551628	-0.147748879447089	-0.0319850630392967	-0.11682443056763	-0.108535870750857	0.0424771178317926
ADARB2	-0.209731838288642	-0.352919846202133	-0.109388375582851	-0.196206160855374	-0.338926118143501	-0.276027367431691
ADGRG7	-0.320624187681398	-0.4281433888922	-0.324812646443415	-0.339834688564114	-0.434575650376046	-0.248277842598699
ADM	-0.231760479344424	-0.219325320133445	-0.30731950772263	-0.312631929431109	-0.307738633959457	-0.304388618294849
ADSS	0.0463765710987826	-0.0729169319512449	-0.195286449811985	-0.0588331719354988	0.00620568503934275	-0.152021598395237
ADSSL1	-0.409295412714817	-0.36589764367185	-0.30668734447202	-0.346133608373061	-0.442668579939033	-0.319660923337047
AFG3L2	-0.556183963493665	-0.586318281054841	-0.915615196117969	-0.721222136752375	-0.528320961861002	-1.0412069482133
AHCYL1	-0.756353878543841	-0.566483076769622	-0.848158101402551	-0.754069354906738	-0.662471631181807	-0.860335049856214
AHCYL2	-0.208889075148261	-0.13244370144755	-0.122615714973319	-0.0788033830955084	-0.181042092451852	-0.167182831598298
AIPL1	-0.279863418657473	-0.182834170759881	-0.0545938742278217	-0.45827263959316	-0.158489450452183	-0.0201772340381554
AKAP11	-0.294709608653508	-0.136468711781309	-0.296128617194737	-0.316990171674576	-0.127231393309447	-0.330857748230107
AKIRIN1	-0.451156022386101	-0.504379763436495	-0.509675542728761	-0.549457101969788	-0.444340374374367	-0.661579375259702
AKIRIN2	-0.542281966492452	-0.46816138875056	-0.444073111742265	-0.66468813504199	-0.49191904173886	-0.316720052683873
ALAS1	-0.150872908249886	-0.178835702473107	-0.02876033986066	-0.149576264814719	-0.179149651056469	0.0462031521336854
ALAS2	-0.147887074379883	-0.299796356064985	-0.240794888656657	-0.140736886557901	-0.217641747999344	-0.272332659658235
ALDOA	-0.821862399198043	-0.988865749227463	-0.8755333974657	-0.820140308002137	-1.29727140149115	-0.951928895098834
ALDOC	-0.263727062184876	-0.226894254342903	-0.212378501529488	-0.26990179540433	-0.231535663151248	-0.261182728659745
ALG14	-0.121536960027135	-0.262829562643422	-0.187898450671034	-0.162659632837965	-0.267997919770151	-0.0987402771832624
AMELX	-0.081105281987274	-0.0835820651021931	-0.213571019312008	-0.160627466448752	0.0245122366019401	-0.129606252623619
ANAPC4	-0.117090275670377	-0.251139242862507	-0.243630666568096	-0.0843123966458731	-0.280492991602308	-0.272140354515106
ANKRD10	-0.112670617145414	-0.0628860627554358	-0.200058475770911	-0.150130178040381	-0.0407633644613257	-0.180415056722138
ANKRD37	-0.0656626905309709	-0.15034613993328	-0.144192035967082	-0.0374420223487988	-0.145740355710434	-0.197302548156666
ANXA1	-0.0444552093124297	-0.0383103009234713	-0.0163555894554369	-0.0446978094735963	-0.0603603337430802	0.146987956307615
AOX1	-0.0516500346437354	-0.104794715464347	-0.205592830124333	-0.0806734885081936	-0.0994548547771284	-0.235704758013734
AP1G1	-0.172135467598117	-0.428359088470678	-0.320994832782291	-0.0886118694657348	-0.434740056936292	-0.344946388456404
AP1G2	-0.125199649942356	-0.263106833480866	-0.153055730944274	-0.125053980111161	-0.257802283802306	-0.0751485107974694
AP2A1	-0.371255211936657	-0.288155959814056	-0.391124060467881	-0.377277101278217	-0.216122238686457	-0.457577102252621
AP2A2	-0.080459685990669	-0.143723268995988	0.0348908274722578	-0.0963668701836056	-0.182662222965789	0.00864585020853474
AP3M1	-0.258396555155893	-0.31238525154884	-0.286017949950066	-0.232163105799614	-0.393640867300598	-0.316525358746526
AP5M1	-0.344746003779053	-0.34190101559756	-0.169707298550409	-0.388233118495439	-0.39183123599296	-0.172057539415214
APH1A	-0.10052206961571	-0.173761313439868	-0.206496743255432	-0.0394922231207032	-0.178975312757047	-0.173501520156988
APH1B	-0.193948133200452	-0.172837583758093	-0.198652342342121	-0.150404868780932	-0.131371708211432	-0.147285487314573
APOBEC1	-0.0619469367214807	-0.176501063362457	-0.203802626196075	-0.101900031975505	-0.0945567723434161	-0.167139873838783
APOBEC3C	-0.264655523907148	-0.233307216491733	-0.282538112682536	-0.298984286376901	-0.142175393745811	-0.257574974166137
AQP8	-0.0978168326753075	-0.127910602180476	-0.0443442528986006	-0.0839074622786437	-0.0887643904681032	0.0208679007609514
ARFGEF1	-0.211775683984305	-0.292577484627339	-0.265549939690165	-0.135458689737066	-0.351586784041639	-0.248979100511374
ARFGEF2	-0.264391114516894	-0.147527284637456	-0.177784732513541	-0.284059975520686	-0.0252594329589909	-0.227264850617672
ARFIP1	0.134073138228418	-0.0985933343140456	-0.0910187007903867	0.123602191842722	-0.049158430173071	-0.068007411968885
ARFIP2	-0.162434426727856	-0.304051070819428	-0.178063486340088	-0.325167038289112	-0.345334784592686	-0.0962477540001655
ARHGEF3	-0.159504869911582	-0.139565813192185	-0.120269282048287	-0.140588565308198	-0.0549606464952745	-0.0901093072822642
ARHGEF6	-0.198518826463212	-0.0025452530504269	-0.113075912823978	-0.183854141795627	0.0057586345204655	-0.0405355817699422
ARHGEF7	-0.21051338987155	-0.281159517941051	-0.331964456002584	-0.20810283081196	-0.296912619371279	-0.258648253466318
ARID1A	-0.492177292593332	-0.429282694186769	-0.459823232013613	-0.580254923812864	-0.374310656886456	-0.426194244092565
ARID1B	-0.179582966452401	-0.0254310059520816	-0.118287028822605	-0.0979945279920586	0.0212596507690263	-0.121670071116014
ARID4A	-0.407483562454366	-0.265223785153799	-0.29941606077651	-0.444418927582571	-0.315405226435152	-0.295570057639343
