gene	BF
ABCA3	-1.29197916666667
ABCB1	-1.96602083333333
ABCC3	-1.0418125
ABCG2	-1.80577083333333
ABL1	-1.92214583333333
ABL2	-0.849645833333333
ABT1	5.00427083333333
ABTB2	-1.2415625
ACACA	3.3433125
ACACB	-1.24002083333333
ACTL6A	7.1156875
ACTL6B	-0.5474375
ACTL7A	-0.728645833333333
ADAM19	-1.7553125
ADAP1	-1.77735416666667
ADAP2	-1.38510416666667
ADARB1	-1.54647916666667
ADARB2	-1.55910416666667
ADGRG7	-1.16985416666667
ADM	-0.952729166666666
ADSS	-2.02339583333333
ADSSL1	-0.254145833333333
AFG3L2	4.19371527777778
AHCYL1	5.51627083333333
AHCYL2	-1.92197916666667
AIPL1	-1.63602083333333
AKAP11	-0.919354166666666
AKIRIN1	0.208270833333333
AKIRIN2	3.9724375
ALAS1	-0.585666666666667
ALAS2	-2.03677083333333
ALDOA	6.89527083333333
ALDOC	-1.1990625
ALG14	-0.8461875
AMELX	-1.32160416666667
ANAPC4	-0.0117708333333331
ANKRD10	-2.0728125
ANKRD37	-1.62972916666667
ANXA1	-2.67835416666667
AOX1	-1.50022916666667
AP1G1	-1.15197916666667
AP1G2	-1.02822916666667
AP2A1	-0.936479166666667
AP2A2	-1.8828125
AP3M1	-0.4714375
AP5M1	-0.983354166666667
APH1A	0.5166875
APH1B	-0.538145833333333
APOBEC1	-1.12352083333333
APOBEC3C	0.9901875
AQP8	-2.1839375
ARFGEF1	-1.2359375
ARFGEF2	-1.5694375
ARFIP1	-2.69735416666667
ARFIP2	-1.45010416666667
ARHGEF3	-1.32002083333333
ARHGEF6	-2.35964583333333
ARHGEF7	-0.478979166666667
ARID1A	0.869020833333333
ARID1B	-1.2639375
ARID4A	-0.5784375
ARPC5	-1.36072916666667
ARPC5L	-1.77447916666667
ARSJ	-1.30022916666667
ASCL1	-1.10347916666667
ASF1A	-0.7819375
ASF1B	0.0128958333333336
ATAD2	-1.5601875
ATAD2B	-2.04897916666667
ATM	-1.5829375
ATOH1	-1.8960625
ATP5F1A	6.3421875
ATP5F1B	6.32347916666667
ATP5F1D	3.49397916666667
ATP5PB	2.3811875
ATP6V1B1	-0.826145833333333
ATP6V1B2	5.96389583333333
ATP6V1C1	4.8420625
ATP6V1C2	-0.812520833333333
ATP6V1D	3.88639583333333
ATP6V1E1	-0.308729166666666
ATP6V1E2	-1.15627083333333
ATP7A	1.5124375
ATP7B	-2.1483125
ATP8B3	-1.83247916666667
ATR	1.69552083333333
AXL	-0.704145833333333
BAP1	1.6306875
BARHL1	-1.00114583333333
BATF3	-1.83110416666667
BCAP31	0.1724375
BECN1	1.40347916666667
BECN2	-1.3043125
BICD1	0.0925208333333334
BICD2	-0.4654375
BRD8	1.51297916666667
BRSK1	-0.965520833333333
BRSK2	-0.575604166666666
BTBD11	-0.794604166666667
BTG1	-1.15427083333333
BUB1B	5.75635416666667
BUB3	11.6468541666667
BZW1	-0.127284722222222
BZW2	-0.240854166666667
CAB39	-2.6616875
CAB39L	-1.81972916666667
CABP5	-0.0756041666666665
CADPS	-1.12927083333333
CADPS2	-2.1859375
CALY	-0.684020833333333
CAND1	1.61239583333333
CAND2	-1.5921875
CAP1	1.16452083333333
CAP2	-0.691895833333333
CAPN2	-1.1701875
CASP4	-0.906354166666667
CAT	-1.83352083333333
CAV1	-1.51152083333333
CAVIN1	-1.09135416666667
CBLL1	-1.65785416666667
CBLL2	-1.44302083333333
CCDC69	-1.96477083333333
CCND1	2.9808125
CCND3	0.895645833333333
CCNE1	-0.638229166666666
CCNE2	-0.9694375
CCNL1	1.35739583333333
CCNL2	-0.8619375
CCNT1	0.408395833333334
CCNT2	0.628520833333333
CCT6A	5.50315972222222
CCT6B	-2.0663125
CD163L1	-2.2483125
CD44	-2.21189583333333
CD72	-1.0108125
CDC34	-1.8264375
CDIPT	5.96339583333333
CDK16	-2.0078125
CDK17	-0.5175625
CDK19	-1.26927083333333
CDK2	3.0063125
CDK5R1	-0.907604166666666
CDK5R2	-0.490395833333333
CDK7	8.32664583333333
CDK8	1.14772916666667
CDNF	-2.08947916666667
CDS1	-0.869479166666666
CDS2	4.08397916666667
CEACAM1	-0.4071875
CELA2A	-0.536770833333333
CFL1	2.1203125
CHM	-1.6936875
CHML	-2.12660416666667
