gene	OMM23.D28A	OMM23.D28B	OMM23.D28C	OMM23.D35A	OMM23.D35B	OMM23.D35C
ABCA3	-0.0848557312104572	-0.180524147028127	-0.136827321463287	-0.125128671856701	-0.108019924906291	-0.123556830868408
ABCB1	-0.107865198831057	-0.0416832389744843	-0.077106089007697	-0.0424244501429794	-0.0562572958253545	-0.046461676350114
ABCC3	-0.159515659068088	-0.0955140408430456	-0.197917725197657	-0.174935401087993	-0.102847027795261	-0.174610907288438
ABCG2	-0.157170922287498	-0.0584593851583698	-0.0869395007792348	-0.049479953166941	-0.105210891051374	-0.037792706682462
ABL1	-0.151072587733809	0.0144461852273075	-0.0788795936386837	-0.118611340562344	-0.0162918774304657	-0.0761231158642399
ABL2	-0.156644061601219	-0.168250822925682	-0.164234774702411	-0.139463095180668	-0.199893367012208	-0.155863476339846
ABT1	-0.840489818095193	-0.758560501132471	-0.679938945729424	-0.642119996842289	-0.812885584763988	-0.726218590658538
ABTB2	-0.17230578074112	-0.0341060049743564	-0.25954535374544	-0.172138345032102	0.0794171287476655	-0.185876071563614
ACACA	-0.43327797701634	-0.602031834097247	-0.56171332859875	-0.526200445861984	-0.703472029210152	-0.65922250656516
ACACB	-0.177052263283958	-0.130418149814037	-0.12591303678956	-0.160353833743878	-0.107037249971206	-0.0890352503930266
ACTL6A	-0.887547265590617	-1.04306155482152	-0.940092872478697	-0.745166253257021	-1.28756570608843	-0.860310388288407
ACTL6B	-0.128688953258327	-0.21966082404606	-0.226936753237508	-0.140046531694754	-0.275188292532922	-0.213306521308502
ACTL7A	-0.108154968501236	-0.171702114535862	-0.257206234292042	-0.182903704963907	-0.15182071442611	-0.203998703694799
ADAM19	-0.11455083040091	-0.114841316453601	-0.0535914444292996	-0.12503896968818	-0.147039196300244	0.0597170257306186
ADAP1	-0.102872576704514	-0.0765083113284661	-0.122397387752992	0.0594162177900671	-0.118914943466566	-0.108241738806415
ADAP2	-0.0180050412452698	-0.199814311401758	-0.060736802189703	-0.110505893678718	-0.200221415358609	-0.123228073180553
ADARB1	-0.0714399061183562	-0.106893919443043	-0.0792837265331288	-0.0835676588359078	-0.166680062356381	-0.0781563757958408
ADARB2	-0.128488092733797	-0.0780435135589404	-0.0748973201173078	-0.158514785209542	-0.0469245641282017	-0.0111425758647438
ADGRG7	-0.0314927606243904	-0.0838757716599818	-0.247932383939881	-0.0409291597343522	-0.22757160867731	-0.237703909513536
ADM	-0.164411459190766	-0.114551261473868	-0.236238859590713	-0.187800777353206	-0.102200903688028	-0.153460288087623
ADSS	-0.117730089999998	-0.00654381147060623	-0.0349387864615313	0.0305977662892488	-0.18678329576365	-0.00755220923371219
ADSSL1	-0.209816776435646	-0.234063801216084	-0.263649756818096	-0.290587349211467	-0.186012896387391	-0.193472516751333
