id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
MYC	8	3.409e-11	4.6747e-06	0.00099	1	8	-1.651	1.0	1.0	0.999995	1059	0	-1.651
RRM1	8	1.2595e-07	4.6747e-06	0.00099	2	7	-1.4612	1.0	1.0	0.999995	1058	0	-1.4612
RPP21	4	2.2209e-07	4.6747e-06	0.00099	3	4	-1.6354	1.0	1.0	0.999995	1057	0	-1.6354
POLR2L	4	7.2884e-07	4.6747e-06	0.00099	4	4	-1.6758	1.0	1.0	0.999995	1056	0	-1.6758
RRM2	4	7.432e-07	4.6747e-06	0.00099	5	2	-1.2527	0.74312	0.74262	0.999995	724	0	-1.2527
MTG2	4	1.3596e-06	1.4024e-05	0.002475	6	4	-0.99445	1.0	1.0	0.999995	1055	0	-0.99445
ALDOA	4	4.8313e-06	2.3373e-05	0.003094	7	3	-1.5514	0.99782	0.99787	0.999995	1001	0	-1.5514
PRPF8	4	5.101e-06	2.3373e-05	0.003094	8	4	-1.178	0.99999	1.0	0.999995	1054	0	-1.178
BUB3	4	6.2164e-06	3.2723e-05	0.003465	9	4	-1.6662	0.99997	1.0	0.999995	1046	0	-1.6662
CCND1	4	6.9145e-06	3.2723e-05	0.003465	10	4	-1.0005	0.99999	1.0	0.999995	1053	0	-1.0005
UQCRC1	4	1.7989e-05	7.947e-05	0.005879	11	4	-0.81694	0.99998	1.0	0.999995	1052	0	-0.81694
PDCD6IP	4	2.0155e-05	7.947e-05	0.005879	12	4	-1.0768	0.99998	1.0	0.999995	1051	0	-1.0768
COPA	4	2.1308e-05	7.947e-05	0.005879	13	4	-1.0843	0.99998	1.0	0.999995	1050	0	-1.0843
NAA10	4	2.313e-05	7.947e-05	0.005879	14	4	-0.79611	0.99998	1.0	0.999995	1049	0	-0.79611
