gene	Mel202.D28A	Mel202.D28B	Mel202.D28C
ABCA3	-0.0501333617062132	-0.110631748141445	-0.148783937423508
ABCB1	0	-0.000362743326997213	-0.0256711253944212
ABCC3	-0.0707798231088624	-0.146525904214985	-0.0893977078853433
ABCG2	-0.131923018269012	-0.124259606146343	-0.124964887255821
ABL1	-0.0193344113089192	-0.077046142019627	-0.0105780203777205
ABL2	-0.25548364322161	-0.160578980902255	-0.181535012199885
ABT1	-0.974147316258894	-0.973087784027183	-0.625722875120801
ABTB2	-0.12774411560065	-0.123108573102219	-0.150539702281111
ACACA	-0.390834813171009	-0.185325280172549	-0.231458088515687
ACACB	-0.172274807594714	-0.118686427294168	-0.277725167980352
ACTL6A	-0.742370517383809	-0.421421734220769	-0.370551381542063
ACTL6B	-0.26207765599581	-0.345653363229454	-0.178690937490244
ACTL7A	-0.154639008707041	-0.112288081990947	-0.167773256103073
ADAM19	-0.00402776203933086	-0.0391878735256544	-0.0201838752280448
ADAP1	-0.397236404060978	-0.281588437832896	-0.3694383153464
ADAP2	-0.0772427752925991	-0.0898138044301924	-0.13842529882374
ADARB1	-0.0475522937721065	-0.0772722722417473	-0.0500014309067316
ADARB2	-0.0205742306646593	-0.0221942230362815	-0.00667784829061869
ADGRG7	-0.0494793177982752	-0.119346838433212	-0.292291017011212
ADM	-0.0778783785486048	-0.157216316927	-0.181756547214003
ADSS	-0.127658826879576	-0.221201018201175	-0.133417342947184
ADSSL1	-0.19668438506996	-0.0434920126122563	-0.206674093356338
AFG3L2	-1.2743276243863	-0.70552441373603	-0.581231870561463
AHCYL1	-0.326063713978115	-0.436836762234916	-0.280380623672122
AHCYL2	-0.0649793672316942	-0.131124146181468	-0.13929721627497
AIPL1	-0.128649658628092	0	-0.0837698721434631
AKAP11	-0.146992523839234	-0.0779853835004366	-0.156606256178134
AKIRIN1	-0.351613559374688	-0.171102388634402	-0.181208850380418
AKIRIN2	-0.652021587166115	-0.474464187229211	-0.514635421408399
ALAS1	-0.362523139552144	-0.248311840092165	-0.313485659436779
ALAS2	-0.00509251170766065	-0.114977789269141	-0.0809936120032617
ALDOA	-1.44831204119255	-1.230742363135	-1.4268553345523
ALDOC	-0.233581333255614	-0.171454344356256	-0.169847245728769
ALG14	-0.18477010171101	-0.161852088257995	-0.227203298310678
AMELX	-0.0569753651020798	-0.0298809988509292	-0.0240129951201414
ANAPC4	-0.398840309920658	-0.273390955822372	-0.3002970400692
ANKRD10	-0.109026983206154	-0.0959286283637487	-0.0479258515046512
ANKRD37	-0.0519764017576043	-0.0831398074851035	-0.0500122380491356
ANXA1	-0.0334707159989243	-0.0180023557710847	-0.0241434117991634
AOX1	-0.0913836086813847	-0.0741956761874153	-0.160163963844439
AP1G1	-0.123139637904616	-0.143220611981014	-0.17540544164501
AP1G2	-0.103845156738322	-0.0603882586286016	-0.249468001519529
AP2A1	-0.634057205346841	-0.496048460751056	-0.507358022359929
AP2A2	-0.1539867937814	-0.17647471517993	-0.0438451970967305
AP3M1	-0.0544566472752929	-0.0359894504743451	-0.0850827636463158
AP5M1	-0.177679100173259	-0.092052789451831	-0.0996039790721933
APH1A	-0.75658416630159	-0.631480216497092	-0.650575697019248
APH1B	-0.125199691541988	-0.0267295556494522	-0.134668688377729
APOBEC1	-0.0651541469787066	-0.136771675061089	-0.0760477918396149
APOBEC3C	-0.103994545871329	-0.0400207988423224	-0.0315466828989209
AQP8	-0.0292670497239138	-0.098272478608462	-0.0494387531019464
