gene	BF
ABCA3	-0.418583333333333
ABCB1	-0.939125
ABCC3	-0.359541666666667
ABCG2	-0.781833333333333
ABL1	-1.0535
ABL2	-0.758041666666667
ABT1	3.69433333333333
ABTB2	-0.543
ACACA	0.242333333333333
ACACB	-0.767041666666667
ACTL6A	2.07525
ACTL6B	0.00958333333333333
ACTL7A	-0.606208333333333
ADAM19	-0.592375
ADAP1	0.0167500000000001
ADAP2	-0.559833333333333
ADARB1	-1.19704166666667
ADARB2	-0.812166666666667
ADGRG7	-0.486958333333333
ADM	-0.757916666666667
ADSS	-0.232458333333333
ADSSL1	-0.389083333333333
AFG3L2	2.11909722222222
AHCYL1	1.2755
AHCYL2	0.134541666666667
AIPL1	-1.03525
AKAP11	-0.864208333333333
AKIRIN1	0.730375
AKIRIN2	3.045375
ALAS1	-1.03414583333333
ALAS2	-1.11245833333333
ALDOA	6.05920833333333
ALDOC	-0.237
ALG14	-0.769125
AMELX	-1.91629166666667
ANAPC4	0.149625
ANKRD10	-1.14433333333333
ANKRD37	-1.25525
ANXA1	-1.16904166666667
AOX1	-1.29204166666667
AP1G1	-0.5785
AP1G2	-0.976375
AP2A1	-0.425
AP2A2	-0.86625
AP3M1	-1.27716666666667
AP5M1	-1.016625
APH1A	-0.838291666666667
APH1B	-0.283041666666667
APOBEC1	-0.587625
APOBEC3C	-1.01829166666667
AQP8	-1.09341666666667
ARFGEF1	-1.08454166666667
ARFGEF2	-1.01958333333333
ARFIP1	-1.70629166666667
ARFIP2	-0.265541666666667
ARHGEF3	-1.206125
ARHGEF6	-1.38854166666667
ARHGEF7	-0.9875
ARID1A	0.552916666666667
ARID1B	-0.874125
ARID4A	0.599125
ARPC5	-0.0453333333333332
ARPC5L	-0.746333333333333
ARSJ	-0.694208333333333
ASCL1	-1.1195
ASF1A	2.70308333333333
ASF1B	1.45666666666667
ATAD2	-1.170625
ATAD2B	-0.919125
ATM	-0.736333333333333
ATOH1	-0.557166666666667
ATP5F1A	0.0485
ATP5F1B	0.000333333333333408
ATP5F1D	-0.495583333333333
ATP5PB	-0.8645
ATP6V1B1	0.261791666666667
ATP6V1B2	4.12375
ATP6V1C1	2.86670833333333
ATP6V1C2	-0.6131875
ATP6V1D	0.916625
ATP6V1E1	-0.437125
ATP6V1E2	-0.27775
ATP7A	1.33375
ATP7B	-1.13479166666667
ATP8B3	-0.805166666666667
ATR	0.572166666666667
AXL	-0.79825
BAP1	0.420833333333333
BARHL1	-1.12708333333333
BATF3	-0.727708333333333
BCAP31	-0.831375
BECN1	-0.590083333333333
BECN2	-0.9705
BICD1	0.69
BICD2	-1.09891666666667
BRD8	0.525375
BRSK1	0.122541666666667
BRSK2	-1.31483333333333
BTBD11	-0.768541666666667
BTG1	-1.49216666666667
BUB1B	1.05920833333333
BUB3	5.35658333333333
BZW1	-0.371958333333333
BZW2	0.774291666666667
CAB39	-1.73970833333333
CAB39L	-1.22891666666667
CABP5	-1.12225
CADPS	-0.522583333333333
CADPS2	-0.72525
CALY	-0.959458333333333
CAND1	1.35679166666667
CAND2	0.0793333333333334
CAP1	-0.631291666666667
CAP2	0.31375
CAPN2	-1.43429166666667
CASP4	-0.701375
CAT	-1.10295833333333
CAV1	-1.03745833333333
CAVIN1	-0.669583333333333
CBLL1	-0.720958333333333
CBLL2	-0.967875
CCDC69	-1.01679166666667
CCND1	6.00191666666667
CCND3	0.9605
CCNE1	-0.268708333333333
CCNE2	-0.442833333333333
CCNL1	1.22175
CCNL2	-0.863625
CCNT1	-0.231041666666667
CCNT2	-1.65370833333333
CCT6A	1.81554166666667
CCT6B	-1.26179166666667
CD163L1	-0.983708333333333
CD44	-0.799875
CD72	-1.35070833333333
CDC34	-1.230625
CDIPT	2.22820833333333
CDK16	-1.06775
CDK17	-0.0833333333333333
CDK19	-0.985708333333333
CDK2	3.22179166666667
CDK5R1	-0.317333333333333
CDK5R2	-0.254541666666667
CDK7	2.81479166666667
CDK8	0.267458333333333
CDNF	-0.610041666666667
CDS1	-0.735208333333333
CDS2	1.33133333333333
CEACAM1	-0.793208333333333
CELA2A	-0.438541666666667
CFL1	0.504125
CHM	-1.11508333333333
CHML	-0.894875
CHMP1A	-0.646125
CHMP1B	-0.918458333333333
CHORDC1	5.04954166666667
CHRNB3	-0.28975
CHSY1	-1.77908333333333
CHSY3	-1.15795833333333
CHUK	-0.943041666666667
CKAP5	1.09064583333333
CLASP1	-1.14095833333333
CLASP2	-0.610291666666667
CLCA1	-1.39970833333333
CLDN4	-0.579541666666667
CLIP4	-1.31879166666667
CLNS1A	2.63698611111111
CLTA	-0.927458333333333
CLTB	-0.807583333333333
CLTC	2.01708333333333
CLTCL1	-1.27495833333333
CNOT6	-0.751708333333333
CNOT6L	-1.4125
CNOT7	1.001875
CNOT8	-0.921847222222222
COPA	5.19754166666667
COPG1	-0.19875
COPG2	-0.107291666666667
COPS7A	-0.00270833333333331
COPS7B	-0.191041666666667
COPZ1	1.256125
COPZ2	-1.49125
COQ10A	0.239333333333333
COQ10B	-1.303875
COX4I1	-0.196166666666667
COX4I2	-0.193666666666667
COX6B1	-0.682604166666667
COX6B2	-0.557541666666667
CPS1	-0.670125
CPSF3	1.85245833333333
CREBBP	-1.02791666666667
CRK	0.534166666666667
CRKL	-0.42825
CRNN	-0.529
CRX	-0.496041666666667
CRY1	-1.131875
CRY2	-0.149916666666667
CRYBB2	-0.931416666666667
CSTF2	-1.67629166666667
CSTF2T	-0.956875
CTCFL	-1.09625
CTNNB1	0.15025
CTPS1	-1.00129166666667
CTPS2	-0.870125
CTR9	1.82533333333333
CTSZ	-0.218416666666667
CWF19L1	-0.73125
CYFIP1	-1.01908333333333
CYFIP2	-1.30970833333333
CYP26C1	-0.528041666666667
CYP2A6	-0.6715
CYP2C8	-1.46854166666667
CYP7A1	-0.698458333333333
DBT	-0.714166666666667
DCAF4L2	-1.41854166666667
DCAF8L1	-1.346375
DDI1	-1.3374375
DDI2	0.27025
DDX17	-1.21620833333333
DDX39A	-0.995541666666667
DDX39B	0.16225
DDX5	1.573125
DEGS1	-0.985208333333333
DEGS2	-0.547
DENND5A	-0.476041666666667
DENND5B	-1.73679166666667
DGAT1	-0.719125
DGAT2L6	-1.47895833333333
DGKI	-0.620541666666667
DGKZ	1.56198611111111
DHX29	-0.410791666666667
DHX9	3.83509722222222
DLL1	-1.27529166666667
DLL4	-1.159125
DMD	-0.533875
DMP1	-0.674
DMXL1	-1.3175
DMXL2	-0.468166666666667
DNAJC15	-0.945208333333333
DNAJC19	-1.27245833333333
DPCR1	-1.236
DRD3	-1.47216666666667
DST	-1.29708333333333
DUOX1	-1.16170833333333
DUOX2	-0.415916666666667
DUSP10	-0.579875
DYNC1LI1	-0.900958333333333
DYNC1LI2	-1.13833333333333
DYNLRB1	4.05543055555556
DYNLRB2	-1.417875
DYNLT1	-0.894958333333333
DYNLT3	-1.39891666666667
DZIP1L	-1.31158333333333
DZIP3	-0.898208333333333
E2F3	5.92643055555556
E2F4	-0.335291666666667
EAF1	-0.599
EAF2	-1.20908333333333
EEFSEC	-0.308541666666667
EFNB1	-1.17966666666667
EFR3A	-1.166125
EFR3B	-0.640333333333333
EGFR	-0.832416666666667
EIF3B	2.9245
EIF3J	2.9795
EIF3L	0.17575
EIF4A3	1.59504166666667
ELL	1.729375
ELL2	-0.613791666666667
ENOX1	-1.1275
ENOX2	-1.13029166666667
EP300	-0.136833333333333
EPC1	-0.792041666666667
EPC2	-0.0550833333333333
EPHA2	-1.00454166666667
EPHA3	-1.12791666666667
EPS15	-0.738333333333333
EPS15L1	-0.798625
ERBB3	-0.79325
ERC1	-1.40825
ERC2	-1.44916666666667
ERH	-0.621083333333333
ERN1	-1.37141666666667
ERN2	-1.20216666666667
ERO1A	-1.18425
ERO1B	-1.20608333333333
ESRP1	-0.615
ESRP2	-1.57529166666667
EXOC6	-1.23779166666667
EXOC6B	-0.803875
EZH1	-0.992791666666667
EZH2	-0.138333333333333
FAM126A	-0.932958333333333
FAM126B	-1.378125
FAM50A	1.996875
FAM50B	-1.76541666666667
FAM71A	-0.395541666666667
FAM71B	-1.21441666666667
FANCF	1.1345
FANCM	2.72183333333333
FARS2	-0.606916666666667
FBLN1	-1.04825
FCRL3	-1.221875
FDPS	0.406958333333333
FEZ1	-0.597375
FEZ2	-1.0965
FKBP10	-0.920875
FKBP4	-0.763875
FKBP5	-0.53875
FKBP9	-0.448291666666667
FLNB	-1.449875
FLNC	-0.645916666666667
FLOT1	-1.23733333333333
FLOT2	-0.685875
FLT1	-1.25954166666667
FMR1	-1.502625
FNIP1	-0.540375
FNIP2	-0.713375
FOSL1	-0.121680555555555
FOXA1	-0.430416666666667
FOXB1	-1.03229166666667
FOXE3	-0.930958333333333
FOXK1	0.522625
FOXK2	0.678041666666667
FRS2	-0.0997916666666666
FRS3	-0.50275
FRY	-1.34745833333333
FRYL	-1.90925
FSD1	-1.029875
FSD1L	-0.909041666666667
FUT5	-0.534541666666667
FXR1	-1.041125
FXR2	-1.21504166666667
FZD8	-1.66504166666667
FZR1	1.669875
G3BP1	-0.292291666666667
G3BP2	2.98833333333333
G6PC	-0.332
GABPB1	-0.356458333333333
GABPB2	-0.647708333333333
GALNT2	-1.25475
GALNT5	-0.143
GALR3	-0.343125
GAPDH	2.97079166666667
GATAD2A	-0.363375
GBP3	-1.145125
GBX1	-1.14125
GBX2	-1.07816666666667
GCM2	0.175375
GDF15	-1.56429166666667
GDI1	-1.354375
GDI2	0.33275
GFM1	0.441708333333333
GIT1	-1.60141666666667
GIT2	-0.669625
GJA8	-0.635458333333333
GLIS3	-1.07233333333333
GLT6D1	-0.0382916666666667
GMPR	0.167208333333333
GMPR2	-0.9955
GNB3	-0.832083333333333
GOLPH3	-1.04141666666667
GOLPH3L	-1.53191666666667
GOLT1A	-1.2635
GOLT1B	-0.777916666666667
GPR151	-0.140541666666666
GPR183	-1.19708333333333
GPR50	-1.30716666666667
GPSM1	-0.375458333333333
GPSM2	-1.08379166666667
GRHL2	-0.409416666666667
GRHL3	-0.3955
GRIP1	-0.265791666666667
GRIP2	-0.898541666666666
GRM4	-0.508125
GSDMD	-0.568291666666667
GSTP1	-0.799916666666667
GSX1	-0.471375
GSX2	-1.80670833333333
GTF3C1	1.84433333333333
GXYLT1	-1.09875
GXYLT2	-0.235125
GYS1	-1.2775
GYS2	-1.19158333333333
H1FOO	-1.39720833333333
H2AFX	-0.657125
H2BFM	-1.18179166666667
HACD1	-0.830916666666667
HACD2	-0.599291666666667
HASPIN	0.636291666666667
HEATR5A	-0.863083333333333
HEATR5B	-1.05625
HMG20B	-0.293291666666667
HMGCL	-1.69704166666667
HMGCLL1	-0.8625
HMGCS1	2.11848611111111
HMGCS2	-0.762791666666667
HMSD	-0.0526666666666666
HNRNPF	-0.499791666666667
HNRNPH1	0.103416666666667
HNRNPH3	-0.920916666666667
HNRNPK	0.3075
HOXB1	-1.009375
HPS1	-0.783333333333333
HRAS	-0.471541666666667
HRH1	-1.76825
HRH3	-0.798666666666667
HSCB	4.35916666666667
HTR2C	-0.806958333333333
HTR3D	-1.0095
HTR3E	-0.887041666666667
HUS1	3.69066666666667
HUS1B	-0.982583333333333
IAPP	-1.30566666666667
ICK	-0.206
IDH1	-0.876875
IDH2	-0.59875
IDH3B	-0.747125
IDH3G	-0.7505
IFIH1	-1.09370833333333
IKBKB	-1.0225
IKBKE	-0.758708333333333
IL10RA	-1.34275
IL6R	-0.825125
IL6ST	-0.894208333333333
ILF3	2.03566666666667
IMPDH1	0.0854166666666666
IMPDH2	0.033625
INCENP	0.584833333333333
INTS2	2.45720833333333
INTS6	8.32198611111111
INTS6L	-0.403583333333333
IPO5	-0.832333333333333
IPO7	1.644375
IPO8	-0.86075
IQCA1	0.569416666666667
IQCA1L	-0.965208333333333
IRF4	0.215625
IRF6	-0.409166666666667
IRF8	-1.10083333333333
ISCA2	0.131291666666667
ISL1	-0.7755
ITGB1BP2	-1.17733333333333
ITSN1	-0.678416666666667
ITSN2	-0.46025
JAG1	-1.335625
JAG2	-1.21075
JUP	-1.504125
KAT6A	1.60183333333333
KAT6B	-1.11375
KCNG4	-0.803916666666667
KCNMB3	-1.43158333333333
KCNT1	-0.903625
KCNT2	-0.851833333333333
KHSRP	-0.589916666666667
KIAA0319	-1.10891666666667
KIAA0319L	-0.977
KIF11	4.10104166666667
KIF20A	0.460270833333333
KIF4A	2.394375
KIT	-1.02479166666667
KLF4	-0.239333333333333
KLF5	-1.255
KLK12	-1.51341666666667
KPNA2	-0.210569444444444
KPNA3	-1.40241666666667
KRT25	-0.0245416666666666
KRT37	-1.16575
KRT38	-0.856041666666667
KRT74	-0.967375
KRTAP1-1	-1.271875
KRTAP10-10	-0.892458333333333
L3MBTL2	0.0336250000000001
LARP1	-0.910666666666667
LARP1B	-0.508166666666667
LATS1	-0.989625
LATS2	-1.05420833333333
LBX1	-1.63179166666667
LDB1	0.4575625
LDB2	-1.19991666666667
LGALS9	-0.276958333333333
LHFPL5	-0.319375
LIF	-1.36754166666667
LIM2	-1.251375
LIMK1	-0.595583333333333
LIMK2	-1.330125
LIN28A	-0.669402777777778
LIN28B	0.2735
LMBR1	-0.528125
LMBR1L	-1.20220833333333
LNX1	-1.21920833333333
LNX2	-0.923541666666667
LONP1	1.479625
LOR	-0.747791666666667
LRBA	-1.44179166666667
LRFN1	-1.469125
LSM14A	-1.06125
LSM14B	-0.620208333333333
LSM4	0.212291666666667
MACF1	-0.895
MAK	-0.861916666666667
MANF	1.27425
MAP4K4	-0.778541666666667
MAPK8IP3	-1.02666666666667
MARCKS	-0.987083333333333
MAT1A	-1.03483333333333
MAT2A	2.11254166666667
MBD3L1	-1.52570833333333
MBD4	-1.0966875
MBP	-1.05483333333333
MBTD1	-0.662041666666667
MCPH1	0.0355416666666668
MDM4	0.611708333333333
MECOM	-1.23154166666667
MECP2	-1.51354166666667
MED12	2.857125
MED12L	-0.536291666666667
MED13	2.00766666666667
MED13L	1.23508333333333
MED18	2.18877083333333
MED20	1.82645833333333
MED23	1.57341666666667
MED26	-0.0156249999999999
MED31	0.117958333333333
MED8	0.20875
MEP1B	0.177541666666667
MMD	-0.752625
MMD2	-1.07195833333333
MOGAT2	-0.65575
MORF4L1	0.0803194444444445
MORF4L2	-1.31333333333333
MPC1	-0.763125
MPC1L	-1.36508333333333
MRGPRX2	-0.794875
MRPL27	0.664166666666667
MRPL38	1.44325
MRPL41	1.02629166666667
MRPL55	-0.441375
MT2A	-0.8485
MTA1	-0.858
MTA3	-0.891541666666667
MTG2	2.83291666666667
MTHFD1	1.520375
MTMR3	0.024375
MTMR4	-0.132791666666667
MTUS1	-1.40145833333333
MTUS2	-1.051125
MTX1	-0.498736111111111
MYBL2	-1.55820833333333
MYBPH	-0.507541666666667
MYBPHL	-0.710875
MYC	4.99589583333333
MYCN	-0.723833333333333
MYD88	-1.13533333333333
MYH7	-0.801208333333333
MYL7	0.02175
NAA10	3.40916666666667
